Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,LatticeDS,0.93,"The layer consists of many polygons/multipolygons representing housing association property units with attributes like corporation, counts, and year built. These are bounded reporting areas/units rather than a categorical coverage or simple patch, so LatticeDS fits best.",
Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,0.96,The layer contains 425 point features marking archaeological cesspits and related finds at specific addresses. These are identifiable bounded real-world objects/locations rather than measurements or events.,
Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,0.99,"The layer contains Point geometries for archaeological finds/locations, and each point represents a distinct identifiable object record with an object code and caption.",
Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,0.97,"The layer consists of Polygon/MultiPolygon areas marking archaeological sites, which are identifiable bounded real-world sites with names, addresses, and descriptions rather than a full tessellated field or simple presence raster.",
Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,PatchDS,0.95,"The layer contains polygon/multipolygon areas for parks and related places, each marking barbecue permission or prohibition within a bounded area. These are selected designated areas rather than a full categorical tessellation, so PatchDS fits best.",
Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,PatchDS,0.96,"The layer consists of Polygon features for named conservation areas (stads- en dorpsgezichten). These are bounded designated areas, not a full categorical tessellation or reporting units, so PatchDS fits best.",
Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,ObjectDS,0.98,"The layer uses point features for observation locations, and each point represents a distinct place/area name where wild bees were observed, not a measurement or count.",
Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,0.96,"The layer is a Point FeatureCollection with 111 bee locations, and the attributes record counts of hives/colonies (Aantal_kasten, Aantal_volken), so each point represents an amount/quantity rather than a unique object.",
Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,CoverageDS,0.91,"The layer is made of polygons representing soil-quality zones over the city, with categorical zone and bodemfunctie attributes. It appears to be a full-area thematic classification rather than discrete objects or measurements.",
Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,0.99,"The layer contains 70,000 point features, each with a unique Boomnummer and tree attributes like species, height, plant year, owner, and manager. This is a point map of identifiable real-world objects (trees).",
