OBJECTNUMMER;Topocode;Naam;Adres;Onderzoek;Jaar;Periode;Beschrijving;Webpagina;Foto;Bijschrift;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"MART";"De 15de-eeuwse IJ oever";"Martelaarsgracht 4-12";"Archeologische Opgraving";"2003";"mei 2003";"Vier meter onder de huidige Martelaarsgracht ligt de 15de-eeuwse IJ oever. Langs dit havenfront werden toen schepen geteerd en gebreeuwd.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/15-aanplempingen-ij/";"http://www.mapsbma.nl/foto/MART.jpg";"Proefsleuf ter hoogte van het aangeplempte IJ";"Vindplaats";"POLYGON((4.896598 52.378122,4.896604 52.378092,4.89641 52.378062,4.896402 52.378096,4.896598 52.378122))";"POLYGON((52.378122 4.896598,52.378092 4.896604,52.378062 4.89641,52.378096 4.896402,52.378122 4.896598))";4.89651295;52.3780791;
2;"NZK10";"De 13de-eeuwse versterking";"Nieuwendijk 138";"Archeologische Opgraving";"2006";"februari 2006";"In de bodem zitten de massieve muurresten van een eind 13de-eeuwse versterking bij de Amstelmonding. Het was historisch niet bekend dat Amsterdam toen een kasteel had. De vraag is wie de bouwheer was: Gijsbrecht van Amstel of graaf Floris V.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/37-noordoosthoek/";"http://www.mapsbma.nl/foto/NZK10.jpg";"De westmuur met de torenfundering ";"Vindplaats";"POLYGON((4.894646 52.376009,4.894723 52.376001,4.894757 52.37608,4.894916 52.376056,4.894929 52.376085,4.895098 52.376058,4.895424 52.375989,4.895265 52.375879,4.89501 52.375939,4.894972 52.375896,4.894934 52.375902,4.89493 52.375886,4.894878 52.375895,4.894856 52.375817,4.89476 52.375835,4.894656 52.375838,4.894656 52.375795,4.894709 52.375796,4.894707 52.375746,4.894717 52.375743,4.894716 52.375727,4.894723 52.375706,4.894766 52.375701,4.894743 52.375662,4.894727 52.375666,4.894572 52.375678,4.894567 52.375793,4.894483 52.37579,4.894482 52.375845,4.894474 52.375909,4.894573 52.376183,4.894708 52.376183,4.894646 52.376009))";"POLYGON((52.376009 4.894646,52.376001 4.894723,52.37608 4.894757,52.376056 4.894916,52.376085 4.894929,52.376058 4.895098,52.375989 4.895424,52.375879 4.895265,52.375939 4.89501,52.375896 4.894972,52.375902 4.894934,52.375886 4.89493,52.375895 4.894878,52.375817 4.894856,52.375835 4.89476,52.375838 4.894656,52.375795 4.894656,52.375796 4.894709,52.375746 4.894707,52.375743 4.894717,52.375727 4.894716,52.375706 4.894723,52.375701 4.894766,52.375662 4.894743,52.375666 4.894727,52.375678 4.894572,52.375793 4.894567,52.37579 4.894483,52.375845 4.894482,52.375909 4.894474,52.376183 4.894573,52.376183 4.894708,52.376009 4.894646))";4.89495895;52.3759104;
3;"DAM4";"14de-eeuwse aanplempingen in het Damrak";"Dam 2-4";"Archeologische Begeleiding";"2009";"september-november 2009";"Bij de aanleg van een diepe kelder tot 6,5 m onder maaiveld werden de grondlagen bereikt waarmee in de 14de eeuw de oever van het Damrak vanaf de Nieuwendijk werd verbreed.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/water-gewonnen/";"http://www.mapsbma.nl/foto/DAM4.jpg";"Profielopname op 4,5 m onder de straat";"Vindplaats";"POLYGON((4.892737 52.373653,4.892926 52.373583,4.893199 52.373452,4.893036 52.37334,4.893018 52.373334,4.892616 52.373488,4.892609 52.373514,4.892737 52.373653))";"POLYGON((52.373653 4.892737,52.373583 4.892926,52.373452 4.893199,52.37334 4.893036,52.373334 4.893018,52.373488 4.892616,52.373514 4.892609,52.373653 4.892737))";4.89291405;52.3734805;
4;"OZV8";"Een 17de-eeuwse suikerbakkerij";"Oudezijds Voorburgwal 28";"Archeologische Opgraving";"2007";"oktober 2007";"Uit de muurresten die de archeologen op dit perceel documenteerden bleek dat hier in de 17de eeuw rietsuikerstroop tot kristalsuiker werd geraffineerd. Nu maken de brouwers van De Prael hier hun bier.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/48-sporen/";"http://www.mapsbma.nl/foto/OZV8.jpg";"Documentatie  van de funderingen";"Vindplaats";"POLYGON((4.899057 52.375458,4.899297 52.375381,4.899259 52.375337,4.899209 52.375353,4.899177 52.37535,4.899135 52.375302,4.89903 52.375335,4.899053 52.375359,4.898991 52.375379,4.899057 52.375458))";"POLYGON((52.375458 4.899057,52.375381 4.899297,52.375337 4.899259,52.375353 4.899209,52.37535 4.899177,52.375302 4.899135,52.375335 4.89903,52.375359 4.899053,52.375379 4.898991,52.375458 4.899057))";4.89915395;52.3753668;
5;"WA16";"Eind-14de-eeuwse slietenfundering";"Warmoesstraat 87/Oudekerksplein 36";"Archeologische Begeleiding";"2006";"maart 2006";"Het huidige pand heeft nog de oorspronkelijke fundering uit de late middeleeuwen. Toen werden geen heipalen maar korte stammetjes van 8-10 cm doorsnede gebruikt. In dit geval waren er drie lagen van deze slieten die kruislings op elkaar waren gelegd.";"";"http://www.mapsbma.nl/foto/WA16.jpg";"De stammetjes onder de oudste bouwmuur";"Vindplaats";"POLYGON((4.897523 52.374681,4.897609 52.374656,4.897522 52.374633,4.897449 52.374605,4.897233 52.374675,4.897332 52.374744,4.897523 52.374681))";"POLYGON((52.374681 4.897523,52.374656 4.897609,52.374633 4.897522,52.374605 4.897449,52.374675 4.897233,52.374744 4.897332,52.374681 4.897523))";4.8974309;52.37466115;
6;"OZA9";"Kerkhof Minderbroedersklooster (1464-1578)";"Oudezijds Achterburgwal 57";"Archeologische Begeleiding";"2008";"juli 2008";"Aan de Nieuwmarkt lag tot 1578 het Minderbroedersklooster. Het kloosterkerkhof bevond zich langs de Oudezijds Achterburgwal. In de kelder van dit pand waren nog skeletten aanwezig, waaruit bleek dat hier zowel mannen als vrouwen waren begraven.";"";"http://www.mapsbma.nl/foto/OZA9.jpg";"Een aantal grafkisten waren nog grotendeels intact";"Vindplaats";"POLYGON((4.898904 52.373077,4.898801 52.373106,4.898761 52.37307,4.898872 52.373033,4.898904 52.373077))";"POLYGON((52.373077 4.898904,52.373106 4.898801,52.37307 4.898761,52.373033 4.898872,52.373077 4.898904))";4.89884255;52.37305705;
7;"MON";"Minderbroedersklooster (1464-1578)";"Monnikenstraat 2, 2A/Bloedstraat 11-15/Gordijnensteeg 1-27";"Archeologische Opgraving";"2001";"november-december 2001";"Op de zijgevel van het 17de-eeuwse woonhuis aan de Bloedstraat tekent zich nog het silhouet van het hoofdgebouw van het 16de-eeuwse Minderbroedersklooster af. Op de voorgrond zijn de fundamenten van de refter of eetzaal zichtbaar.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-6/?reload=true";"http://www.mapsbma.nl/foto/MON.jpg";"Fundering van de refter langs de Bloedstraat ";"Vindplaats";"POLYGON((4.899589 52.372993,4.899536 52.372871,4.899164 52.372945,4.899308 52.373195,4.899324 52.373189,4.899412 52.373168,4.899399 52.373141,4.899418 52.373136,4.899379 52.373072,4.899382 52.37307,4.899371 52.373034,4.899589 52.372993))";"POLYGON((52.372993 4.899589,52.372871 4.899536,52.372945 4.899164,52.373195 4.899308,52.373189 4.899324,52.373168 4.899412,52.373141 4.899399,52.373136 4.899418,52.373072 4.899379,52.37307 4.899382,52.373034 4.899371,52.372993 4.899589))";4.8993864;52.3730189;
8;"OZV6";"Agnietenklooster (1397-1578)";"Oudezijds Voorburgwal 229-231";"Archeologische Opgraving";"2004";"augustus 2004";"Dit perceel maakte oorspronkelijk deel uit van de open binnenplaats van het Agnietenklooster. In 1578 werden alle kloosters in Amsterdam onteigend en heringericht. Toen is dit perceel bebouwd met bakstenen afkomstig uit afgebroken kloostergebouwen.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/22-purperhoedenveem/";"http://www.mapsbma.nl/foto/OZV6.jpg";"Een impressie van het klooster in de 16de eeuw";"Vindplaats";"POLYGON((4.894817 52.370069,4.895115 52.370039,4.895086 52.369971,4.894797 52.369999,4.894817 52.370069))";"POLYGON((52.370069 4.894817,52.370039 4.895115,52.369971 4.895086,52.369999 4.894797,52.370069 4.894817))";4.8949661;52.3700072;
9;"OTM";"Huizen na 1500 in de Amstelbocht";"Oude Turfmarkt 129-139";"Archeologische Opgraving";"2004";"december 2004-januari 2005";"Rond 1500 is de Amstelbocht met veenzoden, rietmatten, mest en afval uit de stad verbreed om ruimte te bieden voor woonhuizen. Deze waren vanwege de slappe ondergrond stevig gefundeerd op zware roosterconstructies.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/31-amstelbocht/";"http://www.mapsbma.nl/foto/OTM.jpg";"Een van de woonhuizen in de Amstelbocht";"Vindplaats";"MULTIPOLYGON(((4.893653 52.368367,4.893713 52.36831,4.894003 52.368095,4.893766 52.367985,4.893519 52.368169,4.893417 52.368268,4.893653 52.368367)),((4.893653 52.368367,4.893465 52.368549,4.893564 52.368589,4.893765 52.368414,4.893653 52.368367)))";"MULTIPOLYGON(((52.368367 4.893653,52.36831 4.893713,52.368095 4.894003,52.367985 4.893766,52.368169 4.893519,52.368268 4.893417,52.368367 4.893653)),((52.368367 4.893653,52.368549 4.893465,52.368589 4.893564,52.368414 4.893765,52.368367 4.893653)))";4.89372015;52.3682734;
10;"OZV7";"Middeleeuwse houtbouw versteend";"Oudezijds Voorburgwal 262-266/Pieter Jacobszstraat 32-44";"Archeologische Opgraving";"2005";"juli–augustus 2005";"De eerste huizen op deze locatie waren gemaakt van hout en gefundeerd op liggende stammetjes. Vanaf de 15de eeuw werden deze vervangen door een bebouwing van baksteen, maar daarbij bleef de oorspronkelijke perceelsindeling ongewijzigd.";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/publicaties-0/amsterdamse/amsterdamse-0/49-bewoning-tussen/";"http://www.mapsbma.nl/foto/OZV7.jpg";"Opeenvolgende funderingen van Pieter Jacobszstraat 44";"Vindplaats";"POLYGON((4.895064 52.37146,4.895028 52.371426,4.894691 52.371505,4.894563 52.371527,4.894633 52.371685,4.894999 52.371601,4.894976 52.371559,4.895124 52.371521,4.895064 52.37146))";"POLYGON((52.37146 4.895064,52.371426 4.895028,52.371505 4.894691,52.371527 4.894563,52.371685 4.894633,52.371601 4.894999,52.371559 4.894976,52.371521 4.895124,52.37146 4.895064))";4.8948536;52.3715426;
