OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"VONDST";"Vondsten Waterlooplein";"rekenpenning, koper, 1700-1800";"Zwanenburgwal";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP59.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9004791,52.3685042)";"POINT(52.3685042,4.9004791)";4.9004791;52.3685042;
2;"VONDST";"Vondsten Waterlooplein";"kop, roodbakkend, 1700-1750";"Zwanenburgwal";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP58.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900367,52.368405)";"POINT(52.368405,4.900367)";4.900367;52.368405;
3;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"figuur, porselein, China, 1750-1800";"Zwanenburgwal";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP57.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP57.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900306,52.3683783)";"POINT(52.3683783,4.900306)";4.900306;52.3683783;
4;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"naairing, koperlegering, 1650-1700";"Zwanenburgwal 35";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9000699,52.368199)";"POINT(52.368199,4.9000699)";4.9000699;52.368199;
5;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"bord, aardewerk, Nederrijn Duitsland, 1725-1750";"Zwanenburgwal 37";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP2.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9000761,52.36818)";"POINT(52.36818,4.9000761)";4.9000761;52.36818;
6;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"spaarvarken, aardewerk, Holland, 1800-1825";"Lange Houtstraat 6";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9001052,52.3681723)";"POINT(52.3681723,4.9001052)";4.9001052;52.3681723;
7;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"steelpan, aardewerk, Duitsland, 1725-1775";"Lange Houtstraat 8";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP4.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9001248,52.3681265)";"POINT(52.3681265,4.9001248)";4.9001248;52.3681265;
8;"VONDST";"Vondsten Waterlooplein";"fles, glas, 1725-1775";"Lange Houtstraat 8";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9000928,52.3681189)";"POINT(52.3681189,4.9000928)";4.9000928;52.3681189;
9;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"kwispedoor, faience, Amsterdam Holland, 1754-1764";"Zwanenburgwal 39";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP6.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900018,52.3681189)";"POINT(52.3681189,4.900018)";4.900018;52.3681189;
10;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"bord, aardewerk, Nederrijn Duitsland, 1746";"Lange Houtstraat 12";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP7.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP7.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9001992,52.3680998)";"POINT(52.3680998,4.9001992)";4.9001992;52.3680998;
11;"BEERPUT_VONDST";"Beerput en vondsten Waterlooplein";"bord, porselein, Arita Japan, 1650-1670";"Lange Houtstraat 10";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/putten/BP8.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP8.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.900151,52.3681189)";"POINT(52.3681189,4.900151)";4.900151;52.3681189;
12;"VONDST";"Vondsten Waterlooplein";"lepel, tin, 1625-1675";"Zwanenburgwal 41";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP9.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8999269,52.3681342)";"POINT(52.3681342,4.8999269)";4.8999269;52.3681342;
13;"VONDST";"Vondsten Waterlooplein";"kom, stoneware, Engeland, 1725-1750";"Zwanenburgerstraat 7";"";"http://www.mapsbma.nl/beerputten/foto/BP_wlo/obj/BP10.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8999278,52.3680007)";"POINT(52.3680007,4.8999278)";4.8999278;52.3680007;
