OBJECTNUMMER;Locatie;Categorie;Bijschrift;Foto_object;Foto_locatie;Objectcode;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Bloemgracht/Prinsengracht";"Waterbodem";"kan, aardewerk, 1625-1675";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL1-1.jpg";"";"BL1-1";"POINT(4.883104,52.375225)";"POINT(52.375225,4.883104)";4.883104;52.375225;
2;"Bloemgracht t.o. 30";"Waterbodem";"mes, hout en ijzer, 1750-1850";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL2-7.jpg";"";"BL2-7";"POINT(4.882401,52.375072)";"POINT(52.375072,4.882401)";4.882401;52.375072;
3;"Bloemgracht";"Waterbodem";"zuigfles, tin, 1700-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL5-3.jpg";"";"BL5-3";"POINT(4.880077,52.374527)";"POINT(52.374527,4.880077)";4.880077;52.374527;
4;"Bloemgracht t.o. 130-160";"Waterbodem";"veldfles, aardewerk, Saintonge Frankrijk, 1575-1625";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL3-1.jpg";"";"BL3-1";"POINT(4.878554,52.374195)";"POINT(52.374195,4.878554)";4.878554;52.374195;
5;"Bloemgracht t.o. 150-180";"Waterbodem";"strooppot, aardewerk, 1600-1750";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL-3.jpg";"";"BL-3";"POINT(4.878324,52.374134)";"POINT(52.374134,4.878324)";4.878324;52.374134;
6;"Bloemgracht/Marnixstraat (Bullebaksluis)";"Waterbodem";"kuikentegel, aardewerk, 1675-1725";"https://www.archeologischekaart.amsterdam/WatBod/obj/BL4-10.jpg";"";"BL4-10";"POINT(4.876452,52.37374)";"POINT(52.37374,4.876452)";4.876452;52.37374;
7;"Prinsengracht/Brouwersgracht";"Waterbodem";"tabaksdoos, latoenkoper, 1800-1900";"https://www.archeologischekaart.amsterdam/WatBod/obj/PR-6.jpg";"";"PR-6";"POINT(4.888393,52.380566)";"POINT(52.380566,4.888393)";4.888393;52.380566;
8;"Brouwersgracht";"Waterbodem";"schaaf, beukenhout, 1750-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/BR-5.jpg";"";"BR-5";"POINT(4.889719,52.379773)";"POINT(52.379773,4.889719)";4.889719;52.379773;
9;"Prinsengracht/Noordermarkt";"Waterbodem";"roompot, aardewerk, gevlekt, 1700-1750";"https://www.archeologischekaart.amsterdam/WatBod/obj/PR2-11.jpg";"";"PR2-11";"POINT(4.887461,52.379457)";"POINT(52.379457,4.887461)";4.887461;52.379457;
10;"Prinsengracht/Tuinstraat";"Waterbodem";"lepel, tin 1689-1725";"https://www.archeologischekaart.amsterdam/WatBod/obj/PR1-3.jpg";"";"PR1-3";"POINT(4.885802,52.377709)";"POINT(52.377709,4.885802)";4.885802;52.377709;
11;"Prinsengracht/Egelantiersgracht";"Waterbodem";"ivoor, olifantslagtand";"https://www.archeologischekaart.amsterdam/WatBod/obj/PR4-2.jpg";"";"PR4-2";"POINT(4.884847,52.3766)";"POINT(52.3766,4.884847)";4.884847;52.3766;
12;"Egelantiersgracht";"Waterbodem";"albarello, majolica, 1610-1625";"https://www.archeologischekaart.amsterdam/WatBod/obj/EG3-1.jpg";"";"EG3-1";"POINT(4.881485,52.376)";"POINT(52.376,4.881485)";4.881485;52.376;
13;"Prinsengracht/Reesluis";"Waterbodem";"stroopkan, aardewerk, 1600-1700";"https://www.archeologischekaart.amsterdam/WatBod/obj/PR26-1.jpg";"";"PR26-1";"POINT(4.882872,52.371897)";"POINT(52.371897,4.882872)";4.882872;52.371897;
14;"Looiersgracht";"Waterbodem";"pot, latoenkoper, 1725-1775";"https://www.archeologischekaart.amsterdam/WatBod/obj/LO-14.jpg";"";"LO-14";"POINT(4.88085,52.368334)";"POINT(52.368334,4.88085)";4.88085;52.368334;
15;"Keizersgracht/Leidsegracht";"Waterbodem";"lepel, tin, 1689-1750";"https://www.archeologischekaart.amsterdam/WatBod/obj/KG25-1.jpg";"";"KG25-1";"POINT(4.882809,52.366159)";"POINT(52.366159,4.882809)";4.882809;52.366159;
16;"Leidsegracht";"Waterbodem";"kom, industrieel Creamware, Engeland, 1750-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/LEI-8.jpg";"";"LEI-8";"POINT(4.883738,52.366499)";"POINT(52.366499,4.883738)";4.883738;52.366499;
17;"Keizersgracht/Nieuwe Spiegelstraat";"Waterbodem";"schotel, latoenkoper, 1800-1900";"https://www.archeologischekaart.amsterdam/WatBod/obj/KG26-1.jpg";"";"KG26-1";"POINT(4.889319,52.364325)";"POINT(52.364325,4.889319)";4.889319;52.364325;
18;"Singel t.o. Bloemenmarkt";"Waterbodem";"bak, aardewerk, Genua Italië, 1575-1625";"https://www.archeologischekaart.amsterdam/WatBod/obj/SIN6-2.jpg";"";"SIN6-2";"POINT(4.891334,52.366966)";"POINT(52.366966,4.891334)";4.891334;52.366966;
19;"Kloveniersburgwal/Nieuwe Hoogstraat";"Waterbodem";"bord, tin, 1600-1650";"https://www.archeologischekaart.amsterdam/WatBod/obj/KLO4-1.jpg";"";"KLO4-1";"POINT(4.898655,52.370863)";"POINT(52.370863,4.898655)";4.898655;52.370863;
20;"Amstel t.o Doelenbrug";"Waterbodem";"voorraadpot, aardewerk, Noord-Afrika, 1750-1900";"https://www.archeologischekaart.amsterdam/WatBod/obj/AM4-1.jpg";"";"AM4-1";"POINT(4.89393,52.36746)";"POINT(52.36746,4.89393)";4.89393;52.36746;
21;"Kloveniersburgwal 135-143";"Waterbodem";"kop en schotel, industrieel aardewerk, 1815-1850";"https://www.archeologischekaart.amsterdam/WatBod/obj/KLO12-7-3KLO12-5-4.jpg";"https://www.archeologischekaart.amsterdam/WatBod/loc/KLO12.jpg";"KLO12-7-3KLO12-5-4";"POINT(4.896082,52.367977)";"POINT(52.367977,4.896082)";4.896082;52.367977;
22;"Singel/Raadhuisstraat";"Waterbodem";"fles, glas, 1700-1750";"https://www.archeologischekaart.amsterdam/WatBod/obj/SIN3-44.jpg";"";"SIN3-44";"POINT(4.888897,52.373492)";"POINT(52.373492,4.888897)";4.888897;52.373492;
23;"Lauriergracht t.o. 125";"Waterbodem";"suikerbroodvorm, aardewerk, 1600-1800";"https://www.archeologischekaart.amsterdam/WatBod/obj/LAU-4.jpg";"";"LAU-4";"POINT(4.877531,52.370544)";"POINT(52.370544,4.877531)";4.877531;52.370544;
