OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Amerikaanse linde";589672;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1948;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.904675,52.339808)";"POINT(52.339808,4.904675)";4.904675;52.339808;
2;"Huntingdon-iep";589671;"Ulmus hollandica `Vegeta`";"Boom niet vrij uitgroeiend";"6 tot 12 m.";1978;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.902697,52.340087)";"POINT(52.340087,4.902697)";4.902697;52.340087;
3;"Gewone es (cultuurvariëteit)";589670;"Fraxinus excelsior `Westhof`s Glorie`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";3;"POINT(4.855213,52.331979)";"POINT(52.331979,4.855213)";4.855213;52.331979;
4;"Gele bergiep (cultuurvariëteit)";589669;"Ulmus glabra `Lutescens`";"Boom niet vrij uitgroeiend";"6 tot 12 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";3;"POINT(4.903675,52.348831)";"POINT(52.348831,4.903675)";4.903675;52.348831;
5;"Zomereik";589668;"Quercus robur";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";2;"POINT(4.875891,52.34105)";"POINT(52.34105,4.875891)";4.875891;52.34105;
6;"Zomereik";589665;"Quercus robur";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1974;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";5;"POINT(4.875477,52.34105)";"POINT(52.34105,4.875477)";4.875477;52.34105;
7;"Honingboom";589664;"Styphnolobium japonicum";"Boom niet vrij uitgroeiend";"tot 6 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Styphnolobium";"K";1;"POINT(4.880373,52.332886)";"POINT(52.332886,4.880373)";4.880373;52.332886;
8;"Eik (cultuurvariëteit)";589663;"Quercus turneri `Pseudoturneri`";"Boom niet vrij uitgroeiend";"tot 6 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";1;"POINT(4.881051,52.332907)";"POINT(52.332907,4.881051)";4.881051;52.332907;
9;"Hollandse linde";589662;"Tilia europaea";"Boom niet vrij uitgroeiend";"6 tot 9 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";2;"POINT(4.882488,52.325934)";"POINT(52.325934,4.882488)";4.882488;52.325934;
10;"Kastanjebladige eik (cultuurvariëteit)";589661;"Quercus castaneifolia `Green Spire`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";2002;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";4;"POINT(4.886459,52.327261)";"POINT(52.327261,4.886459)";4.886459;52.327261;
