OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
140001;"Amerikaanse linde";444504;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.936788,52.399925)";"POINT(52.399925,4.936788)";4.936788;52.399925;
140002;"Amerikaanse linde";444503;"Tilia americana";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";2;"POINT(4.936613,52.399995)";"POINT(52.399995,4.936613)";4.936613;52.399995;
140003;"Amerikaanse linde";444498;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.937746,52.400002)";"POINT(52.400002,4.937746)";4.937746;52.400002;
140004;"Amerikaanse linde";444497;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.937446,52.399799)";"POINT(52.399799,4.937446)";4.937446;52.399799;
140005;"Amerikaanse linde";444496;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.937502,52.399851)";"POINT(52.399851,4.937502)";4.937502;52.399851;
140006;"Amerikaanse linde";444495;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.937566,52.399911)";"POINT(52.399911,4.937566)";4.937566;52.399911;
140007;"Amerikaanse linde";444494;"Tilia americana";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";2;"POINT(4.937622,52.399964)";"POINT(52.399964,4.937622)";4.937622;52.399964;
140008;"Amerikaanse linde";444493;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.936605,52.400208)";"POINT(52.400208,4.936605)";4.936605;52.400208;
140009;"Amerikaanse linde";444491;"Tilia americana";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1971;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";3;"POINT(4.936785,52.400225)";"POINT(52.400225,4.936785)";4.936785;52.400225;
140010;"Amerikaanse linde";444264;"Tilia americana";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1978;"Gemeente Amsterdam";"Stadsdeel Noord";"Tilia";"Tilia";"N";4;"POINT(4.958195,52.392178)";"POINT(52.392178,4.958195)";4.958195;52.392178;
140011;"Valse acacia";444263;"Robinia pseudoacacia";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1970;"Gemeente Amsterdam";"Stadsdeel Noord";"Robinia";"Robinia";"N";3;"POINT(4.962869,52.392433)";"POINT(52.392433,4.962869)";4.962869;52.392433;
140012;"Veldesdoorn";444262;"Acer campestre";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1970;"Gemeente Amsterdam";"Stadsdeel Noord";"Acer";"Acer";"N";3;"POINT(4.962663,52.392625)";"POINT(52.392625,4.962663)";4.962663;52.392625;
140013;"Noorse esdoorn (cultuurvariëteit)";444261;"Acer platanoides `Royal Red`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1970;"Gemeente Amsterdam";"Stadsdeel Noord";"Acer";"Acer";"N";3;"POINT(4.962781,52.392713)";"POINT(52.392713,4.962781)";4.962781;52.392713;
140014;"Gewone es (cultuurvariëteit)";444260;"Fraxinus excelsior `Westhof`s Glorie`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1970;"Gemeente Amsterdam";"Stadsdeel Noord";"Fraxinus";"Fraxinus";"N";4;"POINT(4.962987,52.390254)";"POINT(52.390254,4.962987)";4.962987;52.390254;
