OBJECTNUMMER;Boomnummer;Stadsdeel;Boomsoort;Maatregel;Maatregel_extra;Herplantsoort;Planning_kap_snoei;Planning_herplant;Takbreuk;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;1544;"Nieuw-West";"Populus x canadensis `Robusta`";"Gekapt";"";"Populus nigra `Vereecken`";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.770748,52.373976)";"POINT(52.373976,4.770748)";4.770748;52.373976;
2;1401;"Nieuw-West";"Populus x canadensis `Robusta`";"Gekapt";"";"Populus nigra `Vereecken`";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.770841,52.374057)";"POINT(52.374057,4.770841)";4.770841;52.374057;
3;2248;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.77861,52.356332)";"POINT(52.356332,4.77861)";4.77861;52.356332;
4;990;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.779016,52.356138)";"POINT(52.356138,4.779016)";4.779016;52.356138;
5;2254;"Nieuw-West";"Populus x canadensis `Robusta`";"Gekapt";"";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.779376,52.357935)";"POINT(52.357935,4.779376)";4.779376;52.357935;
6;984;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.77983,52.355672)";"POINT(52.355672,4.77983)";4.77983;52.355672;
7;1399;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"Kraaiennest aangetroffen d.d. 12-04-2019 10.30 uur. Boom gekapt 5/9/2019 (week 36)";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.781254,52.359459)";"POINT(52.359459,4.781254)";4.781254;52.359459;
8;986;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"";"";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.782244,52.354751)";"POINT(52.354751,4.782244)";4.782244;52.354751;
9;1123;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"gekapt week 27 (04/07/2019)";"Populus nigra `Vereecken`";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.782155,52.37592)";"POINT(52.37592,4.782155)";4.782155;52.37592;
10;1124;"Nieuw-West";"Populus x canadensis cv";"Gekapt";"gekapt week 27 (05/07/2019)";"Populus nigra `Vereecken`";"Start januari 2019";"Start in voorjaar 2020";"";"POINT(4.78217,52.375705)";"POINT(52.375705,4.78217)";4.78217;52.375705;
