OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"GAWW-03";"Telcamera";"Eigen voeding via lichtnet";115;"Ja";"";"POINT(4.8973932,52.3725037)";"POINT(52.3725037,4.8973932)";4.8973932;52.3725037;
2;"GAWW-03";"WiFi sensor";"Eigen voeding via lichtnet";115;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8973336,52.3725237)";"POINT(52.3725237,4.8973336)";4.8973336;52.3725237;
3;"GAWW-02";"WiFi sensor";"Eigen voeding via lichtnet";115;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8988705,52.3737982)";"POINT(52.3737982,4.8988705)";4.8988705;52.3737982;
4;"GAWW-02";"Telcamera";"Eigen voeding via lichtnet";115;"Ja";"";"POINT(4.8989027,52.3737857)";"POINT(52.3737857,4.8989027)";4.8989027;52.3737857;
5;"GAWW-01";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8997667,52.374627)";"POINT(52.374627,4.8997667)";4.8997667;52.374627;
6;"GAWW-01";"Telcamera";"Eigen voeding via lichtnet";115;"Ja";"";"POINT(4.8998471,52.3746006)";"POINT(52.3746006,4.8998471)";4.8998471;52.3746006;
7;"GAWW-05";"Telcamera";"Eigen voeding via lichtnet";14;"Ja";"";"POINT(4.8977166,52.3723534)";"POINT(52.3723534,4.8977166)";4.8977166;52.3723534;
8;"GAWW-08";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8971927,52.3716503)";"POINT(52.3716503,4.8971927)";4.8971927;52.3716503;
9;"GAWW-10";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8988079,52.372369)";"POINT(52.372369,4.8988079)";4.8988079;52.372369;
10;"GAWW-06";"Telcamera";"Eigen voeding via lichtnet";20;"Ja";"";"POINT(4.8980888,52.3724579)";"POINT(52.3724579,4.8980888)";4.8980888;52.3724579;
