OBJECTNUMMER;OS_SOORTNA;OS_OPPERVL;OG_FOTO_SC;OG_FOTO_01;OG_FOTO_02;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Japanse";20.89;"A4DA8620-DF90-4672-8224-3965E75C2BDE.jpg";"";"";"POINT(4.951521,52.402102)";"POINT(52.402102,4.951521)";4.951521;52.402102;
2;"Japanse";30.41;"B0DFEC2A-5F7A-46A9-9FDD-565A67228E76.jpg";"145AACB2-A9AF-4DAB-81E1-CE203B030D5C.jpg";"";"POINT(4.92024,52.38674)";"POINT(52.38674,4.92024)";4.92024;52.38674;
3;"Japanse";71.61;"BD848D42-C125-45F8-B8B0-A4F62AF215AB.jpg";"";"";"POINT(4.926604,52.386835)";"POINT(52.386835,4.926604)";4.926604;52.386835;
4;"Sachalinse";91.98;"99946B2D-8060-4577-A73D-2E215479ACEB.jpg";"";"";"POINT(4.956584,52.375331)";"POINT(52.375331,4.956584)";4.956584;52.375331;
5;"Japanse";16.23;"4B2F8F16-69F2-4B91-9F55-D900F23592A6.jpg";"";"";"POINT(4.957868,52.370539)";"POINT(52.370539,4.957868)";4.957868;52.370539;
6;"Japanse";52.94;"6AE7BFD9-7550-411C-B1AA-17008DB46E6B.jpg";"";"";"POINT(4.949697,52.366001)";"POINT(52.366001,4.949697)";4.949697;52.366001;
7;"Japanse";117.84;"71F1E4F3-3808-4BCA-9622-70FD045ECBA0.jpg";"";"";"POINT(4.949198,52.366239)";"POINT(52.366239,4.949198)";4.949198;52.366239;
8;"Japanse";49.96;"9820DF20-34A4-41E3-B313-2B7BE8B95462.jpg";"";"";"POINT(4.96561,52.301065)";"POINT(52.301065,4.96561)";4.96561;52.301065;
9;"Japanse";50.04;"0136258E-5392-4AEB-AD39-5E744A8735C3.jpg";"";"";"POINT(4.93668,52.391679)";"POINT(52.391679,4.93668)";4.93668;52.391679;
10;"Japanse";52.14;"4FA7DC15-2427-4245-AA4C-174802F284A0.jpg";"";"";"POINT(4.95095,52.366185)";"POINT(52.366185,4.95095)";4.95095;52.366185;
11;"Japanse";21.16;"A4944E2C-6472-4264-BCAB-E7CCDADF9970.jpg";"";"";"POINT(4.949498,52.374081)";"POINT(52.374081,4.949498)";4.949498;52.374081;
12;"Japanse";13.61;"13F9F408-A529-40BD-927F-05DD3ED79D70.jpg";"";"";"POINT(4.930456,52.349709)";"POINT(52.349709,4.930456)";4.930456;52.349709;
13;"Japanse";109.31;"525FE01F-069F-4AE4-850F-B3248C0C18CA.jpg";"";"";"POINT(4.96306,52.389227)";"POINT(52.389227,4.96306)";4.96306;52.389227;
