OBJECTNUMMER;ABSREL;Stemdistrict;Stemlocatie;Opgeroepenen;Geldig;Blanco;Ongeldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;Verschil_aantal;Verschil_percentage;GROENLINKS;PvdA;D66;VVD;Partij_voor_de_Dieren;Forum_voor_Democratie;VOLT;DENK;SP;CDA;PVV;ChristenUnie_SGP;50PLUS;JEZUS_LEEFT;De_Groenen;vandeRegio_Piratenpartij;_GROENLINKS;_PvdA;_D66;_VVD;_Partij_voor_de_Dieren;_Forum_voor_Democratie;_VOLT;_DENK;_SP;_CDA;_PVV;_ChristenUnie_SGP;_50PLUS;_JEZUS_LEEFT;_De_Groenen;_vandeRegio_Piratenpartij;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
2;"ABS";"003";"Universiteitsbibliotheek Amsterdam";459;649;0;2;141.8;"GROENLINKS";208;0;"D66";96;0;112;0;208;93;96;76;56;18;52;0;12;21;7;2;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8897178,52.3676802)";"POINT(52.3676802,4.8897178)";4.8897178;52.3676802;
3;"REL";"003";"Universiteitsbibliotheek Amsterdam";459;649;0;2;141.8;"GROENLINKS";0;32.0;"D66";0;14.8;0;17.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.0;14.3;14.8;11.7;8.6;2.8;8.0;0;1.8;3.2;1.1;0.3;0.9;0;0.2;0.2;"POINT(4.8897178,52.3676802)";"POINT(52.3676802,4.8897178)";4.8897178;52.3676802;
4;"ABS";"004";"Leger des Heils";1536;704;1;2;46.0;"GROENLINKS";213;0;"PvdA";135;0;78;0;213;135;75;82;57;53;34;1;12;17;6;10;5;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.899359,52.3735434)";"POINT(52.3735434,4.899359)";4.899359;52.3735434;
5;"REL";"004";"Leger des Heils";1536;704;1;2;46.0;"GROENLINKS";0;30.3;"PvdA";0;19.2;0;11.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.3;19.2;10.7;11.6;8.1;7.5;4.8;0.1;1.7;2.4;0.9;1.4;0.7;0;0.3;0.3;"POINT(4.899359,52.3735434)";"POINT(52.3735434,4.899359)";4.899359;52.3735434;
6;"ABS";"005";"Kensho Premium Fitness";905;881;1;5;98.0;"GROENLINKS";247;0;"PvdA";213;0;34;0;247;213;118;77;61;28;40;19;22;17;13;5;13;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9279382,52.3689467)";"POINT(52.3689467,4.9279382)";4.9279382;52.3689467;
7;"REL";"005";"Kensho Premium Fitness";905;881;1;5;98.0;"GROENLINKS";0;28.0;"PvdA";0;24.2;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.0;24.2;13.4;8.7;6.9;3.2;4.5;2.2;2.5;1.9;1.5;0.6;1.5;0;0.6;0.3;"POINT(4.9279382,52.3689467)";"POINT(52.3689467,4.9279382)";4.9279382;52.3689467;
8;"ABS";"006";"OBS De Witte Olifant";1051;848;0;6;81.3;"GROENLINKS";224;0;"PvdA";199;0;25;0;224;199;93;82;72;50;53;1;26;10;14;4;14;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9041812,52.3702742)";"POINT(52.3702742,4.9041812)";4.9041812;52.3702742;
9;"REL";"006";"OBS De Witte Olifant";1051;848;0;6;81.3;"GROENLINKS";0;26.4;"PvdA";0;23.5;0;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.4;23.5;11.0;9.7;8.5;5.9;6.3;0.1;3.1;1.2;1.7;0.5;1.7;0.1;0;0.6;"POINT(4.9041812,52.3702742)";"POINT(52.3702742,4.9041812)";4.9041812;52.3702742;
10;"ABS";"007";"Voormalige Stadstimmertuin";777;607;2;0;78.4;"GROENLINKS";163;0;"PvdA";120;0;43;0;163;120;83;75;46;27;54;3;11;12;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9057028,52.361283)";"POINT(52.361283,4.9057028)";4.9057028;52.361283;
11;"REL";"007";"Voormalige Stadstimmertuin";777;607;2;0;78.4;"GROENLINKS";0;26.9;"PvdA";0;19.8;0;7.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.9;19.8;13.7;12.4;7.6;4.4;8.9;0.5;1.8;2.0;0.8;0.7;0.7;0;0;0;"POINT(4.9057028,52.361283)";"POINT(52.361283,4.9057028)";4.9057028;52.361283;
12;"ABS";"008";"OBS De Witte Olifant";771;579;0;1;75.2;"GROENLINKS";169;0;"PvdA";147;0;22;0;169;147;68;44;44;30;29;1;20;9;5;2;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9026968,52.3730971)";"POINT(52.3730971,4.9026968)";4.9026968;52.3730971;
13;"REL";"008";"OBS De Witte Olifant";771;579;0;1;75.2;"GROENLINKS";0;29.2;"PvdA";0;25.4;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.2;25.4;11.7;7.6;7.6;5.2;5.0;0.2;3.5;1.6;0.9;0.3;1.4;0.2;0.2;0.2;"POINT(4.9026968,52.3730971)";"POINT(52.3730971,4.9026968)";4.9026968;52.3730971;
14;"ABS";"009";"Brandweer Kazerne Hendrik";1225;829;0;7;68.2;"GROENLINKS";245;0;"PvdA";176;0;69;0;245;176;107;99;71;31;37;8;27;11;3;1;8;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8756988,52.3725287)";"POINT(52.3725287,4.8756988)";4.8756988;52.3725287;
15;"REL";"009";"Brandweer Kazerne Hendrik";1225;829;0;7;68.2;"GROENLINKS";0;29.6;"PvdA";0;21.2;0;8.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.6;21.2;12.9;11.9;8.6;3.7;4.5;1.0;3.3;1.3;0.4;0.1;1.0;0;0.6;0;"POINT(4.8756988,52.3725287)";"POINT(52.3725287,4.8756988)";4.8756988;52.3725287;
16;"ABS";"010";"Cultura Nederland";973;531;1;1;54.8;"GROENLINKS";118;0;"PvdA";106;0;12;0;118;106;79;104;38;20;28;0;8;16;7;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8927009,52.3780181)";"POINT(52.3780181,4.8927009)";4.8927009;52.3780181;
17;"REL";"010";"Cultura Nederland";973;531;1;1;54.8;"GROENLINKS";0;22.2;"PvdA";0;20.0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.2;20.0;14.9;19.6;7.2;3.8;5.3;0;1.5;3.0;1.3;0;0.9;0;0.2;0.2;"POINT(4.8927009,52.3780181)";"POINT(52.3780181,4.8927009)";4.8927009;52.3780181;
18;"ABS";"012";"Theo Thijssenschool";1631;1116;1;1;68.5;"GROENLINKS";302;0;"PvdA";298;0;4;0;302;298;98;118;91;50;59;3;31;16;15;7;16;1;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.881108,52.3772132)";"POINT(52.3772132,4.881108)";4.881108;52.3772132;
19;"REL";"012";"Theo Thijssenschool";1631;1116;1;1;68.5;"GROENLINKS";0;27.1;"PvdA";0;26.7;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.1;26.7;8.8;10.6;8.2;4.5;5.3;0.3;2.8;1.4;1.3;0.6;1.4;0.1;0.7;0.3;"POINT(4.881108,52.3772132)";"POINT(52.3772132,4.881108)";4.881108;52.3772132;
20;"ABS";"013";"Korfbalvereniging Swift";1143;927;1;4;81.5;"PvdA";276;0;"GROENLINKS";202;0;74;0;202;276;129;125;70;37;39;0;10;14;10;4;8;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.909754,52.3681838)";"POINT(52.3681838,4.909754)";4.909754;52.3681838;
21;"REL";"013";"Korfbalvereniging Swift";1143;927;1;4;81.5;"PvdA";0;29.8;"GROENLINKS";0;21.8;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.8;29.8;13.9;13.5;7.6;4.0;4.2;0;1.1;1.5;1.1;0.4;0.9;0;0.2;0.1;"POINT(4.909754,52.3681838)";"POINT(52.3681838,4.909754)";4.909754;52.3681838;
22;"ABS";"018";"Jeugdtheater De Krakeling";1422;821;1;0;57.8;"GROENLINKS";201;0;"PvdA";178;0;23;0;201;178;114;109;62;34;51;2;22;20;10;8;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8791168,52.3664214)";"POINT(52.3664214,4.8791168)";4.8791168;52.3664214;
23;"REL";"018";"Jeugdtheater De Krakeling";1422;821;1;0;57.8;"GROENLINKS";0;24.5;"PvdA";0;21.7;0;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.5;21.7;13.9;13.3;7.6;4.1;6.2;0.2;2.7;2.4;1.2;1.0;1.0;0;0.2;0;"POINT(4.8791168,52.3664214)";"POINT(52.3664214,4.8791168)";4.8791168;52.3664214;
24;"ABS";"023";"Motivaction International BV ";881;354;0;3;40.5;"GROENLINKS";103;0;"PvdA";77;0;26;0;103;77;42;38;31;17;13;1;16;6;4;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.876549,52.3752371)";"POINT(52.3752371,4.876549)";4.876549;52.3752371;
25;"REL";"023";"Motivaction International BV ";881;354;0;3;40.5;"GROENLINKS";0;29.1;"PvdA";0;21.8;0;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.1;21.8;11.9;10.7;8.8;4.8;3.7;0.3;4.5;1.7;1.1;0.6;0.6;0;0.3;0.3;"POINT(4.876549,52.3752371)";"POINT(52.3752371,4.876549)";4.876549;52.3752371;
26;"ABS";"024";"Het Claverhuis";791;997;1;5;126.8;"GROENLINKS";258;0;"PvdA";170;0;88;0;258;170;130;151;83;63;65;3;24;20;11;0;13;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.880913,52.3698546)";"POINT(52.3698546,4.880913)";4.880913;52.3698546;
27;"REL";"024";"Het Claverhuis";791;997;1;5;126.8;"GROENLINKS";0;25.9;"PvdA";0;17.1;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.9;17.1;13.0;15.1;8.3;6.3;6.5;0.3;2.4;2.0;1.1;0;1.3;0;0.4;0.2;"POINT(4.880913,52.3698546)";"POINT(52.3698546,4.880913)";4.880913;52.3698546;
28;"ABS";"025";"Huis van de Buurt De Boomsspijker";1229;588;0;3;48.1;"PvdA";159;0;"GROENLINKS";158;0;1;0;158;159;48;38;72;23;35;2;19;14;6;4;6;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9034879,52.3719527)";"POINT(52.3719527,4.9034879)";4.9034879;52.3719527;
29;"REL";"025";"Huis van de Buurt De Boomsspijker";1229;588;0;3;48.1;"PvdA";0;27.0;"GROENLINKS";0;26.9;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.9;27.0;8.2;6.5;12.2;3.9;6.0;0.3;3.2;2.4;1.0;0.7;1.0;0.2;0.2;0.3;"POINT(4.9034879,52.3719527)";"POINT(52.3719527,4.9034879)";4.9034879;52.3719527;
30;"ABS";"028";"Grand Hotel Amrath";744;433;0;1;58.3;"GROENLINKS";118;0;"PvdA";102;0;16;0;118;102;54;46;36;15;34;0;11;7;3;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9038842,52.3746382)";"POINT(52.3746382,4.9038842)";4.9038842;52.3746382;
31;"REL";"028";"Grand Hotel Amrath";744;433;0;1;58.3;"GROENLINKS";0;27.3;"PvdA";0;23.6;0;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.3;23.6;12.5;10.6;8.3;3.5;7.9;0;2.5;1.6;0.7;0.2;1.2;0;0.2;0;"POINT(4.9038842,52.3746382)";"POINT(52.3746382,4.9038842)";4.9038842;52.3746382;
32;"ABS";"031";"Atria Kennisinstituut";856;618;0;1;72.3;"GROENLINKS";131;0;"PvdA";121;0;10;0;131;121;91;119;34;24;51;0;8;28;5;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8928382,52.3657042)";"POINT(52.3657042,4.8928382)";4.8928382;52.3657042;
33;"REL";"031";"Atria Kennisinstituut";856;618;0;1;72.3;"GROENLINKS";0;21.2;"PvdA";0;19.6;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.2;19.6;14.7;19.3;5.5;3.9;8.3;0;1.3;4.5;0.8;0.5;0.3;0;0.2;0;"POINT(4.8928382,52.3657042)";"POINT(52.3657042,4.8928382)";4.8928382;52.3657042;
34;"ABS";"035";"Doopsgezinde Singelkerk";513;394;2;1;77.4;"GROENLINKS";119;0;"PvdA";68;0;51;0;119;68;60;58;17;22;29;0;2;11;3;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8886311,52.3677031)";"POINT(52.3677031,4.8886311)";4.8886311;52.3677031;
35;"REL";"035";"Doopsgezinde Singelkerk";513;394;2;1;77.4;"GROENLINKS";0;30.2;"PvdA";0;17.3;0;12.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.2;17.3;15.2;14.7;4.3;5.6;7.4;0;0.5;2.8;0.8;0.3;0.5;0.3;0.3;0;"POINT(4.8886311,52.3677031)";"POINT(52.3677031,4.8886311)";4.8886311;52.3677031;
36;"ABS";"040";"Het Cromhouthuis";716;603;1;0;84.4;"VVD";133;0;"GROENLINKS";119;0;14;0;119;95;90;133;35;34;56;1;4;20;3;6;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8863308,52.3685271)";"POINT(52.3685271,4.8863308)";4.8863308;52.3685271;
