OBJECTNUMMER;Boom_ID;Prioriteit;Boomhoogte;Mutatiedatum;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"66826855_d31";"bestreden";"18-24 m";"15-06-2020";"POINT(4.833184,52.319985)";"POINT(52.319985,4.833184)";4.833184;52.319985;
2;"66826861_d37";"bestreden";"18-24 m";"15-06-2020";"POINT(4.834012,52.320351)";"POINT(52.320351,4.834012)";4.834012;52.320351;
3;"NAMBO145727_d26";"bestreden";"18-24 m";"15-06-2020";"POINT(4.83308,52.319941)";"POINT(52.319941,4.83308)";4.83308;52.319941;
4;"66826862_d38";"bestreden";"18-24 m";"15-06-2020";"POINT(4.834069,52.320377)";"POINT(52.320377,4.834069)";4.834069;52.320377;
5;"66826856_d32";"bestreden";">24 m";"15-06-2020";"POINT(4.833292,52.320035)";"POINT(52.320035,4.833292)";4.833292;52.320035;
6;"66826858_d34";"bestreden";"18-24 m";"15-06-2020";"POINT(4.8334,52.320074)";"POINT(52.320074,4.8334)";4.8334;52.320074;
7;"66826859_d35";"bestreden";"18-24 m";"15-06-2020";"POINT(4.833514,52.32012)";"POINT(52.32012,4.833514)";4.833514;52.32012;
8;"66826860_d36";"bestreden";"18-24 m";"15-06-2020";"POINT(4.833616,52.320163)";"POINT(52.320163,4.833616)";4.833616;52.320163;
9;"557582";"bestreden";"12-15 m";"15-06-2020";"POINT(4.99491,52.29502)";"POINT(52.29502,4.99491)";4.99491;52.29502;
10;"901441";"bestreden";"6-9 m";"15-06-2020";"POINT(4.991852,52.295905)";"POINT(52.295905,4.991852)";4.991852;52.295905;
11;"557532";"bestreden";"9-12 m";"15-06-2020";"POINT(4.992709,52.295925)";"POINT(52.295925,4.992709)";4.992709;52.295925;
12;"557534";"bestreden";"12-15 m";"15-06-2020";"POINT(4.99257,52.295862)";"POINT(52.295862,4.99257)";4.99257;52.295862;
13;"557604";"bestreden";"9-12 m";"15-06-2020";"POINT(4.995222,52.296014)";"POINT(52.296014,4.995222)";4.995222;52.296014;
14;"557598";"bestreden";"12-15 m";"15-06-2020";"POINT(4.995085,52.295838)";"POINT(52.295838,4.995085)";4.995085;52.295838;
15;"557600";"bestreden";"9-12 m";"15-06-2020";"POINT(4.995225,52.295884)";"POINT(52.295884,4.995225)";4.995225;52.295884;
