OBJECTNUMMER;Regel;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
2;"Fietstaxis toegestaan tussen 7-19 uur";"WEL";"POLYGON((4.885711 52.363904,4.885443 52.363751,4.885399 52.363723,4.885208 52.363619,4.884715 52.363332,4.884601 52.363272,4.884487 52.363206,4.88428 52.363084,4.884257 52.363055,4.884146 52.363101,4.884346 52.363226,4.884768 52.36347,4.884787 52.363458,4.884839 52.363489,4.884835 52.36349,4.884899 52.363533,4.884892 52.36354,4.885019 52.36361,4.885627 52.36396,4.885711 52.363904))";"POLYGON((52.363904 4.885711,52.363751 4.885443,52.363723 4.885399,52.363619 4.885208,52.363332 4.884715,52.363272 4.884601,52.363206 4.884487,52.363084 4.88428,52.363055 4.884257,52.363101 4.884146,52.363226 4.884346,52.36347 4.884768,52.363458 4.884787,52.363489 4.884839,52.36349 4.884835,52.363533 4.884899,52.36354 4.884892,52.36361 4.885019,52.36396 4.885627,52.363904 4.885711))";4.8849337;52.36350125;
3;"Fietstaxis niet toegestaan 24 uur";"NIET";"POLYGON((4.885126 52.363672,4.885019 52.36361,4.88502 52.363621,4.884906 52.363697,4.884902 52.363695,4.883638 52.364549,4.883621 52.364546,4.883222 52.364357,4.884622 52.363384,4.884517 52.363323,4.884518 52.363339,4.883472 52.36407,4.883086 52.363888,4.883084 52.363869,4.883918 52.363259,4.884184 52.363128,4.884146 52.363101,4.88403 52.363103,4.883822 52.363212,4.883357 52.363544,4.883229 52.36347,4.882819 52.363761,4.882691 52.363771,4.882278 52.363826,4.88217 52.363887,4.882474 52.364031,4.882429 52.364066,4.882465 52.36408,4.882474 52.364129,4.882448 52.364148,4.882488 52.364167,4.882443 52.364203,4.882536 52.364247,4.882392 52.364361,4.882299 52.364317,4.882274 52.364338,4.882262 52.364332,4.882038 52.364514,4.88096 52.365323,4.88108 52.365367,4.882274 52.364462,4.882648 52.364642,4.881424 52.365494,4.881536 52.365533,4.883105 52.364437,4.883512 52.364633,4.883515 52.364649,4.883239 52.364825,4.881968 52.365689,4.882089 52.365718,4.882635 52.365346,4.88266 52.365359,4.882879 52.365218,4.882851 52.365202,4.882978 52.365115,4.883009 52.365133,4.883231 52.364992,4.883193 52.364965,4.883618 52.36468,4.88413 52.364926,4.884133 52.364942,4.884279 52.364852,4.884253 52.364853,4.883753 52.36461,4.883751 52.364592,4.885106 52.363672,4.885126 52.363672))";"POLYGON((52.363672 4.885126,52.36361 4.885019,52.363621 4.88502,52.363697 4.884906,52.363695 4.884902,52.364549 4.883638,52.364546 4.883621,52.364357 4.883222,52.363384 4.884622,52.363323 4.884517,52.363339 4.884518,52.36407 4.883472,52.363888 4.883086,52.363869 4.883084,52.363259 4.883918,52.363128 4.884184,52.363101 4.884146,52.363103 4.88403,52.363212 4.883822,52.363544 4.883357,52.36347 4.883229,52.363761 4.882819,52.363771 4.882691,52.363826 4.882278,52.363887 4.88217,52.364031 4.882474,52.364066 4.882429,52.36408 4.882465,52.364129 4.882474,52.364148 4.882448,52.364167 4.882488,52.364203 4.882443,52.364247 4.882536,52.364361 4.882392,52.364317 4.882299,52.364338 4.882274,52.364332 4.882262,52.364514 4.882038,52.365323 4.88096,52.365367 4.88108,52.364462 4.882274,52.364642 4.882648,52.365494 4.881424,52.365533 4.881536,52.364437 4.883105,52.364633 4.883512,52.364649 4.883515,52.364825 4.883239,52.365689 4.881968,52.365718 4.882089,52.365346 4.882635,52.365359 4.88266,52.365218 4.882879,52.365202 4.882851,52.365115 4.882978,52.365133 4.883009,52.364992 4.883231,52.364965 4.883193,52.36468 4.883618,52.364926 4.88413,52.364942 4.884133,52.364852 4.884279,52.364853 4.884253,52.36461 4.883753,52.364592 4.883751,52.363672 4.885106,52.363672 4.885126))";4.88304805;52.3644034;
5;"Fietstaxis niet toegestaan 24 uur";"NIET";"POLYGON((4.885573 52.363361,4.885476 52.363314,4.885125 52.363552,4.885096 52.363552,4.885208 52.363619,4.885207 52.363603,4.885573 52.363361))";"POLYGON((52.363361 4.885573,52.363314 4.885476,52.363552 4.885125,52.363552 4.885096,52.363619 4.885208,52.363603 4.885207,52.363361 4.885573))";4.8853395;52.3634612;
6;"Fietstaxis niet toegestaan 24 uur";"NIET";"POLYGON((4.885032 52.363097,4.884932 52.363049,4.884617 52.363271,4.884601 52.363272,4.884715 52.363332,4.884714 52.363319,4.885032 52.363097))";"POLYGON((52.363097 4.885032,52.363049 4.884932,52.363271 4.884617,52.363272 4.884601,52.363332 4.884715,52.363319 4.884714,52.363097 4.885032))";4.88482165;52.3631827;
12;"Fietstaxis niet toegestaan tussen 20-03 uur";"NIET";"POLYGON((4.894191 52.373025,4.894187 52.373021,4.894187 52.373021,4.894191 52.373025))";"POLYGON((52.373025 4.894191,52.373021 4.894187,52.373021 4.894187,52.373025 4.894191))";4.8941939;52.3730151;
16;"Niet wachten, instappen of uitstappen";"NIET_INUITSTAP";"POLYGON((4.883656 52.374879,4.883713 52.374943,4.883822 52.374907,4.883938 52.375036,4.883840 52.375069,4.883867 52.375099,4.883856 52.375103,4.884440 52.375751,4.884305 52.375794,4.883306 52.374690,4.883278 52.374385,4.883452 52.374381,4.883474 52.374670))";"POLYGON((52.374879 4.883656,52.374943 4.883713,52.374907 4.883822,52.375036 4.883938,52.375069 4.883840,52.375099 4.883867,52.375103 4.883856,52.375751 4.884440,52.375794 4.884305,52.374690 4.883306,52.374385 4.883278,52.374381 4.883452,52.374670 4.883474))";4.8838639;52.37508075;
18;"Wachten, instappen of uitstappen alleen op standplaats";"NIET_INUITSTAP";"POLYGON((4.8821700 52.3638870,4.8822780 52.3638260,4.8826910 52.3637710,4.8828190 52.3637610,4.8832290 52.3634700,4.8833570 52.3635440,4.8838220 52.3632120,4.8840300 52.3631030,4.8841460 52.3631010,4.8842570 52.3630550,4.8841333 52.3630034,4.8837309 52.3627306,4.8835110 52.3626173,4.8830979 52.3631771,4.8830120 52.3633041,4.8826203 52.3636104,4.8825610 52.3636268,4.8825015 52.3636220,4.8817520 52.3632570,4.8815690 52.3631770,4.8811600 52.3634910,4.8810360 52.3634800,4.8809570 52.3635420,4.8810100 52.3636190,4.8811890 52.3636860,4.8818580 52.3639970,4.8819530 52.3639140,4.8819930 52.3639330,4.8820160 52.3639150,4.8820960 52.3639090,4.8821260 52.3639230,4.8821700 52.3638870))";"POLYGON((52.3638870 4.8821700,52.3638260 4.8822780,52.3637710 4.8826910,52.3637610 4.8828190,52.3634700 4.8832290,52.3635440 4.8833570,52.3632120 4.8838220,52.3631030 4.8840300,52.3631010 4.8841460,52.3630550 4.8842570,52.3630034 4.8841333,52.3627306 4.8837309,52.3626173 4.8835110,52.3631771 4.8830979,52.3633041 4.8830120,52.3636104 4.8826203,52.3636268 4.8825610,52.3636220 4.8825015,52.3632570 4.8817520,52.3631770 4.8815690,52.3634910 4.8811600,52.3634800 4.8810360,52.3635420 4.8809570,52.3636190 4.8810100,52.3636860 4.8811890,52.3639970 4.8818580,52.3639140 4.8819530,52.3639330 4.8819930,52.3639150 4.8820160,52.3639090 4.8820960,52.3639230 4.8821260,52.3638870 4.8821700))";4.882612;52.36330015;
19;"Alleen op standplaats en fietstaxis niet toegestaan vr en za 21-04 uur";"NIET";"POLYGON((4.895928 52.366385,4.895863 52.366719,4.895849 52.366827,4.895831 52.366921,4.895727 52.366908,4.895824 52.366395,4.895820 52.366374,4.895805 52.366364,4.895786 52.366357,4.895752 52.366360,4.895720 52.366368,4.895646 52.366245,4.895672 52.366209,4.895603 52.366190,4.895596 52.366181,4.895521 52.366162,4.895616 52.365015,4.895946 52.365015,4.896105 52.365042,4.896025 52.365628,4.897415 52.365813,4.897447 52.365802,4.897727 52.365846,4.897638 52.366091,4.897645 52.366099,4.897671 52.366103,4.897678 52.366177,4.897691 52.366184,4.897733 52.366317,4.897748 52.366418,4.897735 52.366418,4.897719 52.366427,4.897706 52.366426,4.897694 52.366432,4.897690 52.366439,4.897695 52.366447,4.897682 52.366458,4.897682 52.366465,4.897584 52.366461,4.897596 52.366380,4.897386 52.366371,4.897383 52.366393,4.897116 52.366377,4.896996 52.366374,4.896997 52.366420,4.896950 52.366422,4.896951 52.366411,4.896290 52.366379,4.895928 52.366385))";"POLYGON((52.366385 4.895928,52.366719 4.895863,52.366827 4.895849,52.366921 4.895831,52.366908 4.895727,52.366395 4.895824,52.366374 4.895820,52.366364 4.895805,52.366357 4.895786,52.366360 4.895752,52.366368 4.895720,52.366245 4.895646,52.366209 4.895672,52.366190 4.895603,52.366181 4.895596,52.366162 4.895521,52.365015 4.895616,52.365015 4.895946,52.365042 4.896105,52.365628 4.896025,52.365813 4.897415,52.365802 4.897447,52.365846 4.897727,52.366091 4.897638,52.366099 4.897645,52.366103 4.897671,52.366177 4.897678,52.366184 4.897691,52.366317 4.897733,52.366418 4.897748,52.366418 4.897735,52.366427 4.897719,52.366426 4.897706,52.366432 4.897694,52.366439 4.897690,52.366447 4.897695,52.366458 4.897682,52.366465 4.897682,52.366461 4.897584,52.366380 4.897596,52.366371 4.897386,52.366393 4.897383,52.366377 4.897116,52.366374 4.896996,52.366420 4.896997,52.366422 4.896950,52.366411 4.896951,52.366379 4.896290,52.366385 4.895928))";4.8966396;52.3659598;
22;"Niet instappen of uitstappen tussen 8-21u (donderdag 8-23u)";"NIET_INUITSTAP";"POLYGON((4.894657 52.374079,4.895358 52.374645,4.896605 52.375647,4.896794 52.375737,4.898331 52.376844,4.898448 52.376848,4.898072 52.377128,4.898037 52.377105,4.898062 52.377093,4.897887 52.376967,4.897853 52.376985,4.897514 52.376721,4.897355 52.376593,4.896885 52.376243,4.896698 52.376110,4.896287 52.375831,4.896043 52.375645,4.895313 52.375053,4.895106 52.374883,4.895059 52.374881,4.894990 52.374831,4.895014 52.374810,4.894738 52.374601,4.894656 52.374530,4.894156 52.374122,4.894107 52.374076,4.893852 52.373875,4.893709 52.373775,4.893733 52.373750,4.893570 52.373651,4.893534 52.373670,4.893225 52.373470,4.893616 52.373306,4.893863 52.373492,4.893877 52.373479,4.894417 52.373884,4.894411 52.373895))";"POLYGON((52.374079 4.894657,52.374645 4.895358,52.375647 4.896605,52.375737 4.896794,52.376844 4.898331,52.376848 4.898448,52.377128 4.898072,52.377105 4.898037,52.377093 4.898062,52.376967 4.897887,52.376985 4.897853,52.376721 4.897514,52.376593 4.897355,52.376243 4.896885,52.376110 4.896698,52.375831 4.896287,52.375645 4.896043,52.375053 4.895313,52.374883 4.895106,52.374881 4.895059,52.374831 4.894990,52.374810 4.895014,52.374601 4.894738,52.374530 4.894656,52.374122 4.894156,52.374076 4.894107,52.373875 4.893852,52.373775 4.893709,52.373750 4.893733,52.373651 4.893570,52.373670 4.893534,52.373470 4.893225,52.373306 4.893616,52.373492 4.893863,52.373479 4.893877,52.373884 4.894417,52.373895 4.894411))";4.8958416;52.37521045;
23;"Wachten, instappen of uitstappen alleen op standplaats";"NIET_INUITSTAP";"POLYGON((4.891087 52.373820,4.891099 52.373769,4.891122 52.373729,4.891212 52.373690,4.891525 52.373658,4.891717 52.373649,4.891755 52.373659,4.891775 52.373647,4.891837 52.373662,4.891851 52.373649,4.891917 52.373665,4.891904 52.373681,4.891955 52.373684,4.891990 52.373673,4.892284 52.373732,4.892351 52.373713,4.892266 52.373602,4.892481 52.373535,4.892506 52.373552,4.892604 52.373520,4.892621 52.373483,4.893007 52.373343,4.893044 52.373343,4.893233 52.373468,4.893623 52.373302,4.894512 52.372878,4.894275 52.372697,4.894228 52.372651,4.894232 52.372641,4.894202 52.372614,4.894187 52.372622,4.894105 52.372532,4.894018 52.372402,4.893870 52.372440,4.893149 52.372580,4.893110 52.372551,4.893062 52.372348,4.892801 52.372359,4.892789 52.372167,4.892686 52.372172,4.892699 52.372260,4.892718 52.372335,4.892755 52.372642,4.892125 52.372678,4.891952 52.372637,4.891884 52.372672,4.891410 52.372652,4.890884 52.372537,4.890591 52.372533,4.890549 52.373092,4.890245 52.373067,4.890339 52.373291,4.890601 52.373833))";"POLYGON((52.373820 4.891087,52.373769 4.891099,52.373729 4.891122,52.373690 4.891212,52.373658 4.891525,52.373649 4.891717,52.373659 4.891755,52.373647 4.891775,52.373662 4.891837,52.373649 4.891851,52.373665 4.891917,52.373681 4.891904,52.373684 4.891955,52.373673 4.891990,52.373732 4.892284,52.373713 4.892351,52.373602 4.892266,52.373535 4.892481,52.373552 4.892506,52.373520 4.892604,52.373483 4.892621,52.373343 4.893007,52.373343 4.893044,52.373468 4.893233,52.373302 4.893623,52.372878 4.894512,52.372697 4.894275,52.372651 4.894228,52.372641 4.894232,52.372614 4.894202,52.372622 4.894187,52.372532 4.894105,52.372402 4.894018,52.372440 4.893870,52.372580 4.893149,52.372551 4.893110,52.372348 4.893062,52.372359 4.892801,52.372167 4.892789,52.372172 4.892686,52.372260 4.892699,52.372335 4.892718,52.372642 4.892755,52.372678 4.892125,52.372637 4.891952,52.372672 4.891884,52.372652 4.891410,52.372537 4.890884,52.372533 4.890591,52.373092 4.890549,52.373067 4.890245,52.373291 4.890339,52.373833 4.890601))";4.8923836;52.3729922;
