OBJECTNUMMER;Functie;Functie_gecorrigeerd;VOT_ID;Adres;Aantal_adressen;Gebruiksdoel;WOZ_gebruik;Hoofdfunctie;Hoofdfunctie_ID;Gebruiksoppervlakte;Footprint;Oppervlakte_gecorrigeerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"kerk";0;"0363010010902423";"Aakstraat 60";0;"bijeenkomstfunctie";"kerk";"Religie";"R";0;0;0;"POINT(4.91271,52.40757)";"POINT(52.40757,4.91271)";4.91271;52.40757;
2;"kantoor";0;"0363010012111639";"Aalbersestraat 244";0;"kantoorfunctie";"kantoor";"Kantoren";"K";239;0;0;"POINT(4.798443,52.379368)";"POINT(52.379368,4.798443)";4.798443;52.379368;
3;"wijk- / buurtcentrum";0;"0363010000557297";"Aalbersestraat 248A";0;"bijeenkomstfunctie";"wijk- / buurtcentrum";"Wijk / buurtcentrum";"G";347;0;0;"POINT(4.798156,52.379941)";"POINT(52.379941,4.798156)";4.798156;52.379941;
4;"cafetaria / snackbar";0;"0363010000557315";"Aalbersestraat 258";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";76;0;0;"POINT(4.798218,52.380813)";"POINT(52.380813,4.798218)";4.798218;52.380813;
5;"cafetaria / snackbar";0;"0363010000557316";"Aalbersestraat 260";0;"bijeenkomstfunctie";"cafetaria / snackbar";"Horeca";"H";0;0;0;"POINT(4.798217,52.380858)";"POINT(52.380858,4.798217)";4.798217;52.380858;
6;"winkel";0;"0363010001010004";"Aalbersestraat 273";0;"winkelfunctie";"winkel";"Detailhandel";"D";1075;0;0;"POINT(4.797498,52.381942)";"POINT(52.381942,4.797498)";4.797498;52.381942;
7;"winkel";0;"0363010001004477";"Aalbersestraat 275";0;"winkelfunctie";"winkel";"Detailhandel";"D";0;0;0;"POINT(4.797497,52.382014)";"POINT(52.382014,4.797497)";4.797497;52.382014;
8;"winkel";0;"0363010000557349";"Aalbersestraat 276";0;"kantoorfunctie";"winkel";"Detailhandel";"D";139;0;0;"POINT(4.798194,52.381523)";"POINT(52.381523,4.798194)";4.798194;52.381523;
9;"café / bar / restaurant";0;"0363010012097276";"Aalbersestraat 290";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";146;0;0;"POINT(4.798171,52.382143)";"POINT(52.382143,4.798171)";4.798171;52.382143;
10;"kantoor";0;"0363010012117414";"Aalbersestraat 74D";0;"kantoorfunctie";"kantoor";"Kantoren";"K";76;0;0;"POINT(4.798077,52.377065)";"POINT(52.377065,4.798077)";4.798077;52.377065;
