OBJECTNUMMER;LABEL;BlokStraatCode;WON;VZN;WRK;TOTAAL;WON_PERC;VZN_PERC;WRK_PERC;CAT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Wonen 0% - Voorzieningen 100% - Werken 0%";"AA01_00004981";0;8430;0;8430;0;100;0;"VZN";"MULTIPOLYGON(((4.869114 52.39278,4.868984 52.392639,4.868719 52.392638,4.868614 52.392748,4.868763 52.392811,4.868858 52.392833,4.869064 52.392832,4.869114 52.39278)),((4.868542 52.39256,4.8685 52.392515,4.868444 52.392515,4.868486 52.392472,4.868414 52.392393,4.868267 52.392393,4.868192 52.392471,4.868232 52.392512,4.868294 52.392485,4.868439 52.392607,4.868508 52.392599,4.868482 52.392588,4.868542 52.39256)))";"MULTIPOLYGON(((52.39278 4.869114,52.392639 4.868984,52.392638 4.868719,52.392748 4.868614,52.392811 4.868763,52.392833 4.868858,52.392832 4.869064,52.39278 4.869114)),((52.39256 4.868542,52.392515 4.8685,52.392515 4.868444,52.392472 4.868486,52.392393 4.868414,52.392393 4.868267,52.392471 4.868192,52.392512 4.868232,52.392485 4.868294,52.392607 4.868439,52.392599 4.868508,52.392588 4.868482,52.39256 4.868542)))";4.868658;52.392606;
2;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004738";1606;0;0;1606;100;0;0;"WON";"POLYGON((4.87245 52.392705,4.87245 52.392716,4.872481 52.392716,4.872523 52.392761,4.872596 52.392761,4.872594 52.392704,4.872573 52.392225,4.872572 52.392209,4.872547 52.392184,4.872469 52.392185,4.872421 52.392185,4.872397 52.39221,4.872475 52.392278,4.872455 52.3923,4.872472 52.392319,4.872439 52.392354,4.872476 52.392394,4.872453 52.392417,4.872478 52.392444,4.872453 52.392471,4.872482 52.392503,4.872452 52.392534,4.872466 52.39255,4.872437 52.392566,4.872456 52.392599,4.87245 52.392705))";"POLYGON((52.392705 4.87245,52.392716 4.87245,52.392716 4.872481,52.392761 4.872523,52.392761 4.872596,52.392704 4.872594,52.392225 4.872573,52.392209 4.872572,52.392184 4.872547,52.392185 4.872469,52.392185 4.872421,52.39221 4.872397,52.392278 4.872475,52.3923 4.872455,52.392319 4.872472,52.392354 4.872439,52.392394 4.872476,52.392417 4.872453,52.392444 4.872478,52.392471 4.872453,52.392503 4.872482,52.392534 4.872452,52.39255 4.872466,52.392566 4.872437,52.392599 4.872456,52.392705 4.87245))";4.8725015;52.3924655;
3;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004944";1743;0;0;1743;100;0;0;"WON";"MULTIPOLYGON(((4.872188 52.392497,4.872156 52.392462,4.872175 52.392371,4.872146 52.39234,4.872174 52.39231,4.872148 52.392278,4.872168 52.39219,4.872042 52.392192,4.872056 52.392492,4.871531 52.3925,4.871502 52.392467,4.871492 52.392249,4.871362 52.392251,4.871395 52.392336,4.871412 52.392484,4.871395 52.392503,4.871415 52.392524,4.871501 52.392529,4.871502 52.392587,4.871746 52.392569,4.871767 52.392546,4.871793 52.392575,4.871934 52.39257,4.871972 52.39258,4.872064 52.392564,4.872061 52.392521,4.872188 52.392497)),((4.872573 52.392225,4.872572 52.392183,4.872469 52.392185,4.872434 52.392185,4.87247 52.392239,4.872573 52.392225)))";"MULTIPOLYGON(((52.392497 4.872188,52.392462 4.872156,52.392371 4.872175,52.39234 4.872146,52.39231 4.872174,52.392278 4.872148,52.39219 4.872168,52.392192 4.872042,52.392492 4.872056,52.3925 4.871531,52.392467 4.871502,52.392249 4.871492,52.392251 4.871362,52.392336 4.871395,52.392484 4.871412,52.392503 4.871395,52.392524 4.871415,52.392529 4.871501,52.392587 4.871502,52.392569 4.871746,52.392546 4.871767,52.392575 4.871793,52.39257 4.871934,52.39258 4.871972,52.392564 4.872064,52.392521 4.872061,52.392497 4.872188)),((52.392225 4.872573,52.392183 4.872572,52.392185 4.872469,52.392185 4.872434,52.392239 4.87247,52.392225 4.872573)))";4.8719725;52.392378;
4;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004945";1562;0;0;1562;100;0;0;"WON";"MULTIPOLYGON(((4.871072 52.392794,4.871113 52.392753,4.871066 52.392704,4.871046 52.392683,4.87108 52.392656,4.871079 52.392614,4.87099 52.392415,4.871048 52.392339,4.871038 52.392319,4.871074 52.39225,4.871031 52.392194,4.870956 52.392193,4.870849 52.392418,4.870996 52.392799,4.871068 52.3928,4.871072 52.392794)),((4.871134 52.392133,4.871127 52.392126,4.871091 52.392086,4.871004 52.392086,4.870986 52.392123,4.870974 52.39215,4.871002 52.392179,4.87109 52.39218,4.871134 52.392133)))";"MULTIPOLYGON(((52.392794 4.871072,52.392753 4.871113,52.392704 4.871066,52.392683 4.871046,52.392656 4.87108,52.392614 4.871079,52.392415 4.87099,52.392339 4.871048,52.392319 4.871038,52.39225 4.871074,52.392194 4.871031,52.392193 4.870956,52.392418 4.870849,52.392799 4.870996,52.3928 4.871068,52.392794 4.871072)),((52.392133 4.871134,52.392126 4.871127,52.392086 4.871091,52.392086 4.871004,52.392123 4.870986,52.39215 4.870974,52.392179 4.871002,52.39218 4.87109,52.392133 4.871134)))";4.8709965;52.392436;
5;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA02_00004981";3000;0;0;3000;100;0;0;"WON";"MULTIPOLYGON(((4.87098 52.392743,4.871024 52.39279,4.871068 52.392791,4.871072 52.392794,4.871094 52.39281,4.871755 52.392799,4.871791 52.392765,4.871742 52.392703,4.871599 52.392716,4.871546 52.392704,4.871436 52.392718,4.871279 52.392709,4.871163 52.392723,4.871066 52.392704,4.871025 52.392697,4.87098 52.392743)),((4.871791 52.392765,4.871833 52.392798,4.872597 52.392787,4.872594 52.392704,4.87245 52.392705,4.872419 52.392705,4.872403 52.392722,4.872387 52.392706,4.872288 52.392693,4.87215 52.392709,4.872034 52.392696,4.871933 52.392713,4.871845 52.392701,4.871791 52.392765)))";"MULTIPOLYGON(((52.392743 4.87098,52.39279 4.871024,52.392791 4.871068,52.392794 4.871072,52.39281 4.871094,52.392799 4.871755,52.392765 4.871791,52.392703 4.871742,52.392716 4.871599,52.392704 4.871546,52.392718 4.871436,52.392709 4.871279,52.392723 4.871163,52.392704 4.871066,52.392697 4.871025,52.392743 4.87098)),((52.392765 4.871791,52.392798 4.871833,52.392787 4.872597,52.392704 4.872594,52.392705 4.87245,52.392705 4.872419,52.392722 4.872403,52.392706 4.872387,52.392693 4.872288,52.392709 4.87215,52.392696 4.872034,52.392713 4.871933,52.392701 4.871845,52.392765 4.871791)))";4.8717935;52.3927445;
6;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA03_00004944";865;0;0;865;100;0;0;"WON";"POLYGON((4.871628 52.391841,4.871516 52.391812,4.87149 52.391838,4.871415 52.391972,4.8714 52.392035,4.871417 52.392054,4.871385 52.392089,4.871402 52.392107,4.871359 52.392173,4.87137 52.392197,4.87152 52.392194,4.871517 52.392081,4.87156 52.391948,4.871628 52.391841))";"POLYGON((52.391841 4.871628,52.391812 4.871516,52.391838 4.87149,52.391972 4.871415,52.392035 4.8714,52.392054 4.871417,52.392089 4.871385,52.392107 4.871402,52.392173 4.871359,52.392197 4.87137,52.392194 4.87152,52.392081 4.871517,52.391948 4.87156,52.391841 4.871628))";4.8714985;52.3919975;
7;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA03_00004945";1203;0;0;1203;100;0;0;"WON";"MULTIPOLYGON(((4.8713 52.391782,4.871257 52.391736,4.871168 52.391736,4.871083 52.391917,4.871113 52.391937,4.87121 52.391946,4.87127 52.391857,4.871244 52.39183,4.8713 52.391782)),((4.871357 52.391655,4.871349 52.391646,4.871317 52.391611,4.871229 52.39161,4.871226 52.391616,4.871191 52.391683,4.871213 52.391722,4.871301 52.391722,4.871357 52.391655)),((4.870986 52.392123,4.871127 52.392126,4.871133 52.392126,4.87119 52.392032,4.871195 52.391986,4.87118 52.39197,4.871067 52.391951,4.870986 52.392123)))";"MULTIPOLYGON(((52.391782 4.8713,52.391736 4.871257,52.391736 4.871168,52.391917 4.871083,52.391937 4.871113,52.391946 4.87121,52.391857 4.87127,52.39183 4.871244,52.391782 4.8713)),((52.391655 4.871357,52.391646 4.871349,52.391611 4.871317,52.39161 4.871229,52.391616 4.871226,52.391683 4.871191,52.391722 4.871213,52.391722 4.871301,52.391655 4.871357)),((52.392123 4.870986,52.392126 4.871127,52.392126 4.871133,52.392032 4.87119,52.391986 4.871195,52.39197 4.87118,52.391951 4.871067,52.392123 4.870986)))";4.8711765;52.391861;
8;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA04_00004944";1180;0;0;1180;100;0;0;"WON";"POLYGON((4.872071 52.39118,4.872074 52.391177,4.872057 52.391156,4.87199 52.391155,4.871968 52.391155,4.87185 52.391264,4.871536 52.391748,4.8716 52.391775,4.871632 52.391784,4.871989 52.391252,4.872071 52.39118))";"POLYGON((52.39118 4.872071,52.391177 4.872074,52.391156 4.872057,52.391155 4.87199,52.391155 4.871968,52.391264 4.87185,52.391748 4.871536,52.391775 4.8716,52.391784 4.871632,52.391252 4.871989,52.39118 4.872071))";4.87181;52.3914625;
9;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA04_00004945";1559;0;0;1559;100;0;0;"WON";"POLYGON((4.871226 52.391616,4.871258 52.39165,4.871346 52.39165,4.871349 52.391646,4.871393 52.391589,4.871408 52.391558,4.871388 52.391534,4.871454 52.39146,4.871483 52.391361,4.871512 52.391331,4.871482 52.391297,4.871511 52.391292,4.871547 52.391225,4.871669 52.391255,4.871746 52.391188,4.871613 52.391155,4.871528 52.391162,4.871443 52.391138,4.871224 52.391614,4.871226 52.391616))";"POLYGON((52.391616 4.871226,52.39165 4.871258,52.39165 4.871346,52.391646 4.871349,52.391589 4.871393,52.391558 4.871408,52.391534 4.871388,52.39146 4.871454,52.391361 4.871483,52.391331 4.871512,52.391297 4.871482,52.391292 4.871511,52.391225 4.871547,52.391255 4.871669,52.391188 4.871746,52.391155 4.871613,52.391162 4.871528,52.391138 4.871443,52.391614 4.871224,52.391616 4.871226))";4.87149;52.391387;
10;"Wonen 100% - Voorzieningen 0% - Werken 0%";"AA05_00003371";613;0;0;613;100;0;0;"WON";"MULTIPOLYGON(((4.872565 52.390642,4.872683 52.390749,4.872638 52.390768,4.872689 52.39081,4.872794 52.390752,4.872664 52.390595,4.872637 52.390598,4.872633 52.390599,4.872582 52.390556,4.872534 52.390555,4.872489 52.390602,4.872531 52.390648,4.872558 52.390636,4.872565 52.390642)),((4.872598 52.390837,4.872535 52.390798,4.872443 52.390861,4.872553 52.390889,4.872598 52.390837)))";"MULTIPOLYGON(((52.390642 4.872565,52.390749 4.872683,52.390768 4.872638,52.39081 4.872689,52.390752 4.872794,52.390595 4.872664,52.390598 4.872637,52.390599 4.872633,52.390556 4.872582,52.390555 4.872534,52.390602 4.872489,52.390648 4.872531,52.390636 4.872558,52.390642 4.872565)),((52.390837 4.872598,52.390798 4.872535,52.390861 4.872443,52.390889 4.872553,52.390837 4.872598)))";4.8726235;52.390715;
