OBJECTNUMMER;SELECTIE;KLASSE;SOORT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
8000;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.846595 52.338188,4.846617 52.338188,4.846436 52.338108,4.846683 52.338099,4.847012 52.338156,4.847 52.33819,4.847605 52.338192,4.84702 52.338154,4.846683 52.338097,4.84641 52.338106,4.846595 52.338188))";"POLYGON((52.338188 4.846595,52.338188 4.846617,52.338108 4.846436,52.338099 4.846683,52.338156 4.847012,52.33819 4.847,52.338192 4.847605,52.338154 4.84702,52.338097 4.846683,52.338106 4.84641,52.338188 4.846595))";4.8470125;52.3381375;
8001;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.848187 52.338244,4.848181 52.338238,4.847838 52.338209,4.847605 52.338192,4.847 52.33819,4.846984 52.338235,4.84666 52.338207,4.846617 52.338188,4.846595 52.338188,4.846657 52.338215,4.847017 52.338246,4.847025 52.338226,4.847049 52.338242,4.847282 52.338268,4.847407 52.338291,4.847675 52.338363,4.847913 52.338387,4.84804 52.338377,4.848175 52.338353,4.848156 52.338333,4.848128 52.338327,4.848187 52.338244))";"POLYGON((52.338244 4.848187,52.338238 4.848181,52.338209 4.847838,52.338192 4.847605,52.33819 4.847,52.338235 4.846984,52.338207 4.84666,52.338188 4.846617,52.338188 4.846595,52.338215 4.846657,52.338246 4.847017,52.338226 4.847025,52.338242 4.847049,52.338268 4.847282,52.338291 4.847407,52.338363 4.847675,52.338387 4.847913,52.338377 4.84804,52.338353 4.848175,52.338333 4.848156,52.338327 4.848128,52.338244 4.848187))";4.847396;52.3382805;
8002;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((5.051387 52.412992,5.051368 52.412971,5.051169 52.412857,5.051176 52.412852,5.051175 52.412847,5.05114 52.412832,5.050925 52.412653,5.050737 52.412462,5.050695 52.412433,5.050612 52.412338,5.050561 52.412265,5.050559 52.412256,5.050416 52.4121,5.050383 52.412068,5.050208 52.411871,5.050201 52.411851,5.050065 52.411693,5.050038 52.411673,5.049908 52.411515,5.049864 52.411474,5.049347 52.410879,5.049244 52.410867,5.04949 52.411161,5.049502 52.411167,5.049508 52.411153,5.049622 52.411286,5.049607 52.411289,5.049605 52.411292,5.049788 52.411499,5.049893 52.411515,5.049906 52.411529,5.049959 52.411705,5.050074 52.41184,5.050131 52.411897,5.050202 52.411941,5.050257 52.411999,5.050274 52.412024,5.050315 52.412116,5.050338 52.412103,5.050473 52.412253,5.050451 52.412252,5.050439 52.412254,5.050483 52.412291,5.050532 52.412347,5.050558 52.412386,5.05056 52.412416,5.050637 52.412464,5.050659 52.412489,5.050675 52.412521,5.050816 52.412663,5.050853 52.412682,5.050926 52.412747,5.050932 52.412743,5.050935 52.412729,5.051079 52.412849,5.051059 52.412858,5.051356 52.413052,5.051366 52.413039,5.051387 52.412992))";"POLYGON((52.412992 5.051387,52.412971 5.051368,52.412857 5.051169,52.412852 5.051176,52.412847 5.051175,52.412832 5.05114,52.412653 5.050925,52.412462 5.050737,52.412433 5.050695,52.412338 5.050612,52.412265 5.050561,52.412256 5.050559,52.4121 5.050416,52.412068 5.050383,52.411871 5.050208,52.411851 5.050201,52.411693 5.050065,52.411673 5.050038,52.411515 5.049908,52.411474 5.049864,52.410879 5.049347,52.410867 5.049244,52.411161 5.04949,52.411167 5.049502,52.411153 5.049508,52.411286 5.049622,52.411289 5.049607,52.411292 5.049605,52.411499 5.049788,52.411515 5.049893,52.411529 5.049906,52.411705 5.049959,52.41184 5.050074,52.411897 5.050131,52.411941 5.050202,52.411999 5.050257,52.412024 5.050274,52.412116 5.050315,52.412103 5.050338,52.412253 5.050473,52.412252 5.050451,52.412254 5.050439,52.412291 5.050483,52.412347 5.050532,52.412386 5.050558,52.412416 5.05056,52.412464 5.050637,52.412489 5.050659,52.412521 5.050675,52.412663 5.050816,52.412682 5.050853,52.412747 5.050926,52.412743 5.050932,52.412729 5.050935,52.412849 5.051079,52.412858 5.051059,52.413052 5.051356,52.413039 5.051366,52.412992 5.051387))";5.0503205;52.4119525;
8003;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.951971 52.300215,4.951879 52.300182,4.951872 52.300164,4.951946 52.300082,4.951866 52.300041,4.95179 52.30001,4.951714 52.299986,4.951608 52.299956,4.951463 52.299998,4.951406 52.300049,4.951176 52.300197,4.951424 52.300333,4.951683 52.300358,4.95179 52.300345,4.951971 52.300215),(4.951791 52.300247,4.951552 52.300276,4.951424 52.300264,4.951302 52.300197,4.951415 52.300125,4.951517 52.300037,4.951539 52.300031,4.951783 52.30011,4.951813 52.300123,4.951798 52.300138,4.951821 52.300194,4.951851 52.300205,4.951791 52.300247))";"POLYGON((52.300215 4.951971,52.300182 4.951879,52.300164 4.951872,52.300082 4.951946,52.300041 4.951866,52.30001 4.95179,52.299986 4.951714,52.299956 4.951608,52.299998 4.951463,52.300049 4.951406,52.300197 4.951176,52.300333 4.951424,52.300358 4.951683,52.300345 4.95179,52.300215 4.951971),(52.300247 4.951791,52.300276 4.951552,52.300264 4.951424,52.300197 4.951302,52.300125 4.951415,52.300037 4.951517,52.300031 4.951539,52.30011 4.951783,52.300123 4.951813,52.300138 4.951798,52.300194 4.951821,52.300205 4.951851,52.300247 4.951791))";4.9515785;52.30015;
8004;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((5.017077 52.417448,5.017077 52.417443,5.016991 52.417362,5.01691 52.417344,5.016906 52.417347,5.016906 52.417355,5.016683 52.417305,5.016684 52.417302,5.016639 52.417297,5.016419 52.417253,5.016288 52.417232,5.016114 52.417239,5.016031 52.417223,5.015936 52.417167,5.015609 52.417097,5.015052 52.416894,5.014978 52.416866,5.014954 52.416853,5.014945 52.416863,5.014763 52.416792,5.014772 52.416788,5.014772 52.416783,5.014442 52.416662,5.014221 52.416576,5.014286 52.416695,5.014582 52.41681,5.0146 52.416812,5.014912 52.41693,5.014944 52.416952,5.014948 52.41695,5.015133 52.417021,5.015134 52.417025,5.015266 52.417053,5.015454 52.417121,5.015542 52.417162,5.015606 52.417184,5.015615 52.417182,5.015618 52.417176,5.015608 52.417099,5.015831 52.417219,5.015825 52.417225,5.015826 52.417229,5.015901 52.417238,5.01597 52.417252,5.016013 52.417264,5.016023 52.417272,5.016052 52.417282,5.016091 52.417277,5.016149 52.417284,5.016254 52.417301,5.016399 52.417263,5.01642 52.417261,5.016606 52.417364,5.016669 52.417386,5.016676 52.417383,5.016914 52.41743,5.016959 52.417428,5.017071 52.41745,5.017077 52.417448))";"POLYGON((52.417448 5.017077,52.417443 5.017077,52.417362 5.016991,52.417344 5.01691,52.417347 5.016906,52.417355 5.016906,52.417305 5.016683,52.417302 5.016684,52.417297 5.016639,52.417253 5.016419,52.417232 5.016288,52.417239 5.016114,52.417223 5.016031,52.417167 5.015936,52.417097 5.015609,52.416894 5.015052,52.416866 5.014978,52.416853 5.014954,52.416863 5.014945,52.416792 5.014763,52.416788 5.014772,52.416783 5.014772,52.416662 5.014442,52.416576 5.014221,52.416695 5.014286,52.41681 5.014582,52.416812 5.0146,52.41693 5.014912,52.416952 5.014944,52.41695 5.014948,52.417021 5.015133,52.417025 5.015134,52.417053 5.015266,52.417121 5.015454,52.417162 5.015542,52.417184 5.015606,52.417182 5.015615,52.417176 5.015618,52.417099 5.015608,52.417219 5.015831,52.417225 5.015825,52.417229 5.015826,52.417238 5.015901,52.417252 5.01597,52.417264 5.016013,52.417272 5.016023,52.417282 5.016052,52.417277 5.016091,52.417284 5.016149,52.417301 5.016254,52.417263 5.016399,52.417261 5.01642,52.417364 5.016606,52.417386 5.016669,52.417383 5.016676,52.41743 5.016914,52.417428 5.016959,52.41745 5.017071,52.417448 5.017077))";5.015654;52.417006;
8005;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.975653 52.41482,4.975652 52.414937,4.97597 52.415061,4.975972 52.415056,4.975893 52.414925,4.975807 52.414881,4.975653 52.41482))";"POLYGON((52.41482 4.975653,52.414937 4.975652,52.415061 4.97597,52.415056 4.975972,52.414925 4.975893,52.414881 4.975807,52.41482 4.975653))";4.975817;52.4149335;
8006;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.975652 52.414937,4.975653 52.41482,4.97559 52.414801,4.974987 52.414544,4.974937 52.414507,4.974774 52.414437,4.974684 52.414417,4.974387 52.414286,4.974218 52.414219,4.974214 52.414222,4.974297 52.414364,4.97439 52.414411,4.974556 52.414481,4.974595 52.414488,4.974903 52.414619,4.974923 52.414632,4.974929 52.414628,4.975014 52.414664,4.975008 52.414666,4.975009 52.414668,4.975206 52.414745,4.975258 52.414787,4.975428 52.414859,4.975515 52.414876,4.975553 52.414896,4.975652 52.414937))";"POLYGON((52.414937 4.975652,52.41482 4.975653,52.414801 4.97559,52.414544 4.974987,52.414507 4.974937,52.414437 4.974774,52.414417 4.974684,52.414286 4.974387,52.414219 4.974218,52.414222 4.974214,52.414364 4.974297,52.414411 4.97439,52.414481 4.974556,52.414488 4.974595,52.414619 4.974903,52.414632 4.974923,52.414628 4.974929,52.414664 4.975014,52.414666 4.975008,52.414668 4.975009,52.414745 4.975206,52.414787 4.975258,52.414859 4.975428,52.414876 4.975515,52.414896 4.975553,52.414937 4.975652))";4.9749385;52.414571;
8007;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.974847 52.380945,4.9745 52.380753,4.974196 52.380757,4.974189 52.380943,4.974497 52.381133,4.974829 52.381148,4.974847 52.380945),(4.974762 52.381107,4.974497 52.381095,4.974252 52.380943,4.974258 52.380796,4.9745 52.380792,4.974776 52.380945,4.974762 52.381107))";"POLYGON((52.380945 4.974847,52.380753 4.9745,52.380757 4.974196,52.380943 4.974189,52.381133 4.974497,52.381148 4.974829,52.380945 4.974847),(52.381107 4.974762,52.381095 4.974497,52.380943 4.974252,52.380796 4.974258,52.380792 4.9745,52.380945 4.974776,52.381107 4.974762))";4.974523;52.3809435;
8008;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.95898 52.300225,4.958878 52.300075,4.958949 52.3,4.958758 52.299903,4.958645 52.29993,4.958606 52.299999,4.958501 52.300067,4.958419 52.300223,4.958753 52.3004,4.958973 52.30036,4.95898 52.300225))";"POLYGON((52.300225 4.95898,52.300075 4.958878,52.3 4.958949,52.299903 4.958758,52.29993 4.958645,52.299999 4.958606,52.300067 4.958501,52.300223 4.958419,52.3004 4.958753,52.30036 4.958973,52.300225 4.95898))";4.9587045;52.3001445;
8009;50;"50-55 dB";"WEGTRAM_NIGHT";"POLYGON((4.832803 52.340079,4.832783 52.339922,4.832549 52.339809,4.832185 52.339622,4.831951 52.339549,4.832005 52.339693,4.832182 52.339828,4.832291 52.339919,4.832546 52.340103,4.832803 52.340079))";"POLYGON((52.340079 4.832803,52.339922 4.832783,52.339809 4.832549,52.339622 4.832185,52.339549 4.831951,52.339693 4.832005,52.339828 4.832182,52.339919 4.832291,52.340103 4.832546,52.340079 4.832803))";4.832382;52.339819;
