OBJECTNUMMER;ABSREL;Stemlocatie;Stembureau;Opgeroepenen;Geldig;Blanco;Ongeldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__D66;_2__PvdA;_3__VVD;_4__SP;_5__GroenLinks;_6__Partij_voor_de_Dieren;_7__CDA;_8__Partij_van_de_Ouderen;_9__DENK;_14__Forum_voor_Democratie;_19__ChristenUnie;_20__BIJ1;_Overige_partijen;__1__D66;__2__PvdA;__3__VVD;__4__SP;__5__GroenLinks;__6__Partij_voor_de_Dieren;__7__CDA;__8__Partij_van_de_Ouderen;__9__DENK;__14__Forum_voor_Democratie;__19__ChristenUnie;__20__BIJ1;__Overige_partijen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"ABS";"Apollohal";"224";1158;842;5;2;73.3;"VVD";183;0;"CDA";181;0;143;98;183;17;107;36;181;8;3;49;5;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.883792,52.348635)";"POINT(52.348635,4.883792)";4.883792;52.348635;
2;"REL";"Apollohal";"224";1158;842;5;2;73.3;"VVD";0;21.7;"CDA";0;21.5;0;0;0;0;0;0;0;0;0;0;0;0;0;17.0;11.6;21.7;2.0;12.7;4.3;21.5;1.0;0.4;5.8;0.6;0.4;1.1;"POINT(4.883792,52.348635)";"POINT(52.348635,4.883792)";4.883792;52.348635;
3;"ABS";"Gymzaal bij school De Ark";"295+296";2733;1345;10;7;49.8;"VVD";220;0;"CDA";197;0;193;131;220;74;168;80;197;28;25;132;29;5;63;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.87474,52.32663)";"POINT(52.32663,4.87474)";4.87474;52.32663;
4;"REL";"Gymzaal bij school De Ark";"295+296";2733;1345;10;7;49.8;"VVD";0;16.4;"CDA";0;14.6;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3;9.7;16.4;5.5;12.5;5.9;14.6;2.1;1.9;9.8;2.2;0.4;4.7;"POINT(4.87474,52.32663)";"POINT(52.32663,4.87474)";4.87474;52.32663;
5;"ABS";"Menno Simonszhuis/Dynamo";"297";941;565;0;2;60.3;"VVD";103;0;"CDA";101;0;50;66;103;27;61;32;101;16;2;60;12;4;31;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.866509,52.326801)";"POINT(52.326801,4.866509)";4.866509;52.326801;
6;"REL";"Menno Simonszhuis/Dynamo";"297";941;565;0;2;60.3;"VVD";0;18.2;"CDA";0;17.9;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;11.7;18.2;4.8;10.8;5.7;17.9;2.8;0.4;10.6;2.1;0.7;5.5;"POINT(4.866509,52.326801)";"POINT(52.326801,4.866509)";4.866509;52.326801;
7;"ABS";"NH Amsterdam Zuid";"289";1541;800;3;8;52.6;"VVD";185;0;"CDA";111;0;99;82;185;26;99;31;111;20;2;83;16;7;39;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.880035,52.326671)";"POINT(52.326671,4.880035)";4.880035;52.326671;
8;"REL";"NH Amsterdam Zuid";"289";1541;800;3;8;52.6;"VVD";0;23.1;"CDA";0;13.9;0;0;0;0;0;0;0;0;0;0;0;0;0;12.4;10.2;23.1;3.2;12.4;3.9;13.9;2.5;0.2;10.4;2.0;0.9;4.9;"POINT(4.880035,52.326671)";"POINT(52.326671,4.880035)";4.880035;52.326671;
9;"ABS";"Woonzorgcentrum Buitenveldert";"299";1179;619;6;2;53.2;"VVD";157;0;"CDA";110;0;85;57;157;19;64;28;110;13;5;61;2;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.861362,52.322895)";"POINT(52.322895,4.861362)";4.861362;52.322895;
10;"REL";"Woonzorgcentrum Buitenveldert";"299";1179;619;6;2;53.2;"VVD";0;25.4;"CDA";0;17.8;0;0;0;0;0;0;0;0;0;0;0;0;0;13.7;9.2;25.4;3.1;10.3;4.5;17.8;2.1;0.8;9.9;0.3;0.3;2.6;"POINT(4.861362,52.322895)";"POINT(52.322895,4.861362)";4.861362;52.322895;
