OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;201;"Middenweg";"Sedumdak";2012;80;"Oost";"middenweg_94.jpg";"SEDUMDAK";"POINT(4.9362948,52.3497931)";"POINT(52.3497931,4.9362948)";4.9362948;52.3497931;
2;202;"Middenweg";"Sedumdak";2012;80;"Oost";"middenweg_98.jpg";"SEDUMDAK";"POINT(4.9364049,52.3496939)";"POINT(52.3496939,4.9364049)";4.9364049;52.3496939;
3;203;"Middenweg";"Sedumdak";2012;80;"Oost";"middenweg_100.jpg";"SEDUMDAK";"POINT(4.936485,52.3496939)";"POINT(52.3496939,4.936485)";4.936485;52.3496939;
4;204;"Nieuwe Doelenstraat";"Sedumdak";2012;83;"Centrum";"nieuwe_doelenstraat.jpg";"SEDUMDAK";"POINT(4.8945048,52.3675925)";"POINT(52.3675925,4.8945048)";4.8945048;52.3675925;
5;205;"Soetendaal";"Solar-sedumdak";2012;72;"Zuid";"soetendaal.jpg";"";"SOLARSEDUM";"POINT(4.8630159,52.3255354)";"POINT(52.3255354,4.8630159)";4.8630159;52.3255354;
6;10;"Spaarndammerstraat 107-113f";"Sedumdak";2005;"Centrum";"Kromhout-20050630.jpg";"SEDUMDAK";"POINT(4.8782952,52.3903929)";"POINT(52.3903929,4.8782952)";4.8782952;52.3903929;
7;33;"Kinderboerderij Westerpark";"Sedumdak";"West";"SEDUMDAK";"POINT(4.8652651,52.3873946)";"POINT(52.3873946,4.8652651)";4.8652651;52.3873946;
8;3;"Prinseneiland 36";"Sedumdak";"Centrum";"SEDUMDAK";"POINT(4.8875349,52.384793)";"POINT(52.384793,4.8875349)";4.8875349;52.384793;
9;40;"Brouwersgracht 160";"Sedumdak";"Centrum";"Aanleg Ecodaken 023Brouwersgracht 160.jpg";"SEDUMDAK";"POINT(4.889025,52.3804938)";"POINT(52.3804938,4.889025)";4.889025;52.3804938;
10;16;"Westerstraat/Tichelstraat";"Daktuin";"Centrum";"DAKTUIN";"POINT(4.8811052,52.3781935)";"POINT(52.3781935,4.8811052)";4.8811052;52.3781935;
