OBJECTNUMMER;Naam;Hoofdgroep;Functie;Foto;Website;Opmerking;Begin;Eind;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
3;"Oude Kerk 1306";"Religie";"Kerk";"Oude kerk.jpg";"";"Bron: Cornelis Anthonisz 1544";1306;0;"RELIGIE";"POINT(4.89799,52.3743064)";"POINT(52.3743064,4.89799)";4.89799;52.3743064;
4;"Windmolenzijdepoorthuis 1300-1380";"Militair";"Poort";"";"";"";1300;1380;"MILITAIR";"POINT(4.8967359,52.3770453)";"POINT(52.3770453,4.8967359)";4.8967359;52.3770453;
5;"Haarlemmerpoort 1425-1579";"Militair";"Poort";"Haarlemmerpoort.jpg";"";"Bron: Cornelis Anthonisz 1544";1425;1579;"MILITAIR";"POINT(4.8946922,52.3789069)";"POINT(52.3789069,4.8946922)";4.8946922;52.3789069;
6;"Bindwijkerpoort 1340-1425";"Militair";"Poort";"";"";"";1340;1425;"MILITAIR";"POINT(4.8910301,52.3689658)";"POINT(52.3689658,4.8910301)";4.8910301;52.3689658;
7;"Heiligewegspoort 1425-1610";"Militair";"Poort";"Heiligewegspoort1544.jpg";"";"Bron: Cornelis Anthonisz 1544";1425;1610;"MILITAIR";"POINT(4.8899562,52.3673407)";"POINT(52.3673407,4.8899562)";4.8899562;52.3673407;
8;"Regulierspoort 1452-1591";"Militair";"Poort";"Regulierspoort1544.jpg";"";"Bron: Cornelis Anthonisz 1544";1452;1591;"MILITAIR";"POINT(4.8933508,52.3670775)";"POINT(52.3670775,4.8933508)";4.8933508;52.3670775;
9;"Olofspoort 1380-1618";"Militair";"Poort";"SintOlofspoort.jpg";"";"Bron: Cornelis Anthonisz 1544";1380;1618;"MILITAIR";"POINT(4.8997109,52.3762213)";"POINT(52.3762213,4.8997109)";4.8997109;52.3762213;
10;"Sint-Anthonispoort 1466-1617";"Militair";"Poort";"Sint Anthonispoort.jpg";"";"Bron: Cornelis Anthonisz 1544";1466;1617;"MILITAIR";"POINT(4.9003422,52.3727881)";"POINT(52.3727881,4.9003422)";4.9003422;52.3727881;
12;"Nieuwe Kerk 1408";"Religie";"Kerk";"Nieuwe kerk.jpg";"";"Bron: Cornelis Anthonisz 1544";1408;0;"RELIGIE";"POINT(4.8918011,52.3739287)";"POINT(52.3739287,4.8918011)";4.8918011;52.3739287;
13;"St.-Elisabethskapel 1361-1492";"Religie";"Kapel";"Sint Elisabethskapel.jpg";"";"Bron: Cornelis Anthonisz 1544";1361;1492;"RELIGIE";"POINT(4.8913858,52.3728263)";"POINT(52.3728263,4.8913858)";4.8913858;52.3728263;
14;"Sint-Pieterskapel 1382-1578";"Religie";"Kapel";"Sint Pieterskapel.jpg";"";"Bron: Cornelis Anthonisz 1544";1395;1578;"RELIGIE";"POINT(4.8933608,52.3710028)";"POINT(52.3710028,4.8933608)";4.8933608;52.3710028;
15;"Regulierenklooster 1394-1532";"Religie";"Klooster";"Reguliersklooster.jpg";"";"Bron: Jacob van Deventer rond 1560";1394;1532;"RELIGIE";"POINT(4.8990471,52.3639304)";"POINT(52.3639304,4.8990471)";4.8990471;52.3639304;
16;"St.-Marienveld ten Nieuwenlichte- of Oude Nonnenklooster 1389-1578";"Religie";"Klooster";"Oude Nonnenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1389;1578;"RELIGIE";"POINT(4.8958609,52.3690383)";"POINT(52.3690383,4.8958609)";4.8958609;52.3690383;
17;"Kartuizerklooster Sint-Andries-ter-Zaliger-Haven 1392-1578";"Religie";"Klooster";"Karthuizerklooster.jpg";"";"Bron: Jacob van Deventer rond 1560";1392;1578;"RELIGIE";"POINT(4.8818562,52.379296)";"POINT(52.379296,4.8818562)";4.8818562;52.379296;
18;"Sint-Claraconvent 1397-1578";"Religie";"Klooster";"SintClaraconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1397;1578;"RELIGIE";"POINT(4.8939669,52.3696219)";"POINT(52.3696219,4.8939669)";4.8939669;52.3696219;
19;"Sint-Agnes- of Agnietenklooster 1397-1578";"Religie";"Klooster";"Agnietenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1397;1578;"RELIGIE";"POINT(4.89519,52.3701407)";"POINT(52.3701407,4.89519)";4.89519;52.3701407;
20;"Sint-Dionisius- of Nieuwe Nonnenklooster 1403-1578";"Religie";"Klooster";"Nieuwe Nonnenklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1403;1578;"RELIGIE";"POINT(4.8940251,52.3683364)";"POINT(52.3683364,4.8940251)";4.8940251;52.3683364;
21;"Sint-Margarethaconvent of Margrietenklooster 1406-1578";"Religie";"Klooster";"Margrietenconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1406;1578;"RELIGIE";"POINT(4.8941352,52.3709876)";"POINT(52.3709876,4.8941352)";4.8941352;52.3709876;
22;"Sint-Paulusbroedersklooster 1409-1579";"Religie";"Klooster";"Paulusbroedersconvent.jpg";"";"Bron: Cornelis Anthonisz 1544";1409;1579;"RELIGIE";"POINT(4.8976839,52.3710028)";"POINT(52.3710028,4.8976839)";4.8976839;52.3710028;
23;"Sint-Ceciliënklooster 1411-1578";"Religie";"Klooster";"Sint Cecilienklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1411;1578;"RELIGIE";"POINT(4.895818,52.3710524)";"POINT(52.3710524,4.895818)";4.895818;52.3710524;
24;"Sint-Maria Magdalenaklooster 1411-1579";"Religie";"Klooster";"Sint MariaMagdalenaklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1411;1579;"RELIGIE";"POINT(4.894161,52.3704421)";"POINT(52.3704421,4.894161)";4.894161;52.3704421;
25;"Sint-Catrijnenklooster  1412-1578";"Religie";"Klooster";"Catharinaklooster.jpg";"";"Bron: Cornelis Anthonisz 1544";1412;1578;"RELIGIE";"POINT(4.8955238,52.3706595)";"POINT(52.3706595,4.8955238)";4.8955238;52.3706595;
