OBJECTNUMMER;Naam;Nummer;Groentype;Oppervlakte_m2;Oppervlakte_ha;SELECTIE;PDF;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
40;"Huis te Vraag";24;"Begraafplaats";9124;0.9;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.848622 52.346972,4.848614 52.347034,4.848983 52.347112,4.849132 52.347155,4.849271 52.347207,4.849402 52.347269,4.849692 52.347445,4.849808 52.347371,4.849857 52.347311,4.849945 52.346936,4.849949 52.346881,4.849879 52.346651,4.849663 52.346216,4.849619 52.346247,4.848921 52.346211,4.848895 52.346246,4.848837 52.346247,4.848793 52.346238,4.848718 52.346242,4.848693 52.346417,4.848582 52.346412,4.848558 52.3466,4.84868 52.346609,4.848622 52.346972))";"POLYGON((52.346972 4.848622,52.347034 4.848614,52.347112 4.848983,52.347155 4.849132,52.347207 4.849271,52.347269 4.849402,52.347445 4.849692,52.347371 4.849808,52.347311 4.849857,52.346936 4.849945,52.346881 4.849949,52.346651 4.849879,52.346216 4.849663,52.346247 4.849619,52.346211 4.848921,52.346246 4.848895,52.346247 4.848837,52.346238 4.848793,52.346242 4.848718,52.346417 4.848693,52.346412 4.848582,52.3466 4.848558,52.346609 4.84868,52.346972 4.848622))";4.8492585;52.346821;
44;"Buitenveldert";27;"Begraafplaats";50822;5.1;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.858016 52.339597,4.85799 52.340387,4.858603 52.340418,4.859272 52.340469,4.861269 52.340642,4.864397 52.340895,4.86442 52.340882,4.864574 52.339583,4.86366 52.339544,4.863633 52.33955,4.863625 52.339562,4.863605 52.339724,4.859318 52.339538,4.859313 52.339575,4.858026 52.339527,4.858023 52.339598,4.858016 52.339597))";"POLYGON((52.339597 4.858016,52.340387 4.85799,52.340418 4.858603,52.340469 4.859272,52.340642 4.861269,52.340895 4.864397,52.340882 4.86442,52.339583 4.864574,52.339544 4.86366,52.33955 4.863633,52.339562 4.863625,52.339724 4.863605,52.339538 4.859318,52.339575 4.859313,52.339527 4.858026,52.339598 4.858023,52.339597 4.858016))";4.861287;52.340204;
45;"Zorgvlied";28;"Begraafplaats";155587;15.6;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.898867 52.33785,4.898993 52.337922,4.899065 52.337929,4.899176 52.3379,4.902747 52.336545,4.902969 52.336476,4.903367 52.336336,4.903678 52.336236,4.904853 52.335836,4.90518 52.33572,4.905439 52.335618,4.90509 52.335225,4.904753 52.334877,4.904444 52.3346,4.90409 52.334327,4.904159 52.334296,4.90405 52.334224,4.903814 52.33433,4.903867 52.334375,4.902897 52.334792,4.902847 52.334798,4.902121 52.334385,4.902024 52.334409,4.901916 52.334468,4.90114 52.334976,4.901111 52.334982,4.900956 52.335058,4.900926 52.335064,4.900888 52.335057,4.900862 52.335037,4.90082 52.334987,4.900791 52.334972,4.900586 52.334765,4.900553 52.334741,4.900251 52.334663,4.900326 52.334553,4.899457 52.334271,4.899374 52.334381,4.898747 52.334204,4.89751 52.334847,4.89584 52.335729,4.895441 52.335948,4.89555 52.336026,4.895969 52.33625,4.896338 52.336468,4.897232 52.336949,4.897946 52.337372,4.898089 52.33745,4.898168 52.337457,4.898867 52.33785))";"POLYGON((52.33785 4.898867,52.337922 4.898993,52.337929 4.899065,52.3379 4.899176,52.336545 4.902747,52.336476 4.902969,52.336336 4.903367,52.336236 4.903678,52.335836 4.904853,52.33572 4.90518,52.335618 4.905439,52.335225 4.90509,52.334877 4.904753,52.3346 4.904444,52.334327 4.90409,52.334296 4.904159,52.334224 4.90405,52.33433 4.903814,52.334375 4.903867,52.334792 4.902897,52.334798 4.902847,52.334385 4.902121,52.334409 4.902024,52.334468 4.901916,52.334976 4.90114,52.334982 4.901111,52.335058 4.900956,52.335064 4.900926,52.335057 4.900888,52.335037 4.900862,52.334987 4.90082,52.334972 4.900791,52.334765 4.900586,52.334741 4.900553,52.334663 4.900251,52.334553 4.900326,52.334271 4.899457,52.334381 4.899374,52.334204 4.898747,52.334847 4.89751,52.335729 4.89584,52.335948 4.895441,52.336026 4.89555,52.33625 4.895969,52.336468 4.896338,52.336949 4.897232,52.337372 4.897946,52.33745 4.898089,52.337457 4.898168,52.33785 4.898867))";4.900445;52.3360595;
67;"Vredenhof";43;"Begraafplaats";40122;4.0;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.863717 52.382329,4.863145 52.381899,4.863066 52.381853,4.863012 52.381836,4.862912 52.381821,4.86283 52.38182,4.862693 52.381837,4.862504 52.381902,4.862395 52.381972,4.862179 52.382539,4.862084 52.382751,4.861988 52.38292,4.861255 52.384028,4.861182 52.384171,4.861151 52.384252,4.861127 52.384375,4.861083 52.384856,4.861037 52.384855,4.861033 52.385072,4.862879 52.385104,4.862902 52.384762,4.862961 52.384531,4.863577 52.382836,4.863749 52.382536,4.863766 52.382472,4.86376 52.382406,4.863717 52.382329))";"POLYGON((52.382329 4.863717,52.381899 4.863145,52.381853 4.863066,52.381836 4.863012,52.381821 4.862912,52.38182 4.86283,52.381837 4.862693,52.381902 4.862504,52.381972 4.862395,52.382539 4.862179,52.382751 4.862084,52.38292 4.861988,52.384028 4.861255,52.384171 4.861182,52.384252 4.861151,52.384375 4.861127,52.384856 4.861083,52.384855 4.861037,52.385072 4.861033,52.385104 4.862879,52.384762 4.862902,52.384531 4.862961,52.382836 4.863577,52.382536 4.863749,52.382472 4.863766,52.382406 4.86376,52.382329 4.863717))";4.8624045;52.383455;
72;"Petruskerk";46;"Begraafplaats";1621;0.2;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.846387 52.38655,4.846372 52.386547,4.846118 52.386713,4.846133 52.386761,4.846121 52.386778,4.846187 52.386944,4.846305 52.386927,4.846341 52.386935,4.846874 52.386838,4.84681 52.386765,4.846785 52.38667,4.846792 52.386669,4.846745 52.38659,4.846572 52.386528,4.846473 52.386572,4.846406 52.386537,4.846387 52.38655))";"POLYGON((52.38655 4.846387,52.386547 4.846372,52.386713 4.846118,52.386761 4.846133,52.386778 4.846121,52.386944 4.846187,52.386927 4.846305,52.386935 4.846341,52.386838 4.846874,52.386765 4.84681,52.38667 4.846785,52.386669 4.846792,52.38659 4.846745,52.386528 4.846572,52.386572 4.846473,52.386537 4.846406,52.38655 4.846387))";4.846501;52.386729;
73;"Sint Barbara";47;"Begraafplaats";42713;4.3;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.862635 52.389558,4.862594 52.389583,4.862468 52.389918,4.862288 52.389905,4.862255 52.389927,4.862073 52.390425,4.861977 52.390604,4.861942 52.39071,4.861942 52.390799,4.862002 52.390818,4.862169 52.390847,4.861999 52.391346,4.861908 52.391535,4.861918 52.391556,4.861933 52.391563,4.862454 52.391615,4.862454 52.391631,4.862787 52.391682,4.863021 52.391698,4.863197 52.391724,4.863563 52.391758,4.86369 52.391648,4.863703 52.391594,4.863725 52.391583,4.864246 52.391654,4.864366 52.391667,4.8644 52.391662,4.864418 52.391645,4.864579 52.391206,4.86468 52.390974,4.864986 52.390083,4.865071 52.389825,4.865057 52.389738,4.865074 52.389676,4.864995 52.389662,4.864928 52.389702,4.864661 52.389676,4.864447 52.389561,4.864258 52.38948,4.864156 52.38945,4.864087 52.389443,4.863239 52.389441,4.863064 52.38948,4.862964 52.389565,4.862934 52.389554,4.862635 52.389558))";"POLYGON((52.389558 4.862635,52.389583 4.862594,52.389918 4.862468,52.389905 4.862288,52.389927 4.862255,52.390425 4.862073,52.390604 4.861977,52.39071 4.861942,52.390799 4.861942,52.390818 4.862002,52.390847 4.862169,52.391346 4.861999,52.391535 4.861908,52.391556 4.861918,52.391563 4.861933,52.391615 4.862454,52.391631 4.862454,52.391682 4.862787,52.391698 4.863021,52.391724 4.863197,52.391758 4.863563,52.391648 4.86369,52.391594 4.863703,52.391583 4.863725,52.391654 4.864246,52.391667 4.864366,52.391662 4.8644,52.391645 4.864418,52.391206 4.864579,52.390974 4.86468,52.390083 4.864986,52.389825 4.865071,52.389738 4.865057,52.389676 4.865074,52.389662 4.864995,52.389702 4.864928,52.389676 4.864661,52.389561 4.864447,52.38948 4.864258,52.38945 4.864156,52.389443 4.864087,52.389441 4.863239,52.38948 4.863064,52.389565 4.862964,52.389554 4.862934,52.389558 4.862635))";4.863496;52.3905925;
86;"Nieuwe Oosterbegraafplaats";60;"Begraafplaats";331468;33.1;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.940236 52.347514,4.940249 52.347514,4.940572 52.34733,4.940609 52.347341,4.945135 52.3445,4.943814 52.343713,4.943653 52.343078,4.943034 52.342707,4.942918 52.342715,4.940441 52.341223,4.940442 52.341149,4.938842 52.340217,4.938638 52.340165,4.938529 52.340166,4.938337 52.340211,4.937287 52.340852,4.936552 52.341328,4.935056 52.342357,4.933956 52.34319,4.933822 52.343304,4.933766 52.343394,4.933742 52.343491,4.933772 52.343626,4.933809 52.343674,4.934882 52.344287,4.936679 52.345386,4.936902 52.345536,4.937926 52.346105,4.93845 52.346478,4.939502 52.347058,4.940034 52.347426,4.94014 52.347486,4.940194 52.347487,4.940236 52.347514))";"POLYGON((52.347514 4.940236,52.347514 4.940249,52.34733 4.940572,52.347341 4.940609,52.3445 4.945135,52.343713 4.943814,52.343078 4.943653,52.342707 4.943034,52.342715 4.942918,52.341223 4.940441,52.341149 4.940442,52.340217 4.938842,52.340165 4.938638,52.340166 4.938529,52.340211 4.938337,52.340852 4.937287,52.341328 4.936552,52.342357 4.935056,52.34319 4.933956,52.343304 4.933822,52.343394 4.933766,52.343491 4.933742,52.343626 4.933772,52.343674 4.933809,52.344287 4.934882,52.345386 4.936679,52.345536 4.936902,52.346105 4.937926,52.346478 4.93845,52.347058 4.939502,52.347426 4.940034,52.347486 4.94014,52.347487 4.940194,52.347514 4.940236))";4.9394435;52.3438325;
113;"Noorderbegraafplaats";82;"Begraafplaats";72248;7.2;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.929578 52.406632,4.929525 52.406508,4.929005 52.40625,4.928893 52.40616,4.92889 52.406147,4.928917 52.406118,4.929301 52.405852,4.929327 52.405814,4.92932 52.405783,4.929186 52.405605,4.928128 52.404406,4.928095 52.404382,4.928034 52.404366,4.927935 52.404372,4.927151 52.404511,4.927044 52.404535,4.926854 52.404599,4.926822 52.404589,4.926811 52.404559,4.926698 52.404423,4.926456 52.404479,4.926335 52.404518,4.926345 52.404548,4.926327 52.404581,4.926128 52.404672,4.925891 52.404814,4.925784 52.404916,4.925686 52.405051,4.925732 52.40513,4.925745 52.405189,4.925742 52.405295,4.925716 52.405426,4.925612 52.406363,4.92562 52.406453,4.925647 52.406562,4.925767 52.406829,4.925879 52.407018,4.925983 52.407161,4.926167 52.40737,4.926255 52.407454,4.926758 52.407905,4.926794 52.407923,4.926842 52.407929,4.926916 52.407921,4.926955 52.407905,4.927255 52.407757,4.927275 52.407738,4.927284 52.407706,4.927241 52.407651,4.927307 52.407616,4.927326 52.407632,4.927378 52.407647,4.927433 52.407644,4.92818 52.407292,4.92937 52.406715,4.929463 52.406672,4.929578 52.406632))";"POLYGON((52.406632 4.929578,52.406508 4.929525,52.40625 4.929005,52.40616 4.928893,52.406147 4.92889,52.406118 4.928917,52.405852 4.929301,52.405814 4.929327,52.405783 4.92932,52.405605 4.929186,52.404406 4.928128,52.404382 4.928095,52.404366 4.928034,52.404372 4.927935,52.404511 4.927151,52.404535 4.927044,52.404599 4.926854,52.404589 4.926822,52.404559 4.926811,52.404423 4.926698,52.404479 4.926456,52.404518 4.926335,52.404548 4.926345,52.404581 4.926327,52.404672 4.926128,52.404814 4.925891,52.404916 4.925784,52.405051 4.925686,52.40513 4.925732,52.405189 4.925745,52.405295 4.925742,52.405426 4.925716,52.406363 4.925612,52.406453 4.92562,52.406562 4.925647,52.406829 4.925767,52.407018 4.925879,52.407161 4.925983,52.40737 4.926167,52.407454 4.926255,52.407905 4.926758,52.407923 4.926794,52.407929 4.926842,52.407921 4.926916,52.407905 4.926955,52.407757 4.927255,52.407738 4.927275,52.407706 4.927284,52.407651 4.927241,52.407616 4.927307,52.407632 4.927326,52.407647 4.927378,52.407644 4.927433,52.407292 4.92818,52.406715 4.92937,52.406672 4.929463,52.406632 4.929578))";4.9276;52.4061405;
131;"Durgerdam";94;"Begraafplaats";547;0.1;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.988944 52.378375,4.989061 52.378237,4.989105 52.378188,4.988824 52.378073,4.988727 52.378226,4.988686 52.378317,4.988944 52.378375))";"POLYGON((52.378375 4.988944,52.378237 4.989061,52.378188 4.989105,52.378073 4.988824,52.378226 4.988727,52.378317 4.988686,52.378375 4.988944))";4.9889005;52.378217;
132;"Durgerdam";94;"Begraafplaats";546;0.1;"BEGRAAFPLAATS";"groentype_begraafplaats.pdf";"POLYGON((4.987963 52.37842,4.987997 52.378418,4.988322 52.378476,4.988354 52.378475,4.988418 52.378403,4.988502 52.378272,4.988512 52.37825,4.988479 52.378232,4.988203 52.378182,4.9882 52.378189,4.988129 52.378177,4.988096 52.378284,4.988382 52.378338,4.988331 52.378432,4.988067 52.378385,4.988073 52.378359,4.988081 52.378361,4.98809 52.378346,4.988019 52.378334,4.987963 52.37842))";"POLYGON((52.37842 4.987963,52.378418 4.987997,52.378476 4.988322,52.378475 4.988354,52.378403 4.988418,52.378272 4.988502,52.37825 4.988512,52.378232 4.988479,52.378182 4.988203,52.378189 4.9882,52.378177 4.988129,52.378284 4.988096,52.378338 4.988382,52.378432 4.988331,52.378385 4.988067,52.378359 4.988073,52.378361 4.988081,52.378346 4.98809,52.378334 4.988019,52.37842 4.987963))";4.9882425;52.3783195;
