OBJECTNUMMER;Nummer;Kastanjesoort;Aantasting;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;1;"Aesculus hippocastanum `Pyramidalis`";"Niet aangetast";"POINT(4.8808591,52.3767859)";"POINT(52.3767859,4.8808591)";4.8808591;52.3767859;
2;2;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8914802,52.379563)";"POINT(52.379563,4.8914802)";4.8914802;52.379563;
3;3;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8916228,52.3795325)";"POINT(52.3795325,4.8916228)";4.8916228;52.3795325;
4;4;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8917601,52.379502)";"POINT(52.379502,4.8917601)";4.8917601;52.379502;
5;5;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.888334,52.3824317)";"POINT(52.3824317,4.888334)";4.888334;52.3824317;
6;6;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.891628,52.3798148)";"POINT(52.3798148,4.891628)";4.891628;52.3798148;
7;7;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8918621,52.379666)";"POINT(52.379666,4.8918621)";4.8918621;52.379666;
8;8;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.8918159,52.3795859)";"POINT(52.3795859,4.8918159)";4.8918159;52.3795859;
9;9;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.891578,52.3797309)";"POINT(52.3797309,4.891578)";4.891578;52.3797309;
10;10;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8914468,52.3797614)";"POINT(52.3797614,4.8914468)";4.8914468;52.3797614;
11;11;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.8913948,52.3796774)";"POINT(52.3796774,4.8913948)";4.8913948;52.3796774;
12;12;"Aesculus hippocastanum `Baumannii`";"Licht aangetast";"POINT(4.8913438,52.3795973)";"POINT(52.3795973,4.8913438)";4.8913438;52.3795973;
13;13;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.9043,52.3739707)";"POINT(52.3739707,4.9043)";4.9043;52.3739707;
14;14;"Aesculus hippocastanum";"Licht aangetast";"POINT(4.9007642,52.363301)";"POINT(52.363301,4.9007642)";4.9007642;52.363301;
15;15;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.9012968,52.3634001)";"POINT(52.3634001,4.9012968)";4.9012968;52.3634001;
16;16;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.9058592,52.3662993)";"POINT(52.3662993,4.9058592)";4.9058592;52.3662993;
17;17;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.9060652,52.366284)";"POINT(52.366284,4.9060652)";4.9060652;52.366284;
18;18;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.9062841,52.3662688)";"POINT(52.3662688,4.9062841)";4.9062841;52.3662688;
19;19;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.9064882,52.3662535)";"POINT(52.3662535,4.9064882)";4.9064882;52.3662535;
20;20;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.906728,52.3662383)";"POINT(52.3662383,4.906728)";4.906728;52.3662383;
21;21;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.899689,52.367417)";"POINT(52.367417,4.899689)";4.899689;52.367417;
22;22;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8995759,52.3674628)";"POINT(52.3674628,4.8995759)";4.8995759;52.3674628;
23;23;"Aesculus hippocastanum";"Licht aangetast";"POINT(4.9078181,52.3622138)";"POINT(52.3622138,4.9078181)";4.9078181;52.3622138;
24;24;"Aesculus hippocastanum `Baumannii`";"Licht aangetast";"POINT(4.9080961,52.3617522)";"POINT(52.3617522,4.9080961)";4.9080961;52.3617522;
25;25;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.900707,52.3605391)";"POINT(52.3605391,4.900707)";4.900707;52.3605391;
26;26;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.8999078,52.3609587)";"POINT(52.3609587,4.8999078)";4.8999078;52.3609587;
27;27;"Aesculus hippocastanum `Baumannii`";"Ernstig aangetast";"POINT(4.900737,52.3599326)";"POINT(52.3599326,4.900737)";4.900737;52.3599326;
28;28;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9088929,52.3680426)";"POINT(52.3680426,4.9088929)";4.9088929;52.3680426;
29;29;"Aesculus hippocastanum";"Boom niet aanwezig";"POINT(4.8751218,52.3725211)";"POINT(52.3725211,4.8751218)";4.8751218;52.3725211;
30;30;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.889406,52.3673903)";"POINT(52.3673903,4.889406)";4.889406;52.3673903;
31;31;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8813879,52.3663413)";"POINT(52.3663413,4.8813879)";4.8813879;52.3663413;
32;32;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.881202,52.366284)";"POINT(52.366284,4.881202)";4.881202;52.366284;
33;33;"Aesculus hippocastanum";"Licht aangetast";"POINT(4.889415,52.3696982)";"POINT(52.3696982,4.889415)";4.889415;52.3696982;
34;34;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8878691,52.386006)";"POINT(52.386006,4.8878691)";4.8878691;52.386006;
35;35;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8900111,52.3869559)";"POINT(52.3869559,4.8900111)";4.8900111;52.3869559;
36;36;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8900959,52.3869521)";"POINT(52.3869521,4.8900959)";4.8900959;52.3869521;
37;37;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.890301,52.3848769)";"POINT(52.3848769,4.890301)";4.890301;52.3848769;
38;38;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.8901808,52.384194)";"POINT(52.384194,4.8901808)";4.8901808;52.384194;
39;39;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8880131,52.3852393)";"POINT(52.3852393,4.8880131)";4.8880131;52.3852393;
40;40;"Aesculus hippocastanum";"Boom niet aanwezig";"POINT(4.8878529,52.3859183)";"POINT(52.3859183,4.8878529)";4.8878529;52.3859183;
41;41;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.8907292,52.359513)";"POINT(52.359513,4.8907292)";4.8907292;52.359513;
42;42;"Aesculus hippocastanum `Baumannii`";"Matig aangetast";"POINT(4.8908689,52.359471)";"POINT(52.359471,4.8908689)";4.8908689;52.359471;
43;43;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.890207,52.3695723)";"POINT(52.3695723,4.890207)";4.890207;52.3695723;
44;44;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8901021,52.3696601)";"POINT(52.3696601,4.8901021)";4.8901021;52.3696601;
45;45;"Aesculus hippocastanum `Baumannii`";"Niet aangetast";"POINT(4.8904641,52.3589408)";"POINT(52.3589408,4.8904641)";4.8904641;52.3589408;
46;46;"Aesculus hippocastanum";"Matig aangetast";"POINT(4.919358,52.3718726)";"POINT(52.3718726,4.919358)";4.919358;52.3718726;
47;47;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9183381,52.3717009)";"POINT(52.3717009,4.9183381)";4.9183381;52.3717009;
48;48;"Aesculus carnea";"Niet aangetast";"POINT(4.9176452,52.3707472)";"POINT(52.3707472,4.9176452)";4.9176452;52.3707472;
49;49;"Aesculus carnea";"Boom niet aanwezig";"POINT(4.9177468,52.3707358)";"POINT(52.3707358,4.9177468)";4.9177468;52.3707358;
50;50;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9208939,52.3707701)";"POINT(52.3707701,4.9208939)";4.9208939;52.3707701;
51;51;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9175479,52.3706862)";"POINT(52.3706862,4.9175479)";4.9175479;52.3706862;
52;52;"Aesculus hippocastanum `Baumannii`";"Licht aangetast";"POINT(4.9203651,52.3712279)";"POINT(52.3712279,4.9203651)";4.9203651;52.3712279;
53;53;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9210279,52.3708464)";"POINT(52.3708464,4.9210279)";4.9210279;52.3708464;
54;54;"Aesculus hippocastanum";"Niet aangetast";"POINT(4.9112122,52.3708808)";"POINT(52.3708808,4.9112122)";4.9112122;52.3708808;
