OBJECTNUMMER;PB;Maaiveld;GLG;GLG_maaiveld;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"A05063A";-0.36;-1.98;1.62;"POINT(4.885694,52.419808)";"POINT(52.419808,4.885694)";4.885694;52.419808;
2;"A05064A";-0.27;-1.8;1.53;"POINT(4.885595,52.420751)";"POINT(52.420751,4.885595)";4.885595;52.420751;
3;"A05071A";-0.03;-1.4;1.37;"POINT(4.884124,52.423378)";"POINT(52.423378,4.884124)";4.884124;52.423378;
4;"A05072A";-0.01;-1.41;1.4;"POINT(4.885474,52.423627)";"POINT(52.423627,4.885474)";4.885474;52.423627;
5;"A05074A";0.02;-1.4;1.42;"POINT(4.886145,52.422767)";"POINT(52.422767,4.886145)";4.886145;52.422767;
6;"A05081A";0.52;-0.72;1.24;"POINT(4.882524,52.418006)";"POINT(52.418006,4.882524)";4.882524;52.418006;
7;"A05083A";0.53;-0.8;1.33;"POINT(4.883848,52.419225)";"POINT(52.419225,4.883848)";4.883848;52.419225;
8;"A05084A";0.5;-0.74;1.24;"POINT(4.884946,52.418322)";"POINT(52.418322,4.884946)";4.884946;52.418322;
9;"A05086A";0.53;-0.76;1.29;"POINT(4.884182,52.417006)";"POINT(52.417006,4.884182)";4.884182;52.417006;
10;"A05088A";-1.78;-2.87;1.09;"POINT(4.879221,52.417686)";"POINT(52.417686,4.879221)";4.879221;52.417686;
11;"A05091A";0.63;-0.75;1.38;"POINT(4.882315,52.419623)";"POINT(52.419623,4.882315)";4.882315;52.419623;
12;"A05092A";0.56;-0.75;1.31;"POINT(4.881618,52.418802)";"POINT(52.418802,4.881618)";4.881618;52.418802;
13;"A05093A";0.93;-1.29;2.22;"POINT(4.886522,52.421977)";"POINT(52.421977,4.886522)";4.886522;52.421977;
14;"A05098A";0.77;-0.32;1.09;"POINT(4.880697,52.419724)";"POINT(52.419724,4.880697)";4.880697;52.419724;
15;"A06010A";-0.31;-1.47;1.16;"POINT(4.888015,52.421202)";"POINT(52.421202,4.888015)";4.888015;52.421202;
16;"A06011A";-0.28;-1.43;1.15;"POINT(4.888055,52.420312)";"POINT(52.420312,4.888055)";4.888055;52.420312;
17;"A06013A";-0.15;-1.43;1.28;"POINT(4.887286,52.419383)";"POINT(52.419383,4.887286)";4.887286;52.419383;
18;"A06014A";-0.15;-1.32;1.17;"POINT(4.887825,52.419781)";"POINT(52.419781,4.887825)";4.887825;52.419781;
19;"A06018A";-0.2;-1.39;1.19;"POINT(4.891756,52.420606)";"POINT(52.420606,4.891756)";4.891756;52.420606;
20;"A06022A";-0.86;-1.89;1.03;"POINT(4.893777,52.418629)";"POINT(52.418629,4.893777)";4.893777;52.418629;
21;"A06025A";-0.14;-1.04;0.9;"POINT(4.890237,52.417059)";"POINT(52.417059,4.890237)";4.890237;52.417059;
22;"A06029A";-0.78;-1.7;0.92;"POINT(4.906232,52.41823)";"POINT(52.41823,4.906232)";4.906232;52.41823;
23;"A06030A";-0.7;-1.88;1.18;"POINT(4.904625,52.418592)";"POINT(52.418592,4.904625)";4.904625;52.418592;
24;"A06033A";-0.76;-1.56;0.8;"POINT(4.906185,52.419776)";"POINT(52.419776,4.906185)";4.906185;52.419776;
25;"A06034A";-0.74;-1.56;0.82;"POINT(4.902603,52.419357)";"POINT(52.419357,4.902603)";4.902603;52.419357;
26;"A06035A";-0.94;-1.52;0.58;"POINT(4.901087,52.419584)";"POINT(52.419584,4.901087)";4.901087;52.419584;
27;"A06036A";-0.82;-1.52;0.7;"POINT(4.899514,52.419605)";"POINT(52.419605,4.899514)";4.899514;52.419605;
28;"A06039A";-1.16;-1.9;0.74;"POINT(4.901976,52.420226)";"POINT(52.420226,4.901976)";4.901976;52.420226;
29;"A06042A";-0.61;-1.46;0.85;"POINT(4.887923,52.42547)";"POINT(52.42547,4.887923)";4.887923;52.42547;
30;"A06046A";0.08;-1.37;1.45;"POINT(4.887922,52.42299)";"POINT(52.42299,4.887922)";4.887922;52.42299;
31;"A06048A";-0.56;-1.79;1.23;"POINT(4.900359,52.422979)";"POINT(52.422979,4.900359)";4.900359;52.422979;
32;"A06049A";-0.47;-1.6;1.13;"POINT(4.899277,52.422408)";"POINT(52.422408,4.899277)";4.899277;52.422408;
33;"A06058A";-0.43;-1.74;1.31;"POINT(4.902585,52.421011)";"POINT(52.421011,4.902585)";4.902585;52.421011;
34;"A06061A";-0.84;-2.55;1.71;"POINT(4.896238,52.419412)";"POINT(52.419412,4.896238)";4.896238;52.419412;
35;"A06062A";-0.97;-1.53;0.56;"POINT(4.896944,52.418057)";"POINT(52.418057,4.896944)";4.896944;52.418057;
36;"A06069A";-0.92;-1.86;0.94;"POINT(4.891332,52.421692)";"POINT(52.421692,4.891332)";4.891332;52.421692;
