OBJECTNUMMER;Kans_code;Kans;Diepte_code;Diepte;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.893814 52.372547,4.893824 52.371648,4.895292 52.371654,4.895302 52.370755,4.893834 52.370749,4.893844 52.369851,4.892583 52.369845,4.893042 52.372544,4.893814 52.372547)),((4.896692 52.368964,4.895322 52.368958,4.895312 52.369857,4.89744 52.369866,4.896692 52.368964)),((4.898209 52.373464,4.896741 52.373458,4.896731 52.374356,4.898199 52.374362,4.898209 52.373464)),((4.893864 52.368053,4.893407 52.368051,4.892569 52.368947,4.893854 52.368952,4.893864 52.368053)),((4.895492 52.367518,4.895338 52.367497,4.895332 52.368059,4.895943 52.368062,4.895492 52.367518)))";"MULTIPOLYGON(((52.372547 4.893814,52.371648 4.893824,52.371654 4.895292,52.370755 4.895302,52.370749 4.893834,52.369851 4.893844,52.369845 4.892583,52.372544 4.893042,52.372547 4.893814)),((52.368964 4.896692,52.368958 4.895322,52.369857 4.895312,52.369866 4.89744,52.368964 4.896692)),((52.373464 4.898209,52.373458 4.896741,52.374356 4.896731,52.374362 4.898199,52.373464 4.898209)),((52.368053 4.893864,52.368051 4.893407,52.368947 4.892569,52.368952 4.893854,52.368053 4.893864)),((52.367518 4.895492,52.367497 4.895338,52.368059 4.895332,52.368062 4.895943,52.367518 4.895492)))";4.895394;52.3709225;
2;3;"Zeer kleine kans: 1/3.000 tot 1/30.000 per jaar";2;"0 tot 50 cm";"MULTIPOLYGON(((4.892376 52.369845,4.892386 52.368946,4.892569 52.368947,4.893407 52.368051,4.892396 52.368047,4.892415 52.366347,4.889472 52.366885,4.889469 52.367136,4.890938 52.367142,4.890928 52.368041,4.889459 52.368035,4.889449 52.368934,4.887981 52.368927,4.887978 52.369168,4.888634 52.371626,4.889419 52.37163,4.889409 52.372528,4.893042 52.372544,4.892583 52.369845,4.892376 52.369845)),((4.901762 52.380958,4.90581 52.379866,4.904036 52.377785,4.904034 52.377981,4.902565 52.377975,4.902556 52.378874,4.899618 52.378862,4.899609 52.379761,4.89814 52.379755,4.89813 52.380653,4.896661 52.380647,4.896659 52.380909,4.898766 52.382542,4.901762 52.380958)),((4.892316 52.375237,4.892326 52.374338,4.890857 52.374332,4.890847 52.375231,4.890092 52.375227,4.891065 52.37613,4.892306 52.376136,4.892293 52.37727,4.893011 52.377936,4.895223 52.377945,4.895243 52.376148,4.893774 52.376142,4.893784 52.375243,4.892316 52.375237)),((4.895893 52.367439,4.895807 52.365725,4.892931 52.366252,4.893884 52.366256,4.893874 52.367154,4.895342 52.367161,4.895338 52.367497,4.895492 52.367518,4.895893 52.367439)))";"MULTIPOLYGON(((52.369845 4.892376,52.368946 4.892386,52.368947 4.892569,52.368051 4.893407,52.368047 4.892396,52.366347 4.892415,52.366885 4.889472,52.367136 4.889469,52.367142 4.890938,52.368041 4.890928,52.368035 4.889459,52.368934 4.889449,52.368927 4.887981,52.369168 4.887978,52.371626 4.888634,52.37163 4.889419,52.372528 4.889409,52.372544 4.893042,52.369845 4.892583,52.369845 4.892376)),((52.380958 4.901762,52.379866 4.90581,52.377785 4.904036,52.377981 4.904034,52.377975 4.902565,52.378874 4.902556,52.378862 4.899618,52.379761 4.899609,52.379755 4.89814,52.380653 4.89813,52.380647 4.896661,52.380909 4.896659,52.382542 4.898766,52.380958 4.901762)),((52.375237 4.892316,52.374338 4.892326,52.374332 4.890857,52.375231 4.890847,52.375227 4.890092,52.37613 4.891065,52.376136 4.892306,52.37727 4.892293,52.377936 4.893011,52.377945 4.895223,52.376148 4.895243,52.376142 4.893774,52.375243 4.893784,52.375237 4.892316)),((52.367439 4.895893,52.365725 4.895807,52.366252 4.892931,52.366256 4.893884,52.367154 4.893874,52.367161 4.895342,52.367497 4.895338,52.367518 4.895492,52.367439 4.895893)))";4.896899;52.3741265;
3;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.888634 52.371626,4.887978 52.369168,4.887961 52.370725,4.886493 52.370719,4.886523 52.368022,4.885055 52.368016,4.885024 52.370712,4.88297 52.370704,4.88302 52.371603,4.888634 52.371626)),((4.892286 52.377933,4.890817 52.377927,4.890827 52.377028,4.889359 52.377022,4.889349 52.377921,4.886412 52.377908,4.886407 52.378324,4.887858 52.379903,4.88786 52.379712,4.889328 52.379718,4.889339 52.378819,4.892276 52.378832,4.892286 52.377933)),((4.889359 52.377022,4.889369 52.376123,4.891065 52.37613,4.890092 52.375227,4.88791 52.375218,4.8879 52.376117,4.884963 52.376105,4.884956 52.376746,4.886022 52.377907,4.886412 52.377908,4.886422 52.37701,4.889359 52.377022)),((4.884974 52.375206,4.884994 52.373408,4.886462 52.373415,4.886472 52.372516,4.88307 52.372502,4.883119 52.373401,4.883525 52.373402,4.883505 52.375168,4.883534 52.3752,4.884974 52.375206)),((4.885085 52.36532,4.884056 52.365316,4.883614 52.365592,4.883607 52.366213,4.885075 52.366219,4.885085 52.36532)),((4.887144 52.366228,4.886543 52.366225,4.886533 52.367124,4.888001 52.36713,4.888007 52.366617,4.887144 52.366228)),((4.892286 52.377933,4.893011 52.377936,4.892293 52.37727,4.892286 52.377933)),((4.885085 52.36532,4.885132 52.36532,4.885086 52.365299,4.885085 52.36532)))";"MULTIPOLYGON(((52.371626 4.888634,52.369168 4.887978,52.370725 4.887961,52.370719 4.886493,52.368022 4.886523,52.368016 4.885055,52.370712 4.885024,52.370704 4.88297,52.371603 4.88302,52.371626 4.888634)),((52.377933 4.892286,52.377927 4.890817,52.377028 4.890827,52.377022 4.889359,52.377921 4.889349,52.377908 4.886412,52.378324 4.886407,52.379903 4.887858,52.379712 4.88786,52.379718 4.889328,52.378819 4.889339,52.378832 4.892276,52.377933 4.892286)),((52.377022 4.889359,52.376123 4.889369,52.37613 4.891065,52.375227 4.890092,52.375218 4.88791,52.376117 4.8879,52.376105 4.884963,52.376746 4.884956,52.377907 4.886022,52.377908 4.886412,52.37701 4.886422,52.377022 4.889359)),((52.375206 4.884974,52.373408 4.884994,52.373415 4.886462,52.372516 4.886472,52.372502 4.88307,52.373401 4.883119,52.373402 4.883525,52.375168 4.883505,52.3752 4.883534,52.375206 4.884974)),((52.36532 4.885085,52.365316 4.884056,52.365592 4.883614,52.366213 4.883607,52.366219 4.885075,52.36532 4.885085)),((52.366228 4.887144,52.366225 4.886543,52.367124 4.886533,52.36713 4.888001,52.366617 4.888007,52.366228 4.887144)),((52.377933 4.892286,52.377936 4.893011,52.37727 4.892293,52.377933 4.892286)),((52.36532 4.885085,52.36532 4.885132,52.365299 4.885086,52.36532 4.885085)))";4.8879955;52.372594;
4;3;"Zeer kleine kans: 1/3.000 tot 1/30.000 per jaar";2;"0 tot 50 cm";"MULTIPOLYGON(((4.888011 52.366231,4.88948 52.366237,4.889472 52.366885,4.892415 52.366347,4.892416 52.36625,4.892931 52.366252,4.895807 52.365725,4.895893 52.367439,4.89975 52.366904,4.899757 52.36628,4.900711 52.366284,4.901194 52.365757,4.902707 52.36285,4.901265 52.362582,4.901264 52.362691,4.898328 52.362679,4.898335 52.36204,4.89687 52.361768,4.89685 52.363572,4.901254 52.36359,4.901244 52.364489,4.898308 52.364477,4.898288 52.366274,4.89682 52.366268,4.89683 52.365369,4.895362 52.365363,4.895402 52.361722,4.892462 52.362114,4.892456 52.362655,4.890988 52.362649,4.890992 52.36231,4.88853 52.362638,4.88952 52.362642,4.88951 52.363541,4.893914 52.36356,4.893894 52.365357,4.892426 52.365351,4.892436 52.364452,4.888032 52.364434,4.888042 52.363535,4.886775 52.36353,4.885093 52.364645,4.885086 52.365299,4.885132 52.36532,4.888022 52.365332,4.888011 52.366231)),((4.888011 52.366231,4.887144 52.366228,4.888007 52.366617,4.888011 52.366231)))";"MULTIPOLYGON(((52.366231 4.888011,52.366237 4.88948,52.366885 4.889472,52.366347 4.892415,52.36625 4.892416,52.366252 4.892931,52.365725 4.895807,52.367439 4.895893,52.366904 4.89975,52.36628 4.899757,52.366284 4.900711,52.365757 4.901194,52.36285 4.902707,52.362582 4.901265,52.362691 4.901264,52.362679 4.898328,52.36204 4.898335,52.361768 4.89687,52.363572 4.89685,52.36359 4.901254,52.364489 4.901244,52.364477 4.898308,52.366274 4.898288,52.366268 4.89682,52.365369 4.89683,52.365363 4.895362,52.361722 4.895402,52.362114 4.892462,52.362655 4.892456,52.362649 4.890988,52.36231 4.890992,52.362638 4.88853,52.362642 4.88952,52.363541 4.88951,52.36356 4.893914,52.365357 4.893894,52.365351 4.892426,52.364452 4.892436,52.364434 4.888032,52.363535 4.888042,52.36353 4.886775,52.364645 4.885093,52.365299 4.885086,52.36532 4.885132,52.365332 4.888022,52.366231 4.888011)),((52.366231 4.888011,52.366228 4.887144,52.366617 4.888007,52.366231 4.888011)))";4.8939015;52.3645735;
5;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.905551 52.373494,4.905541 52.374393,4.904073 52.374387,4.904053 52.376184,4.905522 52.37619,4.905512 52.377089,4.904044 52.377083,4.904036 52.377785,4.90581 52.379866,4.910978 52.379982,4.911809 52.376541,4.913462 52.373627,4.913394 52.371427,4.912919 52.371128,4.912912 52.371726,4.911444 52.37172,4.911454 52.370821,4.909985 52.370815,4.909966 52.372613,4.908498 52.372607,4.908488 52.373506,4.905551 52.373494),(4.908459 52.376202,4.908449 52.377101,4.906981 52.377095,4.906971 52.377993,4.909908 52.378005,4.909927 52.376208,4.908459 52.376202)),((4.904112 52.370792,4.904083 52.373488,4.905551 52.373494,4.905561 52.372595,4.907029 52.372601,4.907049 52.370804,4.908517 52.37081,4.908527 52.369911,4.90559 52.369899,4.90558 52.370798,4.904112 52.370792)),((4.899737 52.368077,4.89975 52.366904,4.895893 52.367439,4.895492 52.367518,4.895943 52.368062,4.8968 52.368065,4.89679 52.368964,4.896692 52.368964,4.89744 52.369866,4.898249 52.369869,4.898269 52.368071,4.899737 52.368077)),((4.904112 52.370792,4.904122 52.369893,4.901185 52.369881,4.901175 52.37078,4.904112 52.370792)),((4.90416 52.366354,4.901194 52.365757,4.900711 52.366284,4.902693 52.366292,4.902683 52.367191,4.904151 52.367197,4.90416 52.366354)),((4.908167 52.368112,4.907078 52.368107,4.907068 52.369006,4.909558 52.369016,4.908167 52.368112)),((4.898249 52.369869,4.898239 52.370768,4.899707 52.370774,4.899717 52.369875,4.898249 52.369869)),((4.899737 52.368077,4.899727 52.368976,4.901195 52.368982,4.901205 52.368084,4.899737 52.368077)))";"MULTIPOLYGON(((52.373494 4.905551,52.374393 4.905541,52.374387 4.904073,52.376184 4.904053,52.37619 4.905522,52.377089 4.905512,52.377083 4.904044,52.377785 4.904036,52.379866 4.90581,52.379982 4.910978,52.376541 4.911809,52.373627 4.913462,52.371427 4.913394,52.371128 4.912919,52.371726 4.912912,52.37172 4.911444,52.370821 4.911454,52.370815 4.909985,52.372613 4.909966,52.372607 4.908498,52.373506 4.908488,52.373494 4.905551),(52.376202 4.908459,52.377101 4.908449,52.377095 4.906981,52.377993 4.906971,52.378005 4.909908,52.376208 4.909927,52.376202 4.908459)),((52.370792 4.904112,52.373488 4.904083,52.373494 4.905551,52.372595 4.905561,52.372601 4.907029,52.370804 4.907049,52.37081 4.908517,52.369911 4.908527,52.369899 4.90559,52.370798 4.90558,52.370792 4.904112)),((52.368077 4.899737,52.366904 4.89975,52.367439 4.895893,52.367518 4.895492,52.368062 4.895943,52.368065 4.8968,52.368964 4.89679,52.368964 4.896692,52.369866 4.89744,52.369869 4.898249,52.368071 4.898269,52.368077 4.899737)),((52.370792 4.904112,52.369893 4.904122,52.369881 4.901185,52.37078 4.901175,52.370792 4.904112)),((52.366354 4.90416,52.365757 4.901194,52.366284 4.900711,52.366292 4.902693,52.367191 4.902683,52.367197 4.904151,52.366354 4.90416)),((52.368112 4.908167,52.368107 4.907078,52.369006 4.907068,52.369016 4.909558,52.368112 4.908167)),((52.369869 4.898249,52.370768 4.898239,52.370774 4.899707,52.369875 4.899717,52.369869 4.898249)),((52.368077 4.899737,52.368976 4.899727,52.368982 4.901195,52.368084 4.901205,52.368077 4.899737)))";4.904482;52.3728625;
6;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.8863 52.387794,4.884831 52.387788,4.884841 52.386889,4.88631 52.386895,4.8863 52.387794,4.887769 52.3878,4.887762 52.388395,4.89118 52.38845,4.895666 52.388831,4.8971 52.383473,4.898766 52.382542,4.896659 52.380909,4.896652 52.381546,4.895183 52.38154,4.895173 52.382439,4.893704 52.382433,4.893644 52.387825,4.892175 52.387819,4.892226 52.383325,4.889288 52.383313,4.889278 52.384212,4.887809 52.384205,4.887799 52.385104,4.884862 52.385092,4.884852 52.38599,4.883383 52.385984,4.883378 52.386376,4.88465 52.388346,4.886294 52.388372,4.8863 52.387794)),((4.884882 52.383294,4.884891 52.382514,4.883547 52.383289,4.884882 52.383294)))";"MULTIPOLYGON(((52.387794 4.8863,52.387788 4.884831,52.386889 4.884841,52.386895 4.88631,52.387794 4.8863,52.3878 4.887769,52.388395 4.887762,52.38845 4.89118,52.388831 4.895666,52.383473 4.8971,52.382542 4.898766,52.380909 4.896659,52.381546 4.896652,52.38154 4.895183,52.382439 4.895173,52.382433 4.893704,52.387825 4.893644,52.387819 4.892175,52.383325 4.892226,52.383313 4.889288,52.384212 4.889278,52.384205 4.887809,52.385104 4.887799,52.385092 4.884862,52.38599 4.884852,52.385984 4.883383,52.386376 4.883378,52.388346 4.88465,52.388372 4.886294,52.387794 4.8863)),((52.383294 4.884882,52.382514 4.884891,52.383289 4.883547,52.383294 4.884882)))";4.891077;52.384863;
7;3;"Zeer kleine kans: 1/3.000 tot 1/30.000 per jaar";2;"0 tot 50 cm";"MULTIPOLYGON(((4.879069 52.377877,4.879079 52.376978,4.880548 52.376985,4.880537 52.377883,4.879069 52.377877,4.879059 52.378776,4.878063 52.378771,4.879036 52.380717,4.879038 52.380573,4.881975 52.380586,4.881965 52.381484,4.879416 52.381474,4.879634 52.381913,4.881883 52.38418,4.881934 52.384181,4.881945 52.383282,4.883547 52.383289,4.884891 52.382514,4.884902 52.381497,4.886371 52.381503,4.886381 52.380604,4.88785 52.380611,4.887858 52.379903,4.886407 52.378324,4.886401 52.378807,4.884933 52.378801,4.884943 52.377902,4.886022 52.377907,4.884956 52.376746,4.884953 52.377003,4.882016 52.376991,4.882026 52.376092,4.877621 52.376073,4.877631 52.375175,4.876261 52.375169,4.877612 52.377871,4.879069 52.377877)),((4.882047 52.374295,4.882057 52.373396,4.883119 52.373401,4.88307 52.372502,4.882067 52.372497,4.882078 52.371599,4.88302 52.371603,4.88297 52.370704,4.882088 52.3707,4.882108 52.368902,4.88064 52.368896,4.88065 52.367997,4.879182 52.367991,4.879161 52.369789,4.877693 52.369782,4.877642 52.374276,4.882047 52.374295),(4.880609 52.371592,4.880619 52.370694,4.879151 52.370687,4.879141 52.371586,4.880609 52.371592)),((4.876204 52.371573,4.876231 52.36922,4.874708 52.371567,4.876204 52.371573)),((4.879203 52.366194,4.879216 52.365014,4.878101 52.366189,4.879203 52.366194)),((4.877724 52.367086,4.877392 52.367085,4.876955 52.367982,4.877714 52.367985,4.877724 52.367086)),((4.876173 52.37427,4.875811 52.374268,4.876165 52.374977,4.876173 52.37427)),((4.883534 52.3752,4.883505 52.375168,4.883505 52.3752,4.883534 52.3752)))";"MULTIPOLYGON(((52.377877 4.879069,52.376978 4.879079,52.376985 4.880548,52.377883 4.880537,52.377877 4.879069,52.378776 4.879059,52.378771 4.878063,52.380717 4.879036,52.380573 4.879038,52.380586 4.881975,52.381484 4.881965,52.381474 4.879416,52.381913 4.879634,52.38418 4.881883,52.384181 4.881934,52.383282 4.881945,52.383289 4.883547,52.382514 4.884891,52.381497 4.884902,52.381503 4.886371,52.380604 4.886381,52.380611 4.88785,52.379903 4.887858,52.378324 4.886407,52.378807 4.886401,52.378801 4.884933,52.377902 4.884943,52.377907 4.886022,52.376746 4.884956,52.377003 4.884953,52.376991 4.882016,52.376092 4.882026,52.376073 4.877621,52.375175 4.877631,52.375169 4.876261,52.377871 4.877612,52.377877 4.879069)),((52.374295 4.882047,52.373396 4.882057,52.373401 4.883119,52.372502 4.88307,52.372497 4.882067,52.371599 4.882078,52.371603 4.88302,52.370704 4.88297,52.3707 4.882088,52.368902 4.882108,52.368896 4.88064,52.367997 4.88065,52.367991 4.879182,52.369789 4.879161,52.369782 4.877693,52.374276 4.877642,52.374295 4.882047),(52.371592 4.880609,52.370694 4.880619,52.370687 4.879151,52.371586 4.879141,52.371592 4.880609)),((52.371573 4.876204,52.36922 4.876231,52.371567 4.874708,52.371573 4.876204)),((52.366194 4.879203,52.365014 4.879216,52.366189 4.878101,52.366194 4.879203)),((52.367086 4.877724,52.367085 4.877392,52.367982 4.876955,52.367985 4.877714,52.367086 4.877724)),((52.37427 4.876173,52.374268 4.875811,52.374977 4.876165,52.37427 4.876173)),((52.3752 4.883534,52.375168 4.883505,52.3752 4.883505,52.3752 4.883534)))";4.881288;52.3745905;
8;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.890992 52.36231,4.890998 52.36175,4.892466 52.361756,4.892462 52.362114,4.895402 52.361722,4.895412 52.36087,4.89688 52.360876,4.89687 52.361768,4.898335 52.36204,4.898338 52.36178,4.899806 52.361786,4.899816 52.360888,4.898348 52.360882,4.898358 52.359983,4.895422 52.359971,4.895432 52.359072,4.898367 52.359084,4.898377 52.358186,4.894314 52.358169,4.893974 52.358183,4.893964 52.359066,4.88956 52.359048,4.88955 52.359946,4.892486 52.359959,4.892476 52.360857,4.88954 52.360845,4.88953 52.361744,4.888062 52.361738,4.888052 52.362636,4.88853 52.362638,4.890992 52.36231)),((4.903747 52.360904,4.901284 52.360894,4.901265 52.362582,4.902707 52.36285,4.903747 52.360904)),((4.886574 52.363529,4.886584 52.36263,4.885116 52.362624,4.885106 52.363523,4.883638 52.363516,4.883627 52.364415,4.885095 52.364421,4.885093 52.364645,4.886775 52.36353,4.886574 52.363529)),((4.884056 52.365316,4.883617 52.365314,4.883614 52.365592,4.884056 52.365316)))";"MULTIPOLYGON(((52.36231 4.890992,52.36175 4.890998,52.361756 4.892466,52.362114 4.892462,52.361722 4.895402,52.36087 4.895412,52.360876 4.89688,52.361768 4.89687,52.36204 4.898335,52.36178 4.898338,52.361786 4.899806,52.360888 4.899816,52.360882 4.898348,52.359983 4.898358,52.359971 4.895422,52.359072 4.895432,52.359084 4.898367,52.358186 4.898377,52.358169 4.894314,52.358183 4.893974,52.359066 4.893964,52.359048 4.88956,52.359946 4.88955,52.359959 4.892486,52.360857 4.892476,52.360845 4.88954,52.361744 4.88953,52.361738 4.888062,52.362636 4.888052,52.362638 4.88853,52.36231 4.890992)),((52.360904 4.903747,52.360894 4.901284,52.362582 4.901265,52.36285 4.902707,52.360904 4.903747)),((52.363529 4.886574,52.36263 4.886584,52.362624 4.885116,52.363523 4.885106,52.363516 4.883638,52.364415 4.883627,52.364421 4.885095,52.364645 4.885093,52.36353 4.886775,52.363529 4.886574)),((52.365316 4.884056,52.365314 4.883617,52.365592 4.883614,52.365316 4.884056)))";4.8936855;52.3618735;
9;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.91154 52.362733,4.911511 52.365429,4.910043 52.365423,4.910072 52.362727,4.91154 52.362733,4.91155 52.361834,4.910082 52.361828,4.910091 52.36093,4.908623 52.360924,4.908604 52.362721,4.907136 52.362715,4.907107 52.365411,4.905639 52.365405,4.905629 52.366304,4.907097 52.36631,4.907088 52.367209,4.910024 52.367221,4.910014 52.368119,4.908167 52.368112,4.909558 52.369016,4.910288 52.369019,4.911477 52.368611,4.911482 52.368125,4.91288 52.368131,4.914425 52.367601,4.914428 52.367238,4.915474 52.367242,4.917372 52.366592,4.917374 52.366351,4.918066 52.366354,4.918845 52.366086,4.918861 52.36456,4.917393 52.364554,4.917403 52.363655,4.915935 52.363649,4.915944 52.36275,4.914476 52.362745,4.914486 52.361846,4.913018 52.36184,4.913008 52.362739,4.91154 52.362733)),((4.90422 52.360906,4.903747 52.360904,4.902707 52.36285,4.901194 52.365757,4.90416 52.366354,4.90422 52.360906)))";"MULTIPOLYGON(((52.362733 4.91154,52.365429 4.911511,52.365423 4.910043,52.362727 4.910072,52.362733 4.91154,52.361834 4.91155,52.361828 4.910082,52.36093 4.910091,52.360924 4.908623,52.362721 4.908604,52.362715 4.907136,52.365411 4.907107,52.365405 4.905639,52.366304 4.905629,52.36631 4.907097,52.367209 4.907088,52.367221 4.910024,52.368119 4.910014,52.368112 4.908167,52.369016 4.909558,52.369019 4.910288,52.368611 4.911477,52.368125 4.911482,52.368131 4.91288,52.367601 4.914425,52.367238 4.914428,52.367242 4.915474,52.366592 4.917372,52.366351 4.917374,52.366354 4.918066,52.366086 4.918845,52.36456 4.918861,52.364554 4.917393,52.363655 4.917403,52.363649 4.915935,52.36275 4.915944,52.362745 4.914476,52.361846 4.914486,52.36184 4.913018,52.362739 4.913008,52.362733 4.91154)),((52.360906 4.90422,52.360904 4.903747,52.36285 4.902707,52.365757 4.901194,52.366354 4.90416,52.360906 4.90422)))";4.9100325;52.3649545;
10;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.929045 52.373587,4.929055 52.372688,4.930523 52.372694,4.930532 52.371795,4.932 52.371801,4.932019 52.370003,4.929082 52.369992,4.929092 52.369093,4.927623 52.369088,4.927633 52.368189,4.924696 52.368177,4.924687 52.369076,4.926155 52.369082,4.926137 52.370879,4.924668 52.370874,4.924678 52.369975,4.923209 52.369969,4.9232 52.370868,4.921732 52.370862,4.921722 52.371761,4.920254 52.371755,4.920235 52.373553,4.921703 52.373558,4.921694 52.374457,4.923162 52.374463,4.923155 52.375208,4.923562 52.37516,4.927572 52.374033,4.927577 52.373581,4.929045 52.373587)),((4.917289 52.37444,4.917279 52.375338,4.914342 52.375327,4.914352 52.374428,4.917289 52.37444,4.917308 52.372642,4.915839 52.372636,4.915858 52.370839,4.91439 52.370833,4.9144 52.369934,4.912931 52.369929,4.912919 52.371128,4.913394 52.371427,4.913462 52.373627,4.911809 52.376541,4.920214 52.375553,4.920226 52.374451,4.917289 52.37444)),((4.9144 52.369934,4.917336 52.369946,4.917317 52.371743,4.918786 52.371749,4.918823 52.368154,4.917355 52.368149,4.917346 52.369047,4.914409 52.369036,4.9144 52.369934)),((4.924728 52.365096,4.923269 52.36428,4.923256 52.365476,4.924724 52.365481,4.924728 52.365096)),((4.917365 52.36725,4.917372 52.366592,4.915474 52.367242,4.917365 52.36725)),((4.914419 52.368137,4.914425 52.367601,4.91288 52.368131,4.914419 52.368137)),((4.911473 52.369024,4.911477 52.368611,4.910288 52.369019,4.911473 52.369024)),((4.918842 52.366357,4.918845 52.366086,4.918066 52.366354,4.918842 52.366357)),((4.921889 52.375357,4.921685 52.375356,4.921684 52.375381,4.921889 52.375357)),((4.929045 52.373587,4.929045 52.373619,4.92916 52.373587,4.929045 52.373587)))";"MULTIPOLYGON(((52.373587 4.929045,52.372688 4.929055,52.372694 4.930523,52.371795 4.930532,52.371801 4.932,52.370003 4.932019,52.369992 4.929082,52.369093 4.929092,52.369088 4.927623,52.368189 4.927633,52.368177 4.924696,52.369076 4.924687,52.369082 4.926155,52.370879 4.926137,52.370874 4.924668,52.369975 4.924678,52.369969 4.923209,52.370868 4.9232,52.370862 4.921732,52.371761 4.921722,52.371755 4.920254,52.373553 4.920235,52.373558 4.921703,52.374457 4.921694,52.374463 4.923162,52.375208 4.923155,52.37516 4.923562,52.374033 4.927572,52.373581 4.927577,52.373587 4.929045)),((52.37444 4.917289,52.375338 4.917279,52.375327 4.914342,52.374428 4.914352,52.37444 4.917289,52.372642 4.917308,52.372636 4.915839,52.370839 4.915858,52.370833 4.91439,52.369934 4.9144,52.369929 4.912931,52.371128 4.912919,52.371427 4.913394,52.373627 4.913462,52.376541 4.911809,52.375553 4.920214,52.374451 4.920226,52.37444 4.917289)),((52.369934 4.9144,52.369946 4.917336,52.371743 4.917317,52.371749 4.918786,52.368154 4.918823,52.368149 4.917355,52.369047 4.917346,52.369036 4.914409,52.369934 4.9144)),((52.365096 4.924728,52.36428 4.923269,52.365476 4.923256,52.365481 4.924724,52.365096 4.924728)),((52.36725 4.917365,52.366592 4.917372,52.367242 4.915474,52.36725 4.917365)),((52.368137 4.914419,52.367601 4.914425,52.368131 4.91288,52.368137 4.914419)),((52.369024 4.911473,52.368611 4.911477,52.369019 4.910288,52.369024 4.911473)),((52.366357 4.918842,52.366086 4.918845,52.366354 4.918066,52.366357 4.918842)),((52.375357 4.921889,52.375356 4.921685,52.375381 4.921684,52.375357 4.921889)),((52.373587 4.929045,52.373619 4.929045,52.373587 4.92916,52.373587 4.929045)))";4.9211585;52.3704035;
