OBJECTNUMMER;Locatie;Artikelen;SELECTIE;FILTER_DAG;Maandag;Dinsdag;Woensdag;Donderdag;Vrijdag;Zaterdag;Zondag;Dagen;Gemeente;Foto;Website;Meer_informatie;Plattegrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
8;"Waterlooplein";"Kunst / Antiek en curiosa";"KUNSTANTIEK";"Ma|Di|Wo|Do|Vr|Za";"09.00-17.00 uur";"09.00-17.00 uur";"09.00-17.00 uur";"09.00-17.00 uur";"09.00-17.00 uur";"09.00-17.00 uur";"";"Ma - Di - Wo - Do - Vr - Za";"Ja";"waterlooplein_01_27mrt2013_e_v_eis.jpg";"";"";"";"POINT(4.9017532,52.3683554)";"POINT(52.3683554,4.9017532)";4.9017532;52.3683554;
9;"Albert Cuypmarkt";"Algemene waren";"ALGEMEEN";"Ma|Di|Wo|Do|Vr|Za";"10.00-17.00 uur ";"10.00-17.00 uur";"10.00-17.00 uur";"10.00-17.00 uur";"10.00-17.00 uur";"10.00-17.00 uur";"";"Ma - Di - Wo - Do - Vr - Za";"Ja";"fruitstala.cuypmarktmaart2007.jpg";"www.albertcuypmarkt.nl";"";"";"POINT(4.8908741,52.3550078)";"POINT(52.3550078,4.8908741)";4.8908741;52.3550078;
10;"Bos en Lommerplein";"Algemene waren";"ALGEMEEN";"Di|Wo|Do|Vr|Za";"";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"";"Di - Wo - Do - Vr - Za";"Ja";"boslommerplein_004_29mei2007_e_v_eis.jpg";"";"";"";"POINT(4.8457162,52.3784834)";"POINT(52.3784834,4.8457162)";4.8457162;52.3784834;
11;"Buikslotermeerplein";"Algemene waren";"ALGEMEEN";"Ma|Di|Wo|Do|Vr|Za|";"12.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"";"Di - Do - Ma - Vr - Wo - Za";"Ja";"";"";"";"Plattegrond Buikslotermeerplein.pdf";"POINT(4.9364502,52.3986098)";"POINT(52.3986098,4.9364502)";4.9364502;52.3986098;
12;"Dappermarkt";"Algemene waren";"ALGEMEEN";"Ma|Di|Wo|Do|Vr|Za";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"9.00-18.00 uur";"";"Di - Do - Ma - Vr - Wo - Za";"Ja";"dappermarkt003-28mrt2007_e_v_eis.jpg";"";"www.dappermarkt.nl";"";"POINT(4.9277489,52.3622176)";"POINT(52.3622176,4.9277489)";4.9277489;52.3622176;
13;"Anton de Komplein";"Algemene waren";"ALGEMEEN";"Ma|Do|Vr";"9.00-18.00 uur";"";"";"9.00-18.00 uur";"9.00-18.00 uur";"";"";"Do - Ma - Vr";"Ja";"BC-de Kompleinmarkt16-06-14.2.jpg";"";"";"";"POINT(4.956491,52.315419)";"POINT(52.315419,4.956491)";4.956491;52.315419;
14;"Kraaiennest";"Algemene waren";"ALGEMEEN";"Di";"";"9.00-18.00 uur";"";"";"";"";"";"Di";"Ja";"";"";"";"";"POINT(4.9790433,52.3167104)";"POINT(52.3167104,4.9790433)";4.9790433;52.3167104;
16;"Nieuwmarkt";"Algemene waren";"ALGEMEEN";"Ma|Di|Wo|Do|Vr|Za";"09.00-18.00 uur";"09.00-18.00 uur";"09.00-18.00 uur";"09.00-18.00 uur";"09.00-18.00 uur";"09.00-18.00 uur";"";"Ma - Di - Wo - Do - Vr - Za";"Ja";"warenmarkt nieuwmarkt_18mrt2013_e_v_eis.jpg";"";"";"";"POINT(4.900326,52.3725554)";"POINT(52.3725554,4.900326)";4.900326;52.3725554;
18;"Amstelveld";"Bloemen en planten";"BLOEMEN";"Ma";"09.00-18.00 uur";"";"";"";"";"";"";"Ma";"Ja";"2. Amstelveld Edwin van Eis 2013.jpg";"";"";"";"POINT(4.8975789,52.362374)";"POINT(52.362374,4.8975789)";4.8975789;52.362374;
19;"Ganzenhoef";"Algemene waren";"ALGEMEEN";"Za";"";"";"";"";"";"9.00-18.00 uur";"";"Za";"Ja";"";"";"";"";"POINT(4.9698805,52.322095)";"POINT(52.322095,4.9698805)";4.9698805;52.322095;
