OBJECTNUMMER;Naam;Status;Monumentnummer;Aanwijzingsdatum;Monumentenregister;Weblink;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Beatrixpark";"Gemeentelijk monument";200535;"28-6-2005";"";"";"POINT(4.8805849,52.3437926)";"POINT(52.3437926,4.8805849)";4.8805849;52.3437926;
2;"Zorgvlied";"Rijksmonument";530057;"20-12-2007";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1021247";"";"POINT(4.8993938,52.3360297)";"POINT(52.3360297,4.8993938)";4.8993938;52.3360297;
3;"Artis-Papegaaienlaan";"Rijksmonument";518296;"27-9-2001";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1010763";"";"POINT(4.913295,52.3670508)";"POINT(52.3670508,4.913295)";4.913295;52.3670508;
4;"Kinderbrug- plantsoen";"Rijksmonument";527783;"22-9-2004";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1019177";"";"POINT(4.8854272,52.3476225)";"POINT(52.3476225,4.8854272)";4.8854272;52.3476225;
5;"Artis- Hollandse Tuin";"Rijksmonument";518297;"27-9-2001";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1010764";"";"POINT(4.9159429,52.3666121)";"POINT(52.3666121,4.9159429)";4.9159429;52.3666121;
6;"Vondelpark- parkaanleg";"Rijksmonument";504839;"24-5-1996";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=504839";"";"POINT(4.8670061,52.3579222)";"POINT(52.3579222,4.8670061)";4.8670061;52.3579222;
7;"Muzenhof";"Gemeentelijk monument";200602;"27-6-2007";"";"";"POINT(4.875735,52.3473937)";"POINT(52.3473937,4.875735)";4.875735;52.3473937;
8;"Harmoniehof- plantsoenaanleg";"Rijksmonument";527822;"22-9-2004";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1019206";"";"POINT(4.8838608,52.3511359)";"POINT(52.3511359,4.8838608)";4.8838608;52.3511359;
9;"De Nieuwe Ooster";"Rijksmonument";526958;"31-10-2003";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1018421";"http://www.arboretum-denieuweooster.nl";"POINT(4.93872,52.3456771)";"POINT(52.3456771,4.93872)";4.93872;52.3456771;
10;"Buitenplaats Frankendael";"Rijksmonument";422421;"29-2-1992";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=422421";"";"POINT(4.9335282,52.3511397)";"POINT(52.3511397,4.9335282)";4.9335282;52.3511397;
11;"Huis te Vraag";"Gemeentelijk monument";222151;"28-8-2009";"";"";"POINT(4.8486049,52.3465926)";"POINT(52.3465926,4.8486049)";4.8486049;52.3465926;
12;"Amstelrust";"Rijksmonument";515155;"19-12-2006";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1008044";"";"POINT(4.8980019,52.3304717)";"POINT(52.3304717,4.8980019)";4.8980019;52.3304717;
13;"Brug 382 inclusief plantsoen";"Rijksmonument";526747;"3-2-2003";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1018242";"";"POINT(4.86398,52.3755499)";"POINT(52.3755499,4.86398)";4.86398;52.3755499;
14;"Museumtuin Rijksmuseum";"Rijksmonument";530421;"4-10-2011";"http://monumentenregister.cultureelerfgoed.nl/php/monument_pdf.php?OBJnr=1021594";"";"POINT(4.8850019,52.3593032)";"POINT(52.3593032,4.8850019)";4.8850019;52.3593032;

