OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singel";"Singel";"";"";"";"1";"";"0 exemplaren";"POINT(4.888036,52.3688628)";"POINT(52.3688628,4.888036)";4.888036;52.3688628;
2;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Weteringsschans";"";"2";"";"5";"";"0 exemplaren";"POINT(4.8882439,52.3608176)";"POINT(52.3608176,4.8882439)";4.8882439;52.3608176;
3;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singel";"Singel";"";"";"";"1";"";"1";"POINT(4.8882,52.3685843)";"POINT(52.3685843,4.8882)";4.8882;52.3685843;
4;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Weteringsluisje";"SLU";"66";"";"90";"";"123";"POINT(4.888334,52.3606459)";"POINT(52.3606459,4.888334)";4.888334;52.3606459;
5;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Herengracht";"Brug Leidsestraat-Koningsplein";"29";"";"1";"1";"";"0 exemplaren";"POINT(4.8882639,52.366883)";"POINT(52.366883,4.8882639)";4.8882639;52.366883;
6;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Brug Weteringstraat";"89";"1";"";"1";"";"0 exemplaren";"POINT(4.888406,52.3607184)";"POINT(52.3607184,4.888406)";4.888406;52.3607184;
7;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Nieuwe Weteringstraat";"89";"1";"";"";"";"0 exemplaren";"POINT(4.888406,52.3607375)";"POINT(52.3607375,4.888406)";4.888406;52.3607375;
8;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Weteringsluisje";"SLU";"7";"";"8";"";"6";"POINT(4.8884218,52.3606192)";"POINT(52.3606192,4.8884218)";4.8884218;52.3606192;
9;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Weteringsluisje";"SLU";"1";"";"1";"";"1";"POINT(4.8884661,52.3606574)";"POINT(52.3606574,4.8884661)";4.8884661;52.3606574;
10;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Brouwersgracht";"Brouwersgracht";"";"3";"";"5";"";"0 exemplaren";"POINT(4.8883722,52.3807341)";"POINT(52.3807341,4.8883722)";4.8883722;52.3807341;
11;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Nieuwe Weteringstraat";"89";"2";"";"";"";"0 exemplaren";"POINT(4.8886249,52.3608824)";"POINT(52.3608824,4.8886249)";4.8886249;52.3608824;
12;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Herengracht";"Brug Leidsegracht";"29";"";"";"1";"";"0 exemplaren";"POINT(4.8885739,52.3667227)";"POINT(52.3667227,4.8885739)";4.8885739;52.3667227;
13;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Herengracht";"Herengracht";"";"";"";"";"";"1";"POINT(4.8886359,52.3664023)";"POINT(52.3664023,4.8886359)";4.8886359;52.3664023;
14;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Zoutkeetsgracht";"Zoutkeetsgracht";"";"12";"";"";"";"0 exemplaren";"POINT(4.8884332,52.3884017)";"POINT(52.3884017,4.8884332)";4.8884332;52.3884017;
15;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Lijnbaansgracht";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.888787,52.3608023)";"POINT(52.3608023,4.888787)";4.888787;52.3608023;
16;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Realengracht";"Realengracht";"";"2";"";"2";"1";"4";"POINT(4.8885052,52.3871886)";"POINT(52.3871886,4.8885052)";4.8885052;52.3871886;
17;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Lijnbaansgracht";"";"";"";"";"";"1";"POINT(4.8888609,52.3607756)";"POINT(52.3607756,4.8888609)";4.8888609;52.3607756;
18;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Lijnbaansgracht";"Lijnbaansgracht";"";"33";"";"23";"";"19";"POINT(4.8889201,52.3607489)";"POINT(52.3607489,4.8889201)";4.8889201;52.3607489;
19;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Korte Prinsengracht";"Korte Prinsengracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.8887498,52.3810698)";"POINT(52.3810698,4.8887498)";4.8887498;52.3810698;
20;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Zoutkeetsgracht";"Zoutkeetsgracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.888715,52.3881766)";"POINT(52.3881766,4.888715)";4.888715;52.3881766;
21;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Keizersgracht";"Keizersgracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.8891299,52.3642546)";"POINT(52.3642546,4.8891299)";4.8891299;52.3642546;
22;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Korte Prinsengracht";"Sluis Haarlemmerdijk";"SLU";"1";"";"0 exemplaren";"";"0 exemplaren";"POINT(4.8889549,52.3811499)";"POINT(52.3811499,4.8889549)";4.8889549;52.3811499;
23;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Herengracht";"Herengracht";"";"";"";"2";"";"0 exemplaren";"POINT(4.8891418,52.3762709)";"POINT(52.3762709,4.8891418)";4.8891418;52.3762709;
24;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Brouwersgracht";"Brouwersgracht";"";"";"";"2";"";"1";"POINT(4.8891151,52.379975)";"POINT(52.379975,4.8891151)";4.8891151;52.379975;
