OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1";"IB";"124605";"MosGrondmechanicab.v.";"4-11-2005";"1.3";"27.6";-13.1;"POINT(4.798422,52.404209)";"POINT(52.404209,4.798422)";4.798422;52.404209;
2;"1";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.879893,52.392273)";"POINT(52.392273,4.879893)";4.879893;52.392273;
3;"2";"IB";"124605";"MosGrondmechanicab.v.";"4-11-2005";"1.3";"27.6";-17.9;"POINT(4.799377,52.405301)";"POINT(52.405301,4.799377)";4.799377;52.405301;
4;"2";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.880056,52.392174)";"POINT(52.392174,4.880056)";4.880056;52.392174;
5;"3";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"1.4";"35.2";-12.8;"POINT(4.917134,52.389478)";"POINT(52.389478,4.917134)";4.917134;52.389478;
6;"4";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"1.0";"35.2";-12.6;"POINT(4.920079,52.388825)";"POINT(52.388825,4.920079)";4.920079;52.388825;
7;"5";"IB";"101906";"MosGrondmechanicab.v.";"13-9-2006";"0.8";"35.1";-12.2;"POINT(4.921584,52.388237)";"POINT(52.388237,4.921584)";4.921584;52.388237;
8;"5";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-14;"POINT(4.880316,52.392544)";"POINT(52.392544,4.880316)";4.880316;52.392544;
9;"6";"IB";"onbekend";"RUI";"27-5-2008";"onbekend";"onbekend";-21.1;"POINT(4.969477,52.365758)";"POINT(52.365758,4.969477)";4.969477;52.365758;
10;"6";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.9;"POINT(4.880597,52.392428)";"POINT(52.392428,4.880597)";4.880597;52.392428;
11;"7";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.7;"POINT(4.880608,52.392734)";"POINT(52.392734,4.880608)";4.880608;52.392734;
12;"8";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.5;"POINT(4.880801,52.392564)";"POINT(52.392564,4.880801)";4.880801;52.392564;
13;"9";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.5;"POINT(4.880842,52.392843)";"POINT(52.392843,4.880842)";4.880842;52.392843;
14;"10";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.3;"POINT(4.881035,52.392664)";"POINT(52.392664,4.881035)";4.881035;52.392664;
15;"11";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.0";"26.0";-12;"POINT(4.972374,52.371529)";"POINT(52.371529,4.972374)";4.972374;52.371529;
16;"11";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.2;"POINT(4.881134,52.392988)";"POINT(52.392988,4.881134)";4.881134;52.392988;
17;"12";"IB";"3584220";"RUI";"10-1-2005";"onbekend";"onbekend";-13.2;"POINT(4.958382,52.369871)";"POINT(52.369871,4.958382)";4.958382;52.369871;
18;"12";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.881356,52.392827)";"POINT(52.392827,4.881356)";4.881356;52.392827;
19;"14";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"2.5";"27.5";-12.1;"POINT(4.972435,52.369741)";"POINT(52.369741,4.972435)";4.972435;52.369741;
20;"15";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.3";"27.0";-12.1;"POINT(4.974412,52.37026)";"POINT(52.37026,4.974412)";4.974412;52.37026;
21;"15";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.3;"POINT(4.881704,52.39326)";"POINT(52.39326,4.881704)";4.881704;52.39326;
22;"16";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-12.9;"POINT(4.881852,52.393144)";"POINT(52.393144,4.881852)";4.881852;52.393144;
23;"17";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"0.2";"27.4";-13;"POINT(4.975039,52.369193)";"POINT(52.369193,4.975039)";4.975039;52.369193;
24;"17";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.6;"POINT(4.880701,52.392294)";"POINT(52.392294,4.880701)";4.880701;52.392294;
25;"18";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.9";"27.9";-12.3;"POINT(4.977741,52.36914)";"POINT(52.36914,4.977741)";4.977741;52.36914;
26;"18";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.2;"POINT(4.880776,52.392169)";"POINT(52.392169,4.880776)";4.880776;52.392169;
27;"19";"IB";"3584220";"DeRuiterBoringenenBemalingenbv";"2-2-2005";"1.9";"27.6";-12.4;"POINT(4.97716,52.370009)";"POINT(52.370009,4.97716)";4.97716;52.370009;
28;"19";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.88092,52.392421)";"POINT(52.392421,4.88092)";4.88092;52.392421;
29;"20";"IB";"62604";"MosGrondmechanicab.v.";"18-5-2004";"3.8";"34.9";-10;"POINT(5.005955,52.354449)";"POINT(52.354449,5.005955)";5.005955;52.354449;
30;"21";"IB";"62604";"MosGrondmechanicab.v.";"14-5-2004";"2.4";"34.9";-10.1;"POINT(5.00578,52.354305)";"POINT(52.354305,5.00578)";5.00578;52.354305;
31;"21";"IB";"1403568";"MOS";"onbekend";"onbekend";"onbekend";-13.1;"POINT(4.881168,52.392548)";"POINT(52.392548,4.881168)";4.881168;52.392548;
32;"22";"IB";"62604";"MosGrondmechanicab.v.";"13-5-2004";"1.8";"34.9";-10.3;"POINT(5.005784,52.353891)";"POINT(52.353891,5.005784)";5.005784;52.353891;
