OBJECTNUMMER;Buurtnaam;Voorwaarden;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"NDSM terrein";"";"TENZIJ";"POLYGON((4.896029 52.398058,4.895111 52.397378,4.894638 52.397044,4.893914 52.396553,4.893421 52.396231,4.892665 52.395758,4.89156 52.395105,4.889775 52.396405,4.885861 52.39937,4.882702 52.401695,4.884035 52.402846,4.885448 52.404002,4.888595 52.406503,4.891151 52.405282,4.891549 52.405649,4.892546 52.407058,4.892643 52.406978,4.892772 52.406845,4.892884 52.406696,4.892971 52.406523,4.89302 52.40636,4.893154 52.405249,4.893184 52.40511,4.893221 52.405016,4.893275 52.404921,4.893512 52.404618,4.89393 52.404427,4.894614 52.404137,4.900195 52.401467,4.896776 52.398647,4.896029 52.398058))";"POLYGON((52.398058 4.896029,52.397378 4.895111,52.397044 4.894638,52.396553 4.893914,52.396231 4.893421,52.395758 4.892665,52.395105 4.89156,52.396405 4.889775,52.39937 4.885861,52.401695 4.882702,52.402846 4.884035,52.404002 4.885448,52.406503 4.888595,52.405282 4.891151,52.405649 4.891549,52.407058 4.892546,52.406978 4.892643,52.406845 4.892772,52.406696 4.892884,52.406523 4.892971,52.40636 4.89302,52.405249 4.893154,52.40511 4.893184,52.405016 4.893221,52.404921 4.893275,52.404618 4.893512,52.404427 4.89393,52.404137 4.894614,52.401467 4.900195,52.398647 4.896776,52.398058 4.896029))";4.8914535;52.4010741;
2;"Buiksloterham";"";"TENZIJ";"POLYGON((4.89156 52.395105,4.892665 52.395758,4.893421 52.396231,4.893914 52.396553,4.894638 52.397044,4.895111 52.397378,4.896029 52.398058,4.908563 52.39332,4.907432 52.392183,4.906677 52.391497,4.906445 52.391238,4.906251 52.390968,4.906097 52.390689,4.905984 52.390401,4.905913 52.39011,4.905886 52.389815,4.905901 52.38952,4.905958 52.389227,4.906059 52.388896,4.903144 52.388376,4.902004 52.390686,4.901463 52.390633,4.901446 52.390675,4.898626 52.390351,4.898623 52.390363,4.894675 52.389933,4.893986 52.392045,4.89366 52.392817,4.893215 52.393557,4.892659 52.394199,4.892007 52.394779,4.89156 52.395105))";"POLYGON((52.395105 4.89156,52.395758 4.892665,52.396231 4.893421,52.396553 4.893914,52.397044 4.894638,52.397378 4.895111,52.398058 4.896029,52.39332 4.908563,52.392183 4.907432,52.391497 4.906677,52.391238 4.906445,52.390968 4.906251,52.390689 4.906097,52.390401 4.905984,52.39011 4.905913,52.389815 4.905886,52.38952 4.905901,52.389227 4.905958,52.388896 4.906059,52.388376 4.903144,52.390686 4.902004,52.390633 4.901463,52.390675 4.901446,52.390351 4.898626,52.390363 4.898623,52.389933 4.894675,52.392045 4.893986,52.392817 4.89366,52.393557 4.893215,52.394199 4.892659,52.394779 4.892007,52.395105 4.89156))";4.9000666;52.39321005;
3;"Vogelbuurt Zuid";"";"TENZIJ";"POLYGON((4.907474 52.383696,4.912012 52.385811,4.912737 52.386137,4.913784 52.386656,4.914456 52.387021,4.914783 52.387209,4.915421 52.387597,4.915732 52.387796,4.916333 52.388205,4.916908 52.388627,4.917459 52.389062,4.917983 52.389509,4.918233 52.389737,4.923919 52.387557,4.922705 52.386388,4.922577 52.386274,4.922419 52.386175,4.922236 52.386096,4.922033 52.386035,4.921872 52.386006,4.919651 52.385677,4.919292 52.385602,4.918945 52.385508,4.918699 52.385427,4.918386 52.385305,4.918164 52.385202,4.917886 52.385053,4.917568 52.384846,4.916392 52.383996,4.916125 52.383834,4.915839 52.383686,4.91541 52.383499,4.9149 52.383317,4.914566 52.383225,4.91422 52.383151,4.913865 52.383095,4.913503 52.383058,4.913137 52.383042,4.912771 52.383045,4.912407 52.383067,4.912047 52.383109,4.91153 52.383199,4.911349 52.383219,4.911173 52.383229,4.910995 52.38323,4.910817 52.383222,4.910531 52.383188,4.909685 52.383633,4.909579 52.383672,4.909458 52.383687,4.909306 52.383672,4.909199 52.383634,4.909154 52.383608,4.908782 52.383323,4.908664 52.383249,4.908529 52.383184,4.908401 52.383135,4.908327 52.38312,4.908269 52.38312,4.908195 52.383135,4.908132 52.383167,4.907474 52.383696))";"POLYGON((52.383696 4.907474,52.385811 4.912012,52.386137 4.912737,52.386656 4.913784,52.387021 4.914456,52.387209 4.914783,52.387597 4.915421,52.387796 4.915732,52.388205 4.916333,52.388627 4.916908,52.389062 4.917459,52.389509 4.917983,52.389737 4.918233,52.387557 4.923919,52.386388 4.922705,52.386274 4.922577,52.386175 4.922419,52.386096 4.922236,52.386035 4.922033,52.386006 4.921872,52.385677 4.919651,52.385602 4.919292,52.385508 4.918945,52.385427 4.918699,52.385305 4.918386,52.385202 4.918164,52.385053 4.917886,52.384846 4.917568,52.383996 4.916392,52.383834 4.916125,52.383686 4.915839,52.383499 4.91541,52.383317 4.9149,52.383225 4.914566,52.383151 4.91422,52.383095 4.913865,52.383058 4.913503,52.383042 4.913137,52.383045 4.912771,52.383067 4.912407,52.383109 4.912047,52.383199 4.91153,52.383219 4.911349,52.383229 4.911173,52.38323 4.910995,52.383222 4.910817,52.383188 4.910531,52.383633 4.909685,52.383672 4.909579,52.383687 4.909458,52.383672 4.909306,52.383634 4.909199,52.383608 4.909154,52.383323 4.908782,52.383249 4.908664,52.383184 4.908529,52.383135 4.908401,52.38312 4.908327,52.38312 4.908269,52.383135 4.908195,52.383167 4.908132,52.383696 4.907474))";4.9157016;52.3863818;
4;"Bedrijventerrein Hamerstraat";"";"TENZIJ";"POLYGON((4.918945 52.385508,4.919292 52.385602,4.919651 52.385677,4.921872 52.386006,4.922033 52.386035,4.922236 52.386096,4.922419 52.386175,4.922577 52.386274,4.922705 52.386388,4.923919 52.387557,4.924884 52.387551,4.928294 52.386241,4.928035 52.385978,4.937355 52.382401,4.937108 52.38239,4.931087 52.382134,4.922456 52.381097,4.919858 52.380804,4.919044 52.383392,4.91912 52.383559,4.918819 52.384485,4.919256 52.384533,4.918945 52.385508))";"POLYGON((52.385508 4.918945,52.385602 4.919292,52.385677 4.919651,52.386006 4.921872,52.386035 4.922033,52.386096 4.922236,52.386175 4.922419,52.386274 4.922577,52.386388 4.922705,52.387557 4.923919,52.387551 4.924884,52.386241 4.928294,52.385978 4.928035,52.382401 4.937355,52.38239 4.937108,52.382134 4.931087,52.381097 4.922456,52.380804 4.919858,52.383392 4.919044,52.383559 4.91912,52.384485 4.918819,52.384533 4.919256,52.385508 4.918945))";4.928092;52.3841731;
5;"Buurt 2";"";"TENZIJ";"POLYGON((4.837724 52.378851,4.837645 52.378664,4.837682 52.378669,4.837652 52.378599,4.837659 52.378598,4.837631 52.378531,4.837615 52.378534,4.837463 52.378184,4.837464 52.37816,4.836863 52.376731,4.8367 52.376345,4.824081 52.378318,4.823901 52.378359,4.823723 52.378429,4.821983 52.379336,4.820648 52.379546,4.82141 52.381369,4.837724 52.378851))";"POLYGON((52.378851 4.837724,52.378664 4.837645,52.378669 4.837682,52.378599 4.837652,52.378598 4.837659,52.378531 4.837631,52.378534 4.837615,52.378184 4.837463,52.37816 4.837464,52.376731 4.836863,52.376345 4.8367,52.378318 4.824081,52.378359 4.823901,52.378429 4.823723,52.379336 4.821983,52.379546 4.820648,52.381369 4.82141,52.378851 4.837724))";4.8291912;52.37885155;
6;"Noordoever Sloterplas";"";"TENZIJ";"POLYGON((4.835338 52.373145,4.835251 52.372938,4.83528 52.372933,4.835274 52.37292,4.834944 52.372126,4.834694 52.371439,4.834548 52.370905,4.834419 52.37037,4.833679 52.370482,4.833585 52.37051,4.833399 52.370586,4.833262 52.370626,4.832798 52.3707,4.832659 52.370735,4.832319 52.370787,4.832222 52.370554,4.831969 52.370133,4.831072 52.369874,4.830917 52.3698,4.83086 52.369759,4.830794 52.36969,4.829905 52.369907,4.829949 52.369961,4.82931 52.370303,4.829261 52.370358,4.829247 52.370421,4.829267 52.370476,4.829329 52.370552,4.827161 52.37212,4.825654 52.370872,4.824495 52.371824,4.824413 52.371869,4.824315 52.3719,4.821745 52.372304,4.821664 52.372109,4.821633 52.372069,4.821578 52.372032,4.821521 52.372012,4.821451 52.372001,4.821386 52.372002,4.817706 52.372581,4.819042 52.375702,4.835338 52.373145))";"POLYGON((52.373145 4.835338,52.372938 4.835251,52.372933 4.83528,52.37292 4.835274,52.372126 4.834944,52.371439 4.834694,52.370905 4.834548,52.37037 4.834419,52.370482 4.833679,52.37051 4.833585,52.370586 4.833399,52.370626 4.833262,52.3707 4.832798,52.370735 4.832659,52.370787 4.832319,52.370554 4.832222,52.370133 4.831969,52.369874 4.831072,52.3698 4.830917,52.369759 4.83086,52.36969 4.830794,52.369907 4.829905,52.369961 4.829949,52.370303 4.82931,52.370358 4.829261,52.370421 4.829247,52.370476 4.829267,52.370552 4.829329,52.37212 4.827161,52.370872 4.825654,52.371824 4.824495,52.371869 4.824413,52.3719 4.824315,52.372304 4.821745,52.372109 4.821664,52.372069 4.821633,52.372032 4.821578,52.372012 4.821521,52.372001 4.821451,52.372002 4.821386,52.372581 4.817706,52.375702 4.819042,52.373145 4.835338))";4.8265271;52.3726889;
7;"Lucas/Andreasziekenhuis e.o.";"";"TENZIJ";"POLYGON((4.834359 52.370099,4.834419 52.37037,4.834548 52.370905,4.834694 52.371439,4.834944 52.372126,4.835274 52.37292,4.83528 52.372933,4.835251 52.372938,4.835338 52.373145,4.840603 52.372322,4.840862 52.372292,4.841191 52.372266,4.842137 52.372233,4.843038 52.372207,4.843026 52.371903,4.842855 52.371905,4.842854 52.371871,4.842799 52.371855,4.84272 52.370921,4.842572 52.369999,4.842565 52.369716,4.842569 52.36958,4.842154 52.369574,4.842162 52.369302,4.840909 52.369293,4.84047 52.3693,4.840096 52.369323,4.83929 52.369396,4.838858 52.369442,4.838315 52.369517,4.834359 52.370099))";"POLYGON((52.370099 4.834359,52.37037 4.834419,52.370905 4.834548,52.371439 4.834694,52.372126 4.834944,52.37292 4.835274,52.372933 4.83528,52.372938 4.835251,52.373145 4.835338,52.372322 4.840603,52.372292 4.840862,52.372266 4.841191,52.372233 4.842137,52.372207 4.843038,52.371903 4.843026,52.371905 4.842855,52.371871 4.842854,52.371855 4.842799,52.370921 4.84272,52.369999 4.842572,52.369716 4.842565,52.36958 4.842569,52.369574 4.842154,52.369302 4.842162,52.369293 4.840909,52.3693 4.84047,52.369323 4.840096,52.369396 4.83929,52.369442 4.838858,52.369517 4.838315,52.370099 4.834359))";4.83870365;52.37121265;
8;"Overtoomse Veld Noord";"";"TENZIJ";"POLYGON((4.833859 52.36668,4.8339 52.367271,4.833952 52.367714,4.834359 52.370099,4.838315 52.369517,4.838858 52.369442,4.83929 52.369396,4.840096 52.369323,4.84047 52.3693,4.840909 52.369293,4.842162 52.369302,4.842315 52.364137,4.83388 52.364049,4.833851 52.366383,4.833859 52.36668))";"POLYGON((52.36668 4.833859,52.367271 4.8339,52.367714 4.833952,52.370099 4.834359,52.369517 4.838315,52.369442 4.838858,52.369396 4.83929,52.369323 4.840096,52.3693 4.84047,52.369293 4.840909,52.369302 4.842162,52.364137 4.842315,52.364049 4.83388,52.366383 4.833851,52.36668 4.833859))";4.83808805;52.36706605;
9;"Overtoomse Veld Zuid";"";"TENZIJ";"POLYGON((4.83388 52.364049,4.842315 52.364137,4.842456 52.359344,4.834071 52.359266,4.834032 52.359614,4.833963 52.36067,4.833905 52.362457,4.83388 52.364049))";"POLYGON((52.364049 4.83388,52.364137 4.842315,52.359344 4.842456,52.359266 4.834071,52.359614 4.834032,52.36067 4.833963,52.362457 4.833905,52.364049 4.83388))";4.8381729;52.36169305;
10;"Johan Jongkindbuurt";"";"TENZIJ";"POLYGON((4.834071 52.359266,4.842456 52.359344,4.842496 52.357975,4.834197 52.357885,4.834155 52.358546,4.834071 52.359266))";"POLYGON((52.359266 4.834071,52.359344 4.842456,52.357975 4.842496,52.357885 4.834197,52.358546 4.834155,52.359266 4.834071))";4.83828855;52.358607;
