OBJECTNUMMER;ABSREL;Stemdistrict;Stemlocatie;Opgeroepenen;Geldig;Blanco;Ongeldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;Verschil_aantal;Verschil_percentage;GroenLinks;D66;PvdA;VVD;Partij_voor_de_Dieren;Forum_voor_Democratie;DENK;SP;PVV;CDA;ChristenUnie;50PLUS_Partij_vd_Ouderen;Code_Oranje;NIDA;Ouderenpartij_NH;_GroenLinks;_D66;_PvdA;_VVD;_Partij_voor_de_Dieren;_Forum_voor_Democratie;_DENK;_SP;_PVV;_CDA;_ChristenUnie;_50PLUS_Partij_vd_Ouderen;_Code_Oranje;_NIDA;_Ouderenpartij_NH;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
2;"ABS";"001+002";"Stadhuis";1271;1334;4;4;105.6;"GroenLinks";434;0;"D66";186;0;248;0;434;186;157;116;162;87;17;75;22;16;34;8;14;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9001582,52.3675963)";"POINT(52.3675963,4.9001582)";4.9001582;52.3675963;
3;"REL";"001+002";"Stadhuis";1271;1334;4;4;105.6;"GroenLinks";0;32.5;"D66";0;13.9;0;18.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.5;13.9;11.8;8.7;12.1;6.5;1.3;5.6;1.6;1.2;2.5;0.6;1.0;0.2;0.2;"POINT(4.9001582,52.3675963)";"POINT(52.3675963,4.9001582)";4.9001582;52.3675963;
4;"ABS";"003";"Universiteitsbibliotheek Amsterdam";399;616;0;0;154.4;"GroenLinks";181;0;"D66";132;0;49;0;181;132;50;84;68;35;7;11;7;9;10;5;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8897178,52.3676802)";"POINT(52.3676802,4.8897178)";4.8897178;52.3676802;
5;"REL";"003";"Universiteitsbibliotheek Amsterdam";399;616;0;0;154.4;"GroenLinks";0;29.4;"D66";0;21.4;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.4;21.4;8.1;13.6;11.0;5.7;1.1;1.8;1.1;1.5;1.6;0.8;1.0;1.8;0;"POINT(4.8897178,52.3676802)";"POINT(52.3676802,4.8897178)";4.8897178;52.3676802;
6;"ABS";"004";"Leger des Heils";1488;823;6;1;55.8;"GroenLinks";245;0;"D66";115;0;130;0;245;115;74;86;99;86;3;34;11;17;29;7;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.899359,52.3735434)";"POINT(52.3735434,4.899359)";4.899359;52.3735434;
7;"REL";"004";"Leger des Heils";1488;823;6;1;55.8;"GroenLinks";0;29.8;"D66";0;14.0;0;15.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.8;14.0;9.0;10.4;12.0;10.4;0.4;4.1;1.3;2.1;3.5;0.9;1.7;0.4;0;"POINT(4.899359,52.3735434)";"POINT(52.3735434,4.899359)";4.899359;52.3735434;
8;"ABS";"005";"Kensho Premium Fitness";885;940;0;6;106.9;"GroenLinks";273;0;"D66";156;0;117;0;273;156;132;92;87;53;32;31;21;16;10;12;12;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9279382,52.3689467)";"POINT(52.3689467,4.9279382)";4.9279382;52.3689467;
9;"REL";"005";"Kensho Premium Fitness";885;940;0;6;106.9;"GroenLinks";0;29.0;"D66";0;16.6;0;12.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.0;16.6;14.0;9.8;9.3;5.6;3.4;3.3;2.2;1.7;1.1;1.3;1.3;1.1;0.3;"POINT(4.9279382,52.3689467)";"POINT(52.3689467,4.9279382)";4.9279382;52.3689467;
10;"ABS";"006";"OBS De Witte Olifant";1029;843;0;1;82.0;"GroenLinks";287;0;"Partij voor de Dieren";116;0;171;0;287;112;106;72;116;62;3;43;13;6;7;7;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9041812,52.3702742)";"POINT(52.3702742,4.9041812)";4.9041812;52.3702742;
11;"REL";"006";"OBS De Witte Olifant";1029;843;0;1;82.0;"GroenLinks";0;34.0;"Partij voor de Dieren";0;13.8;0;20.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34.0;13.3;12.6;8.5;13.8;7.4;0.4;5.1;1.5;0.7;0.8;0.8;0.8;0.2;0;"POINT(4.9041812,52.3702742)";"POINT(52.3702742,4.9041812)";4.9041812;52.3702742;
