OBJECTNUMMER;Locatie;Drainage;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Driemond";"Mogelijk";"POLYGON((5.015119 52.303659,5.015557 52.304067,5.015997 52.304281,5.016488 52.304422,5.016954 52.304497,5.01719 52.304491,5.017649 52.304336,5.018078 52.304153,5.018416 52.304071,5.018892 52.304005,5.020133 52.303885,5.020299 52.303718,5.020213 52.302901,5.019247 52.30291,5.018335 52.302968,5.017485 52.303094,5.016105 52.303392,5.015119 52.303659))";"POLYGON((52.303659 5.015119,52.304067 5.015557,52.304281 5.015997,52.304422 5.016488,52.304497 5.016954,52.304491 5.01719,52.304336 5.017649,52.304153 5.018078,52.304071 5.018416,52.304005 5.018892,52.303885 5.020133,52.303718 5.020299,52.302901 5.020213,52.30291 5.019247,52.302968 5.018335,52.303094 5.017485,52.303392 5.016105,52.303659 5.015119))";5.017714;52.303692;
2;"Driemond";"Mogelijk";"POLYGON((5.016265 52.306093,5.016603 52.30715,5.016309 52.307128,5.014838 52.30666,5.014711 52.306256,5.014604 52.306244,5.013676 52.306007,5.01326 52.306704,5.013555 52.307298,5.01503 52.30775,5.016005 52.307764,5.016992 52.30751,5.017196 52.307119,5.018958 52.306985,5.019002 52.306107,5.019004 52.305838,5.018228 52.30587,5.016265 52.306093))";"POLYGON((52.306093 5.016265,52.30715 5.016603,52.307128 5.016309,52.30666 5.014838,52.306256 5.014711,52.306244 5.014604,52.306007 5.013676,52.306704 5.01326,52.307298 5.013555,52.30775 5.01503,52.307764 5.016005,52.30751 5.016992,52.307119 5.017196,52.306985 5.018958,52.306107 5.019002,52.305838 5.019004,52.30587 5.018228,52.306093 5.016265))";5.016137;52.306794;
3;"Oostelijk Havengebied";"Mogelijk";"POLYGON((4.934181 52.370387,4.934134 52.371267,4.933975 52.371874,4.933735 52.372331,4.93416 52.37245,4.934959 52.372531,4.935379 52.372509,4.935724 52.372379,4.936171 52.37224,4.936425 52.372179,4.936443 52.370396,4.934181 52.370387))";"POLYGON((52.370387 4.934181,52.371267 4.934134,52.371874 4.933975,52.372331 4.933735,52.37245 4.93416,52.372531 4.934959,52.372509 4.935379,52.372379 4.935724,52.37224 4.936171,52.372179 4.936425,52.370396 4.936443,52.370387 4.934181))";4.935094;52.371452;
4;"Oostelijk Havengebied";"Mogelijk";"POLYGON((4.939059 52.373403,4.947456 52.37429,4.947377 52.374539,4.948635 52.374684,4.949029 52.373494,4.948203 52.373406,4.94726 52.373558,4.939854 52.372721,4.939218 52.372741,4.939059 52.373403))";"POLYGON((52.373403 4.939059,52.37429 4.947456,52.374539 4.947377,52.374684 4.948635,52.373494 4.949029,52.373406 4.948203,52.373558 4.94726,52.372721 4.939854,52.372741 4.939218,52.373403 4.939059))";4.944049;52.3736955;
5;"Oostelijk Havengebied";"Mogelijk";"POLYGON((4.94653 52.376862,4.940992 52.376663,4.940955 52.377022,4.941537 52.377406,4.94647 52.377603,4.94653 52.376862))";"POLYGON((52.376862 4.94653,52.376663 4.940992,52.377022 4.940955,52.377406 4.941537,52.377603 4.94647,52.376862 4.94653))";4.9437475;52.377126;
6;"Oostelijke Eilanden";"Mogelijk";"POLYGON((4.926043 52.368531,4.927245 52.367805,4.927123 52.367765,4.926324 52.367545,4.925489 52.367599,4.924884 52.367801,4.926043 52.368531))";"POLYGON((52.368531 4.926043,52.367805 4.927245,52.367765 4.927123,52.367545 4.926324,52.367599 4.925489,52.367801 4.924884,52.368531 4.926043))";4.9260695;52.368031;
7;"Oostelijke Eilanden";"Mogelijk";"POLYGON((4.931199 52.369594,4.930319 52.370111,4.930917 52.370486,4.931763 52.369921,4.93147 52.369726,4.931199 52.369594))";"POLYGON((52.369594 4.931199,52.370111 4.930319,52.370486 4.930917,52.369921 4.931763,52.369726 4.93147,52.369594 4.931199))";4.931046;52.370033;
8;"Oostelijke Eilanden";"Mogelijk";"POLYGON((4.922817 52.370098,4.92384 52.370745,4.924267 52.370468,4.923234 52.369854,4.922817 52.370098))";"POLYGON((52.370098 4.922817,52.370745 4.92384,52.370468 4.924267,52.369854 4.923234,52.370098 4.922817))";4.923547;52.3702925;
9;"Plantage";"Mogelijk";"POLYGON((4.90525 52.362227,4.904862 52.36299,4.906496 52.363277,4.906908 52.362533,4.90525 52.362227))";"POLYGON((52.362227 4.90525,52.36299 4.904862,52.363277 4.906496,52.362533 4.906908,52.362227 4.90525))";4.90589;52.362745;
10;"Grachtengordel";"Mogelijk";"POLYGON((4.901218 52.359899,4.900522 52.361501,4.901914 52.361768,4.902467 52.360085,4.901218 52.359899))";"POLYGON((52.359899 4.901218,52.361501 4.900522,52.361768 4.901914,52.360085 4.902467,52.359899 4.901218))";4.9014995;52.3608265;
11;"Zuid-Oost";"Mogelijk";"POLYGON((4.945472 52.32391,4.944329 52.325276,4.94651 52.326019,4.947843 52.324466,4.945614 52.323737,4.945472 52.32391))";"POLYGON((52.32391 4.945472,52.325276 4.944329,52.326019 4.94651,52.324466 4.947843,52.323737 4.945614,52.32391 4.945472))";4.946091;52.324871;
12;"Zuid-Oost";"Mogelijk";"POLYGON((4.945883 52.32038,4.943585 52.319606,4.942442 52.3209,4.944717 52.321672,4.945883 52.32038))";"POLYGON((52.32038 4.945883,52.319606 4.943585,52.3209 4.942442,52.321672 4.944717,52.32038 4.945883))";4.9441675;52.320632;
13;"Zuid-Oost";"Mogelijk";"POLYGON((4.937136 52.303768,4.945367 52.30632,4.954284 52.296251,4.947875 52.293971,4.943721 52.298448,4.942267 52.297995,4.937136 52.303768))";"POLYGON((52.303768 4.937136,52.30632 4.945367,52.296251 4.954284,52.293971 4.947875,52.298448 4.943721,52.297995 4.942267,52.303768 4.937136))";4.945715;52.3001385;
14;"Zuid-Oost";"Mogelijk";"POLYGON((4.941154 52.312228,4.944219 52.308931,4.940017 52.307559,4.936776 52.311265,4.941154 52.312228))";"POLYGON((52.312228 4.941154,52.308931 4.944219,52.307559 4.940017,52.311265 4.936776,52.312228 4.941154))";4.9405025;52.3098865;
15;"Zuid-Oost";"Mogelijk";"POLYGON((4.985025 52.293711,4.988268 52.293766,4.988392 52.291712,4.985431 52.291702,4.985273 52.293517,4.985025 52.293711))";"POLYGON((52.293711 4.985025,52.293766 4.988268,52.291712 4.988392,52.291702 4.985431,52.293517 4.985273,52.293711 4.985025))";4.9867135;52.292727;
16;"Zuid-Oost";"Mogelijk";"POLYGON((4.989978 52.29563,4.989957 52.298181,4.997008 52.298182,4.997065 52.295675,4.989978 52.29563))";"POLYGON((52.29563 4.989978,52.298181 4.989957,52.298182 4.997008,52.295675 4.997065,52.29563 4.989978))";4.993516;52.296899;
17;"Zuid-Oost";"Mogelijk";"POLYGON((4.987594 52.297652,4.983126 52.297619,4.983147 52.301143,4.987537 52.301176,4.987594 52.297652))";"POLYGON((52.297652 4.987594,52.297619 4.983126,52.301143 4.983147,52.301176 4.987537,52.297652 4.987594))";4.985365;52.2993905;
18;"Zuid-Oost";"Mogelijk";"POLYGON((4.968825 52.306118,4.965956 52.305186,4.958385 52.302959,4.958102 52.303258,4.968367 52.306646,4.968825 52.306118))";"POLYGON((52.306118 4.968825,52.305186 4.965956,52.302959 4.958385,52.303258 4.958102,52.306646 4.968367,52.306118 4.968825))";4.9634685;52.3047955;
