OBJECTNUMMER;HYDRO_ID;Afbeelding;Toelichting;Link_URL;PDF;PDF2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;66;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.82795 52.346752,4.827892 52.35138,4.834166 52.35141,4.834223 52.346781,4.82795 52.346752))";"POLYGON((52.346752 4.82795,52.35138 4.827892,52.35141 4.834166,52.346781 4.834223,52.346752 4.82795))";4.8310625;52.349074;
2;15;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.833919 52.370035,4.833396 52.365692,4.833995 52.352048,4.81193 52.351826,4.803857 52.350119,4.798899 52.359169,4.807946 52.361094,4.808556 52.361098,4.808862 52.360999,4.808981 52.360892,4.809074 52.360737,4.809016 52.360584,4.808878 52.360485,4.808322 52.360353,4.809638 52.357759,4.810521 52.357486,4.815611 52.358466,4.814892 52.359803,4.814992 52.360043,4.815584 52.360314,4.816092 52.360563,4.816826 52.360995,4.819954 52.36332,4.825239 52.367421,4.828274 52.368256,4.82946 52.369764,4.830707 52.369532,4.831956 52.369904,4.832254 52.370309,4.833919 52.370035))";"POLYGON((52.370035 4.833919,52.365692 4.833396,52.352048 4.833995,52.351826 4.81193,52.350119 4.803857,52.359169 4.798899,52.361094 4.807946,52.361098 4.808556,52.360999 4.808862,52.360892 4.808981,52.360737 4.809074,52.360584 4.809016,52.360485 4.808878,52.360353 4.808322,52.357759 4.809638,52.357486 4.810521,52.358466 4.815611,52.359803 4.814892,52.360043 4.814992,52.360314 4.815584,52.360563 4.816092,52.360995 4.816826,52.36332 4.819954,52.367421 4.825239,52.368256 4.828274,52.369764 4.82946,52.369532 4.830707,52.369904 4.831956,52.370309 4.832254,52.370035 4.833919))";4.816452;52.360207;
3;12;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.83073 52.369911,4.830558 52.370128,4.829689 52.370702,4.826003 52.373182,4.822619 52.373605,4.821047 52.37203,4.815562 52.371862,4.792921 52.374003,4.791949 52.375313,4.789371 52.376394,4.789243 52.376293,4.787494 52.380009,4.787989 52.384125,4.794475 52.384124,4.838773 52.38448,4.838565 52.382433,4.836276 52.376542,4.823799 52.378539,4.824028 52.379198,4.822046 52.379437,4.82162 52.378567,4.834447 52.376495,4.831954 52.370323,4.830793 52.369889,4.83073 52.369911))";"POLYGON((52.369911 4.83073,52.370128 4.830558,52.370702 4.829689,52.373182 4.826003,52.373605 4.822619,52.37203 4.821047,52.371862 4.815562,52.374003 4.792921,52.375313 4.791949,52.376394 4.789371,52.376293 4.789243,52.380009 4.787494,52.384125 4.787989,52.384124 4.794475,52.38448 4.838773,52.382433 4.838565,52.376542 4.836276,52.378539 4.823799,52.379198 4.824028,52.379437 4.822046,52.378567 4.82162,52.376495 4.834447,52.370323 4.831954,52.369889 4.830793,52.369911 4.83073))";4.8131385;52.3771775;
4;67;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.835505 52.37629,4.836127 52.376209,4.836264 52.376216,4.836251 52.376179,4.836837 52.376031,4.842289 52.375057,4.841471 52.372058,4.841817 52.369206,4.842229 52.360932,4.841859 52.359313,4.841953 52.357819,4.848643 52.357876,4.848699 52.355674,4.842301 52.355653,4.842253 52.352609,4.841786 52.352607,4.841793 52.352084,4.83457 52.352098,4.834184 52.365715,4.834637 52.370392,4.832576 52.370819,4.834595 52.375988,4.835075 52.375955,4.835215 52.376205,4.83535 52.376277,4.835505 52.37629))";"POLYGON((52.37629 4.835505,52.376209 4.836127,52.376216 4.836264,52.376179 4.836251,52.376031 4.836837,52.375057 4.842289,52.372058 4.841471,52.369206 4.841817,52.360932 4.842229,52.359313 4.841859,52.357819 4.841953,52.357876 4.848643,52.355674 4.848699,52.355653 4.842301,52.352609 4.842253,52.352607 4.841786,52.352084 4.841793,52.352098 4.83457,52.365715 4.834184,52.370392 4.834637,52.370819 4.832576,52.375988 4.834595,52.375955 4.835075,52.376205 4.835215,52.376277 4.83535,52.37629 4.835505))";4.8406425;52.36418;
5;17;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.839957 52.384778,4.843916 52.384886,4.843846 52.384272,4.844292 52.382741,4.844306 52.381615,4.844226 52.380236,4.843927 52.379166,4.842608 52.375533,4.837035 52.376461,4.839263 52.381652,4.839946 52.383226,4.839957 52.384778))";"POLYGON((52.384778 4.839957,52.384886 4.843916,52.384272 4.843846,52.382741 4.844292,52.381615 4.844306,52.380236 4.844226,52.379166 4.843927,52.375533 4.842608,52.376461 4.837035,52.381652 4.839263,52.383226 4.839946,52.384778 4.839957))";4.8406755;52.3802025;
6;18;"";"Oplossingenkaart:";"";"IB20170095_18a_Bos en Lommer.pdf";"";"POLYGON((4.8449620 52.3847870,4.8451130 52.3828950,4.8452270 52.3818410,4.8451410 52.3805980,4.8448030 52.3789340,4.8435700 52.3756370,4.8449840 52.3753700,4.8471250 52.3756650,4.8550380 52.3768420,4.8586360 52.3643590,4.8591070 52.3639050,4.8670250 52.3725010,4.8645740 52.3747160,4.8603480 52.3850840,4.8449620 52.3847870))";"POLYGON((52.3847870 4.8449620,52.3828950 4.8451130,52.3818410 4.8452270,52.3805980 4.8451410,52.3789340 4.8448030,52.3756370 4.8435700,52.3753700 4.8449840,52.3756650 4.8471250,52.3768420 4.8550380,52.3643590 4.8586360,52.3639050 4.8591070,52.3725010 4.8670250,52.3747160 4.8645740,52.3850840 4.8603480,52.3847870 4.8449620))";4.8553025;52.3744875;
7;20;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.860858 52.385211,4.880814 52.385583,4.873634 52.38149,4.873557 52.380062,4.867203 52.373186,4.864946 52.374832,4.860858 52.385211))";"POLYGON((52.385211 4.860858,52.385583 4.880814,52.38149 4.873634,52.380062 4.873557,52.373186 4.867203,52.374832 4.864946,52.385211 4.860858))";4.870841;52.3793775;
8;19;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.8438680 52.3751360,4.8435280 52.3724530,4.8426360 52.3697680,4.8429460 52.3631290,4.8540720 52.3639400,4.8561180 52.3643480,4.8578453 52.3646225,4.8555230 52.3744080,4.8547394 52.3742306,4.8546424 52.3753633,4.8542020 52.3764960,4.8485270 52.3754430,4.8458270 52.3749740,4.8438680 52.3751360))";"POLYGON((52.3751360 4.8438680,52.3724530 4.8435280,52.3697680 4.8426360,52.3631290 4.8429460,52.3639400 4.8540720,52.3643480 4.8561180,52.3646225 4.8578453,52.3744080 4.8555230,52.3742306 4.8547394,52.3753633 4.8546424,52.3764960 4.8542020,52.3754430 4.8485270,52.3749740 4.8458270,52.3751360 4.8438680))";4.85024565;52.3698055;
9;23;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.858779 52.363539,4.85865 52.363267,4.857387 52.361841,4.856996 52.360769,4.854315 52.357618,4.851016 52.347854,4.848196 52.34337,4.846731 52.342507,4.846137 52.340317,4.846436 52.338099,4.844806 52.338111,4.84409 52.338259,4.843341 52.338523,4.842872 52.338815,4.842575 52.339051,4.842431 52.339279,4.842487 52.340348,4.842469 52.341822,4.842277 52.34477,4.842414 52.345436,4.845697 52.345825,4.845602 52.352252,4.844981 52.352297,4.844865 52.355435,4.849137 52.355455,4.849081 52.360143,4.849777 52.360482,4.849628 52.363233,4.855758 52.363734,4.85651 52.363998,4.85687 52.364088,4.857974 52.364177,4.858261 52.363982,4.858693 52.363772,4.858779 52.363539))";"POLYGON((52.363539 4.858779,52.363267 4.85865,52.361841 4.857387,52.360769 4.856996,52.357618 4.854315,52.347854 4.851016,52.34337 4.848196,52.342507 4.846731,52.340317 4.846137,52.338099 4.846436,52.338111 4.844806,52.338259 4.84409,52.338523 4.843341,52.338815 4.842872,52.339051 4.842575,52.339279 4.842431,52.340348 4.842487,52.341822 4.842469,52.34477 4.842277,52.345436 4.842414,52.345825 4.845697,52.352252 4.845602,52.352297 4.844981,52.355435 4.844865,52.355455 4.849137,52.360143 4.849081,52.360482 4.849777,52.363233 4.849628,52.363734 4.855758,52.363998 4.85651,52.364088 4.85687,52.364177 4.857974,52.363982 4.858261,52.363772 4.858693,52.363539 4.858779))";4.850533;52.351131;
10;24;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.842094 52.351562,4.842987 52.351488,4.84513 52.351537,4.845165 52.346115,4.84166 52.345642,4.840212 52.345652,4.840419 52.342892,4.840429 52.341209,4.840096 52.340478,4.839516 52.33993,4.838724 52.339557,4.837996 52.339343,4.836925 52.33968,4.83608 52.340519,4.835324 52.341476,4.835023 52.34314,4.834825 52.351529,4.842094 52.351562))";"POLYGON((52.351562 4.842094,52.351488 4.842987,52.351537 4.84513,52.346115 4.845165,52.345642 4.84166,52.345652 4.840212,52.342892 4.840419,52.341209 4.840429,52.340478 4.840096,52.33993 4.839516,52.339557 4.838724,52.339343 4.837996,52.33968 4.836925,52.340519 4.83608,52.341476 4.835324,52.34314 4.835023,52.351529 4.834825,52.351562 4.842094))";4.84;52.3454455;
