OBJECTNUMMER;Nummer;Naam;Beschrijving;Prioriteit;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"48";"Spaarndammerbuurt";"Het gebied ligt in een kom, ingeklemd door de hoger gelegen Spaarndammerdijk, -straat en het spoor. Ook is de afstand tot het oppervlaktewater groot.";"Zeer urgent";"POLYGON((4.879079 52.387638,4.876372 52.388693,4.872932 52.390189,4.867888 52.392455,4.868748 52.392815,4.870979 52.392998,4.873677 52.392797,4.876678 52.392706,4.877822 52.391974,4.878104 52.391717,4.878286 52.39164,4.878358 52.391602,4.88114 52.387,4.879079 52.387638))";"POLYGON((52.387638 4.879079,52.388693 4.876372,52.390189 4.872932,52.392455 4.867888,52.392815 4.868748,52.392998 4.870979,52.392797 4.873677,52.392706 4.876678,52.391974 4.877822,52.391717 4.878104,52.39164 4.878286,52.391602 4.878358,52.387 4.88114,52.387638 4.879079))";4.874519;52.389992;
2;"21";"Tuindorp Oostzaan (tussen Sportpark en Meteorenweg)";"Smal opgezette straten met weinig groen. Water verzamelt zich met name in de noordoosthoek van de wijk tegen de gevels. Wijk ligt lager dan de omliggende straten (Meteorenweg en de Oostzanerdijk).";"Urgent";"POLYGON((4.880889 52.415066,4.882901 52.416637,4.883708 52.416354,4.885754 52.414944,4.886293 52.414832,4.892679 52.415693,4.893765 52.415262,4.893234 52.414789,4.89395 52.414493,4.8938 52.414286,4.893924 52.413672,4.893611 52.413393,4.893859 52.413187,4.893616 52.412986,4.893968 52.412802,4.89403 52.412482,4.893187 52.411736,4.892437 52.412061,4.891762 52.411568,4.892478 52.411136,4.891273 52.410313,4.880889 52.415066))";"POLYGON((52.415066 4.880889,52.416637 4.882901,52.416354 4.883708,52.414944 4.885754,52.414832 4.886293,52.415693 4.892679,52.415262 4.893765,52.414789 4.893234,52.414493 4.89395,52.414286 4.8938,52.413672 4.893924,52.413393 4.893611,52.413187 4.893859,52.412986 4.893616,52.412802 4.893968,52.412482 4.89403,52.411736 4.893187,52.412061 4.892437,52.411568 4.891762,52.411136 4.892478,52.410313 4.891273,52.415066 4.880889))";4.8874645;52.413468;
3;"20";"Tuindorp Oostzaan (Fruitbuurt)";"Ondanks voortuinen verzamelt zich relatief veel water op straat en op verschillende locaties staat het water tegen de gevel.";"Urgent";"POLYGON((4.894813 52.409161,4.895257 52.410218,4.896967 52.411609,4.898287 52.412578,4.901524 52.412049,4.899811 52.408416,4.894813 52.409161))";"POLYGON((52.409161 4.894813,52.410218 4.895257,52.411609 4.896967,52.412578 4.898287,52.412049 4.901524,52.408416 4.899811,52.409161 4.894813))";4.8981735;52.41049;
4;"13";"IJplein / Vogelbuurt";"Er staat veel water op straat in de Sperwerlaan, Havikslaan en Meeuwenlaan.";"Zeer urgent";"POLYGON((4.915242 52.386171,4.917232 52.385109,4.918943 52.385815,4.919144 52.38552,4.918254 52.384818,4.917029 52.38399,4.914417 52.382886,4.910764 52.38299,4.911103 52.383642,4.912839 52.384771,4.915242 52.386171))";"POLYGON((52.386171 4.915242,52.385109 4.917232,52.385815 4.918943,52.38552 4.919144,52.384818 4.918254,52.38399 4.917029,52.382886 4.914417,52.38299 4.910764,52.383642 4.911103,52.384771 4.912839,52.386171 4.915242))";4.914959;52.3845215;
5;"14";"Van der Pekbuurt";"Er is veel water tegen de panden op de Van der Pekstraat, Meidoornweg en Heimansweg. Er is veel verharding en weinig waterberging in profiel wegen.";"Urgent";"POLYGON((4.91615 52.390026,4.914973 52.389237,4.91352 52.38866,4.913976 52.387808,4.909208 52.386425,4.907792 52.386556,4.908498 52.387666,4.910222 52.390038,4.910831 52.390931,4.912374 52.391602,4.913944 52.390969,4.91531 52.390439,4.91615 52.390026))";"POLYGON((52.390026 4.91615,52.389237 4.914973,52.38866 4.91352,52.387808 4.913976,52.386425 4.909208,52.386556 4.907792,52.387666 4.908498,52.390038 4.910222,52.390931 4.910831,52.391602 4.912374,52.390969 4.913944,52.390439 4.91531,52.390026 4.91615))";4.911976;52.3890065;
6;"15";"Brede Kerkerpad";"Dit knelpunt ligt aan de voet van de Nieuwerdammerdijk waar zich veel water verzamelt. Gebouwen zijn al wel aangepast, regenbestendig ingericht.";"Zeer urgent";"POLYGON((4.939291 52.391845,4.940086 52.391712,4.940746 52.392297,4.941728 52.391946,4.940745 52.391022,4.939059 52.391174,4.939291 52.391845))";"POLYGON((52.391845 4.939291,52.391712 4.940086,52.392297 4.940746,52.391946 4.941728,52.391022 4.940745,52.391174 4.939059,52.391845 4.939291))";4.9403985;52.3916525;
7;"35";"Osdorpplein";"Er staat veel water op straat, waardoor de ontsluiting van het winkelgebied en de wijk Tussenmeer wordt geblokkeerd.";"Zeer urgent";"POLYGON((4.803206 52.358649,4.802996 52.359072,4.80297 52.359369,4.802978 52.359686,4.80349 52.359699,4.803483 52.35931,4.803574 52.35899,4.803817 52.358699,4.804478 52.358037,4.804573 52.357957,4.804806 52.35794,4.806933 52.358336,4.807077 52.358058,4.804666 52.357582,4.804263 52.357645,4.803975 52.357751,4.803729 52.357935,4.803413 52.3583,4.803206 52.358649))";"POLYGON((52.358649 4.803206,52.359072 4.802996,52.359369 4.80297,52.359686 4.802978,52.359699 4.80349,52.35931 4.803483,52.35899 4.803574,52.358699 4.803817,52.358037 4.804478,52.357957 4.804573,52.35794 4.804806,52.358336 4.806933,52.358058 4.807077,52.357582 4.804666,52.357645 4.804263,52.357751 4.803975,52.357935 4.803729,52.3583 4.803413,52.358649 4.803206))";4.8050285;52.3586335;
8;"28";"Ruys de Beerenbrouckstraat";"Centrale deel van de straat ligt laag, water verzamelt zich daar vanaf de Haarlemmerweg en omgeving.";"Urgent";"POLYGON((4.801991 52.382573,4.802884 52.382601,4.802792 52.383671,4.803453 52.383662,4.803476 52.38333,4.80476 52.383336,4.804807 52.38267,4.806653 52.382668,4.806676 52.380944,4.805335 52.380925,4.804131 52.380884,4.802965 52.38089,4.802911 52.380533,4.802523 52.380531,4.802482 52.382195,4.797896 52.382125,4.797893 52.382445,4.801991 52.382573))";"POLYGON((52.382573 4.801991,52.382601 4.802884,52.383671 4.802792,52.383662 4.803453,52.38333 4.803476,52.383336 4.80476,52.38267 4.804807,52.382668 4.806653,52.380944 4.806676,52.380925 4.805335,52.380884 4.804131,52.38089 4.802965,52.380533 4.802911,52.380531 4.802523,52.382195 4.802482,52.382125 4.797896,52.382445 4.797893,52.382573 4.801991))";4.8022895;52.382094;
9;"36";"Antwerpenbaan";"Veel water op straat zorgt voor stremming van een hoofdontsluitingsroute.";"Zeer urgent";"POLYGON((4.816139 52.346424,4.820244 52.34646,4.820239 52.346212,4.816162 52.346214,4.816139 52.346424))";"POLYGON((52.346424 4.816139,52.34646 4.820244,52.346212 4.820239,52.346214 4.816162,52.346424 4.816139))";4.8181965;52.346329;
10;"46";"Food Center Amsterdam";"Bij hevige regenval verzamelt zich veel water op straat en tegen de gevels in het centrale deel van het Food Center. Het hemelwater wordt niet afgewaterd naar de omliggende grachten.";"Urgent";"POLYGON((4.864143 52.380193,4.866716 52.38052,4.868044 52.376626,4.865406 52.376341,4.864143 52.380193))";"POLYGON((52.380193 4.864143,52.38052 4.866716,52.376626 4.868044,52.376341 4.865406,52.380193 4.864143))";4.8660985;52.3784235;
