OBJECTNUMMER;Locatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"A - Baarsjesweg";"POLYGON((4.86478 52.370122,4.864455 52.369857,4.864236 52.369899,4.863616 52.36922,4.863629 52.369097,4.863347 52.368987,4.862841 52.369141,4.862967 52.369474,4.863071 52.369603,4.863017 52.37003,4.862558 52.370165,4.862234 52.370356,4.862072 52.370625,4.86224 52.370952,4.862287 52.371161,4.862407 52.371394,4.862234 52.371422,4.861994 52.371344,4.85993 52.37174,4.859658 52.371841,4.858847 52.371929,4.858809 52.372041,4.859598 52.37195,4.85982 52.372081,4.860211 52.37204,4.862108 52.37168,4.862325 52.37147,4.862465 52.371438,4.86233 52.371164,4.862463 52.370856,4.863119 52.370723,4.863701 52.370426,4.864607 52.370162,4.86478 52.370122))";"POLYGON((52.370122 4.86478,52.369857 4.864455,52.369899 4.864236,52.36922 4.863616,52.369097 4.863629,52.368987 4.863347,52.369141 4.862841,52.369474 4.862967,52.369603 4.863071,52.37003 4.863017,52.370165 4.862558,52.370356 4.862234,52.370625 4.862072,52.370952 4.86224,52.371161 4.862287,52.371394 4.862407,52.371422 4.862234,52.371344 4.861994,52.37174 4.85993,52.371841 4.859658,52.371929 4.858847,52.372041 4.858809,52.37195 4.859598,52.372081 4.85982,52.37204 4.860211,52.37168 4.862108,52.37147 4.862325,52.371438 4.862465,52.371164 4.86233,52.370856 4.862463,52.370723 4.863119,52.370426 4.863701,52.370162 4.864607,52.370122 4.86478))";4.8617995;52.370527;
2;"D - Bellamyplein";"POLYGON((4.867455 52.368135,4.867838 52.367612,4.86761 52.36682,4.864906 52.36621,4.864715 52.366354,4.864588 52.366323,4.864792 52.36618,4.863466 52.365845,4.863161 52.366303,4.863221 52.366455,4.863097 52.36663,4.863628 52.366767,4.863437 52.367074,4.864665 52.367353,4.864779 52.367193,4.865819 52.367435,4.86665 52.367256,4.867452 52.367463,4.867607 52.367572,4.867099 52.36833,4.86626 52.368127,4.866071 52.36841,4.865771 52.368338,4.865729 52.368405,4.86372 52.367964,4.863229 52.36813,4.863533 52.36847,4.863887 52.36835,4.866787 52.369002,4.866956 52.36869,4.867027 52.368702,4.867204 52.368372,4.867187 52.368307,4.867321 52.368111,4.867455 52.368135))";"POLYGON((52.368135 4.867455,52.367612 4.867838,52.36682 4.86761,52.36621 4.864906,52.366354 4.864715,52.366323 4.864588,52.36618 4.864792,52.365845 4.863466,52.366303 4.863161,52.366455 4.863221,52.36663 4.863097,52.366767 4.863628,52.367074 4.863437,52.367353 4.864665,52.367193 4.864779,52.367435 4.865819,52.367256 4.86665,52.367463 4.867452,52.367572 4.867607,52.36833 4.867099,52.368127 4.86626,52.36841 4.866071,52.368338 4.865771,52.368405 4.865729,52.367964 4.86372,52.36813 4.863229,52.36847 4.863533,52.36835 4.863887,52.369002 4.866787,52.36869 4.866956,52.368702 4.867027,52.368372 4.867204,52.368307 4.867187,52.368111 4.867321,52.368135 4.867455))";4.8654725;52.3674165;
3;"B - Sloterkade";"POLYGON((4.852902 52.35735,4.853003 52.357351,4.853086 52.357164,4.853777 52.357157,4.853494 52.355933,4.853137 52.354777,4.853021 52.354158,4.852931 52.354166,4.852931 52.354208,4.853036 52.3547,4.853113 52.354953,4.852931 52.355141,4.852902 52.35735))";"POLYGON((52.35735 4.852902,52.357351 4.853003,52.357164 4.853086,52.357157 4.853777,52.355933 4.853494,52.354777 4.853137,52.354158 4.853021,52.354166 4.852931,52.354208 4.852931,52.3547 4.853036,52.354953 4.853113,52.355141 4.852931,52.35735 4.852902))";4.8533445;52.3557475;
4;"C - Leegmeerplein";"POLYGON((4.851595 52.352661,4.852283 52.352664,4.85193 52.351532,4.851608 52.35153,4.851595 52.352661))";"POLYGON((52.352661 4.851595,52.352664 4.852283,52.351532 4.85193,52.35153 4.851608,52.352661 4.851595))";4.851944;52.35209;
5;"E - 2e Costantijn Huygensstraat";"POLYGON((4.872454 52.363489,4.872812 52.363581,4.873224 52.362983,4.87471 52.363365,4.874859 52.363156,4.875154 52.363298,4.877288 52.363874,4.877449 52.36368,4.875311 52.363096,4.874851 52.363091,4.873632 52.362771,4.873728 52.362628,4.872737 52.362369,4.872658 52.362474,4.8712 52.362091,4.870487 52.361935,4.867488 52.361161,4.8672 52.361588,4.872784 52.363022,4.872454 52.363489))";"POLYGON((52.363489 4.872454,52.363581 4.872812,52.362983 4.873224,52.363365 4.87471,52.363156 4.874859,52.363298 4.875154,52.363874 4.877288,52.36368 4.877449,52.363096 4.875311,52.363091 4.874851,52.362771 4.873632,52.362628 4.873728,52.362369 4.872737,52.362474 4.872658,52.362091 4.8712,52.361935 4.870487,52.361161 4.867488,52.361588 4.8672,52.363022 4.872784,52.363489 4.872454))";4.8723295;52.3625105;
6;"F - Sophialaan";"MULTIPOLYGON(((4.855981 52.354709,4.857098 52.35493,4.85675 52.355918,4.86534 52.358168,4.867367 52.355348,4.867851 52.355428,4.867921 52.355287,4.867954 52.355234,4.86809 52.355271,4.868736 52.354433,4.857006 52.351345,4.856726 52.351779,4.857412 52.351959,4.857202 52.352276,4.857229 52.352468,4.856963 52.352873,4.856907 52.352985,4.856772 52.353329,4.856719 52.353494,4.856657 52.353757,4.856561 52.354091,4.856521 52.354197,4.856442 52.354315,4.856327 52.354432,4.855981 52.354709)),((4.867851 52.355428,4.867955 52.355445,4.86809 52.355271,4.867954 52.355234,4.867921 52.355287,4.867851 52.355428)))";"MULTIPOLYGON(((52.354709 4.855981,52.35493 4.857098,52.355918 4.85675,52.358168 4.86534,52.355348 4.867367,52.355428 4.867851,52.355287 4.867921,52.355234 4.867954,52.355271 4.86809,52.354433 4.868736,52.351345 4.857006,52.351779 4.856726,52.351959 4.857412,52.352276 4.857202,52.352468 4.857229,52.352873 4.856963,52.352985 4.856907,52.353329 4.856772,52.353494 4.856719,52.353757 4.856657,52.354091 4.856561,52.354197 4.856521,52.354315 4.856442,52.354432 4.856327,52.354709 4.855981)),((52.355428 4.867851,52.355445 4.867955,52.355271 4.86809,52.355234 4.867954,52.355287 4.867921,52.355428 4.867851)))";4.8623635;52.3547495;
7;"F - Vossiusstraat";"POLYGON((4.86534 52.358168,4.866777 52.358653,4.866885 52.358638,4.867036 52.358603,4.867176 52.358559,4.867268 52.358523,4.867368 52.358475,4.867479 52.358411,4.867596 52.358358,4.867747 52.358319,4.867927 52.358296,4.868113 52.358285,4.868254 52.358288,4.868411 52.3583,4.868628 52.358331,4.868632 52.358461,4.868687 52.35855,4.868767 52.35863,4.868895 52.358711,4.869318 52.35891,4.869367 52.358926,4.869291 52.359009,4.8697 52.359152,4.869814 52.359201,4.869869 52.359233,4.869901 52.359269,4.869923 52.359328,4.869929 52.359421,4.8699 52.359512,4.869824 52.359611,4.874479 52.360776,4.875174 52.361371,4.875747 52.361524,4.876177 52.360924,4.876701 52.361062,4.879919 52.361933,4.880826 52.362208,4.881284 52.361865,4.882311 52.36151,4.882713 52.360938,4.882653 52.360922,4.88262 52.360969,4.877853 52.359696,4.877402 52.36033,4.876619 52.360155,4.876998 52.359645,4.877431 52.359753,4.877618 52.359485,4.877522 52.35946,4.877575 52.359468,4.877752 52.359276,4.87782 52.359378,4.881375 52.360271,4.881539 52.359992,4.87791 52.359045,4.878052 52.358837,4.877724 52.358622,4.878036 52.358189,4.877638 52.357351,4.875323 52.356719,4.875265 52.356604,4.874882 52.356479,4.874826 52.356602,4.871242 52.355607,4.8711 52.35582,4.868436 52.35517,4.868158 52.355289,4.86809 52.355271,4.867955 52.355445,4.867851 52.355428,4.867367 52.355348,4.86534 52.358168),(4.877522 52.35946,4.877474 52.359453,4.877477 52.359448,4.877522 52.35946),(4.87726 52.359393,4.877139 52.359454,4.875778 52.359109,4.875289 52.358973,4.875479 52.358713,4.877324 52.35921,4.877589 52.359299,4.877477 52.359448,4.87726 52.359393))";"POLYGON((52.358168 4.86534,52.358653 4.866777,52.358638 4.866885,52.358603 4.867036,52.358559 4.867176,52.358523 4.867268,52.358475 4.867368,52.358411 4.867479,52.358358 4.867596,52.358319 4.867747,52.358296 4.867927,52.358285 4.868113,52.358288 4.868254,52.3583 4.868411,52.358331 4.868628,52.358461 4.868632,52.35855 4.868687,52.35863 4.868767,52.358711 4.868895,52.35891 4.869318,52.358926 4.869367,52.359009 4.869291,52.359152 4.8697,52.359201 4.869814,52.359233 4.869869,52.359269 4.869901,52.359328 4.869923,52.359421 4.869929,52.359512 4.8699,52.359611 4.869824,52.360776 4.874479,52.361371 4.875174,52.361524 4.875747,52.360924 4.876177,52.361062 4.876701,52.361933 4.879919,52.362208 4.880826,52.361865 4.881284,52.36151 4.882311,52.360938 4.882713,52.360922 4.882653,52.360969 4.88262,52.359696 4.877853,52.36033 4.877402,52.360155 4.876619,52.359645 4.876998,52.359753 4.877431,52.359485 4.877618,52.35946 4.877522,52.359468 4.877575,52.359276 4.877752,52.359378 4.87782,52.360271 4.881375,52.359992 4.881539,52.359045 4.87791,52.358837 4.878052,52.358622 4.877724,52.358189 4.878036,52.357351 4.877638,52.356719 4.875323,52.356604 4.875265,52.356479 4.874882,52.356602 4.874826,52.355607 4.871242,52.35582 4.8711,52.35517 4.868436,52.355289 4.868158,52.355271 4.86809,52.355445 4.867955,52.355428 4.867851,52.355348 4.867367,52.358168 4.86534),(52.35946 4.877522,52.359453 4.877474,52.359448 4.877477,52.35946 4.877522),(52.359393 4.87726,52.359454 4.877139,52.359109 4.875778,52.358973 4.875289,52.358713 4.875479,52.35921 4.877324,52.359299 4.877589,52.359448 4.877477,52.359393 4.87726))";4.8740315;52.358682;
8;"F - Kattenlaan";"POLYGON((4.876146 52.362746,4.876444 52.362344,4.876832 52.362443,4.876569 52.362869,4.878784 52.363508,4.879529 52.362961,4.879625 52.362521,4.878754 52.362562,4.877811 52.362308,4.878072 52.361951,4.876389 52.361496,4.876701 52.361062,4.876177 52.360924,4.875747 52.361524,4.875174 52.361371,4.874479 52.360776,4.869824 52.359611,4.869743 52.359663,4.869647 52.359698,4.869532 52.359713,4.869409 52.359707,4.869267 52.359689,4.869094 52.359656,4.868939 52.359615,4.868795 52.35957,4.868658 52.359517,4.868496 52.35944,4.8683 52.359337,4.868194 52.359288,4.868093 52.359249,4.867957 52.35921,4.867832 52.359185,4.867665 52.359165,4.8675 52.35916,4.866879 52.359152,4.866688 52.359143,4.866555 52.359118,4.866403 52.359076,4.8663 52.359014,4.866267 52.358948,4.866261 52.358787,4.866285 52.358743,4.866327 52.358712,4.866392 52.358685,4.866484 52.358665,4.866777 52.358653,4.86534 52.358168,4.85675 52.355918,4.857098 52.35493,4.855981 52.354709,4.855535 52.355065,4.854966 52.356203,4.854846 52.356411,4.860428 52.357856,4.859925 52.358636,4.861358 52.35901,4.861863 52.358228,4.864064 52.358798,4.863608 52.359509,4.866115 52.360086,4.866508 52.35943,4.86816 52.359842,4.86782 52.360408,4.870589 52.361099,4.870722 52.360891,4.873657 52.361646,4.873964 52.361588,4.874063 52.361784,4.875388 52.362127,4.87517 52.362465,4.876146 52.362746))";"POLYGON((52.362746 4.876146,52.362344 4.876444,52.362443 4.876832,52.362869 4.876569,52.363508 4.878784,52.362961 4.879529,52.362521 4.879625,52.362562 4.878754,52.362308 4.877811,52.361951 4.878072,52.361496 4.876389,52.361062 4.876701,52.360924 4.876177,52.361524 4.875747,52.361371 4.875174,52.360776 4.874479,52.359611 4.869824,52.359663 4.869743,52.359698 4.869647,52.359713 4.869532,52.359707 4.869409,52.359689 4.869267,52.359656 4.869094,52.359615 4.868939,52.35957 4.868795,52.359517 4.868658,52.35944 4.868496,52.359337 4.8683,52.359288 4.868194,52.359249 4.868093,52.35921 4.867957,52.359185 4.867832,52.359165 4.867665,52.35916 4.8675,52.359152 4.866879,52.359143 4.866688,52.359118 4.866555,52.359076 4.866403,52.359014 4.8663,52.358948 4.866267,52.358787 4.866261,52.358743 4.866285,52.358712 4.866327,52.358685 4.866392,52.358665 4.866484,52.358653 4.866777,52.358168 4.86534,52.355918 4.85675,52.35493 4.857098,52.354709 4.855981,52.355065 4.855535,52.356203 4.854966,52.356411 4.854846,52.357856 4.860428,52.358636 4.859925,52.35901 4.861358,52.358228 4.861863,52.358798 4.864064,52.359509 4.863608,52.360086 4.866115,52.35943 4.866508,52.359842 4.86816,52.360408 4.86782,52.361099 4.870589,52.360891 4.870722,52.361646 4.873657,52.361588 4.873964,52.361784 4.874063,52.362127 4.875388,52.362465 4.87517,52.362746 4.876146))";4.8672405;52.3591015;
9;"H - Rustenburgerstraat";"POLYGON((4.899607 52.35393,4.899738 52.353653,4.901629 52.353988,4.904033 52.354697,4.903765 52.355052,4.905189 52.355477,4.905578 52.354925,4.906334 52.354061,4.907098 52.352925,4.907442 52.353012,4.907825 52.352512,4.906068 52.352123,4.905794 52.352593,4.904967 52.352397,4.904846 52.352597,4.904701 52.352758,4.904365 52.352689,4.9042 52.353009,4.904055 52.35321,4.902512 52.352877,4.900228 52.352502,4.900429 52.352059,4.899496 52.351911,4.89911 52.352014,4.898968 52.351836,4.898135 52.352066,4.898142 52.352134,4.898946 52.352269,4.898749 52.352688,4.899646 52.352848,4.900773 52.352991,4.90171 52.353166,4.901524 52.353519,4.899954 52.353235,4.899552 52.353175,4.899315 52.353662,4.898761 52.353557,4.898668 52.353746,4.899607 52.35393))";"POLYGON((52.35393 4.899607,52.353653 4.899738,52.353988 4.901629,52.354697 4.904033,52.355052 4.903765,52.355477 4.905189,52.354925 4.905578,52.354061 4.906334,52.352925 4.907098,52.353012 4.907442,52.352512 4.907825,52.352123 4.906068,52.352593 4.905794,52.352397 4.904967,52.352597 4.904846,52.352758 4.904701,52.352689 4.904365,52.353009 4.9042,52.35321 4.904055,52.352877 4.902512,52.352502 4.900228,52.352059 4.900429,52.351911 4.899496,52.352014 4.89911,52.351836 4.898968,52.352066 4.898135,52.352134 4.898142,52.352269 4.898946,52.352688 4.898749,52.352848 4.899646,52.352991 4.900773,52.353166 4.90171,52.353519 4.901524,52.353235 4.899954,52.353175 4.899552,52.353662 4.899315,52.353557 4.898761,52.353746 4.898668,52.35393 4.899607))";4.902985;52.3536495;
10;"G - Hemonystraat";"POLYGON((4.902416 52.357365,4.903954 52.357799,4.904169 52.357331,4.902774 52.356921,4.902597 52.357212,4.902416 52.357365))";"POLYGON((52.357365 4.902416,52.357799 4.903954,52.357331 4.904169,52.356921 4.902774,52.357212 4.902597,52.357365 4.902416))";4.9032975;52.357353;
