OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Kelbergen 153";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.9769871,52.3113867)";"POINT(52.3113867,4.9769871)";4.9769871;52.3113867;
2;"Koninkrijkszaal - Jehova`s getuigen";"Koninkrijkszaal";"Sleewijkstraat 12";"Woonhuis";"Jehova`s getuigen";5;"Christelijke kerk overig";"";"POINT(4.9718339,52.2915923)";"POINT(52.2915923,4.9718339)";4.9718339;52.2915923;
3;"Shambhala meditatie centrum - Shambhala- en Tibetaans-boeddhistisch";"Shambhala meditatie centrum";"1e Jacob van Campenstraat 4";"Onbekend";"Shambhala- en Tibetaans-boeddhistisch";11;"Boeddhistische tempel";"http://www.shambhala.nl/index.php?id=7100";"POINT(4.887224,52.357453)";"POINT(52.357453,4.887224)";4.887224;52.357453;
4;"De Brug - Unie van Baptisten Gemeenten in Nederland";"De Brug";"Aakstraat 3";"Kerk";"Unie van Baptisten Gemeenten in Nederland";1;"Evangelische- of Pinksterkerk";"http://www.baptisten.nl";"POINT(4.9156229,52.4061057)";"POINT(52.4061057,4.9156229)";4.9156229;52.4061057;
5;"De Brug - Holland Methodist Church";"De Brug";"Aakstraat 3";"Kerk";"Holland Methodist Church";5;"Christelijke kerk overig";"http://hollandmethodistchurch.org";"POINT(4.9158242,52.4060027)";"POINT(52.4060027,4.9158242)";4.9158242;52.4060027;
6;"De Ark";"De Ark";"Banne Buikslootlaan 63C";"Onbekend";"";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9125211,52.4078757)";"POINT(52.4078757,4.9125211)";4.9125211;52.4078757;
7;"Dorpskerk Zunderdorp - Classis Edam-Zaandam";"Dorpskerk Zunderdorp";"Achterlaan 12";"Kerk";"Classis Edam-Zaandam";3;"Protestantse Kerk Nederland (PKN)";"";"POINT(4.9667718,52.4069411)";"POINT(52.4069411,4.9667718)";4.9667718;52.4069411;
8;"Heilige Franciscus van Assisi (De Boomkerk) - Ook Engels, All Saints Chruch - Afrikaans Katholiek";"Heilige Franciscus van Assisi (De Boomkerk)";"Admiraal De Ruijterweg 406";"Kerk";"Ook Engels, All Saints Chruch - Afrikaans Katholiek";2;"Rooms Katholieke kerk";"";"POINT(4.850642,52.3830954)";"POINT(52.3830954,4.850642)";4.850642;52.3830954;
9;"Rafaelgemeenschap Haggai";"Rafaelgemeenschap Haggai";"Alkmaarstraat 10";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"http://rafaelamsterdamnoord.nl/";"POINT(4.9511378,52.3947608)";"POINT(52.3947608,4.9511378)";4.9511378;52.3947608;
10;"Sint Agneskerk - Priesterbroederschap van Sint Petrus";"Sint Agneskerk";"Amstelveenseweg 163";"Kerk";"Priesterbroederschap van Sint Petrus";2;"Rooms Katholieke kerk";"";"POINT(4.8577759,52.3501975)";"POINT(52.3501975,4.8577759)";4.8577759;52.3501975;
11;"Augustinuskerk";"Augustinuskerk";"Amstelveenseweg 965";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.8582108,52.3222815)";"POINT(52.3222815,4.8582108)";4.8582108;52.3222815;
12;"Amstelkerk - Christelijke Gereformeerde Kerken in Nederland (CGK)";"Amstelkerk";"Amstelveld 8";"Kerk";"Christelijke Gereformeerde Kerken in Nederland (CGK)";4;"Gereformeerde kerk";"";"POINT(4.8963902,52.3622824)";"POINT(52.3622824,4.8963902)";4.8963902;52.3622824;
13;"Immanuelkerk - Chinese Evangelisch Christelijke Kerk? EMSI Europe";"Immanuelkerk";"Anton Waldorpstraat 90";"Kerk";"Chinese Evangelisch Christelijke Kerk? EMSI Europe";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8410361,52.3616263)";"POINT(52.3616263,4.8410361)";4.8410361;52.3616263;
