"�..OBJECTNUMMER";"SELECTIE";"Besluitnummer";"Status";"Omschrijving";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
2;"BLAUW";"1. Oost 2 - AA";"OK";"Beukenweg, weerszijden";"LINESTRING(4.9175533 52.3579906,4.9175545 52.3579562,4.9176960 52.3577710,4.9177594 52.3577246,4.9178693 52.3575808)";"LINESTRING(52.3579906 4.9175533,52.3579562 4.9175545,52.3577710 4.9176960,52.3577246 4.9177594,52.3575808 4.9178693)";4.9177163;52.3577787;NA
4;"BLAUW";"1. Oost 4 - G";"OK";"Weesperzijde, weerszijden, tussen Mr. Treublaan en Van der Kunstraat";"LINESTRING(4.9135880 52.3473022,4.9136703 52.3472437,4.9137048 52.3472085,4.9137260 52.3471700,4.9143510 52.3459580)";"LINESTRING(52.3473022 4.9135880,52.3472437 4.9136703,52.3472085 4.9137048,52.3471700 4.9137260,52.3459580 4.9143510)";4.9139745;52.3466231;NA
6;"ROOD";"1. Oost 2 - T";"OK";"Weesperzijde, tussen Eerste Oosterparkstraat en Burmanstraat, in beide richtingen";"LINESTRING(4.9074883 52.3555126,4.9078240 52.3549200,4.9078650 52.3548890,4.9081440 52.3547120,4.9084060 52.3545420,4.9084710 52.3545150,4.9086170 52.3544780,4.9086810 52.3544540,4.9087670 52.3544070,4.9088430 52.3543524)";"LINESTRING(52.3555126 4.9074883,52.3549200 4.9078240,52.3548890 4.9078650,52.3547120 4.9081440,52.3545420 4.9084060,52.3545150 4.9084710,52.3544780 4.9086170,52.3544540 4.9086810,52.3544070 4.9087670,52.3543524 4.9088430)";4.90817065;52.3549255;NA
7;"ROOD";"1. Centrum 3 - K1";"OK";"Frederiksplein, dwars over het plein van zuidoost naar noordwest, in beide richtingen";"LINESTRING(4.8996920 52.3606160,4.8997770 52.3605510,4.8999260 52.3604700,4.9008110 52.3600590,4.9010720 52.3599580)";"LINESTRING(52.3606160 4.8996920,52.3605510 4.8997770,52.3604700 4.8999260,52.3600590 4.9008110,52.3599580 4.9010720)";4.900387;52.36028;NA
11;"ROOD";"1. Centrum 4 - Z";"OK";"Plantage Kerklaan, tussen Entrepotdok en Plantage Doklaan, in beide richtingen";"LINESTRING(4.9134050 52.3681760,4.9134110 52.3681425,4.9134160 52.3681101,4.9134047 52.3680754,4.9133734 52.3680402)";"LINESTRING(52.3681760 4.9134050,52.3681425 4.9134110,52.3681101 4.9134160,52.3680754 4.9134047,52.3680402 4.9133734)";4.9133997;52.3681011;NA
15;"ROOD";"1. Centrum 4 - J";"OK";"Cruquiuskade, weerszijden, tussen Czaar Peterstraat en Keerwal";"LINESTRING(4.9257790 52.3675010,4.9258224 52.3674760,4.9258830 52.3674610,4.9259574 52.3674524,4.9260283 52.3674494,4.9260821 52.3674529,4.9261219 52.3674608,4.9261439 52.3674725,4.9261600 52.3674880)";"LINESTRING(52.3675010 4.9257790,52.3674760 4.9258224,52.3674610 4.9258830,52.3674524 4.9259574,52.3674494 4.9260283,52.3674529 4.9260821,52.3674608 4.9261219,52.3674725 4.9261439,52.3674880 4.9261600)";4.9259745;52.3674682;NA
17;"ROOD";"1. Centrum 4 - AA";"OK";"Nieuwe Herengracht, waterzijde, tussen Anne Frankstraat en Rapenburgerplein";"LINESTRING(4.9099279 52.3694396,4.9109075 52.3700772)";"LINESTRING(52.3694396 4.9099279,52.3700772 4.9109075)";4.9104227;52.3697514;NA
18;"ROOD";"1. Centrum 4 - Y1";"OK";"Tussen Entrepotdok en Laagte Kadijk, in beide richtingen";"LINESTRING(4.9142520 52.3687630,4.9145430 52.3690870)";"LINESTRING(52.3687630 4.9142520,52.3690870 4.9145430)";4.9144025;52.368918;NA
19;"ROOD";"1. Oost 2 - A";"OK";"Roomtuintjes, naar Zeeburgerdijk, in beide richtingen";"LINESTRING(4.9308890 52.3659580,4.9309000 52.3659040,4.9308974 52.3658394,4.9308800 52.3657740,4.9308404 52.3656666,4.9308224 52.3656290,4.9307850 52.3655970,4.9307710 52.3655750,4.9307480 52.3655199,4.9304730 52.3648230,4.9304630 52.3647760,4.9304523 52.3645549)";"LINESTRING(52.3659580 4.9308890,52.3659040 4.9309000,52.3658394 4.9308974,52.3657740 4.9308800,52.3656666 4.9308404,52.3656290 4.9308224,52.3655970 4.9307850,52.3655750 4.9307710,52.3655199 4.9307480,52.3648230 4.9304730,52.3647760 4.9304630,52.3645549 4.9304523)";4.93068115;52.36524945;NA
23;"ROOD";"1. Centrum 4 - Z";"OK";"Plantage Kerklaan, tussen Entrepotdok en Plantage Doklaan, in beide richtingen";"LINESTRING(4.9139960 52.3688300,4.9134033 52.3681778,4.9133363 52.3681597,4.9132981 52.3681440,4.9132693 52.3681259,4.9132340 52.3680904)";"LINESTRING(52.3688300 4.9139960,52.3681778 4.9134033,52.3681597 4.9133363,52.3681440 4.9132981,52.3681259 4.9132693,52.3680904 4.9132340)";4.91362;52.3684532;NA
27;"ROOD";"1. Oost 4 - E3";"OK";"Kamerlingh Onneslaan, de oversteek tussen het noordelijke en het zuidelijke fietspad ";"LINESTRING(4.9241280 52.3490590,4.9240473 52.3491048,4.9238539 52.3492179,4.9237893 52.3492840)";"LINESTRING(52.3490590 4.9241280,52.3491048 4.9240473,52.3492179 4.9238539,52.3492840 4.9237893)";4.92396365;52.3491645;NA
29;"ROOD";"1. Oost 2 - MM2";"OK";"Ringdijk, tussen Eerste Ringdijkstraat en Nobelweg, in beide richtingen";"LINESTRING(4.9181548 52.3504172,4.9192150 52.3508960,4.9197370 52.3511230,4.9203210 52.3513810,4.9208373 52.3515992,4.9218330 52.3520568,4.9219810 52.3521216,4.9223370 52.3522838)";"LINESTRING(52.3504172 4.9181548,52.3508960 4.9192150,52.3511230 4.9197370,52.3513810 4.9203210,52.3515992 4.9208373,52.3520568 4.9218330,52.3521216 4.9219810,52.3522838 4.9223370)";4.9202509;52.3513435;NA
32;"ROOD";"1. Centrum 4 - W";"OK";"Overhaalsgang, in beide richtingen";"LINESTRING(4.9177910 52.3684980,4.9182940 52.3690270,4.9183360 52.3690320,4.9183800 52.3690330,4.9185620 52.3689730,4.9185950 52.3689710,4.9186190 52.3689800,4.9186730 52.3690340,4.9191790 52.3695710)";"LINESTRING(52.3684980 4.9177910,52.3690270 4.9182940,52.3690320 4.9183360,52.3690330 4.9183800,52.3689730 4.9185620,52.3689710 4.9185950,52.3689800 4.9186190,52.3690340 4.9186730,52.3695710 4.9191790)";4.91849;52.3690275;NA
33;"ROOD";"1. Centrum 3 - K1";"OK";"Frederiksplein, dwars over het plein van zuidoost naar noordwest, in beide richtingen";"LINESTRING(4.9008920 52.3599390,4.9005850 52.3600870,4.8998630 52.3604220,4.8997490 52.3604440,4.8996700 52.3604740)";"LINESTRING(52.3599390 4.9008920,52.3600870 4.9005850,52.3604220 4.8998630,52.3604440 4.8997490,52.3604740 4.8996700)";4.900286;52.3601995;NA
34;"BLAUW";"1. Oost 2 - P2";"OK";"Linnaeusstraat, westzijde, tussen Wagenaarstraat en Ringdijk";"LINESTRING(4.9250234 52.3601186,4.9250112 52.3601670,4.9249830 52.3602170,4.9247700 52.3605110,4.9244710 52.3609470,4.9241790 52.3613570,4.9240110 52.3615610,4.9239658 52.3616294,4.9239018 52.3617584,4.9238650 52.3618100,4.9238166 52.3618764,4.9237736 52.3619592,4.9236662 52.3621920,4.9236444 52.3622758,4.9235874 52.3623862)";"LINESTRING(52.3601186 4.9250234,52.3601670 4.9250112,52.3602170 4.9249830,52.3605110 4.9247700,52.3609470 4.9244710,52.3613570 4.9241790,52.3615610 4.9240110,52.3616294 4.9239658,52.3617584 4.9239018,52.3618100 4.9238650,52.3618764 4.9238166,52.3619592 4.9237736,52.3621920 4.9236662,52.3622758 4.9236444,52.3623862 4.9235874)";4.9243104;52.3612454;NA
36;"BLAUW";"1. Oost 2 - Q";"OK";"Wijttenbachstraat, weerszijden ";"LINESTRING(4.9303105 52.3613521,4.9293410 52.3611080,4.9284880 52.3608930,4.9278950 52.3607440,4.9273150 52.3605980,4.9265300 52.3603990,4.9255810 52.3601588,4.9255198 52.3601483,4.9254652 52.3601533,4.9253978 52.3601713)";"LINESTRING(52.3613521 4.9303105,52.3611080 4.9293410,52.3608930 4.9284880,52.3607440 4.9278950,52.3605980 4.9273150,52.3603990 4.9265300,52.3601588 4.9255810,52.3601483 4.9255198,52.3601533 4.9254652,52.3601713 4.9253978)";4.92785915;52.3607432;NA
37;"BLAUW";"1. Oost 2 - P2";"OK";"Linnaeusstraat, westzijde, tussen Wagenaarstraat en Ringdijk";"LINESTRING(4.9252138 52.3599098,4.9252352 52.3598977,4.9254068 52.3596300,4.9256059 52.3593266,4.9257970 52.3590200,4.9263750 52.3581040,4.9264320 52.3579910,4.9264830 52.3578880,4.9267515 52.3574724,4.9270120 52.3570780,4.9272890 52.3566190,4.9273080 52.3565830,4.9273520 52.3564650,4.9274650 52.3562750,4.9275170 52.3562140,4.9275850 52.3561330,4.9276730 52.3559950,4.9281130 52.3552900,4.9281760 52.3552300,4.9283010 52.3551280,4.9283800 52.3550740)";"LINESTRING(52.3599098 4.9252138,52.3598977 4.9252352,52.3596300 4.9254068,52.3593266 4.9256059,52.3590200 4.9257970,52.3581040 4.9263750,52.3579910 4.9264320,52.3578880 4.9264830,52.3574724 4.9267515,52.3570780 4.9270120,52.3566190 4.9272890,52.3565830 4.9273080,52.3564650 4.9273520,52.3562750 4.9274650,52.3562140 4.9275170,52.3561330 4.9275850,52.3559950 4.9276730,52.3552900 4.9281130,52.3552300 4.9281760,52.3551280 4.9283010,52.3550740 4.9283800)";4.9268019;52.3574849;NA
38;"BLAUW";"1. Oost 2 - RR";"OK";"Kamerlingh Onneslaan, weerszijden, tussen Middenweg en Nobelweg";"LINESTRING(4.9250230 52.3502490,4.9252330 52.3503541,4.9255010 52.3505140,4.9256600 52.3505820,4.9257580 52.3506290,4.9262040 52.3508950,4.9269250 52.3513340,4.9273190 52.3515630,4.9277050 52.3518070,4.9280290 52.3519980,4.9283890 52.3522290,4.9284310 52.3522870,4.9285740 52.3524380,4.9287520 52.3525950,4.9288160 52.3526450,4.9290450 52.3528070,4.9291170 52.3528520,4.9295150 52.3531960,4.9296470 52.3532780,4.9299410 52.3534350,4.9300400 52.3535120,4.9301513 52.3535810,4.9303589 52.3537063,4.9303744 52.3537376)";"LINESTRING(52.3502490 4.9250230,52.3503541 4.9252330,52.3505140 4.9255010,52.3505820 4.9256600,52.3506290 4.9257580,52.3508950 4.9262040,52.3513340 4.9269250,52.3515630 4.9273190,52.3518070 4.9277050,52.3519980 4.9280290,52.3522290 4.9283890,52.3522870 4.9284310,52.3524380 4.9285740,52.3525950 4.9287520,52.3526450 4.9288160,52.3528070 4.9290450,52.3528520 4.9291170,52.3531960 4.9295150,52.3532780 4.9296470,52.3534350 4.9299410,52.3535120 4.9300400,52.3535810 4.9301513,52.3537063 4.9303589,52.3537376 4.9303744)";4.9277037;52.3519863;NA
45;"ROOD";"1. Oost 2 - W1";"OK";"Oosterpark westkant, weerszijden";"LINESTRING(4.9165384 52.3591919,4.9165676 52.3591566,4.9166263 52.3590648,4.9172856 52.3580865,4.9172835 52.3580616)";"LINESTRING(52.3591919 4.9165384,52.3591566 4.9165676,52.3590648 4.9166263,52.3580865 4.9172856,52.3580616 4.9172835)";4.916917;52.35861975;NA
46;"BLAUW";"1. Oost 2 - RR";"OK";"Kamerlingh Onneslaan, weerszijden, tussen Middenweg en Nobelweg";"LINESTRING(4.9305428 52.3535802,4.9305103 52.3535769,4.9304045 52.3535323,4.9303390 52.3534950,4.9297930 52.3531750,4.9297130 52.3531180,4.9295190 52.3529600,4.9291730 52.3526630,4.9288720 52.3523950,4.9287000 52.3522620,4.9284510 52.3520800,4.9283390 52.3520050,4.9280950 52.3518540,4.9274880 52.3514940,4.9261320 52.3506730,4.9256970 52.3504160,4.9253970 52.3502300,4.9252920 52.3501620,4.9252523 52.3501345,4.9252260 52.3501046)";"LINESTRING(52.3535802 4.9305428,52.3535769 4.9305103,52.3535323 4.9304045,52.3534950 4.9303390,52.3531750 4.9297930,52.3531180 4.9297130,52.3529600 4.9295190,52.3526630 4.9291730,52.3523950 4.9288720,52.3522620 4.9287000,52.3520800 4.9284510,52.3520050 4.9283390,52.3518540 4.9280950,52.3514940 4.9274880,52.3506730 4.9261320,52.3504160 4.9256970,52.3502300 4.9253970,52.3501620 4.9252920,52.3501345 4.9252523,52.3501046 4.9252260)";4.9278894;52.3518354;NA
47;"BLAUW";"1. Oost 5 - B";"OK";"Nobelweg, weerszijden, tussen Kamerlingh Onneslaan en Hugo Vrieslaan";"LINESTRING(4.9250491 52.3499421,4.9250806 52.3499364,4.9252690 52.3498348,4.9253368 52.3498140,4.9254823 52.3497657,4.9255657 52.3497188,4.9278520 52.3483580,4.9279620 52.3482490,4.9279900 52.3482140,4.9280240 52.3481890,4.9284540 52.3479220,4.9285010 52.3478970,4.9285410 52.3478880,4.9286070 52.3478660,4.9286840 52.3478240,4.9288360 52.3477280,4.9288970 52.3476780,4.9289470 52.3476280,4.9289808 52.3475754,4.9289890 52.3475432)";"LINESTRING(52.3499421 4.9250491,52.3499364 4.9250806,52.3498348 4.9252690,52.3498140 4.9253368,52.3497657 4.9254823,52.3497188 4.9255657,52.3483580 4.9278520,52.3482490 4.9279620,52.3482140 4.9279900,52.3481890 4.9280240,52.3479220 4.9284540,52.3478970 4.9285010,52.3478880 4.9285410,52.3478660 4.9286070,52.3478240 4.9286840,52.3477280 4.9288360,52.3476780 4.9288970,52.3476280 4.9289470,52.3475754 4.9289808,52.3475432 4.9289890)";4.92702405;52.34873565;NA
49;"ROOD";"1. Centrum 2 - K";"OK";"Staalstraat, in beide richtingen";"LINESTRING(4.8978736 52.3682261,4.8986290 52.3681740)";"LINESTRING(52.3682261 4.8978736,52.3681740 4.8986290)";4.8982563;52.36819305;NA
51;"ROOD";"1. Centrum 1 - K1";"RECTIF";"Nieuwezijds Voorburgwal, even zijde, tussen Raadhuisstraat en huisnummer 228";"LINESTRING(4.8904340 52.3730860,4.8904760 52.3726280,4.8904760 52.3725980)";"LINESTRING(52.3730860 4.8904340,52.3726280 4.8904760,52.3725980 4.8904760)";4.89046;52.372835;NA
52;"ROOD";"1. Centrum 2 - L";"OK";"Damrak, huizenzijde, tussen Prins Hendrikkade en Dam ";"LINESTRING(4.8982080 52.3770880,4.8980550 52.3769730,4.8979720 52.3768910,4.8977610 52.3767360,4.8970770 52.3762250,4.8966060 52.3758930,4.8962600 52.3756340,4.8960200 52.3754420,4.8949820 52.3746470,4.8945960 52.3743440,4.8941140 52.3739510,4.8939136 52.3737947,4.8937079 52.3736408,4.8935193 52.3735085,4.8933508 52.3733889,4.8932794 52.3733249,4.8932204 52.3732534)";"LINESTRING(52.3770880 4.8982080,52.3769730 4.8980550,52.3768910 4.8979720,52.3767360 4.8977610,52.3762250 4.8970770,52.3758930 4.8966060,52.3756340 4.8962600,52.3754420 4.8960200,52.3746470 4.8949820,52.3743440 4.8945960,52.3739510 4.8941140,52.3737947 4.8939136,52.3736408 4.8937079,52.3735085 4.8935193,52.3733889 4.8933508,52.3733249 4.8932794,52.3732534 4.8932204)";4.8957192;52.3751637;NA
56;"ROOD";"1. Centrum 4 - K";"OK";"Eerste Coehoornstraat, tussen Czaar Peterstraat en Blankenstraat, in beide richtingen";"LINESTRING(4.9267990 52.3679636,4.9265190 52.3681320)";"LINESTRING(52.3679636 4.9267990,52.3681320 4.9265190)";4.926664;52.3680408;NA
58;"ROOD";"1. Centrum 4 - L";"OK";"Blankenstraat, tussen Cruquiuskade en Cruquiusstraat, in beide richtingen";"LINESTRING(4.9261600 52.3674880,4.9261870 52.3675280,4.9262060 52.3675770,4.9262490 52.3676200,4.9263140 52.3676660,4.9267990 52.3679636,4.9274960 52.3683890,4.9282825 52.3688782)";"LINESTRING(52.3674880 4.9261600,52.3675280 4.9261870,52.3675770 4.9262060,52.3676200 4.9262490,52.3676660 4.9263140,52.3679636 4.9267990,52.3683890 4.9274960,52.3688782 4.9282825)";4.92722625;52.3681761;NA
60;"BLAUW";"1. Centrum 4 - J";"OK";"Cruquiuskade, weerszijden, tussen Czaar Peterstraat en Keerwal";"LINESTRING(4.9261600 52.3674880,4.9261100 52.3674740,4.9260570 52.3674670,4.9260043 52.3674670,4.9259470 52.3674712,4.9258880 52.3674790,4.9258330 52.3674920,4.9257790 52.3675010)";"LINESTRING(52.3674880 4.9261600,52.3674740 4.9261100,52.3674670 4.9260570,52.3674670 4.9260043,52.3674712 4.9259470,52.3674790 4.9258880,52.3674920 4.9258330,52.3675010 4.9257790)";4.9259745;52.367477;NA
68;"ROOD";"1. Centrum 1 - P";"OK";"Heisteeg, in beide richtingen";"LINESTRING(4.8881670 52.3687740,4.8887350 52.3688680)";"LINESTRING(52.3687740 4.8881670,52.3688680 4.8887350)";4.888456;52.368814;NA
69;"ROOD";"1. Centrum 1 - I";"OK";"Molsteeg, in beide richtingen";"LINESTRING(4.8904130 52.3743290,4.8908500 52.3741670)";"LINESTRING(52.3743290 4.8904130,52.3741670 4.8908500)";4.8906365;52.374241;NA
70;"ROOD";"1. Centrum 1 - J";"OK";"Torensteeg, in beide richtingen";"LINESTRING(4.8897520 52.3745410,4.8901210 52.3744260)";"LINESTRING(52.3745410 4.8897520,52.3744260 4.8901210)";4.8899415;52.3744765;NA
71;"ROOD";"1. Centrum 1 - O1";"OK";"Rokin, westzijde, tussen Dam en huisnummer 106";"LINESTRING(4.8928480 52.3726270,4.8928400 52.3725820,4.8928120 52.3724150,4.8928050 52.3723390,4.8927840 52.3719130,4.8927710 52.3717590,4.8927540 52.3716190,4.8927300 52.3714710,4.8926990 52.3713430,4.8926440 52.3711370,4.8925660 52.3708340,4.8925350 52.3707050,4.8924940 52.3705610,4.8924690 52.3704530,4.8924290 52.3703290,4.8923680 52.3701670,4.8923200 52.3700800,4.8922540 52.3699650,4.8922000 52.3698740,4.8921390 52.3697450,4.8920710 52.3695770,4.8919870 52.3693880,4.8919474 52.3692875,4.8919280 52.3691879)";"LINESTRING(52.3726270 4.8928480,52.3725820 4.8928400,52.3724150 4.8928120,52.3723390 4.8928050,52.3719130 4.8927840,52.3717590 4.8927710,52.3716190 4.8927540,52.3714710 4.8927300,52.3713430 4.8926990,52.3711370 4.8926440,52.3708340 4.8925660,52.3707050 4.8925350,52.3705610 4.8924940,52.3704530 4.8924690,52.3703290 4.8924290,52.3701670 4.8923680,52.3700800 4.8923200,52.3699650 4.8922540,52.3698740 4.8922000,52.3697450 4.8921390,52.3695770 4.8920710,52.3693880 4.8919870,52.3692875 4.8919474,52.3691879 4.8919280)";4.892393;52.37090045;NA
72;"BLAUW";"1. Centrum 2 - H";"OK";"Geldersekade, oneven zijde, in beide richtingen";"LINESTRING(4.9025830 52.3761050,4.9025230 52.3760640,4.9024880 52.3760120,4.9024170 52.3758720,4.9022720 52.3755720,4.9021450 52.3753140,4.9019960 52.3750070,4.9017940 52.3745930,4.9016490 52.3743080,4.9014990 52.3739940,4.9013060 52.3736040,4.9011920 52.3733580,4.9010510 52.3730700)";"LINESTRING(52.3761050 4.9025830,52.3760640 4.9025230,52.3760120 4.9024880,52.3758720 4.9024170,52.3755720 4.9022720,52.3753140 4.9021450,52.3750070 4.9019960,52.3745930 4.9017940,52.3743080 4.9016490,52.3739940 4.9014990,52.3736040 4.9013060,52.3733580 4.9011920,52.3730700 4.9010510)";4.901822;52.3745805;NA
