OBJECTNUMMER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Overdekt;Omschrijving;Oppervlak;Foto;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"NIEUWENDAM";"Basketbal";"Speeltuin";"Geen";"Asfalt";"Ja";"Nee";"Basketbalpaal, speeltuin Nieuwendam";507;"Nieuwendam_1.jpg";"POINT(4.9503748,52.3888938)";"POINT(52.3888938,4.9503748)";4.9503748;52.3888938;
2;"CORVERSBOSSTRAAT";"Basketbal";"Schoolplein";"Geen";"Stoeptegels";"Nee";"Nee";"Basketbalveld";392;"Corversbosstraat_1.jpg";"POINT(4.959995,52.3919913)";"POINT(52.3919913,4.959995)";4.959995;52.3919913;
3;"BREEHORNSTRAAT";"Basketbal";"Schoolplein";"Ballenvangers";"Asfalt";"Nee";"Nee";"Basketbalveld";280;"Breehornstraat.jpg";"POINT(4.9586251,52.393994)";"POINT(52.393994,4.9586251)";4.9586251;52.393994;
4;"MARKENGOUW";"Basketbal";"Stoep";"Ballenvangers";"Asfalt";"Nee";"Nee";"Basketbalveld met belijning, 1 lange zijde spijlenhekwerk, zitbanken naast veld";320;"Markengouw.jpg";"POINT(4.9558351,52.3986937)";"POINT(52.3986937,4.9558351)";4.9558351;52.3986937;
5;"WILDRIJKSTRAAT";"Basketbal";"Schoolplein";"Geen";"Stoeptegels";"Nee";"Nee";"Basketbalveld, zitbanken";317;"Wildrijkstraat.jpg";"POINT(4.9559748,52.3971945)";"POINT(52.3971945,4.9559748)";4.9559748;52.3971945;
6;"DUINPAN";"Basketbal";"Speeltuin";"Geen";"Asfalt";"Nee";"Nee";"Basketbalveld, speeltuin De Duinpan, zitbanken naast veld";386;"Duinpan.jpg";"POINT(4.9523952,52.3956915)";"POINT(52.3956915,4.9523952)";4.9523952;52.3956915;
7;"BEEMSTERSTRAAT";"Basketbal";"Schoolplein";"Hekwerk laag";"Asfalt";"Nee";"Nee";"Basketbalveld, zitbanken naast veld";554;"Beemsterstraat.jpg";"POINT(4.950475,52.3952948)";"POINT(52.3952948,4.950475)";4.950475;52.3952948;
8;"HOUDRINGE";"Basketbal";"Schoolplein";"Hekwerk laag";"Asfalt";"Nee";"Nee";"Basketbalveld met belijning, zitbanken naast veld";355;"Houdringe.jpg";"POINT(4.9462149,52.4007918)";"POINT(52.4007918,4.9462149)";4.9462149;52.4007918;
9;"ELPERMEER";"Basketbal";"Plantsoen";"Geen";"Stoeptegels";"Nee";"Nee";"Basketbalpaal, zitbanken naast veld, combi-veld";366;"Elpermeer.jpg";"POINT(4.9466751,52.4027945)";"POINT(52.4027945,4.9466751)";4.9466751;52.4027945;
10;"CLEYNDERTWEG";"Basketbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Nee";"Basketbalveld met belijning";396;"Cleyndertweg.jpg";"POINT(4.9363949,52.4025923)";"POINT(52.4025923,4.9363949)";4.9363949;52.4025923;
