OBJECTNUMMER;Soort;Naam;Adres;Status;Beplantingssituatie;Initiatiefnemer;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Moestuin";"Daktuin Woongroep `t Seepaerd";"Prinseneiland 329";"Bestaand";"Bakken (daktuin)";"Cityplot, Ann Doherty";"www.cityplot.org";"POINT(4.8873289,52.3847281)";"POINT(52.3847281,4.8873289)";4.8873289;52.3847281;
2;"Moestuin";"I Can Change the World with My Two Hands";"Jasper Leijnsenstraat 21";"Bestaand";"Bakken, grond, kas";"Natascha Haagenbeek";"http://icanchangetheworldwithmytwohands.nl";"POINT(4.8618419,52.3762519)";"POINT(52.3762519,4.8618419)";4.8618419;52.3762519;
3;"Moestuin";"Moestuin Buurtboerderij Ons Genoegen";"Spaarndammerdijk 319";"Bestaand";"Grond";"Stichting Ons Genoegen";"http://www.buurtboerderij.nl/";"POINT(4.8602049,52.3914916)";"POINT(52.3914916,4.8602049)";4.8602049;52.3914916;
5;"Moestuin";"Buurtmoestuin GWL-terrein";"GWL-terrein";"Bestaand";"Grond";"Beheervereniging Nutstuinen GWL-terrein";"http://www.gwl-terrein-nutstuinen.nl/home/1";"POINT(4.8685572,52.3829657)";"POINT(52.3829657,4.8685572)";4.8685572;52.3829657;
6;"Moestuin";"Het Tuintje van Pieter";"Pieter van der Doesstraat";"Bestaand";"Grond";"Bewoners rondom Pieter van der Doesstraat";"";"POINT(4.8581779,52.3731696)";"POINT(52.3731696,4.8581779)";4.8581779;52.3731696;
7;"Moestuin";"Brediustuin";"Zaanstraat naast Brediusbad";"Bestaand";"Bakken";"";"http://brediustuin.wordpress.com/";"POINT(4.8702171,52.3917967)";"POINT(52.3917967,4.8702171)";4.8702171;52.3917967;
8;"Kruidentuin";"Jeruzalemtuin";"Jan Maijenplein";"Bestaand";"Tuin";"Stichting FoAM";"http://libarynth.org/jeruzalemgarden";"POINT(4.8520782,52.3712012)";"POINT(52.3712012,4.8520782)";4.8520782;52.3712012;
9;"Moestuin";"Buurtproeftuin Robert Scottbuurt";"Robert Scottstraat";"Bestaand";"Bakken, kas";"Stichting OE, Benno Réwinkel en Paul Pieck";"";"POINT(4.8463981,52.3734137)";"POINT(52.3734137,4.8463981)";4.8463981;52.3734137;
10;"Moestuin";"BuurtMoesBinnenTuin Cascoland";"Schaapherder-, Sinjeur Semeyn- en Leeuwendalersweg";"Bestaand";"Bakken";"Cascoland";"http://www.cascoland.com/2009/index2_dt.php?id=1799&cat=50&artist=Fiona+de+Bell%2CBas+Feenstra%2CJair+Straschnow%2CWouter+Nieuwendijk%2CRoel+Schoenmakers&casco_cat=projects";"POINT(4.843375,52.3804938)";"POINT(52.3804938,4.843375)";4.843375;52.3804938;
11;"Moestuin";"Mobiele brede schooltuin";"Robert Scottstraat 32";"Bestaand";"Bakken";"Stichting OE, Benno Rehwinkel / Basisschool de Springplank";"";"POINT(4.84639,52.3740622)";"POINT(52.3740622,4.84639)";4.84639;52.3740622;
