OBJECTNUMMER;Soort;Naam;Adres;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1228;"Volkstuin verblijfsrecreatief";"Tuinpark De Groote Braak";"Daveren 25";"http://www.degrootebraak.nl";"POLYGON((4.768583 52.384566,4.768416 52.386306,4.769009 52.386334,4.769487 52.387185,4.76949 52.387414,4.769708 52.387654,4.769821 52.387776,4.770391 52.388798,4.770586 52.389129,4.77064 52.389155,4.771244 52.38917,4.772206 52.389175,4.776843 52.389179,4.776841 52.388984,4.77711 52.38899,4.777242 52.388885,4.777291 52.384648,4.776518 52.384627,4.774059 52.384611,4.771466 52.384584,4.768583 52.384566))";"POLYGON((52.384566 4.768583,52.386306 4.768416,52.386334 4.769009,52.387185 4.769487,52.387414 4.76949,52.387654 4.769708,52.387776 4.769821,52.388798 4.770391,52.389129 4.770586,52.389155 4.77064,52.38917 4.771244,52.389175 4.772206,52.389179 4.776843,52.388984 4.776841,52.38899 4.77711,52.388885 4.777242,52.384648 4.777291,52.384627 4.776518,52.384611 4.774059,52.384584 4.771466,52.384566 4.768583))";4.77286005;52.38689295;
1229;"Volkstuin verblijfsrecreatief";"het nieuwe Bijenpark";"Baron Schimmelpenninck van der Oyeweg 4";"http://www.bijenpark.nl/index.htm";"POLYGON((4.775394 52.373786,4.774555 52.374188,4.778415 52.376532,4.780298 52.375399,4.776873 52.373219,4.777071 52.373108,4.777257 52.372835,4.776847 52.372751,4.77676 52.372885,4.776433 52.373147,4.775972 52.373425,4.775559 52.373682,4.775394 52.373786))";"POLYGON((52.373786 4.775394,52.374188 4.774555,52.376532 4.778415,52.375399 4.780298,52.373219 4.776873,52.373108 4.777071,52.372835 4.777257,52.372751 4.776847,52.372885 4.77676,52.373147 4.776433,52.373425 4.775972,52.373682 4.775559,52.373786 4.775394))";4.77743505;52.37464205;
1230;"Volkstuin verblijfsrecreatief";"Tuingroep Osdorp";"Baron Schimmelpenninck van der Oyeweg 10";"www.tuingroeposdorp.nl";"POLYGON((4.774062 52.374415,4.773612 52.374572,4.771753 52.375644,4.77248 52.376124,4.772124 52.37632,4.772096 52.376589,4.770794 52.376588,4.770726 52.376608,4.770629 52.376683,4.770572 52.378004,4.775954 52.378053,4.776885 52.378058,4.776833 52.376524,4.776341 52.37652,4.776314 52.376556,4.776206 52.37655,4.77623 52.376521,4.776241 52.376075,4.77627 52.375386,4.776232 52.37533,4.77617 52.375276,4.77508 52.374583,4.774843 52.374436,4.774773 52.374421,4.77453 52.374226,4.774062 52.374415))";"POLYGON((52.374415 4.774062,52.374572 4.773612,52.375644 4.771753,52.376124 4.77248,52.37632 4.772124,52.376589 4.772096,52.376588 4.770794,52.376608 4.770726,52.376683 4.770629,52.378004 4.770572,52.378053 4.775954,52.378058 4.776885,52.376524 4.776833,52.37652 4.776341,52.376556 4.776314,52.37655 4.776206,52.376521 4.77623,52.376075 4.776241,52.375386 4.77627,52.37533 4.776232,52.375276 4.77617,52.374583 4.77508,52.374436 4.774843,52.374421 4.774773,52.374226 4.77453,52.374415 4.774062))";4.7737348;52.3761431;
1231;"Volkstuin verblijfsrecreatief";"Volkstuinpark de Eendracht";"Joris van den Berghweg 4";"http://www.volkstuinparkdeeendracht.nl";"MULTIPOLYGON(((4.777485 52.372798,4.778159 52.372947,4.781144 52.374871,4.784478 52.372864,4.781432 52.370453,4.777485 52.372798)),((4.784478 52.372864,4.781144 52.374871,4.781159 52.374881,4.784478 52.372864)))";"MULTIPOLYGON(((52.372798 4.777485,52.372947 4.778159,52.374871 4.781144,52.372864 4.784478,52.370453 4.781432,52.372798 4.777485)),((52.372864 4.784478,52.374871 4.781144,52.374881 4.781159,52.372864 4.784478)))";4.7809901;52.37269275;
1232;"Volkstuin verblijfsrecreatief";"Tuinpark T.I.G.E.N.O.";"Nico Broekhuysenweg 4";"http://www.tigeno.nl";"POLYGON((4.784478 52.372864,4.781159 52.374881,4.781144 52.374871,4.781136 52.374876,4.781435 52.375073,4.781712 52.375234,4.781896 52.375424,4.781931 52.375599,4.781969 52.375841,4.781964 52.376272,4.781908 52.3766,4.787844 52.376716,4.787845 52.376668,4.788039 52.376628,4.788427 52.376513,4.788744 52.376362,4.788935 52.376219,4.789118 52.376151,4.789212 52.376087,4.787519 52.374925,4.787366 52.374952,4.785877 52.37384,4.784478 52.372864))";"POLYGON((52.372864 4.784478,52.374881 4.781159,52.374871 4.781144,52.374876 4.781136,52.375073 4.781435,52.375234 4.781712,52.375424 4.781896,52.375599 4.781931,52.375841 4.781969,52.376272 4.781964,52.3766 4.781908,52.376716 4.787844,52.376668 4.787845,52.376628 4.788039,52.376513 4.788427,52.376362 4.788744,52.376219 4.788935,52.376151 4.789118,52.376087 4.789212,52.374925 4.787519,52.374952 4.787366,52.37384 4.785877,52.372864 4.784478))";4.78517985;52.37479275;
1233;"Volkstuin verblijfsrecreatief";"Tuinpark Eigen Hof";"Sloterweg 1173";"www.tuinparkeigenhof.nl";"MULTIPOLYGON(((4.797931 52.335994,4.798681 52.337764,4.799244 52.337744,4.799337 52.337739,4.799338 52.337741,4.799384 52.337739,4.799966 52.339882,4.800197 52.340714,4.800192 52.340714,4.800197 52.340733,4.800261 52.340727,4.800277 52.340719,4.800308 52.34069,4.800348 52.340712,4.800365 52.340768,4.800347 52.340787,4.800412 52.341018,4.800866 52.341,4.800877 52.341415,4.800924 52.341413,4.801654 52.34136,4.80155 52.340711,4.801394 52.340712,4.801105 52.338999,4.800779 52.337347,4.800787 52.337243,4.800846 52.337158,4.801519 52.336737,4.801574 52.336678,4.801589 52.336602,4.801558 52.336507,4.801482 52.336427,4.800497 52.33585,4.799536 52.335252,4.799399 52.335232,4.79933 52.335244,4.799249 52.335271,4.79831 52.335666,4.797931 52.335994),(4.799384 52.337739,4.799966 52.339882,4.800197 52.340714,4.800192 52.340714,4.799338 52.337741,4.799384 52.337739)),((4.799244 52.337744,4.798681 52.337764,4.797931 52.335994,4.798634 52.337778,4.799244 52.337744)))";"MULTIPOLYGON(((52.335994 4.797931,52.337764 4.798681,52.337744 4.799244,52.337739 4.799337,52.337741 4.799338,52.337739 4.799384,52.339882 4.799966,52.340714 4.800197,52.340714 4.800192,52.340733 4.800197,52.340727 4.800261,52.340719 4.800277,52.34069 4.800308,52.340712 4.800348,52.340768 4.800365,52.340787 4.800347,52.341018 4.800412,52.341 4.800866,52.341415 4.800877,52.341413 4.800924,52.34136 4.801654,52.340711 4.80155,52.340712 4.801394,52.338999 4.801105,52.337347 4.800779,52.337243 4.800787,52.337158 4.800846,52.336737 4.801519,52.336678 4.801574,52.336602 4.801589,52.336507 4.801558,52.336427 4.801482,52.33585 4.800497,52.335252 4.799536,52.335232 4.799399,52.335244 4.79933,52.335271 4.799249,52.335666 4.79831,52.335994 4.797931),(52.337739 4.799384,52.339882 4.799966,52.340714 4.800197,52.340714 4.800192,52.337741 4.799338,52.337739 4.799384)),((52.337744 4.799244,52.337764 4.798681,52.335994 4.797931,52.337778 4.798634,52.337744 4.799244)))";4.7997949;52.3382937;
1234;"Volkstuin verblijfsrecreatief";"Volkstuinpark De Bretten";"Seineweg 16";"http://www.tuinparkdebretten.nl";"POLYGON((4.810212 52.385762,4.810201 52.387519,4.815122 52.387556,4.815355 52.387552,4.817854 52.387422,4.817965 52.3874,4.817968 52.386893,4.818253 52.38677,4.818268 52.385773,4.818157 52.385775,4.81797 52.38577,4.817913 52.385761,4.817881 52.385726,4.817814 52.385591,4.817779 52.385525,4.817729 52.385499,4.81767 52.385493,4.817459 52.385494,4.816903 52.385492,4.816864 52.385495,4.816852 52.385504,4.816822 52.38554,4.816795 52.385497,4.816791 52.385387,4.816773 52.385373,4.816735 52.385358,4.815873 52.385355,4.815257 52.385349,4.813242 52.385335,4.812519 52.385334,4.811876 52.385323,4.811647 52.385313,4.811602 52.385318,4.811577 52.385333,4.811569 52.385686,4.81156 52.385706,4.811515 52.385721,4.810291 52.38572,4.810263 52.385729,4.810212 52.385762))";"POLYGON((52.385762 4.810212,52.387519 4.810201,52.387556 4.815122,52.387552 4.815355,52.387422 4.817854,52.3874 4.817965,52.386893 4.817968,52.38677 4.818253,52.385773 4.818268,52.385775 4.818157,52.38577 4.81797,52.385761 4.817913,52.385726 4.817881,52.385591 4.817814,52.385525 4.817779,52.385499 4.817729,52.385493 4.81767,52.385494 4.817459,52.385492 4.816903,52.385495 4.816864,52.385504 4.816852,52.38554 4.816822,52.385497 4.816795,52.385387 4.816791,52.385373 4.816773,52.385358 4.816735,52.385355 4.815873,52.385349 4.815257,52.385335 4.813242,52.385334 4.812519,52.385323 4.811876,52.385313 4.811647,52.385318 4.811602,52.385333 4.811577,52.385686 4.811569,52.385706 4.81156,52.385721 4.811515,52.38572 4.810291,52.385729 4.810263,52.385762 4.810212))";4.8142402;52.3864428;
1235;"Volkstuin verblijfsrecreatief";"Tuinpark Lissabon";"Sloterweg 865";"www.tuinparklissabon.nl";"POLYGON((4.812095 52.341571,4.812767 52.341655,4.812809 52.341656,4.812816 52.34166,4.813471 52.341761,4.813478 52.341765,4.814267 52.341724,4.814274 52.341728,4.815751 52.341845,4.816871 52.341826,4.816954 52.341161,4.816935 52.339367,4.816932 52.339357,4.816943 52.339274,4.816917 52.339243,4.81686 52.339225,4.816724 52.339228,4.81624 52.339234,4.816217 52.339248,4.816197 52.339233,4.815551 52.339236,4.814482 52.339248,4.814309 52.339259,4.814194 52.339246,4.813759 52.33925,4.81359 52.339245,4.81354 52.339255,4.813417 52.339293,4.813347 52.339342,4.81308 52.339819,4.813005 52.339945,4.813011 52.339973,4.812913 52.340145,4.812879 52.34019,4.812795 52.340316,4.812462 52.340924,4.812428 52.340983,4.812441 52.341018,4.812545 52.341126,4.812562 52.341138,4.812575 52.341173,4.812573 52.341281,4.812588 52.341417,4.812583 52.341533,4.8126 52.341547,4.812623 52.341561,4.812563 52.341575,4.81245 52.341571,4.812374 52.341554,4.812259 52.341482,4.812197 52.341382,4.812095 52.341571))";"POLYGON((52.341571 4.812095,52.341655 4.812767,52.341656 4.812809,52.34166 4.812816,52.341761 4.813471,52.341765 4.813478,52.341724 4.814267,52.341728 4.814274,52.341845 4.815751,52.341826 4.816871,52.341161 4.816954,52.339367 4.816935,52.339357 4.816932,52.339274 4.816943,52.339243 4.816917,52.339225 4.81686,52.339228 4.816724,52.339234 4.81624,52.339248 4.816217,52.339233 4.816197,52.339236 4.815551,52.339248 4.814482,52.339259 4.814309,52.339246 4.814194,52.33925 4.813759,52.339245 4.81359,52.339255 4.81354,52.339293 4.813417,52.339342 4.813347,52.339819 4.81308,52.339945 4.813005,52.339973 4.813011,52.340145 4.812913,52.34019 4.812879,52.340316 4.812795,52.340924 4.812462,52.340983 4.812428,52.341018 4.812441,52.341126 4.812545,52.341138 4.812562,52.341173 4.812575,52.341281 4.812573,52.341417 4.812588,52.341533 4.812583,52.341547 4.8126,52.341561 4.812623,52.341575 4.812563,52.341571 4.81245,52.341554 4.812374,52.341482 4.812259,52.341382 4.812197,52.341571 4.812095))";4.81452985;52.3404929;
1236;"Volkstuin verblijfsrecreatief";"Tuinpark Ons Buiten";"Riekerweg 15";"www.ons-buiten.nl";"POLYGON((4.831346 52.337586,4.831425 52.337599,4.83149 52.337619,4.831528 52.337685,4.831621 52.337733,4.832495 52.337732,4.832839 52.337719,4.833396 52.337667,4.833775 52.337623,4.834441 52.337532,4.835072 52.33742,4.83636 52.337137,4.836949 52.337032,4.837482 52.336953,4.83785 52.336925,4.838328 52.336917,4.838774 52.336937,4.839351 52.337001,4.839613 52.337027,4.839781 52.33702,4.839781 52.337018,4.840013 52.336983,4.840607 52.336872,4.841358 52.336744,4.842058 52.336655,4.842826 52.336605,4.843466 52.336582,4.843607 52.336416,4.843593 52.336295,4.843452 52.336159,4.842767 52.336284,4.842762 52.336268,4.842736 52.336235,4.84162 52.335728,4.838312 52.334208,4.837938 52.334065,4.837563 52.333955,4.837204 52.333883,4.836595 52.333813,4.836381 52.333764,4.835908 52.33363,4.835374 52.333544,4.834587 52.333448,4.834587 52.333445,4.834196 52.333427,4.833738 52.333367,4.832851 52.333302,4.833099 52.332892,4.833048 52.332832,4.832941 52.332803,4.832871 52.332803,4.832477 52.333015,4.832466 52.333023,4.832445 52.333061,4.832448 52.333217,4.832431 52.333741,4.832428 52.333739,4.832461 52.33384,4.832447 52.333896,4.832449 52.33396,4.832472 52.334029,4.832471 52.334055,4.832441 52.334392,4.832391 52.334655,4.832358 52.334806,4.832374 52.334991,4.832381 52.335214,4.832377 52.335366,4.832381 52.335418,4.832345 52.335586,4.832322 52.335749,4.832316 52.335869,4.832307 52.336335,4.832302 52.336344,4.832311 52.33644,4.832394 52.336473,4.832394 52.336476,4.832362 52.336524,4.832289 52.336536,4.831917 52.337008,4.83171 52.337287,4.83171 52.337309,4.831767 52.337357,4.831683 52.33737,4.83162 52.337389,4.831609 52.337408,4.831514 52.337513,4.831477 52.337516,4.831403 52.337499,4.831346 52.337586))";"POLYGON((52.337586 4.831346,52.337599 4.831425,52.337619 4.83149,52.337685 4.831528,52.337733 4.831621,52.337732 4.832495,52.337719 4.832839,52.337667 4.833396,52.337623 4.833775,52.337532 4.834441,52.33742 4.835072,52.337137 4.83636,52.337032 4.836949,52.336953 4.837482,52.336925 4.83785,52.336917 4.838328,52.336937 4.838774,52.337001 4.839351,52.337027 4.839613,52.33702 4.839781,52.337018 4.839781,52.336983 4.840013,52.336872 4.840607,52.336744 4.841358,52.336655 4.842058,52.336605 4.842826,52.336582 4.843466,52.336416 4.843607,52.336295 4.843593,52.336159 4.843452,52.336284 4.842767,52.336268 4.842762,52.336235 4.842736,52.335728 4.84162,52.334208 4.838312,52.334065 4.837938,52.333955 4.837563,52.333883 4.837204,52.333813 4.836595,52.333764 4.836381,52.33363 4.835908,52.333544 4.835374,52.333448 4.834587,52.333445 4.834587,52.333427 4.834196,52.333367 4.833738,52.333302 4.832851,52.332892 4.833099,52.332832 4.833048,52.332803 4.832941,52.332803 4.832871,52.333015 4.832477,52.333023 4.832466,52.333061 4.832445,52.333217 4.832448,52.333741 4.832431,52.333739 4.832428,52.33384 4.832461,52.333896 4.832447,52.33396 4.832449,52.334029 4.832472,52.334055 4.832471,52.334392 4.832441,52.334655 4.832391,52.334806 4.832358,52.334991 4.832374,52.335214 4.832381,52.335366 4.832377,52.335418 4.832381,52.335586 4.832345,52.335749 4.832322,52.335869 4.832316,52.336335 4.832307,52.336344 4.832302,52.33644 4.832311,52.336473 4.832394,52.336476 4.832394,52.336524 4.832362,52.336536 4.832289,52.337008 4.831917,52.337287 4.83171,52.337309 4.83171,52.337357 4.831767,52.33737 4.831683,52.337389 4.83162,52.337408 4.831609,52.337513 4.831514,52.337516 4.831477,52.337499 4.831403,52.337586 4.831346))";4.8374848;52.33524385;
1237;"Volkstuin verblijfsrecreatief";"Sloterdijkermeer";"Sloterdijkweg 20";"http://www.sloterdijkermeer.nl";"MULTIPOLYGON(((4.854224 52.388602,4.855822 52.387395,4.855088 52.386992,4.856251 52.385912,4.853488 52.386095,4.852891 52.386145,4.852016 52.386222,4.851041 52.386318,4.85016 52.386414,4.849746 52.386454,4.849238 52.386485,4.847596 52.386481,4.847497 52.387911,4.847479 52.388096,4.847488 52.388192,4.847539 52.388357,4.84757 52.388402,4.848001 52.388412,4.848093 52.388416,4.848402 52.388432,4.849954 52.388493,4.850543 52.38852,4.851321 52.388552,4.851949 52.388584,4.854224 52.388602)),((4.855822 52.387395,4.855829 52.38739,4.855103 52.386992,4.856277 52.38591,4.856251 52.385912,4.855088 52.386992,4.855822 52.387395)))";"MULTIPOLYGON(((52.388602 4.854224,52.387395 4.855822,52.386992 4.855088,52.385912 4.856251,52.386095 4.853488,52.386145 4.852891,52.386222 4.852016,52.386318 4.851041,52.386414 4.85016,52.386454 4.849746,52.386485 4.849238,52.386481 4.847596,52.387911 4.847497,52.388096 4.847479,52.388192 4.847488,52.388357 4.847539,52.388402 4.84757,52.388412 4.848001,52.388416 4.848093,52.388432 4.848402,52.388493 4.849954,52.38852 4.850543,52.388552 4.851321,52.388584 4.851949,52.388602 4.854224)),((52.387395 4.855822,52.38739 4.855829,52.386992 4.855103,52.38591 4.856277,52.385912 4.856251,52.386992 4.855088,52.387395 4.855822)))";4.85188485;52.387242;
