OBJECTNUMMER;Initiatiefnemer;Activiteit;Sector;Jaar;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
15;"Ajax Experience centre";"winkel";"Cultuur";2011;"POINT(4.8978321,52.3660056)";"POINT(52.3660056,4.8978321)";4.8978321;52.3660056;
16;"Anne Frank Stichting";"tijdelijke tentoonstelling";"Cultuur";2011;"POINT(4.7842181,52.3597533)";"POINT(52.3597533,4.7842181)";4.7842181;52.3597533;
17;"Filmmakers";"bedrijfsruimte";"Cultuur";2008;"POINT(4.8613799,52.3712546)";"POINT(52.3712546,4.8613799)";4.8613799;52.3712546;
18;"Body Worlds";"tijdelijke tentoonstelling";"Cultuur";2011;"POINT(4.8723929,52.336846)";"POINT(52.336846,4.8723929)";4.8723929;52.336846;
19;"Bos Theaterproducties";"kantoor";"Cultuur";2012;"POINT(4.9358952,52.3659407)";"POINT(52.3659407,4.9358952)";4.9358952;52.3659407;
20;"Cinekid";"festival";"Cultuur";2012;"POINT(4.9023802,52.383721)";"POINT(52.383721,4.9023802)";4.9023802;52.383721;
23;"Corpus Acrobatics Theatre";"theater";"Cultuur";2011;"POINT(4.8542449,52.3806082)";"POINT(52.3806082,4.8542449)";4.8542449;52.3806082;
24;"Danswerkplaats";"dans";"Cultuur";2010;"POINT(4.9217942,52.3825995)";"POINT(52.3825995,4.9217942)";4.9217942;52.3825995;
25;"Doina Kraal";"atelier kunstenaar";"Cultuur";2011;"POINT(4.8941991,52.3561827)";"POINT(52.3561827,4.8941991)";4.8941991;52.3561827;
27;"Erik Verheggen";"fotografie";"Cultuur";2010;"POINT(4.788059,52.3471572)";"POINT(52.3471572,4.788059)";4.788059;52.3471572;
28;"Locatie voor filmopname";"tijdelijke filmlocatie";"Cultuur";2008;"POINT(4.8340752,52.3580557)";"POINT(52.3580557,4.8340752)";4.8340752;52.3580557;
29;"Flamenkika";"dans";"Cultuur";2010;"POINT(4.9305489,52.3577735)";"POINT(52.3577735,4.9305489)";4.9305489;52.3577735;
30;"Holland Festival";"tijdelijke theater productie";"Cultuur";2011;"POINT(4.8748448,52.3371131)";"POINT(52.3371131,4.8748448)";4.8748448;52.3371131;
31;"Jake Dance Factory";"dans";"Cultuur";2010;"POINT(4.9450538,52.3491942)";"POINT(52.3491942,4.9450538)";4.9450538;52.3491942;
32;"Jong Rast";"intercultureel theater";"Cultuur";2010;"POINT(4.853194,52.3800589)";"POINT(52.3800589,4.853194)";4.853194;52.3800589;
33;"Museumproject";"";"Cultuur";2008;"POINT(4.8550069,52.3659712)";"POINT(52.3659712,4.8550069)";4.8550069;52.3659712;
34;"Nederlands Strijkkwartet Academie";"";"Cultuur";2010;"POINT(4.9305918,52.3575064)";"POINT(52.3575064,4.9305918)";4.9305918;52.3575064;
35;"Nederlands Kamerkoor";"";"Cultuur";2012;"POINT(4.938453,52.3597991)";"POINT(52.3597991,4.938453)";4.938453;52.3597991;
36;"Nederlands Philharmonisch Orkest";"";"Cultuur";2012;"POINT(4.9385931,52.359841)";"POINT(52.359841,4.9385931)";4.9385931;52.359841;
37;"Urban Art Fair";"Galerie";"Cultuur";2009;"POINT(4.8522499,52.3721739)";"POINT(52.3721739,4.8522499)";4.8522499;52.3721739;
38;"Radio Zamaneh";"Perzisch radiostation";"Cultuur";2010;"POINT(4.9245942,52.3617026)";"POINT(52.3617026,4.9245942)";4.9245942;52.3617026;
39;"Splendor";"muziek";"Cultuur";2013;"POINT(4.9031498,52.3698546)";"POINT(52.3698546,4.9031498)";4.9031498;52.3698546;
40;"Soundscape Music";"Muziek en Sound design";"Cultuur";2012;"POINT(4.8731391,52.3858344)";"POINT(52.3858344,4.8731391)";4.8731391;52.3858344;
42;"tijdelijke tentoonstelling";"tijdelijke tentoonstellingsruimte";"Cultuur";2009;"POINT(4.8971708,52.3748633)";"POINT(52.3748633,4.8971708)";4.8971708;52.3748633;
43;"Tuk Tuk en GVB";"";"Cultuur";2009;"POINT(4.921303,52.3691565)";"POINT(52.3691565,4.921303)";4.921303;52.3691565;
44;"Galerie Bettenhausen";"galerie";"Cultuur";2008;"POINT(4.9309161,52.3706175)";"POINT(52.3706175,4.9309161)";4.9309161;52.3706175;
45;"tijdelijke opslag voor Het Ketelhuis";"";"Cultuur";2012;"POINT(4.8753598,52.3866011)";"POINT(52.3866011,4.8753598)";4.8753598;52.3866011;
46;"City Camp";"tijdelijke camperplaats";"Leisure in- en outdoor";2012;"POINT(4.9013421,52.3986594)";"POINT(52.3986594,4.9013421)";4.9013421;52.3986594;
47;"Opium voor het Volk";"voorstelling";"Cultuur";2009;"POINT(4.8935878,52.37106)";"POINT(52.37106,4.8935878)";4.8935878;52.37106;
48;"Klene drop commercial";"commercial";"Kantoor, bedrijf en winkel";2011;"POINT(4.9215262,52.3828169)";"POINT(52.3828169,4.9215262)";4.9215262;52.3828169;
49;"Horecatram";"horeca in tram";"Horeca";2011;"POINT(4.8388822,52.3865553)";"POINT(52.3865553,4.8388822)";4.8388822;52.3865553;
50;"Christian City Church";"Kerkgemeenschap";"Religie";2011;"POINT(4.9520042,52.2966391)";"POINT(52.2966391,4.9520042)";4.9520042;52.2966391;
51;"Gods Embassy";"Religieus genootschap";"Religie";2010;"POINT(4.9300659,52.3275954)";"POINT(52.3275954,4.9300659)";4.9300659;52.3275954;
