OBJECTNUMMER;Lijnnummer;Type_stadsstraat;Type_hoofdstraat;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1";"Stadsstraat";"Hoofdstraat";"LINESTRING(4.79098 52.356388,4.803471 52.358883)";"LINESTRING(52.356388 4.79098,52.358883 4.803471)";4.7972305;52.3576285;
2;"2";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.803471 52.358883,4.803849 52.358197,4.804017 52.357994,4.804287 52.357828,4.804518 52.357762,4.804879 52.35776,4.80821 52.358412)";"LINESTRING(52.358883 4.803471,52.358197 4.803849,52.357994 4.804017,52.357828 4.804287,52.357762 4.804518,52.35776 4.804879,52.358412 4.80821)";4.8058455;52.3583145;
3;"3";"Stadsstraat";"Hoofdstraat";"LINESTRING(4.793984 52.350854,4.801804 52.352422)";"LINESTRING(52.350854 4.793984,52.352422 4.801804)";4.797899;52.351631;
4;"4";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.827695 52.342603,4.827739 52.343231,4.827755 52.343725,4.827749 52.344163,4.827572 52.345098,4.827505 52.346896,4.827395 52.352201,4.827399 52.352537)";"LINESTRING(52.342603 4.827695,52.343231 4.827739,52.343725 4.827755,52.344163 4.827749,52.345098 4.827572,52.346896 4.827505,52.352201 4.827395,52.352537 4.827399)";4.82758;52.347563;
5;"5";"Stadsstraat";"Hoofdstraat";"LINESTRING(4.827399 52.352537,4.827306 52.356251,4.827224 52.358256)";"LINESTRING(52.352537 4.827399,52.356251 4.827306,52.358256 4.827224)";4.8273165;52.3553895;
6;"6";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.827224 52.358256,4.827109 52.363999,4.836487 52.364104,4.840442 52.364131,4.844165 52.364166)";"LINESTRING(52.358256 4.827224,52.363999 4.827109,52.364104 4.836487,52.364131 4.840442,52.364166 4.844165)";4.835642;52.361204;
7;"7";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.836487 52.364104,4.83641 52.365853,4.836385 52.366692,4.836476 52.367479,4.836698 52.368213,4.837227 52.369709,4.838447 52.37271)";"LINESTRING(52.364104 4.836487,52.365853 4.83641,52.366692 4.836385,52.367479 4.836476,52.368213 4.836698,52.369709 4.837227,52.37271 4.838447)";4.837421;52.3684;
8;"8";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.830937 52.370625,4.837227 52.369709,4.838962 52.369513,4.840421 52.369414,4.845098 52.369418,4.846598 52.369469,4.848471 52.36976)";"LINESTRING(52.370625 4.830937,52.369709 4.837227,52.369513 4.838962,52.369414 4.840421,52.369418 4.845098,52.369469 4.846598,52.36976 4.848471)";4.839709;52.3700125;
9;"9";"Potentiele stadsstraat";"Hoofdstraat";"LINESTRING(4.846908 52.372457,4.845841 52.372267,4.843447 52.372203,4.842103 52.372222,4.839734 52.372433,4.838447 52.37271,4.832559 52.373636,4.82715 52.374468,4.823129 52.375076)";"LINESTRING(52.372457 4.846908,52.372267 4.845841,52.372203 4.843447,52.372222 4.842103,52.372433 4.839734,52.37271 4.838447,52.373636 4.832559,52.374468 4.82715,52.375076 4.823129)";4.8350235;52.3736325;
10;"10";"Stadsstraat";"Hoofdstraat";"LINESTRING(4.819021 52.375702,4.820113 52.378349,4.821402 52.381402,4.832222 52.379749,4.83782 52.378865,4.844097 52.377887,4.84511 52.377776,4.845688 52.377823,4.846047 52.377887,4.851793 52.379061,4.855548 52.381348,4.855662 52.381508,4.855636 52.382461)";"LINESTRING(52.375702 4.819021,52.378349 4.820113,52.381402 4.821402,52.379749 4.832222,52.378865 4.83782,52.377887 4.844097,52.377776 4.84511,52.377823 4.845688,52.377887 4.846047,52.379061 4.851793,52.381348 4.855548,52.381508 4.855662,52.382461 4.855636)";4.8373465;52.3790745;
