OBJECTNUMMER;NETTYPE;STATUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.882214 52.392783,4.882167 52.392759,4.882163 52.392757,4.881633 52.392485,4.88118 52.392253,4.880414 52.391859,4.880213 52.391708,4.879857 52.391772,4.879831 52.391776,4.879828 52.391777,4.879793 52.391787,4.879764 52.391796,4.879217 52.391956,4.879212 52.391957,4.879192 52.391963,4.879169 52.391973,4.879163 52.391975,4.878949 52.392064,4.87892 52.392076,4.8789 52.392084,4.878888 52.392091,4.878864 52.392103,4.878586 52.392255,4.87905 52.392507,4.879084 52.392483)";"LINESTRING(52.392783 4.882214,52.392759 4.882167,52.392757 4.882163,52.392485 4.881633,52.392253 4.88118,52.391859 4.880414,52.391708 4.880213,52.391772 4.879857,52.391776 4.879831,52.391777 4.879828,52.391787 4.879793,52.391796 4.879764,52.391956 4.879217,52.391957 4.879212,52.391963 4.879192,52.391973 4.879169,52.391975 4.879163,52.392064 4.878949,52.392076 4.87892,52.392084 4.8789,52.392091 4.878888,52.392103 4.878864,52.392255 4.878586,52.392507 4.87905,52.392483 4.879084)";4.880405;52.3922385;
2;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.867336 52.337256,4.86733 52.337256,4.867318 52.337256,4.867312 52.337256,4.867268 52.337256)";"LINESTRING(52.337256 4.867336,52.337256 4.86733,52.337256 4.867318,52.337256 4.867312,52.337256 4.867268)";4.867307;52.337249;
3;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.877031 52.394113,4.876993 52.394094)";"LINESTRING(52.394113 4.877031,52.394094 4.876993)";4.877017;52.3940965;
4;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.877241 52.394221,4.877233 52.394217)";"LINESTRING(52.394221 4.877241,52.394217 4.877233)";4.877242;52.394212;
5;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.877242 52.394226,4.877234 52.394222)";"LINESTRING(52.394226 4.877242,52.394222 4.877234)";4.877243;52.394217;
6;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.878244 52.392914,4.878195 52.392885)";"LINESTRING(52.392914 4.878244,52.392885 4.878195)";4.8782245;52.3928925;
7;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.878249 52.392911,4.8782 52.392881)";"LINESTRING(52.392911 4.878249,52.392881 4.8782)";4.8782295;52.392889;
8;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879006 52.395328,4.878988 52.395341,4.878984 52.395345,4.878958 52.395363,4.878936 52.395379,4.878856 52.395352)";"LINESTRING(52.395328 4.879006,52.395341 4.878988,52.395345 4.878984,52.395363 4.878958,52.395379 4.878936,52.395352 4.878856)";4.878936;52.3953465;
9;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879006 52.395328,4.878965 52.395318,4.878959 52.395316,4.87894 52.395312)";"LINESTRING(52.395328 4.879006,52.395318 4.878965,52.395316 4.878959,52.395312 4.87894)";4.878978;52.395313;
10;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.87901 52.395326,4.878968 52.395315,4.878962 52.395314,4.878944 52.395309)";"LINESTRING(52.395326 4.87901,52.395315 4.878968,52.395314 4.878962,52.395309 4.878944)";4.878982;52.3953105;
11;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.87901 52.395326,4.879006 52.395328)";"LINESTRING(52.395326 4.87901,52.395328 4.879006)";4.879013;52.39532;
12;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879013 52.395323,4.879006 52.395322,4.879004 52.395321,4.87897 52.395314,4.878964 52.395312,4.878943 52.395308)";"LINESTRING(52.395323 4.879013,52.395322 4.879006,52.395321 4.879004,52.395314 4.87897,52.395312 4.878964,52.395308 4.878943)";4.878983;52.3953085;
13;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879013 52.395323,4.87901 52.395326)";"LINESTRING(52.395323 4.879013,52.395326 4.87901)";4.8790165;52.3953175;
14;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879018 52.39532,4.87901 52.395319,4.878993 52.395315,4.878973 52.395312,4.878967 52.395311,4.878939 52.395305)";"LINESTRING(52.39532 4.879018,52.395319 4.87901,52.395315 4.878993,52.395312 4.878973,52.395311 4.878967,52.395305 4.878939)";4.8789835;52.3953055;
15;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879018 52.39532,4.879013 52.395323)";"LINESTRING(52.39532 4.879018,52.395323 4.879013)";4.8790205;52.3953145;
16;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879045 52.395339,4.879019 52.395329,4.879014 52.395327,4.87901 52.395326)";"LINESTRING(52.395339 4.879045,52.395329 4.879019,52.395327 4.879014,52.395326 4.87901)";4.8790325;52.3953255;
17;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879045 52.395339,4.879021 52.395327,4.879017 52.395325,4.879013 52.395323)";"LINESTRING(52.395339 4.879045,52.395327 4.879021,52.395325 4.879017,52.395323 4.879013)";4.879034;52.395324;
18;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879049 52.395336,4.879025 52.395324,4.879021 52.395322,4.879018 52.39532)";"LINESTRING(52.395336 4.879049,52.395324 4.879025,52.395322 4.879021,52.39532 4.879018)";4.8790385;52.395321;
19;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879049 52.395336,4.879045 52.395339)";"LINESTRING(52.395336 4.879049,52.395339 4.879045)";4.879052;52.3953305;
20;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879049 52.395342,4.879045 52.395339)";"LINESTRING(52.395342 4.879049,52.395339 4.879045)";4.879052;52.3953335;
21;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879049 52.395342,4.879016 52.395331,4.879011 52.39533,4.879006 52.395328)";"LINESTRING(52.395342 4.879049,52.395331 4.879016,52.39533 4.879011,52.395328 4.879006)";4.8790325;52.395328;
22;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879054 52.395338,4.879049 52.395342)";"LINESTRING(52.395338 4.879054,52.395342 4.879049)";4.8790565;52.395333;
23;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879054 52.395338,4.879049 52.395336)";"LINESTRING(52.395338 4.879054,52.395336 4.879049)";4.8790565;52.39533;
24;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879098 52.395083,4.879068 52.395106)";"LINESTRING(52.395083 4.879098,52.395106 4.879068)";4.879088;52.3950875;
25;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879101 52.395085,4.879068 52.395106)";"LINESTRING(52.395085 4.879101,52.395106 4.879068)";4.8790895;52.3950885;
26;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879123 52.395051,4.879096 52.395065)";"LINESTRING(52.395051 4.879123,52.395065 4.879096)";4.8791145;52.395051;
27;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879123 52.395051,4.879092 52.395063)";"LINESTRING(52.395051 4.879123,52.395063 4.879092)";4.8791125;52.39505;
28;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879125 52.395138,4.879068 52.395106)";"LINESTRING(52.395138 4.879125,52.395106 4.879068)";4.8791015;52.395115;
29;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.876413 52.393816,4.876432 52.393825,4.876439 52.393829,4.876454 52.393837,4.876463 52.393841,4.876963 52.3941,4.876967 52.394102,4.877095 52.394168,4.8771 52.39417,4.879125 52.395217,4.879127 52.395229,4.879128 52.395234,4.879128 52.395239,4.879018 52.39532)";"LINESTRING(52.393816 4.876413,52.393825 4.876432,52.393829 4.876439,52.393837 4.876454,52.393841 4.876463,52.3941 4.876963,52.394102 4.876967,52.394168 4.877095,52.39417 4.8771,52.395217 4.879125,52.395229 4.879127,52.395234 4.879128,52.395239 4.879128,52.39532 4.879018)";4.8777755;52.394561;
30;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879199 52.395178,4.879125 52.395138)";"LINESTRING(52.395178 4.879199,52.395138 4.879125)";4.879167;52.395151;
31;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.87922 52.395211,4.879049 52.395336)";"LINESTRING(52.395211 4.87922,52.395336 4.879049)";4.8791395;52.3952665;
32;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.87922 52.395211,4.879171 52.395187,4.879188 52.395175,4.879042 52.395097,4.879077 52.395073)";"LINESTRING(52.395211 4.87922,52.395187 4.879171,52.395175 4.879188,52.395097 4.879042,52.395073 4.879077)";4.879136;52.395135;
33;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879223 52.395209,4.879179 52.395188,4.879191 52.395174,4.879049 52.395097,4.879081 52.395075)";"LINESTRING(52.395209 4.879223,52.395188 4.879179,52.395174 4.879191,52.395097 4.879049,52.395075 4.879081)";4.879141;52.395135;
34;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879223 52.395209,4.87922 52.395211)";"LINESTRING(52.395209 4.879223,52.395211 4.87922)";4.8792265;52.395203;
35;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879225 52.395213,4.879054 52.395338)";"LINESTRING(52.395213 4.879225,52.395338 4.879054)";4.8791445;52.3952685;
36;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879225 52.395213,4.87922 52.395211)";"LINESTRING(52.395213 4.879225,52.395211 4.87922)";4.8792275;52.395205;
37;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879227 52.395206,4.879188 52.395187,4.879199 52.395178)";"LINESTRING(52.395206 4.879227,52.395187 4.879188,52.395178 4.879199)";4.8792125;52.395185;
38;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879227 52.395206,4.879223 52.395209)";"LINESTRING(52.395206 4.879227,52.395209 4.879223)";4.87923;52.3952005;
39;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879227 52.395211,4.879223 52.395209)";"LINESTRING(52.395211 4.879227,52.395209 4.879223)";4.87923;52.395203;
40;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879227 52.395211,4.879225 52.395213)";"LINESTRING(52.395211 4.879227,52.395213 4.879225)";4.879231;52.395205;
41;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879234 52.395217,4.879225 52.395213)";"LINESTRING(52.395217 4.879234,52.395213 4.879225)";4.8792345;52.395208;
42;"KOUDE TRANSPORT";"IN AANLEG";"LINESTRING(4.879234 52.395217,4.879054 52.395338)";"LINESTRING(52.395217 4.879234,52.395338 4.879054)";4.879149;52.3952705;
