OBJECTNUMMER;NETTYPE;STATUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.880939 52.39407,4.880916 52.394016,4.880856 52.393974,4.880724 52.393941,4.880635 52.393955,4.880543 52.394014,4.879619 52.393532,4.87972 52.393486,4.879744 52.393432,4.87972 52.393319,4.879656 52.393279,4.879568 52.393264,4.879474 52.393278,4.87919 52.39348,4.879165 52.393534,4.879188 52.393588,4.879228 52.393617,4.880481 52.394264,4.880569 52.394279,4.880657 52.394265,4.880795 52.394172,4.880849 52.394163,4.880914 52.394124,4.880939 52.39407))";"POLYGON((52.39407 4.880939,52.394016 4.880916,52.393974 4.880856,52.393941 4.880724,52.393955 4.880635,52.394014 4.880543,52.393532 4.879619,52.393486 4.87972,52.393432 4.879744,52.393319 4.87972,52.393279 4.879656,52.393264 4.879568,52.393278 4.879474,52.39348 4.87919,52.393534 4.879165,52.393588 4.879188,52.393617 4.879228,52.394264 4.880481,52.394279 4.880569,52.394265 4.880657,52.394172 4.880795,52.394163 4.880849,52.394124 4.880914,52.39407 4.880939))";4.880057;52.3937645;
2;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.876796 52.336114,4.876773 52.336043,4.876709 52.336003,4.876621 52.335988,4.876385 52.336,4.876129 52.335988,4.87598 52.336014,4.875915 52.336053,4.87589 52.336107,4.875887 52.336493,4.875868 52.336536,4.875891 52.336593,4.875955 52.336633,4.876042 52.336648,4.876225 52.336634,4.876275 52.336604,4.876492 52.336619,4.876586 52.336605,4.876651 52.336566,4.876675 52.336512,4.876652 52.33644,4.876588 52.3364,4.8765 52.336385,4.876386 52.33637,4.876246 52.336384,4.876247 52.336226,4.876575 52.336229,4.876669 52.336215,4.876771 52.336167,4.876796 52.336114))";"POLYGON((52.336114 4.876796,52.336043 4.876773,52.336003 4.876709,52.335988 4.876621,52.336 4.876385,52.335988 4.876129,52.336014 4.87598,52.336053 4.875915,52.336107 4.87589,52.336493 4.875887,52.336536 4.875868,52.336593 4.875891,52.336633 4.875955,52.336648 4.876042,52.336634 4.876225,52.336604 4.876275,52.336619 4.876492,52.336605 4.876586,52.336566 4.876651,52.336512 4.876675,52.33644 4.876652,52.3364 4.876588,52.336385 4.8765,52.33637 4.876386,52.336384 4.876246,52.336226 4.876247,52.336229 4.876575,52.336215 4.876669,52.336167 4.876771,52.336114 4.876796))";4.876337;52.336311;
3;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.885902 52.392993,4.885802 52.392692,4.885516 52.39206,4.885435 52.391995,4.885347 52.391981,4.885259 52.391995,4.885189 52.392036,4.885171 52.392119,4.885445 52.392721,4.885432 52.392792,4.885521 52.392946,4.885499 52.392995,4.88551 52.393037,4.885592 52.393104,4.88568 52.393119,4.885813 52.393086,4.885878 52.393046,4.885902 52.392993))";"POLYGON((52.392993 4.885902,52.392692 4.885802,52.39206 4.885516,52.391995 4.885435,52.391981 4.885347,52.391995 4.885259,52.392036 4.885189,52.392119 4.885171,52.392721 4.885445,52.392792 4.885432,52.392946 4.885521,52.392995 4.885499,52.393037 4.88551,52.393104 4.885592,52.393119 4.88568,52.393086 4.885813,52.393046 4.885878,52.392993 4.885902))";4.8855415;52.392543;
4;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.880182 52.395939,4.880159 52.395885,4.880125 52.395863,4.880173 52.395795,4.88015 52.395741,4.880041 52.395678,4.879911 52.395658,4.879815 52.395672,4.87975 52.395711,4.879725 52.395765,4.879748 52.395819,4.8798 52.395854,4.879758 52.395862,4.879649 52.395838,4.879552 52.395852,4.879487 52.395892,4.879463 52.395945,4.879486 52.395999,4.879554 52.396043,4.879611 52.396113,4.879743 52.396179,4.879831 52.396194,4.879919 52.39618,4.88003 52.39611,4.880158 52.395993,4.880182 52.395939))";"POLYGON((52.395939 4.880182,52.395885 4.880159,52.395863 4.880125,52.395795 4.880173,52.395741 4.88015,52.395678 4.880041,52.395658 4.879911,52.395672 4.879815,52.395711 4.87975,52.395765 4.879725,52.395819 4.879748,52.395854 4.8798,52.395862 4.879758,52.395838 4.879649,52.395852 4.879552,52.395892 4.879487,52.395945 4.879463,52.395999 4.879486,52.396043 4.879554,52.396113 4.879611,52.396179 4.879743,52.396194 4.879831,52.39618 4.879919,52.39611 4.88003,52.395993 4.880158,52.395939 4.880182))";4.8798275;52.395919;
5;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.879725 52.394062,4.879702 52.394008,4.879638 52.393968,4.87942 52.393855,4.879327 52.393838,4.879239 52.393852,4.879154 52.393905,4.87913 52.393959,4.87915 52.394009,4.879093 52.394047,4.879069 52.394101,4.879092 52.394155,4.879156 52.394195,4.879244 52.39421,4.879333 52.394196,4.879406 52.394152,4.879436 52.394171,4.879524 52.394186,4.879613 52.394172,4.879701 52.394116,4.879725 52.394062))";"POLYGON((52.394062 4.879725,52.394008 4.879702,52.393968 4.879638,52.393855 4.87942,52.393838 4.879327,52.393852 4.879239,52.393905 4.879154,52.393959 4.87913,52.394009 4.87915,52.394047 4.879093,52.394101 4.879069,52.394155 4.879092,52.394195 4.879156,52.39421 4.879244,52.394196 4.879333,52.394152 4.879406,52.394171 4.879436,52.394186 4.879524,52.394172 4.879613,52.394116 4.879701,52.394062 4.879725))";4.879402;52.394017;
6;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.877164 52.394096,4.877141 52.394042,4.877073 52.393999,4.876985 52.393984,4.876897 52.393998,4.876702 52.394127,4.876621 52.39414,4.876556 52.394179,4.876528 52.394236,4.876551 52.39429,4.876664 52.394354,4.876752 52.394369,4.87684 52.394355,4.877121 52.394165,4.877164 52.394096))";"POLYGON((52.394096 4.877164,52.394042 4.877141,52.393999 4.877073,52.393984 4.876985,52.393998 4.876897,52.394127 4.876702,52.39414 4.876621,52.394179 4.876556,52.394236 4.876528,52.39429 4.876551,52.394354 4.876664,52.394369 4.876752,52.394355 4.87684,52.394165 4.877121,52.394096 4.877164))";4.876851;52.3941695;
7;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.882476 52.392959,4.882453 52.392905,4.882414 52.392876,4.882249 52.392793,4.882161 52.392778,4.882073 52.392792,4.882008 52.392832,4.88198 52.392888,4.882003 52.392942,4.882207 52.393054,4.882295 52.393069,4.882383 52.393055,4.882448 52.393016,4.882476 52.392959))";"POLYGON((52.392959 4.882476,52.392905 4.882453,52.392876 4.882414,52.392793 4.882249,52.392778 4.882161,52.392792 4.882073,52.392832 4.882008,52.392888 4.88198,52.392942 4.882003,52.393054 4.882207,52.393069 4.882295,52.393055 4.882383,52.393016 4.882448,52.392959 4.882476))";4.882233;52.3929165;
8;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.879247 52.395591,4.879224 52.395537,4.87916 52.395498,4.879072 52.395483,4.878976 52.395497,4.878928 52.395521,4.878877 52.395561,4.878853 52.395615,4.878876 52.395669,4.87894 52.395708,4.879032 52.395725,4.879121 52.395711,4.879168 52.395687,4.879223 52.395645,4.879247 52.395591))";"POLYGON((52.395591 4.879247,52.395537 4.879224,52.395498 4.87916,52.395483 4.879072,52.395497 4.878976,52.395521 4.878928,52.395561 4.878877,52.395615 4.878853,52.395669 4.878876,52.395708 4.87894,52.395725 4.879032,52.395711 4.879121,52.395687 4.879168,52.395645 4.879223,52.395591 4.879247))";4.879055;52.395597;
9;"KOUDE WIJK";"IN AANLEG";"POLYGON((4.879724 52.395523,4.879701 52.395469,4.879637 52.395429,4.879549 52.395414,4.879452 52.395429,4.879405 52.395453,4.879351 52.395531,4.879374 52.395585,4.879413 52.395614,4.879541 52.395647,4.879629 52.395633,4.879694 52.395594,4.879724 52.395523))";"POLYGON((52.395523 4.879724,52.395469 4.879701,52.395429 4.879637,52.395414 4.879549,52.395429 4.879452,52.395453 4.879405,52.395531 4.879351,52.395585 4.879374,52.395614 4.879413,52.395647 4.879541,52.395633 4.879629,52.395594 4.879694,52.395523 4.879724))";4.8795425;52.3955235;
10;"KOUDE WIJK";"IN BEDRIJF";"POLYGON((4.880389 52.39575,4.880366 52.395696,4.880329 52.395668,4.879486 52.39521,4.879355 52.395173,4.879277 52.395186,4.879221 52.39513,4.87883 52.394926,4.87887 52.394859,4.878847 52.394805,4.878783 52.394765,4.878682 52.394713,4.87859 52.394696,4.878502 52.39471,4.878461 52.394734,4.878378 52.39469,4.878419 52.394625,4.878396 52.394571,4.878328 52.394529,4.87824 52.394514,4.878114 52.394544,4.878023 52.394507,4.878063 52.39444,4.87804 52.394386,4.877976 52.394346,4.877883 52.394329,4.877795 52.394343,4.877751 52.394367,4.877691 52.394335,4.87772 52.394261,4.877697 52.394207,4.877633 52.394167,4.877545 52.394152,4.877452 52.394165,4.877411 52.39419,4.87722 52.394093,4.877132 52.394078,4.877043 52.394092,4.876878 52.394203,4.876894 52.394162,4.876871 52.394108,4.876819 52.394075,4.876797 52.394014,4.8766 52.393905,4.876417 52.393866,4.876073 52.39388,4.875988 52.393815,4.8759 52.3938,4.875763 52.393815,4.875698 52.393854,4.875674 52.393922,4.875577 52.393937,4.875512 52.393976,4.875465 52.394065,4.875467 52.394112,4.87549 52.394169,4.875544 52.394203,4.875485 52.394238,4.875462 52.39431,4.875483 52.394372,4.875547 52.394411,4.875779 52.394447,4.876153 52.394441,4.876247 52.394427,4.876374 52.394438,4.876491 52.394477,4.876512 52.394489,4.876466 52.394556,4.876489 52.39461,4.876539 52.394644,4.878644 52.395721,4.878732 52.395736,4.878821 52.395722,4.87889 52.395682,4.878952 52.395684,4.878977 52.395768,4.879016 52.395797,4.87913 52.395854,4.879187 52.395864,4.879293 52.395938,4.879421 52.395963,4.879432 52.395989,4.879496 52.396028,4.879638 52.396054,4.879735 52.39604,4.8798 52.396,4.879824 52.395947,4.879813 52.395921,4.879864 52.395867,4.879997 52.395859,4.880062 52.39582,4.880208 52.39586,4.880297 52.395845,4.880361 52.395806,4.880389 52.39575),(4.878709 52.395294,4.878624 52.395265,4.878509 52.395199,4.878421 52.395184,4.878308 52.395202,4.878189 52.395139,4.878275 52.395074,4.878299 52.395021,4.878383 52.395035,4.878461 52.395022,4.878827 52.395213,4.878709 52.395294),(4.877997 52.394905,4.87783 52.395016,4.87774 52.39497,4.877792 52.394937,4.877816 52.394884,4.877793 52.39483,4.877619 52.394697,4.877538 52.394657,4.877483 52.394647,4.877456 52.394591,4.877378 52.394541,4.877265 52.394516,4.877197 52.394526,4.877101 52.394492,4.877038 52.39444,4.877119 52.394427,4.877196 52.394366,4.877518 52.394533,4.877505 52.394561,4.877528 52.394616,4.877682 52.394693,4.8777 52.394736,4.87778 52.394784,4.877868 52.394799,4.877982 52.394772,4.878058 52.394812,4.878045 52.394842,4.878067 52.394894,4.877997 52.394905))";"POLYGON((52.39575 4.880389,52.395696 4.880366,52.395668 4.880329,52.39521 4.879486,52.395173 4.879355,52.395186 4.879277,52.39513 4.879221,52.394926 4.87883,52.394859 4.87887,52.394805 4.878847,52.394765 4.878783,52.394713 4.878682,52.394696 4.87859,52.39471 4.878502,52.394734 4.878461,52.39469 4.878378,52.394625 4.878419,52.394571 4.878396,52.394529 4.878328,52.394514 4.87824,52.394544 4.878114,52.394507 4.878023,52.39444 4.878063,52.394386 4.87804,52.394346 4.877976,52.394329 4.877883,52.394343 4.877795,52.394367 4.877751,52.394335 4.877691,52.394261 4.87772,52.394207 4.877697,52.394167 4.877633,52.394152 4.877545,52.394165 4.877452,52.39419 4.877411,52.394093 4.87722,52.394078 4.877132,52.394092 4.877043,52.394203 4.876878,52.394162 4.876894,52.394108 4.876871,52.394075 4.876819,52.394014 4.876797,52.393905 4.8766,52.393866 4.876417,52.39388 4.876073,52.393815 4.875988,52.3938 4.8759,52.393815 4.875763,52.393854 4.875698,52.393922 4.875674,52.393937 4.875577,52.393976 4.875512,52.394065 4.875465,52.394112 4.875467,52.394169 4.87549,52.394203 4.875544,52.394238 4.875485,52.39431 4.875462,52.394372 4.875483,52.394411 4.875547,52.394447 4.875779,52.394441 4.876153,52.394427 4.876247,52.394438 4.876374,52.394477 4.876491,52.394489 4.876512,52.394556 4.876466,52.39461 4.876489,52.394644 4.876539,52.395721 4.878644,52.395736 4.878732,52.395722 4.878821,52.395682 4.87889,52.395684 4.878952,52.395768 4.878977,52.395797 4.879016,52.395854 4.87913,52.395864 4.879187,52.395938 4.879293,52.395963 4.879421,52.395989 4.879432,52.396028 4.879496,52.396054 4.879638,52.39604 4.879735,52.396 4.8798,52.395947 4.879824,52.395921 4.879813,52.395867 4.879864,52.395859 4.879997,52.39582 4.880062,52.39586 4.880208,52.395845 4.880297,52.395806 4.880361,52.39575 4.880389),(52.395294 4.878709,52.395265 4.878624,52.395199 4.878509,52.395184 4.878421,52.395202 4.878308,52.395139 4.878189,52.395074 4.878275,52.395021 4.878299,52.395035 4.878383,52.395022 4.878461,52.395213 4.878827,52.395294 4.878709),(52.394905 4.877997,52.395016 4.87783,52.39497 4.87774,52.394937 4.877792,52.394884 4.877816,52.39483 4.877793,52.394697 4.877619,52.394657 4.877538,52.394647 4.877483,52.394591 4.877456,52.394541 4.877378,52.394516 4.877265,52.394526 4.877197,52.394492 4.877101,52.39444 4.877038,52.394427 4.877119,52.394366 4.877196,52.394533 4.877518,52.394561 4.877505,52.394616 4.877528,52.394693 4.877682,52.394736 4.8777,52.394784 4.87778,52.394799 4.877868,52.394772 4.877982,52.394812 4.878058,52.394842 4.878045,52.394894 4.878067,52.394905 4.877997))";4.8779305;52.39492;
