"�..OBJECTNUMMER";"Zaaknaam";"Adres";"Producten";"Horeca_soort";"Dagen";"Tijden";"Website";"BOERENMARKT";"NATUURWINKEL";"HORECA";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
1;"Akkerbouwbedrijf Knook";"Volgerweg 24 Middenbeemster";"Ecologische aardappelen, bloemen";"";"";"";"http://www.beemsterplattelandvernieuwing.nl";0;0;"0";"POINT(4.9016378,52.5323874)";"POINT(52.5323874,4.9016378)";4.9016378;52.5323874;NA
2;"Akkerbouwbedrijf Konijn";"Middenweg 54 Middenbeemster";"Aardappelen, tulpenbollen (aug-nov)";"";"";"";"0";0;0;"1";"POINT(52.5774619,4.9313528)";"4.9313528";52.5774619;NA;NA
3;"Anna Hean";"Gein Zuid 23 Abcoude";"Zuivel, kaas, brood, fruit, groenten, delicatessen, catering";"";"";"";"http://www.annahaen.nl";0;0;"0";"POINT(5.005624,52.2802474)";"POINT(52.2802474,5.005624)";5.005624;52.2802474;NA
4;"Beemster Wijngaard";"Middenweg 191 Middenbeemster";"Aardappelen, fruit, groenten, wijnen, dranken, jam, sauzen, sappen";"";"";"";"http://www.beemsterwijngaard.nl";0;0;"0";"POINT(4.906748,52.5400511)";"POINT(52.5400511,4.906748)";4.906748;52.5400511;NA
5;"Belzenhof";"Uitgang 4 Ursem";"Groenten, vlees";"";"";"";"0";0;0;"1";"POINT(52.6441504,4.8898532)";"4.8898532";52.6441504;NA;NA
6;"Biologisch Melkveebedrijf De Nooij";"Binnenweg 5 Ouderkerk a/d Amstel";"Biologische melk";"";"";"";"";0;0;"0";"POINT(4.9069011,52.3048941)";"POINT(52.3048941,4.9069011)";4.9069011;52.3048941;NA
7;"Biologisch Melkveebedrijf Hartstocht";"Gein-zuid 26 Abcoude";"melktappunt in het weekend/ zuivel";"";"";"";"www.hartstocht.net";0;0;"0";"POINT(5.0063941,52.2826125)";"POINT(52.2826125,5.0063941)";5.0063941;52.2826125;NA
8;"Boerderij Achtervennen";"Minnickendammerijweg 54 Ilpendam";"Jams, sap, chutneys, biologische boerenkaas";"";"";"";"http://www.boerderijachtervennen.nl";0;0;"0";"POINT(4.9653418,52.4576041)";"POINT(52.4576041,4.9653418)";4.9653418;52.4576041;NA
9;"Boerderij Kater";"Woude 35b De Woude";"Mosterd, geitenkaas, schapenkaas";"";"";"";"http://www.dewoude.net";0;0;"0";"POINT(4.776426,52.546117)";"POINT(52.546117,4.776426)";4.776426;52.546117;NA
10;"Boerderij Tromp en Zn";"Laanweg 8 Zuidschermer";"Aardappelen, uien, eieren, diverse koolsoorten, erwten, bonen, appels, kippenvoer";"";"";"";"http://www.jcatromp.nl";0;0;"0";"POINT(4.806947,52.5975386)";"POINT(52.5975386,4.806947)";4.806947;52.5975386;NA
11;"Boerderijcamping Natuurlijk Genoegen";"Driehuiserweg 2A Driehuizen";"Biologisch rundvlees (limousin), lamsvlees, eieren, melk";"";"";"";"http://www.natuurlijkgenoegen.nl";0;0;"0";"POINT(4.7974679,52.5800559)";"POINT(52.5800559,4.7974679)";4.7974679;52.5800559;NA
12;"Boerderijwinkel Groeneweg";"Noorddammerweg 108 Amstelveen";"Eieren, aardappels, fruit, groenten";"";"";"";"0";0;0;"1";"POINT(52.2588736,4.8090222)";"4.8090222";52.2588736;NA;NA
