OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Tram";"2 | 11 | 12 | 13 | 17";"02|11|12|13|17";3;"POINT(4.893349,52.376063)";"POINT(52.376063,4.893349)";4.893349;52.376063;
2;"Tram";"1 | 11 | 17";"01|11|17";3;"POINT(4.853122,52.358376)";"POINT(52.358376,4.853122)";4.853122;52.358376;
3;"Tram";"1 | 17";"01|17";3;"POINT(4.82733,52.357808)";"POINT(52.357808,4.82733)";4.82733;52.357808;
4;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.889295,52.369253)";"POINT(52.369253,4.889295)";4.889295;52.369253;
5;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.884471,52.365016)";"POINT(52.365016,4.884471)";4.884471;52.365016;
6;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.886451,52.365955)";"POINT(52.365955,4.886451)";4.886451;52.365955;
7;"Tram";"2 | 11 | 12";"02|11|12";3;"POINT(4.888961,52.366997)";"POINT(52.366997,4.888961)";4.888961;52.366997;
8;"Tram";"1";"01";3;"POINT(4.77478,52.353737)";"POINT(52.353737,4.77478)";4.77478;52.353737;
9;"Tram";"1";"01";3;"POINT(4.776851,52.352909)";"POINT(52.352909,4.776851)";4.776851;52.352909;
10;"Tram";"1";"01";3;"POINT(4.783292,52.35033)";"POINT(52.35033,4.783292)";4.783292;52.35033;
11;"Tram";"1";"01";3;"POINT(4.794752,52.350977)";"POINT(52.350977,4.794752)";4.794752;52.350977;
12;"Tram";"1";"01";3;"POINT(4.802261,52.352497)";"POINT(52.352497,4.802261)";4.802261;52.352497;
13;"Tram";"1";"01";3;"POINT(4.808848,52.353889)";"POINT(52.353889,4.808848)";4.808848;52.353889;
14;"Tram";"1 | 3 | 11";"01|03|11";3;"POINT(4.875292,52.362744)";"POINT(52.362744,4.875292)";4.875292;52.362744;
15;"Tram";"1 | 11";"01|11";3;"POINT(4.860101,52.35896)";"POINT(52.35896,4.860101)";4.860101;52.35896;
16;"Tram";"19";"19";3;"POINT(4.940195,52.34775)";"POINT(52.34775,4.940195)";4.940195;52.34775;
17;"Tram";"19";"19";3;"POINT(4.947654,52.343066)";"POINT(52.343066,4.947654)";4.947654;52.343066;
18;"Tram";"19";"19";3;"POINT(4.954538,52.339602)";"POINT(52.339602,4.954538)";4.954538;52.339602;
19;"Tram";"19";"19";3;"POINT(4.95864,52.338751)";"POINT(52.338751,4.95864)";4.95864;52.338751;
20;"Tram";"19";"19";3;"POINT(4.965745,52.337489)";"POINT(52.337489,4.965745)";4.965745;52.337489;
21;"Tram";"19";"19";3;"POINT(4.969582,52.336755)";"POINT(52.336755,4.969582)";4.969582;52.336755;
22;"Tram";"1 | 3";"01|03";3;"POINT(4.929373,52.361011)";"POINT(52.361011,4.929373)";4.929373;52.361011;
23;"Tram";"1 | 17";"01|17";3;"POINT(4.810142,52.356393)";"POINT(52.356393,4.810142)";4.810142;52.356393;
24;"Tram";"1 | 17";"01|17";3;"POINT(4.840037,52.357949)";"POINT(52.357949,4.840037)";4.840037;52.357949;
25;"Tram";"17";"17";3;"POINT(4.853284,52.361464)";"POINT(52.361464,4.853284)";4.853284;52.361464;
26;"Tram";"17";"17";3;"POINT(4.853184,52.363667)";"POINT(52.363667,4.853184)";4.853184;52.363667;
27;"Tram";"7 | 17";"07|17";3;"POINT(4.867549,52.365967)";"POINT(52.365967,4.867549)";4.867549;52.365967;
28;"Tram";"3 | 7 | 17";"03|07|17";3;"POINT(4.872169,52.367238)";"POINT(52.367238,4.872169)";4.872169;52.367238;
29;"Tram";"1 | 2 | 5 | 7 | 11 | 12 | 19";"01|02|05|07|11|12|19";3;"POINT(4.882353,52.363767)";"POINT(52.363767,4.882353)";4.882353;52.363767;
30;"Tram";"1";"01";3;"POINT(4.788602,52.349768)";"POINT(52.349768,4.788602)";4.788602;52.349768;
31;"Tram";"1 | 11";"01|11";3;"POINT(4.86625,52.360446)";"POINT(52.360446,4.86625)";4.86625;52.360446;
32;"Tram";"5";"05";3;"POINT(4.86987,52.384229)";"POINT(52.384229,4.86987)";4.86987;52.384229;
33;"Tram";"3";"03";3;"POINT(4.881063,52.38149)";"POINT(52.38149,4.881063)";4.881063;52.38149;
34;"Tram";"7";"07";3;"POINT(4.937336,52.376735)";"POINT(52.376735,4.937336)";4.937336;52.376735;
35;"Tram";"7";"07";3;"POINT(4.821464,52.381317)";"POINT(52.381317,4.821464)";4.821464;52.381317;
36;"Tram";"5";"05";3;"POINT(4.875046,52.384354)";"POINT(52.384354,4.875046)";4.875046;52.384354;
37;"Tram";"7";"07";3;"POINT(4.926464,52.368265)";"POINT(52.368265,4.926464)";4.926464;52.368265;
38;"Tram";"7";"07";3;"POINT(4.93846,52.373498)";"POINT(52.373498,4.93846)";4.93846;52.373498;
39;"Tram";"1 | 7 | 19";"01|07|19";3;"POINT(4.914325,52.362479)";"POINT(52.362479,4.914325)";4.914325;52.362479;
40;"Tram";"1 | 7 | 19 | 24 | 52";"01|07|19|24|52";3;"POINT(4.890948,52.359624)";"POINT(52.359624,4.890948)";4.890948;52.359624;
41;"Tram";"1 | 7 | 19";"01|07|19";3;"POINT(4.887262,52.360881)";"POINT(52.360881,4.887262)";4.887262;52.360881;
42;"Tram";"3";"03";3;"POINT(4.883593,52.385036)";"POINT(52.385036,4.883593)";4.883593;52.385036;
43;"Tram";"5";"05";3;"POINT(4.877053,52.383177)";"POINT(52.383177,4.877053)";4.877053;52.383177;
44;"Tram";"5";"05";3;"POINT(4.879194,52.381132)";"POINT(52.381132,4.879194)";4.879194;52.381132;
45;"Tram";"7 | 14 | 19";"07|14|19";3;"POINT(4.918934,52.363598)";"POINT(52.363598,4.918934)";4.918934;52.363598;
46;"Tram";"7";"07";3;"POINT(4.924564,52.366764)";"POINT(52.366764,4.924564)";4.924564;52.366764;
47;"Tram";"7";"07";3;"POINT(4.929696,52.37025)";"POINT(52.37025,4.929696)";4.929696;52.37025;
48;"Tram";"7 | 26";"07|26";3;"POINT(4.934366,52.372891)";"POINT(52.372891,4.934366)";4.934366;52.372891;
49;"Tram";"13 | 19";"13|19";3;"POINT(4.86393,52.370529)";"POINT(52.370529,4.86393)";4.86393;52.370529;
50;"Tram";"19";"19";3;"POINT(4.857454,52.378116)";"POINT(52.378116,4.857454)";4.857454;52.378116;
51;"Metro";"51";"51";5;"POINT(4.832557,52.282385)";"POINT(52.282385,4.832557)";4.832557;52.282385;
52;"Metro";"51";"51";5;"POINT(4.830764,52.27454)";"POINT(52.27454,4.830764)";4.830764;52.27454;
53;"Tram";"3 | 12 | 24 | 52";"03|12|24|52";3;"POINT(4.891112,52.352782)";"POINT(52.352782,4.891112)";4.891112;52.352782;
54;"Tram";"19";"19";3;"POINT(4.851314,52.382566)";"POINT(52.382566,4.851314)";4.851314;52.382566;
55;"Tram";"19";"19";3;"POINT(4.846421,52.38588)";"POINT(52.38588,4.846421)";4.846421;52.38588;
56;"Metro";"51";"51";5;"POINT(4.845444,52.283235)";"POINT(52.283235,4.845444)";4.845444;52.283235;
57;"Tram";"12";"12";3;"POINT(4.891167,52.347337)";"POINT(52.347337,4.891167)";4.891167;52.347337;
58;"Tram";"4 | 52";"04|52";3;"POINT(4.891992,52.34021)";"POINT(52.34021,4.891992)";4.891992;52.34021;
59;"Tram";"4";"04";3;"POINT(4.900816,52.344521)";"POINT(52.344521,4.900816)";4.900816;52.344521;
60;"Tram";"4";"04";3;"POINT(4.896595,52.342991)";"POINT(52.342991,4.896595)";4.896595;52.342991;
