OBJECTNUMMER;Kruispuntnummer;Kruispunt;Geregeld_sinds_schatting;Vervallen_sinds_schatting;Regeling;Soort;Koppeling;Status;Foto;Weblink;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"1136";"Stationsplein / Oostelijke uitgang Centraal Station";1952;1971;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"http://beeldbank.amsterdam.nl/afbeelding/10009A002780";"POINT(4.9007728,52.3778655)";"POINT(52.3778655,4.9007728)";4.9007728;52.3778655;
2;"1138";"Stationsplein / Westelijke uitgang Centraal Station";1952;1971;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"http://afbeeldingen.gahetna.nl/naa/thumb/500x500/4466d51c-2883-4ab4-287f-bd24b7428ff6.jpg";"POINT(4.8992202,52.3784339)";"POINT(52.3784339,4.8992202)";4.8992202;52.3784339;
3;"1137";"Stationsplein / Ingang Centraal Station";1967;1984;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"http://disseminate.objectrepository.org/file/level2/10622/30051001465043";"POINT(4.8999779,52.3782164)";"POINT(52.3782164,4.8999779)";4.8999779;52.3782164;
4;"9997";"St Antoniessluis";1975;1983;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"http://beeldbank.amsterdam.nl/afbeelding/010122020849";"POINT(4.9010022,52.3696868)";"POINT(52.3696868,4.9010022)";4.9010022;52.3696868;
5;"1945";"Bos en Lommerweg / Akbar";1975;1986;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.8411748,52.3782927)";"POINT(52.3782927,4.8411748)";4.8411748;52.3782927;
6;"9004";"Damrak / Beursplein";1965;1988;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"http://beeldbank.amsterdam.nl/afbeelding/B00000026729";"POINT(4.8944873,52.3741352)";"POINT(52.3741352,4.8944873)";4.8944873;52.3741352;
7;"9970";"Apollolaan / Rapaëlstraat";1973;1989;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.869745,52.3504912)";"POINT(52.3504912,4.869745)";4.869745;52.3504912;
8;"9967";"Churchilllaan / Schipbeekstraat";1975;1993;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.8978951,52.3467948)";"POINT(52.3467948,4.8978951)";4.8978951;52.3467948;
9;"1451";"Insulindeweg / Soembawastraat";1973;1994;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.9437649,52.3621947)";"POINT(52.3621947,4.9437649)";4.9437649;52.3621947;
10;"1111";"Prins Hendrikkade / Zeedijk";1996;2002;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.8997552,52.3767935)";"POINT(52.3767935,4.8997552)";4.8997552;52.3767935;
11;"1599";"Hoofddorpplein / Leimuidenstraat";1975;2006;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.8504651,52.3510939)";"POINT(52.3510939,4.8504651)";4.8504651;52.3510939;
12;"1154";"Rokin / Spui";2005;2006;"";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.8920259,52.3689581)";"POINT(52.3689581,4.8920259)";4.8920259;52.3689581;
13;"932";"Kinkerstraat / Katestraat, ten";1967;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"https://archief.amsterdam/beeldbank/detail/4f38560d-6df3-9985-c4c1-ae15b112b594";"POINT(4.8675649,52.3659941)";"POINT(52.3659941,4.8675649)";4.8675649;52.3659941;
14;"663";"Vrijheidslaan / Kromme Mijdrechtstraat";1971;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9083049,52.3466918)";"POINT(52.3466918,4.9083049)";4.9083049;52.3466918;
15;"928";"Jan Evertsenstraat / Vespuccistraat";1971;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8537052,52.3705947)";"POINT(52.3705947,4.8537052)";4.8537052;52.3705947;
16;"125";"Rozengracht / Rozendwarsstraat 1e";1972;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8803852,52.3732916)";"POINT(52.3732916,4.8803852)";4.8803852;52.3732916;
17;"455";"Galileiplantsoen / Radioweg";1973;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9390762,52.3531653)";"POINT(52.3531653,4.9390762)";4.9390762;52.3531653;
18;"562";"Willemsparkweg / Cornelis Schuytstraat";1973;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8706949,52.355992)";"POINT(52.355992,4.8706949)";4.8706949;52.355992;
19;"228";"Waddenweg VOP";1975;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"http://afbeeldingen.gahetna.nl/naa/thumb/1280x1280/7c77e93a-c991-5b01-dc39-634507a1e7f2.jpg";"POINT(4.9275792,52.3930327)";"POINT(52.3930327,4.9275792)";4.9275792;52.3930327;
20;"434";"Oosterpark / Eikenweg";1975;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9212048,52.3589942)";"POINT(52.3589942,4.9212048)";4.9212048;52.3589942;
21;"538";"van Baerlestraat / Nicolaas Maesstraat";1975;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8810408,52.3546454)";"POINT(52.3546454,4.8810408)";4.8810408;52.3546454;
22;"597";"Hoofdweg / Corantijnstraat";1975;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8532751,52.3617941)";"POINT(52.3617941,4.8532751)";4.8532751;52.3617941;
23;"911";"Jan van Galenstraat / Vespuccistraat";1975;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8522851,52.3733946)";"POINT(52.3733946,4.8522851)";4.8522851;52.3733946;
24;"116";"De Ruyterkade / Tolhuispont";1976;2016;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"Vervallen";"";"";"POINT(4.900358,52.3801085)";"POINT(52.3801085,4.900358)";4.900358;52.3801085;
25;"439";"Middenweg / Christiaan Huygensplein";1977;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9379351,52.3490912)";"POINT(52.3490912,4.9379351)";4.9379351;52.3490912;
26;"925";"Hoofdweg / Willem Schoutenstraat";1977;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.852545,52.3670928)";"POINT(52.3670928,4.852545)";4.852545;52.3670928;
27;"152";"Damrak / Oudebrugsteeg / VOP (1977)";2014;0;"";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8965452,52.3757941)";"POINT(52.3757941,4.8965452)";4.8965452;52.3757941;
28;"598";"Zeilstraat / Baarsstraat";1979;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8541348,52.3507926)";"POINT(52.3507926,4.8541348)";4.8541348;52.3507926;
29;"645";"Boshuizenstraat, van / Backershagen";1979;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8756649,52.3246924)";"POINT(52.3246924,4.8756649)";4.8756649;52.3246924;
30;"141";"Marnixstraat / Nieuwe Willemstraat";1985;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8807952,52.3810927)";"POINT(52.3810927,4.8807952)";4.8807952;52.3810927;
31;"445";"Wittenburgergracht / Grote Wittenburgerstraat";1985;2018;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.919235,52.3695914)";"POINT(52.3695914,4.919235)";4.919235;52.3695914;
32;"918";"Jan van Galenstraat / Fca";1987;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8663051,52.3755919)";"POINT(52.3755919,4.8663051)";4.8663051;52.3755919;
33;"959";"Cornelis Lelylaan / Station";1988;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8342249,52.3578917)";"POINT(52.3578917,4.8342249)";4.8342249;52.3578917;
34;"638";"Europaboulevard / Nieuwe Herlaer";1989;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.890075,52.3263938)";"POINT(52.3263938,4.890075)";4.890075;52.3263938;
35;"647";"Rijnstraat VOP";1990;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9064678,52.342918)";"POINT(52.342918,4.9064678)";4.9064678;52.342918;
36;"650";"President Kennedylaan / M.L. Kingpark";1995;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.9116952,52.3415915)";"POINT(52.3415915,4.9116952)";4.9116952;52.3415915;
37;"908";"Jan van Galenstraat / Ringtram";1996;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.8355148,52.3730933)";"POINT(52.3730933,4.8355148)";4.8355148;52.3730933;
38;"316";"Bijlmerdreef / Kelbergenpad";1997;0;"Voertuig afhankelijk";"Langzaam verkeer oversteek";"";"In bedrijf";"";"";"POINT(4.965275,52.3197943)";"POINT(52.3197943,4.965275)";4.965275;52.3197943;
