OBJECTNUMMER;LABEL;linknr;modeljaar;name;etmaal;daglv;avondlv;nachtlv;dagmv;avondmv;nachtmv;dagzv;avondzv;nachtzv;dagbus;avondbus;nachtbus;dagtram;avondtram;nachttram;dagmr;avondmr;nachtmr;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Link 1967";1967;2020;"Tom Schreursweg";1375;83;51;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LINESTRING(4.76192 52.381139,4.766748 52.381181,4.770493 52.381228)";"LINESTRING(52.381139 4.76192,52.381181 4.766748,52.381228 4.770493)";4.7662115;52.3811765;
2;"Link 2187";2187;2020;"Ookmeerweg";21686;1279;780;309;32;9;7;11;2;3;0;0;0;0;0;0;6;4;2;"LINESTRING(4.767531 52.351424,4.768979 52.352801)";"LINESTRING(52.351424 4.767531,52.352801 4.768979)";4.76826;52.3521055;
3;"Link 2199";2199;2020;"Osdorperweg";4783;279;170;67;10;3;2;3;1;1;0;0;0;0;0;0;1;1;0;"LINESTRING(4.766645 52.376992,4.771368 52.374276)";"LINESTRING(52.376992 4.766645,52.374276 4.771368)";4.7690115;52.375627;
4;"Link 2211";2211;2020;"Heining";5585;351;151;67;9;2;2;5;1;1;0;0;0;0;0;0;2;1;0;"LINESTRING(4.76895 52.397101,4.769112 52.397111,4.769934 52.397115,4.770196 52.397189,4.770396 52.397289,4.770505 52.397456)";"LINESTRING(52.397101 4.76895,52.397111 4.769112,52.397115 4.769934,52.397189 4.770196,52.397289 4.770396,52.397456 4.770505)";4.7697325;52.3972715;
5;"Link 2619";2619;2020;"Joris van den Berghweg";794;48;29;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LINESTRING(4.775428 52.371939,4.776346 52.372531,4.776539 52.372619,4.776878 52.372704)";"LINESTRING(52.371939 4.775428,52.372531 4.776346,52.372619 4.776539,52.372704 4.776878)";4.776158;52.3723145;
6;"Link 2631";2631;2020;"Tom Schreursweg";1386;84;51;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LINESTRING(4.770493 52.381228,4.776698 52.381299)";"LINESTRING(52.381228 4.770493,52.381299 4.776698)";4.7736005;52.3812565;
7;"Link 2649";2649;2020;"Heining";5585;351;151;67;9;2;2;5;1;1;0;0;0;0;0;0;2;1;0;"LINESTRING(4.771195 52.398726,4.770719 52.398038,4.770592 52.397747,4.770505 52.397456)";"LINESTRING(52.398726 4.771195,52.398038 4.770719,52.397747 4.770592,52.397456 4.770505)";4.770855;52.398084;
8;"Link 3061";3061;2020;"Kwelderweg";857;52;32;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LINESTRING(4.784869 52.355724,4.784495 52.355635)";"LINESTRING(52.355724 4.784869,52.355635 4.784495)";4.784687;52.3556725;
9;"Link 3093";3093;2020;"Osdorper Ban";6069;351;214;85;15;4;3;5;1;2;0;0;0;0;0;0;2;1;0;"LINESTRING(4.786445 52.359389,4.7846 52.35902)";"LINESTRING(52.359389 4.786445,52.35902 4.7846)";4.7855275;52.3591975;
10;"Link 3103";3103;2020;"Ingelandenweg";1475;89;54;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"LINESTRING(4.785534 52.357272,4.785112 52.358061)";"LINESTRING(52.357272 4.785534,52.358061 4.785112)";4.785328;52.3576595;
