OBJECTNUMMER;Stemlocatie;Opgeroepenen;Blanco;Ongeldig;Geldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__VVD;_2__PvdA;_3__PVV;_4__SP;_5__CDA;_6__D66;_7__ChristenUnie;_8__GroenLinks;_9__SGP;_10__Partij_voor_de_Dieren;_11__50PLUS;_12__OndernemersPartij;_13__VoorNederland;_14__DENK;_15__NIEUWE_WEGEN;_16__Forum_voor_Democratie;_17__De_Burger_Beweging;_18__Vrijzinnige_Partij;_19__GeenPeil;_20__Piratenpartij;_21__Artikel_1;_22__Niet_Stemmers;_23__Libertarische_Partij;_24__Lokaal_in_de_Kamer;_Overig_totaal;__1__VVD;__2__PvdA;__3__PVV;__4__SP;__5__CDA;__6__D66;__7__ChristenUnie;__8__GroenLinks;__9__SGP;__10__Partij_voor_de_Dieren;__11__50PLUS;__12__OndernemersPartij;__13__VoorNederland;__14__DENK;__15__NIEUWE_WEGEN;__16__Forum_voor_Democratie;__17__De_Burger_Beweging;__18__Vrijzinnige_Partij;__19__GeenPeil;__20__Piratenpartij;__21__Artikel_1;__22__Niet_Stemmers;__23__Libertarische_Partij;__24__Lokaal_in_de_Kamer;__Overig_totaal;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"`t Koggeschip Katholieke Basisschool";1512;7;20;1128;76.4;"DENK";471;0;"GroenLinks";126;0;68;55;78;73;33;113;17;126;4;29;22;2;1;471;0;8;0;2;0;6;20;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8025429,52.3829123)";"POINT(52.3829123,4.8025429)";4.8025429;52.3829123;
2;"2e Montessorischool Het Winterkoninkje";1333;2;10;1521;115.0;"GroenLinks";409;0;"D66";317;0;223;86;60;98;26;317;4;409;2;129;20;1;1;60;1;25;3;1;0;12;41;1;1;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.863014,52.3653075)";"POINT(52.3653075,4.863014)";4.863014;52.3653075;
3;"3e Daltonschool hoofdgebouw";1512;1;7;1412;93.9;"D66";342;0;"GroenLinks";297;0;265;104;41;93;26;342;14;297;0;120;8;0;0;32;3;12;0;0;0;16;36;1;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.897548,52.3531005)";"POINT(52.3531005,4.897548)";4.897548;52.3531005;
4;"9e Montessorischool De Scholekster";2569;2;4;1485;58.0;"GroenLinks";334;0;"D66";285;0;253;132;86;102;26;285;9;334;6;103;23;1;4;54;1;23;4;1;0;8;27;2;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8968489,52.3512923)";"POINT(52.3512923,4.8968489)";4.8968489;52.3512923;
5;"A`DAM Toren (op de 20ste etage)";0;4;9;2991;0;"GroenLinks";864;0;"D66";647;0;325;227;251;132;66;647;37;864;3;235;42;6;3;26;3;45;4;1;4;35;32;1;0;2;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9023502,52.3838393)";"POINT(52.3838393,4.9023502)";4.9023502;52.3838393;
6;"abbs De Zuiderzee";1311;1;0;859;65.6;"D66";209;0;"VVD";167;0;167;63;20;39;28;209;13;156;4;34;7;1;0;63;3;7;0;0;0;8;37;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9875381,52.3627326)";"POINT(52.3627326,4.9875381)";4.9875381;52.3627326;
7;"Academisch Medisch Centrum (AMC)";0;1;5;2151;0;"D66";685;0;"GroenLinks";529;0;308;150;41;94;86;685;45;529;4;87;22;0;6;24;0;22;1;1;2;9;34;1;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9578178,52.2950598)";"POINT(52.2950598,4.9578178)";4.9578178;52.2950598;
8;"Al Wafa Islamitische Basisschool";1451;1;20;843;59.5;"DENK";267;0;"GroenLinks";116;0;74;65;56;64;20;87;7;116;3;45;20;1;2;267;0;7;0;0;0;3;5;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8367202,52.3805853)";"POINT(52.3805853,4.8367202)";4.8367202;52.3805853;
9;"Alexander Roozendaalschool";1649;0;8;906;55.4;"DENK";201;0;"GroenLinks";146;0;91;86;48;58;25;142;15;146;1;34;8;0;0;201;0;14;0;1;0;6;30;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.839534,52.3596579)";"POINT(52.3596579,4.839534)";4.839534;52.3596579;
10;"Altra College Noord";1103;2;2;696;63.5;"PVV";146;0;"GroenLinks";121;0;46;55;146;74;31;78;7;121;2;60;27;0;3;17;0;8;0;0;0;4;16;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9479859,52.3896147)";"POINT(52.3896147,4.9479859)";4.9479859;52.3896147;
11;"Amsta locatie De Poort";3066;4;6;1824;59.8;"D66";455;0;"GroenLinks";382;0;341;146;81;87;35;455;17;382;1;145;19;0;2;46;3;26;1;1;1;9;23;2;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8733761,52.3732039)";"POINT(52.3732039,4.8733761)";4.8733761;52.3732039;
12;"Amsta locatie De Werf";1433;2;5;887;62.4;"GroenLinks";206;0;"D66";136;0;120;93;46;85;27;136;8;206;1;78;21;0;1;21;1;10;1;1;0;7;24;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.86848,52.3724524)";"POINT(52.3724524,4.86848)";4.86848;52.3724524;
13;"Andrieskerk";1218;2;4;1065;87.9;"VVD";289;0;"D66";180;0;289;100;85;57;66;180;37;132;3;45;26;2;6;7;1;16;0;0;0;4;6;1;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8681028,52.3318373)";"POINT(52.3318373,4.8681028)";4.8681028;52.3318373;
14;"Anne Frankschool";1693;2;3;1743;103.2;"D66";439;0;"VVD";413;0;413;169;61;58;73;439;19;309;4;113;24;1;4;12;0;26;0;0;0;6;9;0;2;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.894007,52.3427931)";"POINT(52.3427931,4.894007)";4.894007;52.3427931;
15;"Annie M.G. Schmidt";3480;0;17;2800;80.9;"D66";733;0;"GroenLinks";669;0;520;218;88;140;70;733;20;669;2;220;20;6;1;20;1;32;4;0;0;18;17;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8606059,52.3603484)";"POINT(52.3603484,4.8606059)";4.8606059;52.3603484;
16;"APG Pensioenbeheer";179;0;0;180;100.6;"D66";32;0;"VVD";31;0;31;19;12;15;5;32;2;21;0;17;6;0;1;7;1;5;0;0;0;4;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8414528,52.3922392)";"POINT(52.3922392,4.8414528)";4.8414528;52.3922392;
17;"Apollohal";778;1;0;948;122.0;"VVD";345;0;"D66";215;0;345;94;32;17;42;215;11;121;2;28;5;1;3;8;0;18;0;0;1;2;1;2;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.884454,52.3480574)";"POINT(52.3480574,4.884454)";4.884454;52.3480574;
18;"Aslan Muziekcentrum";2997;5;6;2127;71.3;"D66";508;0;"GroenLinks";493;0;382;158;118;95;62;508;26;493;1;155;26;1;3;44;0;19;0;1;3;15;17;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8524129,52.3616683)";"POINT(52.3616683,4.8524129)";4.8524129;52.3616683;
19;"ASV De Dijk";523;1;0;308;59.1;"VVD";59;0;"D66";58;0;59;34;17;18;10;58;7;56;0;28;11;1;1;4;0;1;0;0;1;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9598591,52.3847357)";"POINT(52.3847357,4.9598591)";4.9598591;52.3847357;
20;"ASVO school";1067;1;8;1223;115.5;"VVD";361;0;"D66";321;0;361;87;19;44;26;321;6;261;2;59;6;0;1;2;0;12;0;0;2;5;8;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9009421,52.3608252)";"POINT(52.3608252,4.9009421)";4.9009421;52.3608252;
21;"Ateliers Westerdok";1333;0;7;1225;92.4;"D66";300;0;"VVD";263;0;263;118;53;55;39;300;10;244;0;62;10;1;6;9;1;19;1;0;0;4;28;1;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.8916228,52.3842169)";"POINT(52.3842169,4.8916228)";4.8916228;52.3842169;
22;"Atria Kennisinstituut";888;2;0;893;100.8;"D66";261;0;"VVD";255;0;255;81;17;15;22;261;9;154;0;51;0;2;0;3;0;7;1;0;0;5;9;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.892843,52.3656966)";"POINT(52.3656966,4.892843)";4.892843;52.3656966;
23;"Basisschool `t Gouden Ei";2880;3;9;2131;74.4;"GroenLinks";540;0;"D66";421;0;251;225;66;128;38;421;22;540;4;111;28;2;3;144;5;24;2;2;2;17;95;1;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"POINT(4.9381549,52.3725669)";"POINT(52.3725669,4.9381549)";4.9381549;52.3725669;
