OBJECTNUMMER;BOOMSOORT;BOOM_ID;PLANTJAAR;DIAMETERKLASSE;HOOGTEKLASSE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Acer pseudoplatanus cv.";382278;2015;"Minder dan 20 cm";"Minder dan 6 m";"POINT(4.833947,52.381138)";"POINT(52.381138,4.833947)";4.833947;52.381138;
2;"Robinia pseudoacacia";380505;1991;"20 tot 30 cm";"6 tot 12 m";"POINT(4.832104,52.380836)";"POINT(52.380836,4.832104)";4.832104;52.380836;
3;"Robinia pseudoacacia";388510;1991;"50 tot 100 cm";"6 tot 12 m";"POINT(4.834695,52.382463)";"POINT(52.382463,4.834695)";4.834695;52.382463;
4;"Acer rubrum cv.";371210;2009;"Minder dan 20 cm";"Minder dan 6 m";"POINT(4.836275,52.377926)";"POINT(52.377926,4.836275)";4.836275;52.377926;
5;"Salix alba `Sericea`";562916;1980;"30 tot 50 cm";"6 tot 12 m";"POINT(4.885667,52.342305)";"POINT(52.342305,4.885667)";4.885667;52.342305;
6;"Sorbus intermedia";380156;1971;"50 tot 100 cm";"6 tot 12 m";"POINT(4.828565,52.384016)";"POINT(52.384016,4.828565)";4.828565;52.384016;
7;"Salix babylonica `Tortuosa`";589383;1993;"Minder dan 20 cm";"6 tot 12 m";"POINT(4.905973,52.335807)";"POINT(52.335807,4.905973)";4.905973;52.335807;
8;"Ulmus `Plantijn`";447659;1973;"";"6 tot 12 m";"POINT(4.924575,52.353788)";"POINT(52.353788,4.924575)";4.924575;52.353788;
9;"Salix alba `Sericea`";562940;1980;"30 tot 50 cm";"12 tot 18 m";"POINT(4.885754,52.342157)";"POINT(52.342157,4.885754)";4.885754;52.342157;
10;"Corylus colurna";541763;2006;"20 tot 30 cm";"6 tot 12 m";"POINT(4.967267,52.323179)";"POINT(52.323179,4.967267)";4.967267;52.323179;
11;"Salix alba";464928;1975;"50 tot 100 cm";"6 tot 12 m";"POINT(4.951652,52.385779)";"POINT(52.385779,4.951652)";4.951652;52.385779;
