OBJECTNUMMER;Soort;Soortcode;Standplaats;Bouwjaar;Voeding;Objectnummer_Amsterdam;Objectnummer_leverancier;VRI_nummer;Rotatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"TV Camera";"111";"De Ruyterkade - Havengebouw";2015;"Uit havengebouw";"TV-117-054";"TAC64";117;0;"POINT(4.895867,52.381536)";"POINT(52.381536,4.895867)";4.895867;52.381536;
2;"TV Camera";"111";"Barentszplein";2011;"VRI 119";"TV-119-046";"";119;0;"POINT(4.891525,52.389551)";"POINT(52.389551,4.891525)";4.891525;52.389551;
3;"TV Camera";"111";"Dam";2006;"Eigen voeding";"TV-153-016";"TAC22";153;0;"POINT(4.893107,52.373323)";"POINT(52.373323,4.893107)";4.893107;52.373323;
4;"TV Camera";"111";"A10/ Verlengde Stellingweg";2011;"Eigen voeding";"TV-220-041";"TAC41";220;0;"POINT(4.882198,52.424801)";"POINT(52.424801,4.882198)";4.882198;52.424801;
5;"TV Camera";"111";"A10/ Nw. Leeuwarderweg";2006;"VRI 224";"TV-224-013";"TAC31";0;0;"POINT(4.938318,52.406595)";"POINT(52.406595,4.938318)";4.938318;52.406595;
6;"TV Camera";"111";"A10/ Johannes Blookerweg";2010;"Eigen voeding";"TV-302-039";"TAC45";302;0;"POINT(4.929152,52.334874)";"POINT(52.334874,4.929152)";4.929152;52.334874;
7;"TV Camera";"111";"A10/ Spaklerweg";2008;"Eigen voeding";"TV-303-032";"TAC36";303;0;"POINT(4.92519,52.330871)";"POINT(52.330871,4.92519)";4.92519;52.330871;
8;"TV Camera";"111";"Gooiseweg/ Daalwijkdreef";2010;"VRI 306";"TV-306-030";"TAC44";306;0;"POINT(4.956738,52.323721)";"POINT(52.323721,4.956738)";4.956738;52.323721;
9;"TV Camera";"111";"De Passage/ Holterbergweg";2015;"VRI 307";"TV-307-050";"TAC32";307;0;"POINT(4.932764,52.317006)";"POINT(52.317006,4.932764)";4.932764;52.317006;
10;"TV Camera";"111";"Holterbergweg/ Burg. Stramanweg";2011;"VRI 308";"TV-308-018";"TAC40";308;0;"POINT(4.936637,52.312737)";"POINT(52.312737,4.936637)";4.936637;52.312737;
11;"TV Camera";"111";"Dolingadreef/ Burg. Stramanweg";2007;"VRI 310";"TV-310-020";"TAC23";310;0;"POINT(4.950378,52.317032)";"POINT(52.317032,4.950378)";4.950378;52.317032;
12;"TV Camera";"111";"Bijlmerdreef/ Flierbosdreef";2015;"VRI 312";"TV-312-051";"TAC57";312;0;"POINT(4.954974,52.316168)";"POINT(52.316168,4.954974)";4.954974;52.316168;
13;"TV Camera";"111";"Foppingadreef/ Hoogoorddreef";2015;"VRI 319";"TV-319-049";"TAC52";319;0;"POINT(4.950621,52.311753)";"POINT(52.311753,4.950621)";4.950621;52.311753;
14;"TV Camera";"111";"Karspeldreef/ Huntumdreef";2010;"VRI 321";"TV-321-028";"TAC03";321;0;"POINT(4.958524,52.3090293)";"POINT(52.3090293,4.958524)";4.958524;52.3090293;
