OBJECTNUMMER;Soortcode;BFA_nummer;BFA_type;Standplaats;Jaar_aanleg;Venstertijden;Toegangssysteem;Camera;Beheerorganisatie;Bijzonderheden;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"183";"VO86";"Vezip500";"Verbindingsdam, Loc 24";0;"00.00-7.00/11.00-24.00";"Pasje";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.939927,52.373982)";"POINT(52.373982,4.939927)";4.939927;52.373982;
2;"183";"VO85";"Vezip500";"Lloydplein, Loc 23";2018;"00.00-7.00/11.00-24.00";"Pasje";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.934472,52.374743)";"POINT(52.374743,4.934472)";4.934472;52.374743;
3;"183";"VO83";"RC600";"Withoedenveem, Loc 21";0;"00.00-7.00/11.00-24.00";"Pasje";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.925026,52.376441)";"POINT(52.376441,4.925026)";4.925026;52.376441;
4;"183";"VO82";"Vezip600";"Vriesseveem, Loc 20";0;"00.00-7.00/11.00-24.00";"Pasje";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.918803,52.377549)";"POINT(52.377549,4.918803)";4.918803;52.377549;
5;"183";"VO78";"RC600C";"Oranje Vrijstaatkade, Loc 10";2016;"Ma-Za 00.00-7.00/8.00-9.00/11.00-24.00. Zo 00.00-9.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.928893,52.356073)";"POINT(52.356073,4.928893)";4.928893;52.356073;
6;"183";"VO81";"RC600C";"Arcadia, Loc 13";2016;"Ma-Za 00.00-7.00/8.00-9.00/11.00-24.00. Zo 00.00-9.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.930949,52.357474)";"POINT(52.357474,4.930949)";4.930949;52.357474;
7;"183";"VO80";"RC600C";"Utopia, Loc 12";2016;"Ma-Za 00.00-7.00/8.00-9.00/11.00-24.00. Zo 00.00-9.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.929904,52.357739)";"POINT(52.357739,4.929904)";4.929904;52.357739;
8;"183";"VO79";"RC600C";"Nirwana, Loc 11";2016;"Ma-Za 00.00-7.00/8.00-9.00/11.00-24.00. Zo 00.00-9.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.927882,52.357291)";"POINT(52.357291,4.927882)";4.927882;52.357291;
9;"183";"VO77";"RC660C";"Diemerzeedijk Zeebrug";2017;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.974209,52.357345)";"POINT(52.357345,4.974209)";4.974209;52.357345;
10;"183";"VO75";"RC600C";"J vd Keukenstraat/joris evensplein IJburg";2016;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.989707,52.35933)";"POINT(52.35933,4.989707)";4.989707;52.35933;
