OBJECTNUMMER;Vogel;Straatnaam;Huisnummer;Verblijfplaats;Voorziening;Aantal_2011;Aantal_2012;Aantal_2013;Aantal_2014;Aantal_2015;Aantal_2016;Aantal_2017;Aantal_2018;Aantal_2019;Aantal_2020;Foto1;Foto2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Spreeuw";"`s Gravesandestraat";"24 t/m 92";"";"";"";"";"";"5+";"";"";"";"";"";"";"";"";"POINT(4.915282,52.361046)";"POINT(52.361046,4.915282)";4.915282;52.361046;
2;"Spreeuw";"Davisstraat";"14";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"POINT(4.856897,52.366021)";"POINT(52.366021,4.856897)";4.856897;52.366021;
3;"Spreeuw";"Ketelhuisplein";"7";"In de open stootvoegen";"";"";"";"";"~5";"";"";"";"";"3";"";"20190626_101550.jpg";"20190626_101509.jpg";"POINT(4.8708,52.363754)";"POINT(52.363754,4.8708)";4.8708;52.363754;
4;"Spreeuw";"Kinkerstraat";"244-248";"";"";"";"";"";"~5";"";"";"";"";"";"";"";"";"POINT(4.865185,52.3655)";"POINT(52.3655,4.865185)";4.865185;52.3655;
5;"Spreeuw";"Kostverlorenkade-Wenslauerstraat";"";"";"";"";"";"";"5+";"";"";"";"";"";"";"";"";"POINT(4.862759,52.366982)";"POINT(52.366982,4.862759)";4.862759;52.366982;
6;"Spreeuw";"Van Noordtkade";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"POINT(4.883086,52.388334)";"POINT(52.388334,4.883086)";4.883086;52.388334;
7;"Spreeuw";"Van Noordtkade- Houtmankade";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"POINT(4.883763,52.388256)";"POINT(52.388256,4.883763)";4.883763;52.388256;
8;"Spreeuw";"Veelaan";"40 t/m 45";"";"";"";"";"";"~10";"";"";"";"";"";"";"";"";"POINT(4.9398,52.368124)";"POINT(52.368124,4.9398)";4.9398;52.368124;
9;"Spreeuw";"Veelaan";"49 t/m 52";"";"";"";"";"";"+";"";"";"";"";"";"";"";"";"POINT(4.939782,52.368457)";"POINT(52.368457,4.939782)";4.939782;52.368457;
10;"Spreeuw";"Veelaan";"34 t/m 39";"";"";"";"";"";"~10";"";"10";"";"";"";"";"";"";"POINT(4.939789,52.367855)";"POINT(52.367855,4.939789)";4.939789;52.367855;
