OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"04.01";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";14;"Zitbank";"POINT(4.856252,52.354662)";"POINT(52.354662,4.856252)";4.856252;52.354662;
2;"04.02";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";355;"Zitbank";"POINT(4.856311,52.354658)";"POINT(52.354658,4.856311)";4.856311;52.354658;
3;"04.03";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";340;"Zitbank";"POINT(4.856363,52.354664)";"POINT(52.354664,4.856363)";4.856363;52.354664;
4;"04.04";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-04.jpg";319;"Zitbank";"POINT(4.856417,52.354684)";"POINT(52.354684,4.856417)";4.856417;52.354684;
5;"04.05";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-05.jpg";300;"Zitbank";"POINT(4.856457,52.354711)";"POINT(52.354711,4.856457)";4.856457;52.354711;
6;"04.06";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-06.jpg";286;"Zitbank";"POINT(4.856478,52.35474)";"POINT(52.35474,4.856478)";4.856478;52.35474;
7;"04.08";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-08.jpg";227;"Zitbank";"POINT(4.856436,52.354848)";"POINT(52.354848,4.856436)";4.856436;52.354848;
8;"04.09";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-09.jpg";208;"Zitbank";"POINT(4.856392,52.354869)";"POINT(52.354869,4.856392)";4.856392;52.354869;
9;"04.10";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-10.jpg";192;"Zitbank";"POINT(4.856337,52.354882)";"POINT(52.354882,4.856337)";4.856337;52.354882;
10;"10.01";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";210;"Zitbank";"POINT(4.856163,52.355465)";"POINT(52.355465,4.856163)";4.856163;52.355465;
11;"10.06";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";130;"Zitbank";"POINT(4.855727,52.356247)";"POINT(52.356247,4.855727)";4.855727;52.356247;
12;"10.07";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";130;"Zitbank";"POINT(4.855756,52.356269)";"POINT(52.356269,4.855756)";4.855756;52.356269;
13;"10.13";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-13.jpg";186;"Zitbank";"POINT(4.858408,52.356627)";"POINT(52.356627,4.858408)";4.858408;52.356627;
14;"10.14";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-14.jpg";186;"Zitbank";"POINT(4.858457,52.356624)";"POINT(52.356624,4.858457)";4.858457;52.356624;
15;"10.17";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-17.jpg";177;"Zitbank";"POINT(4.858852,52.356629)";"POINT(52.356629,4.858852)";4.858852;52.356629;
16;"10.18";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-18.jpg";177;"Zitbank";"POINT(4.8589,52.356631)";"POINT(52.356631,4.8589)";4.8589;52.356631;
17;"10.20";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";157;"Zitbank";"POINT(4.858844,52.357105)";"POINT(52.357105,4.858844)";4.858844;52.357105;
18;"10.21";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";158;"Zitbank";"POINT(4.858957,52.357132)";"POINT(52.357132,4.858957)";4.858957;52.357132;
19;"10.22";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";158;"Zitbank";"POINT(4.859067,52.357161)";"POINT(52.357161,4.859067)";4.859067;52.357161;
20;"10.19";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-19.jpg";109;"Zitbank";"POINT(4.859309,52.357006)";"POINT(52.357006,4.859309)";4.859309;52.357006;
21;"10.23";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";159;"Zitbank";"POINT(4.860148,52.357432)";"POINT(52.357432,4.860148)";4.860148;52.357432;
22;"10.24";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";159;"Zitbank";"POINT(4.860257,52.357458)";"POINT(52.357458,4.860257)";4.860257;52.357458;
23;"10.26";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";126;"Zitbank";"POINT(4.860864,52.357361)";"POINT(52.357361,4.860864)";4.860864;52.357361;
24;"10.27";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-27.jpg";122;"Zitbank";"POINT(4.860889,52.357384)";"POINT(52.357384,4.860889)";4.860889;52.357384;
25;"10.28";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";157;"Zitbank";"POINT(4.861779,52.35784)";"POINT(52.35784,4.861779)";4.861779;52.35784;
26;"10.29";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-29.jpg";157;"Zitbank";"POINT(4.861889,52.357866)";"POINT(52.357866,4.861889)";4.861889;52.357866;
27;"10.30";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-30.jpg";157;"Zitbank";"POINT(4.861998,52.357895)";"POINT(52.357895,4.861998)";4.861998;52.357895;
28;"05.20";"Parkietenbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-20.jpg";110;"Zitbank";"POINT(4.856345,52.356217)";"POINT(52.356217,4.856345)";4.856345;52.356217;
29;"05.30";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";72;"Zitbank";"POINT(4.856322,52.355772)";"POINT(52.355772,4.856322)";4.856322;52.355772;
30;"05.18";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";72;"Zitbank";"POINT(4.856382,52.355676)";"POINT(52.355676,4.856382)";4.856382;52.355676;
31;"05.17";"Nog niet geplaatst";"Reigerbank";"reigerbank.jpg";"Beschikbaar, nog niet geplaatst";"";46;"Zitbank";"POINT(4.856578,52.355514)";"POINT(52.355514,4.856578)";4.856578;52.355514;
32;"09.11";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";182;"Zitbank";"POINT(4.857946,52.355168)";"POINT(52.355168,4.857946)";4.857946;52.355168;
33;"09.12";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";181;"Zitbank";"POINT(4.857997,52.355166)";"POINT(52.355166,4.857997)";4.857997;52.355166;
34;"09.09";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";1;"Zitbank";"POINT(4.858096,52.355149)";"POINT(52.355149,4.858096)";4.858096;52.355149;
