OBJECTNUMMER;Adres;Soort;Datum;Omschrijving;Foto;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"De Kempenaerstraat 3";"Bom, granaat, afweergeschut";"3/05/43";"1 niet-ontplofte bom. Op 7 mei opgeruimd";"";"POINT(4.869365,52.381993)";"POINT(52.381993,4.869365)";4.869365;52.381993;
2;"Klaprozenweg 71";"Bom, granaat, afweergeschut";"3/05/43";"7 bommen. Wegdek beschadigd";"";"POINT(4.9002349,52.4008948)";"POINT(52.4008948,4.9002349)";4.9002349;52.4008948;
3;"Nassaukade 72";"Bom, granaat, afweergeschut";"3/05/43";"Getroffen door niet-ontplofte granaat van het afweergeschut ";"";"POINT(4.8764751,52.3769919)";"POINT(52.3769919,4.8764751)";4.8764751;52.3769919;
4;"Orteliusstraat 303/hs";"Vliegtuig(onderdeel) neergestort";"4/05/43";"Onderdelen van een Engels vliegtuig neergekomen";"";"POINT(4.8474748,52.3729941)";"POINT(52.3729941,4.8474748)";4.8474748;52.3729941;
5;"Oostzanerdijk 180";"Bom, granaat, afweergeschut";"5/05/43";"2 cm granaat van het luchtdoelgeschut gevonden";"";"POINT(4.8645852,52.4301917)";"POINT(52.4301917,4.8645852)";4.8645852;52.4301917;
6;"Archimedesweg 89";"Overig";"13/05/43";"Lichtkogel door het dak geslagen. Gat in het dak.  Geen persoonlijke ongelukken";"";"POINT(4.9404552,52.3553931)";"POINT(52.3553931,4.9404552)";4.9404552;52.3553931;
7;"Valentijnkade 31/III";"Overig";"13/05/43";"Vermoedelijk een onderdeel van een landingsgestel door het dak geslagen en op het portaal terechtgekomen. Plafond beschadigd. Geen persoonlijke ongelukken";"";"POINT(4.9403551,52.3586928)";"POINT(52.3586928,4.9403551)";4.9403551;52.3586928;
8;"Eerste van Swindenstraat 1/hs";"Bom, granaat, afweergeschut";"13/05/43";"[Granaat?]scherf. Spiegelruit totaal vernield";"";"POINT(4.924485,52.3621947)";"POINT(52.3621947,4.924485)";4.924485;52.3621947;
9;"Durgerdammerdijk 30";"Vliegtuig(onderdeel) neergestort";"13/05/43";"Stuk van een vliegtuig gevonden. meerdere stukken liggen nog in de omgeving";"";"POINT(4.9858749,52.3756949)";"POINT(52.3756949,4.9858749)";4.9858749;52.3756949;
10;"Zuiderzeepark 100";"Bom, granaat, afweergeschut";"13/05/43";"Enkele brandbommen en delen van een vliegtuig neergekomen. 4 lijken van Engelse vliegeniers ";"Zuiderzeepark.jpg";"POINT(4.9501292,52.3611368)";"POINT(52.3611368,4.9501292)";4.9501292;52.3611368;
11;"Koenenkade 8";"Overig";"16/05/43";"2 tijdmijnen gevonden. `Tijdstip afwerpen niet bekend, direct gevaar niet aanwezig. De afzetting van de toegang tot het Boschplan is door de politie in overleg met de Duitsche Weermacht geregeld.`";"";"POINT(4.8523552,52.3309943)";"POINT(52.3309943,4.8523552)";4.8523552;52.3309943;
12;"Trompenburgstraat 36/III";"Bom, granaat, afweergeschut";"17/05/43";"Bomsplinter. De heer Heiman Content door een bomsplinter in zijn woning gedood";"";"POINT(4.9055149,52.3439948)";"POINT(52.3439948,4.9055149)";4.9055149;52.3439948;
13;"Orteliuskade 18";"Bom, granaat, afweergeschut";"12/06/43";"Granaat van het luchtdoelgeschut door het dak geslagen en in het trappenhuis geëxplodeerd. Ernstige schade aan trappenhuis, meubilair en muren. Geen persoonlijke ongelukken en geen brand";"";"POINT(4.8503048,52.3660933)";"POINT(52.3660933,4.8503048)";4.8503048;52.3660933;
14;"Meeuwenlaan 60";"Bom, granaat, afweergeschut";"12/06/43";"Granaat van het afweergeschut neergekomen en ontploft. Schade aan verschillende gebouwen van de ADM. `in totaal zijn 230 ruiten gesprongen, 16 deuren en een groot aantal verduisteringsgordijnen vernield. De totale schade wordt op plm. f. 10.000,- geraamd.`";"";"POINT(4.9168851,52.3840949)";"POINT(52.3840949,4.9168851)";4.9168851;52.3840949;
15;"Van Eeghenlaan 35";"Bom, granaat, afweergeschut";"16/06/43";"Niet-ontplofte granaat van het luchtdoelgeschut ingeslagen. Aanzienlijke schade aan het dak, de tweede verdieping en het meubilair ";"";"POINT(4.8741052,52.3579947)";"POINT(52.3579947,4.8741052)";4.8741052;52.3579947;
16;"Prins hendrikkade 108";"Overig";"19/06/43";"Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen. Kleine brand, direct geblust";"";"POINT(4.9038851,52.3745925)";"POINT(52.3745925,4.9038851)";4.9038851;52.3745925;
17;"Geldersekade 19";"Overig";"19/06/43";"Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen";"";"POINT(4.9025452,52.3754927)";"POINT(52.3754927,4.9025452)";4.9025452;52.3754927;
18;"Van Oldenbarneveldtstraat 34/I";"Overig";"19/06/43";"Glazen bolletjes gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen?";"";"POINT(4.8750851,52.3764922)";"POINT(52.3764922,4.8750851)";4.8750851;52.3764922;
19;"Jan van Galenstraat 4";"Overig";"19/06/43";"4 glazen bolletjes gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen";"";"POINT(4.8674948,52.3761946)";"POINT(52.3761946,4.8674948)";4.8674948;52.3761946;
20;"Van der Pekstraat 47, 49, 51, 53, 55, 57, 42, 44";"Omgevingsschade";"17/07/43";"Van der Pekstraat 47, 49, 51, 53, 55, 57, 42, 44 volkomen vernietigd, alle nummers (even en oneven) zware glas- en dakschade";"010003049123.jpg";"POINT(4.909075,52.388394)";"POINT(52.388394,4.909075)";4.909075;52.388394;
21;"Lavendelstraat 1";"Omgevingsschade";"17/07/43";"Lavendelstraat 1, 3: zware glas- en dakschade";"";"POINT(4.909085,52.3901946)";"POINT(52.3901946,4.909085)";4.909085;52.3901946;
22;"Lupineplein 2";"Omgevingsschade";"17/07/43";"Lupinenplein: alle nummers zware glas- en dakschade";"";"POINT(4.9088652,52.3899924)";"POINT(52.3899924,4.9088652)";4.9088652;52.3899924;
23;"Ganzebloemstraat 6";"Omgevingsschade";"17/07/43";"Ganzebloemstraat 6 totaal vernietigd, alle nummers glas- en dakschade";"";"POINT(4.9089048,52.3899924)";"POINT(52.3899924,4.9089048)";4.9089048;52.3899924;
24;"Dovenetelstraat 2-20 en 35";"Omgevingsschade";"17/07/43";"Dovenetelstraat 2-20 en 35: zware glas- en dakschade";"";"POINT(4.9071052,52.389794)";"POINT(52.389794,4.9071052)";4.9071052;52.389794;
25;"Meidoornplein 5";"Omgevingsschade";"17/07/43";"Meidoornplein 5 vernietigd";"";"POINT(4.9106848,52.3873946)";"POINT(52.3873946,4.9106848)";4.9106848;52.3873946;
26;"Meidoornplein 3";"Omgevingsschade";"17/07/43";"Meidoornweg 3 vernietigd, alle nummers zware glas- en dakschade";"";"POINT(4.9107249,52.3873946)";"POINT(52.3873946,4.9107249)";4.9107249;52.3873946;
27;"Begoniastraat 2";"Omgevingsschade";"17/07/43";"Begoniastraat 2 vernietigd, alle nummers zware glas- en dakschade";"";"POINT(4.9100749,52.3870932)";"POINT(52.3870932,4.9100749)";4.9100749;52.3870932;
28;"Laanweg 20A, B, C, D, E, F";"Omgevingsschade";"17/07/43";"Laanweg 20, 20a, 20b, 20c vernietigd. 20d, 20e, 20f zwaar beschadigd";"010003049135.jpg";"POINT(4.9078548,52.3857924)";"POINT(52.3857924,4.9078548)";4.9078548;52.3857924;
29;"Laanweg 22A, B, C, D";"Omgevingsschade";"17/07/43";"Laanweg 22 zwaar beschadigd. 22a en 22b vernietigd. 22c en 22d zwaar beschadigd";"010003049135.jpg";"POINT(4.9078848,52.3858916)";"POINT(52.3858916,4.9078848)";4.9078848;52.3858916;
30;"Lupineplein 25";"Omgevingsschade";"17/07/43";"Lupinenplein 25 vernietigd";"";"POINT(4.9078648,52.3901946)";"POINT(52.3901946,4.9078648)";4.9078648;52.3901946;
31;"Hagedoornplein 2";"Omgevingsschade";"17/07/43";"Hagedoornplein: St. Ritakerk voltreffer midscheeps, zware schade. St. Rosaklooster gedeeltelijk vernietigd";"B00000029609.jpg";"POINT(4.913955,52.3880927)";"POINT(52.3880927,4.913955)";4.913955;52.3880927;
32;"Meeuwenlaan 259";"Omgevingsschade";"17/07/43";"Meeuwenlaan 259 vernietigd";"";"POINT(4.9226849,52.3870932)";"POINT(52.3870932,4.9226849)";4.9226849;52.3870932;
33;"Meeuwenlaan 261-263";"Omgevingsschade";"17/07/43";"Meeuwenlaan 261 en 263 zwaar beschadigd";"";"POINT(4.922745,52.3871924)";"POINT(52.3871924,4.922745)";4.922745;52.3871924;
34;"Fazantenweg 15, 26, 28";"Omgevingsschade";"17/07/43";"Fazantenweg 15, 26, 28 vernietigd";"";"POINT(4.9201348,52.3880927)";"POINT(52.3880927,4.9201348)";4.9201348;52.3880927;
35;"Adelaarsweg 66";"Omgevingsschade";"3/07/43";"Adelaarsweg 66 gedeeltelijk vernietigd. vanaf Kraaienplein tot einde (Nieuwendammerdijk) zware glas- en dakschade. Het politiebureau Adelaarsweg. 19 juli  Doet aangifte dhr Gort, arbeider, woont Ranonkelkade 13, van diefstal gepleegd in zijn woning voormiddags tusschen 10 en 11 uur, van een blikken sigarendoos inh: 5 bank biljetten a f 10,- 4 muntbiljetten a f 2,50 en diverse distributiebescheiden. Tevens worden door hem een paar zoo goed als nieuwe werkschoenen vermist. Gort heeft geen vermoeden. Zal door recherche verder worden behandeld.   Brengt de O.w. v/d Aar vanaf gebouw Nieuwendammerham op last van rech. Bakker tterz. Plunderen in het rampgebied: Dhr. Kohlberg, grondwerker. Hij blijft in bewaring. Wordt Kohlberg gen. In vorige mut. Daar van misdrijf niks is kunnen blijken n.t.z.l.h. op last van chef recherche, heen gezonden.  20 juli   Hoekstra, 56 jaar, portier, won. Eschdoornplein 27 doet aangifte dat heden tuschen 12 en 5 uur de tengevolge van het bombardement verlaten woning, de elektriciteitsmeter door onbevoegden is verbroken en geledigd.  Mevrouw Reusch, Won. Kievitsstraat 17 doet aangifte dat na de vlucht uit haar woning zijn ontvreemd alle distributiebescheiden van het gezin, man vrouw en twee kinderen. De stamkaarten met de inlegvellen zijn in de omgeving teruggevonden.  Dhr. Scholtheis, speeltuinopzichter, wonende Koekoekstraat 14 doet aangifte dat tuschen 17 en 19 dezer nadat hij zijn onbeschadigde woning inderhaast verlaten, door onbevoegden daaruit, hetzij door inklimming door een ongesloten raam, is ontvreemd e paar schoenen, ( 1 heeren en 1 dames en 1 kinder-) een heerenkostuum, eenig ondergoed en 1 radiotoestel.  Dhr van Vugt, lasscher, woont Paramaribostraat 42, doet aangifte dat tijdens hulpverleening bij den bomaanval op 17-7-1943 vier actetasschen zijn ontvreemd, inhoudende brodd- werksloven en boeken.  Dhr. De Smit, cantinehouder, woont varenweg 3, doet aangifte dat op 17-7-1943 van de goederen welke tijdelijk waren opgeslagen uit verwoeste woningen door het bombardement, diverse goederen zijn ontv. Waaronder meer een grijs heerenkostuum. De inhoud van een damestascheen pakje shag en eenige horloges.  Brengt de rech. Bakker Dhr. De Jong, dekknecht. Hij blijft in bewaring als verdacht van plundering van door bominslag getroffen woningen. (Diefstal van zilveren heeren horloge)";"010003049127.jpg";"POINT(4.9155052,52.3865935)";"POINT(52.3865935,4.9155052)";4.9155052;52.3865935;
36;"Spechtstraat 30";"Omgevingsschade";"3/07/43";"Spechtstraat 30 vernietigd, alle nummers zware glas- en dakschade";"";"POINT(4.9192049,52.3867919)";"POINT(52.3867919,4.9192049)";4.9192049;52.3867919;
37;"Varenweg 2";"Omgevingsschade";"3/07/43";"In het Noord-Hollands Kanaal achter het politiebureau een schip getroffen en gezonken";"";"POINT(4.9169352,52.3896948)";"POINT(52.3896948,4.9169352)";4.9169352;52.3896948;
38;"Asterweg 39-43";"Omgevingsschade";"3/07/43";"Timmerfabriek Rietveld";"";"POINT(4.9024451,52.3921935)";"POINT(52.3921935,4.9024451)";4.9024451;52.3921935;
39;"Herengracht 105";"Bom, granaat, afweergeschut";"11/05/40";"Bommen. Om 11.00 uur een hulpverlening Heerengracht hoek Blauwburgwal, waar 12 woningen getroffen waren door bommen uit een Duits vliegtuig. De schade was zeer groot. Er vielen 44 doden en 79 gewonden. 11.30 Rapporteert I.P. de Vries, dat om p.m. 11.00 een bominslag heeft plaats gehad in een perceel op de Blauwburgwal. Een groot aantal personen werd gedood. Het juiste aantal van dooden en gewonden kan niet worden opgegeven. Eenigen Percelen werden geheel vernield. Een groot aantal zwaar beschadigd. Het geteisterde gedeelte is afgezet. Het onderzoek wordt voortgezet.";"010003042753.jpg";"POINT(4.8903348,52.3768927)";"POINT(52.3768927,4.8903348)";4.8903348;52.3768927;
40;"Adelaarsweg 61";"Overig";"11/07/40";"Windscherm ongeveer 75 bij 60 cm met micaruit, uit een Duitse jager naar beneden gevallen. Gedeponeerd bij politiebureau Adelaarsweg";"";"POINT(4.9152749,52.3864943)";"POINT(52.3864943,4.9152749)";4.9152749;52.3864943;
41;"Oranje Nassaulaan 27";"Overig";"12/07/40";"Niet-ontplofte granaat. bleek een zuurstoffles van een lichtkogel";"";"POINT(4.8615048,52.3542945)";"POINT(52.3542945,4.8615048)";4.8615048;52.3542945;
42;"Woestduinstraat 44/hs";"Bom, granaat, afweergeschut";"14/07/40";"Niet-ontploft projectiel van 8 bij 2 cm";"";"POINT(4.8476751,52.3532912)";"POINT(52.3532912,4.8476751)";4.8476751;52.3532912;
43;"Amsteldijk 60/hs";"Bom, granaat, afweergeschut";"19/07/40";"Niet-ontplofte Engelse Brandbom. De zoon van Roodkerk heeft op het weiland van Vink aan de Amsteldijk een niet-ontplofte Engelse brandbom gevonden en mee naar huis genomen.";"";"POINT(4.906595,52.3537947)";"POINT(52.3537947,4.906595)";4.906595;52.3537947;
44;"Sloterweg 790";"Bom, granaat, afweergeschut";"19/07/40";"2 bommen, waarschijnlijk ontploft . Achter perceel Sloterweg 790, ? 300 meter van de weg in het weiland. Kraters. geen schade.";"";"POINT(4.8176949,52.3420912)";"POINT(52.3420912,4.8176949)";4.8176949;52.3420912;
45;"Poppendammergouw 16";"Bom, granaat, afweergeschut";"22 op 23 juli 1940 (8.45)";"Vermoedelijk 5 bommen, waarvan 3 niet ontploft";"";"POINT(5.0004451,52.4099928)";"POINT(52.4099928,5.0004451)";5.0004451;52.4099928;
46;"Kinkerstraat 43";"Bom, granaat, afweergeschut";"27/08/40";"Springstof / Bom. Keldervloer door middel van springstof stukgeslagen. De aldaar liggende bom is vrijgekomen. Geen persoonlijke ongelukken. geringe materi?le schade.";"";"POINT(4.8742649,52.3676917)";"POINT(52.3676917,4.8742649)";4.8742649;52.3676917;
47;"Makassarstraat 60/III";"Bom, granaat, afweergeschut";"28 op 29 augustus 1940";"Granaatsplinter binnengedrongen. Geen gewonden. schade gering.";"";"POINT(4.940635,52.3641936)";"POINT(52.3641936,4.940635)";4.940635;52.3641936;
48;"Witte de Withstraat 32";"Bom, granaat, afweergeschut";"30/08/40";"Granaatscherf. Politieagent door een granaatscherf getroffen. De verwonding is niet ernstig.";"";"POINT(4.8595149,52.3660933)";"POINT(52.3660933,4.8595149)";4.8595149;52.3660933;
49;"Nobelweg 10";"Bom, granaat, afweergeschut";"30/08/40";"Bom ingeslagen. Terrein tussen Middenweg en Weesperzijde, in gebruik door het Duitse afweergeschut. [Frankendael?]";"";"POINT(4.9259951,52.348992)";"POINT(52.348992,4.9259951)";4.9259951;52.348992;
50;"Liergouw 34";"Bom, granaat, afweergeschut";"31/08/40";"Bominslag";"";"POINT(4.968385,52.381993)";"POINT(52.381993,4.968385)";4.968385;52.381993;
51;"Durgerdammerdijk 29";"Bom, granaat, afweergeschut";"31/08/40";"Bominslag. Huis ingestort, een vrouw licht gewond. 21 percelen in Durgerdam lopen schade op aan meubilair, vensters, dakpannen en gevels.";"";"POINT(4.9857452,52.3756949)";"POINT(52.3756949,4.9857452)";4.9857452;52.3756949;
52;"Marcusstraat 23/I";"Bom, granaat, afweergeschut";"31/08/40";"Granaatscherven";"";"POINT(4.9128549,52.351792)";"POINT(52.351792,4.9128549)";4.9128549;52.351792;
53;"Marcusstraat 25/hs";"Omgevingsschade";"31/08/40";"";"";"POINT(4.9129751,52.351792)";"POINT(52.351792,4.9129751)";4.9129751;52.351792;
54;"Durgerdammerdijk 55";"Bom, granaat, afweergeschut";"31/08/40";"Bominslag. Weiland van Hendrik Honig. Koe gewond.  04.00 Rapporteert a.p. Keizer, dat hedennacht te p.m. 1 uur, een bom uit een vreemd vliegtuig is neergekomen en ontploft, op de glooiing van den Durgerdammerdijk(Zijde IJselmeer) ter hoogte van  perceel 29. Van een tiental perceelen werden de deuren en ramen beschadigd. De stroomdraden van het lichtnet werden vernield., waardoor de schade niet nauwkeurig kon worden opgenomen. De stroomdraden zijn door G.E. geisoleerd. Geen persoonlijke ongelukken.  08.05 Rapporteert de a.p. Keizer dat hedennacht in een weiland aan de Durgerdammerdijk nabij Durgerdam een bom is afgeworpen door een onbekend gebleven vliegtuig. De bom is ontploft en heeft een krater in het weiland geslagen van plm. 10 a 15 m. diameter. Een koe werd hierbij gewond en bekwam een gebroken poot. De koe behoort in eigendom aan veehouder Honing, wonende te Durgerdam 55. Geen persoonlijke ongelukken. 12.00 C.P. 1, dat in verband met mut. Sub. 4 uur van hedennacht, bij nader onderzoek is gebleken, dat van de percelen Durgerdammerdijk 14-15-18-19-21-22-24-25-26-27-28-29-30-31-38-39-41-46-49-50 en 56, de ruiten en dakpannen zijn vernield en binnenshuis schade aan het houtwerk en meubilair is aangebracht, van de percelen 25-26-27 en 29, zijn de  voorgevels door scherven beschadigd en ramen en deuren ontzet. In perceel 29, bewoond door Pasterkamp zijn de scherven door dak, voorgevel, plafond en kasten gedrongen, zodat de kleding van de familie Pasterkamp grootendeels vernield is. Mevrouw Paterkamp bekwam door een scherf een lichte verwonding aan haar linkerwang.";"";"POINT(4.9875152,52.3768927)";"POINT(52.3768927,4.9875152)";4.9875152;52.3768927;
55;"IJdijk 10";"Bom, granaat, afweergeschut";"31/08/40";"Bom in het water. Enige ruiten van machinegebouw vernield";"";"POINT(4.9727852,52.3716933)";"POINT(52.3716933,4.9727852)";4.9727852;52.3716933;
56;"Jacob van Lennepstraat 220";"Bom, granaat, afweergeschut";"1/09/40";"(Granaat?)scherven. Drie mensen licht gewond.";"";"POINT(4.8668849,52.3645941)";"POINT(52.3645941,4.8668849)";4.8668849;52.3645941;
57;"Recht Boomssloot 99";"Bom, granaat, afweergeschut";"30/09/40";"08.00 Rapporteert rechercheur Jansen dat gebleken is dat op de Recht Boomssloot bij brug Oudeschans een bomkrater in de rijweg is geslagen. Eveneens voor perceel Oude waal 31 en in den speeltuin gelegen achter de huizen van Oude Waal en Oudeschans. Alle andere percelen bekwamen schade ten gevolgen van springen der ruiten. Tot nog toe zijn drie dooden overgebracht naar Binnen Gasthuis. De woonschuitbewoner liggende tegenover perceel Oudeschans 12, die te bed lag bekwam door glasscherven een dijbeenwonde.Hij is naar binnen Gasthuis vervoerd.";"010003042758.jpg";"POINT(4.9044049,52.3717925)";"POINT(52.3717925,4.9044049)";4.9044049;52.3717925;
58;"Mauritskade 60";"Bom, granaat, afweergeschut";"30/09/40";"Explosie van een projectiel van het afweergeschut. Ruiten gelijkvloers en op de eerste verdieping gesprongen";"";"POINT(4.918165,52.3617941)";"POINT(52.3617941,4.918165)";4.918165;52.3617941;
59;"Meteorenweg 270";"Bom, granaat, afweergeschut";"2/10/40";"Brisantbom ingeslagen en geëxplodeerd. Sloot langs de Melkweg bij Tuindorp Oostzaan.";"";"POINT(4.8747652,52.4182936)";"POINT(52.4182936,4.8747652)";4.8747652;52.4182936;
60;"Oostzanerdijk 180";"Bom, granaat, afweergeschut";"2/10/40";"Brisantbom geëxplodeerd. Krater van 7 ? 8 meter, wegdek gevaarlijk gescheurd";"";"POINT(4.8645852,52.4301917)";"POINT(52.4301917,4.8645852)";4.8645852;52.4301917;
61;"Bonairestraat 19";"Bom, granaat, afweergeschut";"7/10/40";"Granaatscherf. Dakgoot getroffen door granaatscherf";"";"POINT(4.8552749,52.3603942)";"POINT(52.3603942,4.8552749)";4.8552749;52.3603942;
62;"Urkstraat 11";"Bom, granaat, afweergeschut";"7/10/40";"Brisantbom. Huizen gedeeltelijk ingestort. 2 doden, 3 zwaargewonden. [Achter de Urkschool gebouw getroffen, 1 gewonde. 02.30 Rapporteert de a.p. Huisman dat tegen 11.00in den avond op perceel Urkstraat 13, bewoond door de familie Kaman bestaande uit twee oude mensen, man en vrouw, een  bom is geworpen. Hierdoor werd de woning geheel vernield. Terwijl de bewoners hierbij beide om het leven kwamen. Volgens verklaring van omwonenden, bevonden zich tijdens de bominslag   eveneens drie onbekend gebleven personen, bij Kaman op bezoek. Deze personen werden alle drie gewond. En zijn door GG en GD naar een der gasthuizen vervoerd. Alsmede de vrouw van Kaman die toen reeds dood was. Het lijk van Kaman bevind zich nog onder de puinhopen, er kan in verband met de duisternis niet verder aan gewerkt worden, aangezien er geen licht gemaakt kan worden. Daar nog steeds vliegtuigen in de lucht zijn. In de buurt zijn eveneens van verschillende perceelen de ruiten gesprongen.(Al deze woningen ook het getroffene zijn gemeente woningen) Tevens werd perceel Urkstraat 11 door dezelfde bominslag beschadigd. De bewoners, man en vrouw werden hierbij niet getroffen. Deze menschen zijn bij hun zoon, Buiksloterweg 49, tijdelijk ondergebracht. Bij de ingestorte woningen is een enkel post geplaatst. Luchtbeschermingsdienst in kennis gesteld.";"";"POINT(4.9252551,52.3941924)";"POINT(52.3941924,4.9252551)";4.9252551;52.3941924;
63;"Papaverweg 35";"Bom, granaat, afweergeschut";"7/10/40";"2 brisantbommen ingeslagen. Loods gedeeltelijk vernield. Begin van brand door het personeel geblust";"";"POINT(4.9058649,52.395394)";"POINT(52.395394,4.9058649)";4.9058649;52.395394;
64;"Lekstraat 56";"Bom, granaat, afweergeschut";"8/10/40";"Brisantbom. Hoekhuis Lekstraat-Rijnstraat ingestort. ?6 doden, 4 zwaargewonden, een aantal lichtgewonden.";"";"POINT(4.9061048,52.3451926)";"POINT(52.3451926,4.9061048)";4.9061048;52.3451926;
65;"Vechtstraat 135-137";"Omgevingsschade";"8/10/40";"Huizen Vechtstraat 135-137: achterzijde weggeslagen";"010003042760.jpg";"POINT(4.9081051,52.3421942)";"POINT(52.3421942,4.9081051)";4.9081051;52.3421942;
66;"Eemsstraat 20-24";"Omgevingsschade";"8/10/40";"Huizen Eemsstraat 20-24: aan achterzijde beschadigd";"";"POINT(4.9085548,52.3424918)";"POINT(52.3424918,4.9085548)";4.9085548;52.3424918;
67;"Vechtstraat 131";"Bom, granaat, afweergeschut";"8/10/40";"Bominslag. 2 doden";"";"POINT(4.9080851,52.3422934)";"POINT(52.3422934,4.9080851)";4.9080851;52.3422934;
68;"Gillis van Ledenberchstraat 34";"Bom, granaat, afweergeschut";"8/10/40";"Bominslag. Veel materi?le schade";"";"POINT(4.872565,52.3774916)";"POINT(52.3774916,4.872565)";4.872565;52.3774916;
69;"Gillis van Ledenberchstraat 48";"Bom, granaat, afweergeschut";"8/10/40";"Bominslag?";"";"POINT(4.8720152,52.3766944)";"POINT(52.3766944,4.8720152)";4.8720152;52.3766944;
70;"Tweede Hugo de Grootstraat 45";"Bom, granaat, afweergeschut";"8/10/40";"Bominslag. Post Stadsreiniging grotendeels vernield";"";"POINT(4.8710349,52.3748938)";"POINT(52.3748938,4.8710349)";4.8710349;52.3748938;
71;"Van Hogendorpstraat 909";"Bom, granaat, afweergeschut";"8/10/40";"Bom geëxplodeerd op het dak. Waterreservoir waterleiding . Veel ruiten stuk";"";"POINT(4.8680551,52.381993)";"POINT(52.381993,4.8680551)";4.8680551;52.381993;
72;"Alexander Boersstraat 43";"Bom, granaat, afweergeschut";"8/10/40";"Brandbommen. Middelgrote branden in de huizen aan Alexander Boersstraat 43 en P.C. Hooftstraat 158. Drie kleine branden";"";"POINT(4.877115,52.358792)";"POINT(52.358792,4.877115)";4.877115;52.358792;
73;"Van Baerlestraat 80";"Omgevingsschade";"8/10/40";"";"";"POINT(4.8789651,52.3571936)";"POINT(52.3571936,4.8789651)";4.8789651;52.3571936;
74;"Pieter Cornelisz. Hooftstraat 120";"Omgevingsschade";"8/10/40";"";"";"POINT(4.878875,52.3598944)";"POINT(52.3598944,4.878875)";4.878875;52.3598944;
75;"Van Eeghenlaan 7";"Bom, granaat, afweergeschut";"8/10/40";"Brandbom";"";"POINT(4.8765352,52.3586928)";"POINT(52.3586928,4.8765352)";4.8765352;52.3586928;
76;"Overtoom 2";"Bom, granaat, afweergeschut";"8/10/40";"Brandbom";"";"POINT(4.8784149,52.3638922)";"POINT(52.3638922,4.8784149)";4.8784149;52.3638922;
