OBJECTNUMMER;Projectnaam;Project_ID;Fase_ID;Fase;Start_bouw;Totaal;Sociale_huur;Middeldure_huur;Dure_huur_of_Koop;Dure_huur;Koop;Nader_te_bepalen;Plus_Onzelfstandig;Stadsdeelcode;Stadsdeel;Gebiedcode;Gebied;Projectgebied;GREX;Plaberum;fid;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Strandeiland - Pampusbuurt - P26/29";1071;4;"Investeringsbesluit genomen";2038;114;46;46;22;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";16;"POLYGON((5.03366 52.361942,5.03521 52.362012,5.037207 52.358935,5.035681 52.35885,5.03366 52.361942))";"POLYGON((52.361942 5.03366,52.362012 5.03521,52.358935 5.037207,52.35885 5.035681,52.361942 5.03366))";5.0354385;52.360424;
2;"Strandeiland - Pampusbuurt - P25";1070;4;"Investeringsbesluit genomen";2037;210;84;84;42;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";17;"POLYGON((5.034155 52.358767,5.032111 52.361873,5.03366 52.361942,5.035681 52.35885,5.034155 52.358767))";"POLYGON((52.358767 5.034155,52.361873 5.032111,52.361942 5.03366,52.35885 5.035681,52.358767 5.034155))";5.033901;52.3603475;
3;"Strandeiland - Pampusbuurt - P24/28";1068;4;"Investeringsbesluit genomen";2036;222;89;89;44;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";19;"POLYGON((5.032629 52.358682,5.030561 52.361803,5.032111 52.361873,5.034155 52.358767,5.032629 52.358682))";"POLYGON((52.358682 5.032629,52.361803 5.030561,52.361873 5.032111,52.358767 5.034155,52.358682 5.032629))";5.032363;52.3602705;
4;"Strandeiland - Pampusbuurt - P21/27/30/31";1067;4;"Investeringsbesluit genomen";2035;357;143;143;71;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";20;"POLYGON((5.031103 52.358598,5.029011 52.361733,5.030561 52.361803,5.032629 52.358682,5.031103 52.358598))";"POLYGON((52.358598 5.031103,52.361733 5.029011,52.361803 5.030561,52.358682 5.032629,52.358598 5.031103))";5.030825;52.3601935;
5;"Strandeiland - Pampusbuurt - P11/16/32/33";6223;4;"Investeringsbesluit genomen";2034;525;210;210;105;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";21;"POLYGON((5.029577 52.358514,5.027461 52.361663,5.029011 52.361733,5.031103 52.358598,5.029577 52.358514))";"POLYGON((52.358514 5.029577,52.361663 5.027461,52.361733 5.029011,52.358598 5.031103,52.358514 5.029577))";5.029287;52.3601165;
6;"Strandeiland - Pampusbuurt - P4/P9";7137;4;"Investeringsbesluit genomen";2025;247;99;99;49;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";22;"POLYGON((5.013516 52.361033,5.015066 52.361103,5.017368 52.35784,5.015842 52.357755,5.013516 52.361033))";"POLYGON((52.361033 5.013516,52.361103 5.015066,52.35784 5.017368,52.357755 5.015842,52.361033 5.013516))";5.015447;52.359422;
7;"Strandeiland - Pampusbuurt - P5/10/15";7138;4;"Investeringsbesluit genomen";2026;491;197;197;97;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";23;"POLYGON((5.017368 52.35784,5.015066 52.361103,5.016615 52.361173,5.018894 52.357924,5.017368 52.35784))";"POLYGON((52.35784 5.017368,52.361103 5.015066,52.361173 5.016615,52.357924 5.018894,52.35784 5.017368))";5.016985;52.3594995;
8;"Strandeiland - Pampusbuurt - P14";7139;4;"Investeringsbesluit genomen";2027;140;56;56;28;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";24;"POLYGON((5.018894 52.357924,5.016615 52.361173,5.018165 52.361243,5.02042 52.358009,5.018894 52.357924))";"POLYGON((52.357924 5.018894,52.361173 5.016615,52.361243 5.018165,52.358009 5.02042,52.357924 5.018894))";5.0185225;52.3595765;
9;"Strandeiland - Pampusbuurt - P2/3/8";1055;4;"Investeringsbesluit genomen";2028;348;139;139;70;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";25;"POLYGON((5.02042 52.358009,5.018165 52.361243,5.019715 52.361313,5.021946 52.358092,5.02042 52.358009))";"POLYGON((52.358009 5.02042,52.361243 5.018165,52.361313 5.019715,52.358092 5.021946,52.358009 5.02042))";5.0200605;52.359654;
10;"Strandeiland - Pampusbuurt - P13/7";1056;4;"Investeringsbesluit genomen";2029;267;107;107;53;0;0;0;0;"M";"Oost";"DX16";"Ijburg / Eiland Zeeburg";"IJburg 2/Strandeiland&Buiteneiland";"NOGREX";"Fase 4: Voorbereiding en uitvoering";26;"POLYGON((5.021946 52.358092,5.019715 52.361313,5.021264 52.361383,5.023472 52.358177,5.021946 52.358092))";"POLYGON((52.358092 5.021946,52.361313 5.019715,52.361383 5.021264,52.358177 5.023472,52.358092 5.021946))";5.0215985;52.3597305;
