"�..OBJECTNUMMER";"Naam_project";"Gebouwtype";"Jaar_beschikbaar";"Oppervlak_kavel_m2";"Aantal_woningen";"Start_bouw_mogelijk";"Niet_woonfunctie_mogelijk";"Contactpersoon";"Telefoon";"Organisatie";"Mailadres";"Opmerking";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
2;"Driemond";"Vrijstaand";"Gerealiseerd";"";"";0;"";"";2012345667;"";"";"";"POINT(5.018508,52.308717)";"POINT(52.308717,5.018508)";5.018508;52.308717;NA
5;"Drostenburg";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9474752,52.3225562)";"POINT(52.3225562,4.9474752)";4.9474752;52.3225562;NA
11;"Lutkemeerweg";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.767617,52.360671)";"POINT(52.360671,4.767617)";4.767617;52.360671;NA
12;"U.J. Klarenstraat";"Bestaand gebouw (CPO/MO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.831274,52.350536)";"POINT(52.350536,4.831274)";4.831274;52.350536;NA
13;"Ontwikkel Samen Podium";"Samen in het groot (CPO)";"In uitvoering";"";"46";0;"";"";NA;"";"";"";"POINT(4.8354452,52.3569457)";"POINT(52.3569457,4.8354452)";4.8354452;52.3569457;NA
16;"Eenhoorngebied";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.9202192,52.3504683)";"POINT(52.3504683,4.9202192)";4.9202192;52.3504683;NA
18;"Kop Weespertrekvaart";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.923259,52.3409926)";"POINT(52.3409926,4.923259)";4.923259;52.3409926;NA
19;"Amstelkwartier ";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.918199,52.340437)";"POINT(52.340437,4.918199)";4.918199;52.340437;NA
22;"Buiksloterham 21";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.904935,52.396019)";"POINT(52.396019,4.904935)";4.904935;52.396019;NA
27;"Steigereiland 126i A/B";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9879901,52.3632399)";"POINT(52.3632399,4.9879901)";4.9879901;52.3632399;NA
