OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"NietWonen";21;5000;"POINT(4.849801,52.380596)";"POINT(52.380596,4.849801)";4.849801;52.380596;
2;"Wonen";9.4;2000;"POINT(4.980629,52.296628)";"POINT(52.296628,4.980629)";4.980629;52.296628;
3;"Wonen";9.4;2000;"POINT(4.970498,52.2995)";"POINT(52.2995,4.970498)";4.970498;52.2995;
4;"Wonen";9.4;2000;"POINT(4.941263,52.370706)";"POINT(52.370706,4.941263)";4.941263;52.370706;
5;"NietWonen";35;9000;"POINT(4.831484,52.38012)";"POINT(52.38012,4.831484)";4.831484;52.38012;
6;"NietWonen";23;6000;"POINT(4.764079,52.395212)";"POINT(52.395212,4.764079)";4.764079;52.395212;
7;"NietWonen";7;2000;"POINT(5.007002,52.351369)";"POINT(52.351369,5.007002)";5.007002;52.351369;
8;"Wonen";10;2000;"POINT(4.793403,52.346017)";"POINT(52.346017,4.793403)";4.793403;52.346017;
9;"Wonen";9.4;2000;"POINT(4.960284,52.31611)";"POINT(52.31611,4.960284)";4.960284;52.31611;
10;"Wonen";9.4;2000;"POINT(4.884047,52.323945)";"POINT(52.323945,4.884047)";4.884047;52.323945;
11;"Wonen";9.4;2000;"POINT(4.918201,52.358066)";"POINT(52.358066,4.918201)";4.918201;52.358066;
12;"Wonen";9.4;2000;"POINT(4.865886,52.331053)";"POINT(52.331053,4.865886)";4.865886;52.331053;
13;"NietWonen";525;134000;"POINT(4.806131,52.367943)";"POINT(52.367943,4.806131)";4.806131;52.367943;
14;"Wonen";9.4;2000;"POINT(4.8073,52.343369)";"POINT(52.343369,4.8073)";4.8073;52.343369;
15;"NietWonen";48;12000;"POINT(4.948333,52.366212)";"POINT(52.366212,4.948333)";4.948333;52.366212;
16;"Wonen";9.4;2000;"POINT(4.886761,52.3451)";"POINT(52.3451,4.886761)";4.886761;52.3451;
17;"Wonen";9.4;2000;"POINT(4.83606,52.383205)";"POINT(52.383205,4.83606)";4.83606;52.383205;
18;"Wonen";9.4;2000;"POINT(4.993357,52.355103)";"POINT(52.355103,4.993357)";4.993357;52.355103;
