OBJECTNUMMER;Naam_locatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
43;"Sloterstrand";"Zwemplek";"POINT(4.8223588,52.3716399)";"POINT(52.3716399,4.8223588)";4.8223588;52.3716399;
52;"Brediusbad";"Buitenzwembad";"POINT(4.869488,52.392182)";"POINT(52.392182,4.869488)";4.869488;52.392182;
53;"Noorderparkbad";"Buitenzwembad";"POINT(4.9188168,52.3979117)";"POINT(52.3979117,4.9188168)";4.9188168;52.3979117;
54;"Flevoparkbad";"Buitenzwembad";"POINT(4.952564,52.3644568)";"POINT(52.3644568,4.952564)";4.952564;52.3644568;
55;"De Mirandabad";"Buitenzwembad";"POINT(4.903898,52.3388869)";"POINT(52.3388869,4.903898)";4.903898;52.3388869;
56;"Sloterparkbad";"Buitenzwembad";"POINT(4.8176491,52.369435)";"POINT(52.369435,4.8176491)";4.8176491;52.369435;
57;"Diemerpark";"Zwemplek";"POINT(4.9864891,52.3542601)";"POINT(52.3542601,4.9864891)";4.9864891;52.3542601;
59;"Gaasperplas";"Zwemplek";"POINT(4.9966061,52.3033682)";"POINT(52.3033682,4.9966061)";4.9966061;52.3033682;
60;"Zandstrand, Ouderkerkerplas";"Zwemplek";"POINT(4.929497,52.2950102)";"POINT(52.2950102,4.929497)";4.929497;52.2950102;
61;"Gibraltarbadje";"Pierenbadje";"POINT(4.8535831,52.3833548)";"POINT(52.3833548,4.8535831)";4.8535831;52.3833548;
62;"Beatrixpark";"Pierenbadje";"POINT(4.884042,52.3432852)";"POINT(52.3432852,4.884042)";4.884042;52.3432852;
63;"Vondelpark";"Pierenbadje";"POINT(4.8652451,52.3581931)";"POINT(52.3581931,4.8652451)";4.8652451;52.3581931;
64;"Westerpark";"Pierenbadje";"POINT(4.87238,52.3878905)";"POINT(52.3878905,4.87238)";4.87238;52.3878905;
65;"Bellamyplein";"Pierenbadje";"POINT(4.8673999,52.368199)";"POINT(52.368199,4.8673999)";4.8673999;52.368199;
66;"Plejadenplein";"Pierenbadje";"POINT(4.8856432,52.413819)";"POINT(52.413819,4.8856432)";4.8856432;52.413819;
67;"Adelaarsweg";"Pierenbadje";"POINT(4.9225242,52.3903929)";"POINT(52.3903929,4.9225242)";4.9225242;52.3903929;
110;"Piet Wiedijkpark";"Pierenbadje";"POINT(4.8174512,52.3550345)";"POINT(52.3550345,4.8174512)";4.8174512;52.3550345;
111;"Gerbrandypark";"Pierenbadje";"POINT(4.828428,52.3780715)";"POINT(52.3780715,4.828428)";4.828428;52.3780715;
112;"Eendrachtspark";"Pierenbadje";"POINT(4.8091981,52.3825194)";"POINT(52.3825194,4.8091981)";4.8091981;52.3825194;
128;"Zuiderbad";"Binnenzwembad";"POINT(4.8859599,52.3585288)";"POINT(52.3585288,4.8859599)";4.8859599;52.3585288;
129;"Sportfondsenbad Oost";"Binnenzwembad";"POINT(4.928693,52.3566672)";"POINT(52.3566672,4.928693)";4.928693;52.3566672;
130;"Blijburg";"Zwemplek";"POINT(5.0175378,52.3538672)";"POINT(52.3538672,5.0175378)";5.0175378;52.3538672;
131;"Nieuwe Meer, Noordoever";"Zwemplek";"POINT(4.8158791,52.3348586)";"POINT(52.3348586,4.8158791)";4.8158791;52.3348586;
