Title;EnglishTitle;PageLink;MapLink;Kaartlaag;Geometry;Entity;MapDescriptionTitle;MapDescription;MapDescriptionSource
3D Basisvoorziening;3D Tiles Gebouwen;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/gebouwen?f=html;pdok_3d_basisvoorziening_gebouwen_9a27dabe;;;3D Tiles Gebouwen;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: De 3D Tiles Gebouwen worden gegenereerd door met behulp van de BAG-geometrie de gebouwen te modelleren in LoD 2.2. Waar geen AHN gegevens beschikbaar zijn, worden de gebouwen weergegeven in LoD 1.3. De 3D Tiles Gebouwen zijn beschikbaar in het (OGC) 3D Tiles formaat ten behoeve van visualisatie doeleinden. Deze wordt alleen aangeboden in de meest recent beschikbare jaargang, zie tabel 1 in de productbeschrijving.

Keywords: 3D, 3D Basisbestand, 3Dtiles, AHN, DSM, DTM, bag, basisvoorziening, cesium, gebouwen, gebouwen (bagpandid), glTF, glb, hoogte attributen, panden, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;3D Tiles Terreinen;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/terreinen?f=html;pdok_3d_basisvoorziening_terreinen_43fcfcad;;;3D Tiles Terreinen;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: De 3D Tiles Terreinen (inclusief wegen en water) worden gegenereerd op basis van BGT-geometrieën op maaiveld niveau. De 3D Tiles Terreinen zijn beschikbaar in het (OGC) 3D Tiles formaat ten behoeve van visualisatie doeleinden. Deze wordt alleen aangeboden in de meest recent beschikbare jaargang, zie tabel 1 in de productbeschrijving.

Keywords: 3D, 3D Basisbestand, 3Dtiles, AHN, DSM, DTM, basisvoorziening, bgt, cesium, gebouwen, gebouwen (bagpandid), glTF, glb, hoogte attributen, terreinen, terreinen (bgt_fysiekvoorkomen, bronhouder), water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;3D Objecten Gebouwen;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/basisbestand_gebouwen?f=html;pdok_3d_basisvoorziening_basisbestand_gebouwen_632185d3;;;3D Objecten Gebouwen;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Deze collectie bevat 3D objecten voor gebouwen in LoD 2.2. Waar geen AHN gegevens beschikbaar zijn, worden de gebouwen weergegeven in LoD 1.3. Het geleverde formaat (CityJSON) is geschikt voor analyse doeleinden in GIS programmatuur. Voor BIM software is een IFC converter beschikbaar. Deze bestanden worden jaarlijks geactualiseerd.

Keywords: 3D Basisbestand, AHN, Attributen gebouwen: bagpandid, bouwjaar, objectid, DSM, DTM, gebouwen, hoogte attributen, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;3D Objecten Gebouwen en Terreinen;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/basisbestand_gebouwen_terreinen?f=html;pdok_3d_basisvoorziening_basisbestand_gebouwen_terreinen_3bede8d7;;;3D Objecten Gebouwen en Terreinen;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Deze collectie bevat 3D objecten voor gebouwen (met attribuut informatie), terreinen, water en wegen. Het geleverde formaat (CityJSON) is geschikt voor analyse doeleinden in GIS programmatuur. Voor BIM software is een IFC converter beschikbaar. Deze bestanden worden jaarlijks geactualiseerd.

Keywords: 3D Basisbestand, AHN, Attributen gebouwen: bagpandid, bouwjaar, objectid, Attributen terreinen: bgt_fysiekvoorkomen, bronhouder, objectid, DSM, DTM, gebouwen, hoogte attributen, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;2D Objecten Gebouwen met hoogte attributen;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/hoogtestatistieken_gebouwen?f=html;pdok_3d_basisvoorziening_hoogtestatistieken_gebouwen_a9d6283b;;;2D Objecten Gebouwen met hoogte attributen;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Deze collectie bevat 2D geometrieën van gebouwen met uitgebreide attribuut gegevens over pandhoogte in GeoPackage formaat, via bagpandid te koppelen met 3D Objecten Gebouwen. Deze bestanden worden jaarlijks geactualiseerd.

Keywords: 2D, 3D Basisbestand, AHN, Attributen o.a: bagpandid, pandstatus, bouwjaar, lod, hoogte maaiveld, dakhoogten, daktype, DSM, DTM, gebouwen, geopackage, hoogte attributen, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;Digitaal Terreinmodel (DTM);https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/digitaalterreinmodel?f=html;pdok_3d_basisvoorziening_digitaalterreinmodel_4cde734e;;;Digitaal Terreinmodel (DTM);"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Het DTM wordt gegenereerd op basis van AHN. Dit is een terreinmodel van heel Nederland, waarbij de maaiveld terreinhoogte ter plaatse van gebouwen en water wordt geïnterpoleerd. Het 3D DTM is beschikbaar in het Quantized Mesh formaat voor gebruik in Cesium clients. Het bevat geen attribuut informatie. . Deze wordt alleen aangeboden in de meest recent beschikbare jaargangen van AHN, zie tabel 1 in de productbeschrijving.

Keywords: 3D, 3D Basisbestand, 3D Basisvoorziening, AHN, DSM, DTM, cesium, gebouwen, hoogte attributen, quantized mesh, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;Digitaal Oppervlakte Model (DSM) 20 cm;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/digitaaloppervlaktemodel_20cm?f=html;pdok_3d_basisvoorziening_digitaaloppervlaktemodel_20cm_c076fad0;;;Digitaal Oppervlakte Model (DSM) 20 cm;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Het Digital Surface Model (DSM) representeert het aardoppervlak van Nederland inclusief objecten en vegetatie, gemaakt op basis van regelmatige puntenwolken aan de hand van luchtfoto's, in LASZip formaat. Dit DSM bevat een afstand tussen punten van minimaal 20 cm. Deze wordt alleen aangeboden in de meest recent beschikbare jaargang, zie tabel 1 in de productbeschrijving.

Keywords: 3D, 3D Basisbestand, 3D Basisvoorziening, AHN, DSM, DTM, gebouwen, hoogte attributen, laszip, puntenwolk, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Basisvoorziening;Digitaal Oppervlakte Model (DSM) 8 cm;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-basisvoorziening/ogc/v1/collections/digitaaloppervlaktemodel_8cm?f=html;pdok_3d_basisvoorziening_digitaaloppervlaktemodel_8cm_4b488666;;;Digitaal Oppervlakte Model (DSM) 8 cm;"Service description: De 3D Basisvoorziening is een verzameling van ruimtelijke bestanden die hoogte informatie bevatten. Deze bestanden (collecties) worden op verschillende manieren gegenereerd. Er zijn acht collecties beschikbaar.  De 3D Basisvoorziening kan gebruikt worden op schaalniveaus tussen 1:500 en 1:10.000. De bestanden zijn o.a. gebaseerd op topografie uit de Basisregistratie Grootschalige Topografie (BGT), de gebouwen uit de Basisregistratie Adressen en Gebouwen (BAG), en hoogtes uit luchtfotobeelden en het Actueel Hoogtebestand Nederland (AHN).  Meer informatie over deze dataset en overige producten zoals het downloaden van deze dataset voor analysedoeleinden of een 3D Viewer zijn te vinden op de website van PDOK en in de productbeschrijving.

Collection description: Het Digital Surface Model (DSM) representeert het aardoppervlak van Nederland inclusief objecten en vegetatie, gemaakt op basis van regelmatige puntenwolken aan de hand van luchtfoto's, in LASZip formaat. Dit DSM bevat een afstand tussen punten van minimaal 8 cm. Deze wordt alleen aangeboden in de meest recent beschikbare jaargang, zie tabel 1 in de productbeschrijving.

Keywords: 3D, 3D Basisbestand, 3D Basisvoorziening, AHN, DSM, DTM, gebouwen, hoogte attributen, laszip, puntenwolk, terreinen, water, wegen";PDOK OGC API Features landing page and collection metadata
3D Geluid;Bodemvlakken (2D);https://api.pdok.nl/kadaster/3d-geluid/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-geluid/ogc/v1/collections/bodemvlakken?f=html;pdok_3d_geluid_bodemvlakken_852bcf21;;;Bodemvlakken (2D);"Service description: Berekening aan geluid vanwege weg- en railverkeer en industrie vereisen een 3D omgevingsmodel. Op deze pagina vindt u datasets om u te ondersteunen met het opstellen van het model. De dataset is in opdracht van het  Ministerie van Infrastructuur en Waterstaat opgezet door een samenwerking tussen het Kadaster, RIVM en de TU Delft. Bij het samenstellen is gebruik gemaakt van de BAG, BGT en het AHN. Hierbij is grote zorg besteed om de databestanden zoveel  als mogelijk aan te laten sluiten bij de fysieke werkelijkheid, maar er kunnen geen rechten aan ontleend worden. Zie voor meer informatie de uitgebreide productbeschrijving.  Er zijn een drie soorten bestanden: hoogte, bodemvlakken en gebouwen. Deze zijn terug te vinden onder 'collections'.

Collection description: Deze collectie bevat polygonen met de bodemfactor als attribuutwaarde. Meer informatie is te vinden in de productbeschrijving. De data is zowel landsdekkend in één zip bestand te downloaden, maar ook per kaartblad. Voor het downloaden per kaartblad selecteer in het dropdown menu de gewenste BAG peildatum (jaar). Selecteer vervolgens op de kaart het gewenste kaartblad. Inzoomen kan met de scrolfunctie van uw muis. Vervolgens vindt u in de tabel onder de kaart een link om het bijbehorende zip-bestand te downloaden.

Keywords: 3D Geluid, 3D Geluidsmodel, AHN, Actueel Hoogtebestand Nederland, BAG, BGT, Basisregistratie Adressen en Gebouwen, Basisregistratie Grootschalige Topografie, Bodemvlakken, Gebouwen, Geluidsberekening, Kadaster, Omgevingsmodel, Puntenwolken, Topografie";PDOK OGC API Features landing page and collection metadata
3D Geluid;Gebouwen (2D + hoogte);https://api.pdok.nl/kadaster/3d-geluid/ogc/v1?f=json;https://api.pdok.nl/kadaster/3d-geluid/ogc/v1/collections/gebouwen?f=html;pdok_3d_geluid_gebouwen_188a806b;;;Gebouwen (2D + hoogte);"Service description: Berekening aan geluid vanwege weg- en railverkeer en industrie vereisen een 3D omgevingsmodel. Op deze pagina vindt u datasets om u te ondersteunen met het opstellen van het model. De dataset is in opdracht van het  Ministerie van Infrastructuur en Waterstaat opgezet door een samenwerking tussen het Kadaster, RIVM en de TU Delft. Bij het samenstellen is gebruik gemaakt van de BAG, BGT en het AHN. Hierbij is grote zorg besteed om de databestanden zoveel  als mogelijk aan te laten sluiten bij de fysieke werkelijkheid, maar er kunnen geen rechten aan ontleend worden. Zie voor meer informatie de uitgebreide productbeschrijving.  Er zijn een drie soorten bestanden: hoogte, bodemvlakken en gebouwen. Deze zijn terug te vinden onder 'collections'.

Collection description: De gebouwen uit het BAG zijn voorzien van hoogteinformatie vanuit het Actueel Hoogtebestand Nederland (AHN) en vanuit luchtfoto's. Gebouwen met hoogteinformatie vanuit het AHN zijn opgeknipt bij grote hoogtesprongen binnen het gebouw. Meer informatie is te vinden in de productbeschrijving. De data is zowel landsdekkend in één zip bestand te downloaden, maar ook per kaartblad. Voor het downloaden per kaartblad selecteer in het dropdown menu de gewenste BAG peildatum (jaar). Selecteer vervolgens op de kaart het gewenste kaartblad. Inzoomen kan met de scrolfunctie van uw muis. Vervolgens vindt u in de tabel onder de kaart een link om het bijbehorende zipbestand te downloaden.

Keywords: 3D Geluid, 3D Geluidsmodel, AHN, Actueel Hoogtebestand Nederland, BAG, BGT, Basisregistratie Adressen en Gebouwen, Basisregistratie Grootschalige Topografie, Gebouwen, Geluidsberekening, Kadaster, Omgevingsmodel, Puntenwolken, Topografie";PDOK OGC API Features landing page and collection metadata
