,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,53,1,1,0,6,2,0,1,0,0,64
AmountDS,3,0,0,0,1,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,1
EventDS,1,0,0,1,1,0,0,0,0,0,3
PatchDS,0,0,0,0,6,0,0,0,1,2,9
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,1,0,3,0,0,0,4
PointMeasuresDS,0,0,0,0,0,1,0,2,0,0,3
CoverageDS,0,0,0,0,5,0,0,0,1,0,6
NetworkDS,1,1,0,0,1,0,0,0,0,5,8
__predicted_total,58,2,1,1,22,15,3,3,2,7,114
