RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,MapDescriptionTitle,MapDescription,MapDescriptionSource,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTGeometryReasoningSummary,GPTEntityReasoningSummary,GPTEntityDecisiveRule,GPTError,GPTConfidence,GPTGeometryConfidence,GPTEntityConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,Woningcorporatiebezit 2020 Metropoolregio Amsterdam,"Deze interactieve website van de woningen van corporaties in de Metropoolregio Amsterdam is gelanceerd op 1 juli 2019 op de Jaarbijeenkomst van de Amsterdamse Federatie van Woningcorporaties (AFWC) https://www.afwc.nl Medio 2020 is het corporatiebezit op de kaart geactualiseerd (peildatum 1-1-2020). 

De website is de opvolger van de papieren Atlas Sociale Woningbouw, waarvan de eerste editie verscheen in 1992, ter gelegenheid van het 75-jarig jubileum van de AFWC. Deze negende editie (2020) verschijnt net als de vorige editie (2019) alleen als website en niet op papier. Iedere corporatie heeft een eigen kleur. Daarbij is zoveel mogelijk aangesloten bij de kleuren in de eerdere edities van de Atlas.

De website 
Woningcorporatiebezit 2020
is tot stand gekomen in opdracht van de Amsterdamse Federatie van Woningcorporaties en vervaardigd door de afdeling Ruimte en Duurzaamheid van de gemeente Amsterdam, team Beeld en Data. Vanaf editie 2019 is het corporatiebezit van 30 woningcorporaties in de gehele Metropoolregio Amsterdam afgebeeld. De editie daarvoor (2017) bevatte Amsterdam, Zaanstreek-Waterland, Amstel-Meerlanden en Almere. Vanaf 2019 is de kaart uitgebreid met Zuid-Kennemerland, IJmond, Gooi- en Vechtstreek en Lelystad.

Op de website staan zo`n 400.000 woningen aangegeven in de gemeenten Aalsmeer, Almere, Amstelveen, Amsterdam, Beemster, Beverwijk, Blaricum, Bloemendaal, Diemen, Edam-Volendam, Gooise Meren, Haarlem, Haarlemmermeer, Heemskerk, Heemstede, Hilversum, Huizen, Landsmeer, Laren, Lelystad, Oostzaan, Ouder-Amstel, Purmerend, Uithoorn, Velsen, Waterland, Weesp, Wijdemeren, Wormerland, Zaanstad en Zandvoort. Het bezit van de aangesloten corporaties buiten deze gemeenten staat niet op de kaart. 

Naast de kaart van het 
corporatiebezit
in verschillende kleuren en met een filter op het 
percentage adressen
van de betreffende corporatie per deel van een blok, is er ook een aparte 
bouwperiodekaart
.


Percentage corporatieadressen

De kaart corporatieadressen bevat per (deel van een) bouwblok het percentage woningen dat de betreffende corporatie in bezit heeft. De overige adressen kunnen koopwoningen zijn of particuliere huurwoningen. Als het percentage lager ligt dan 100, wil het niet per definitie zeggen dat de corporatie woningen heeft verkocht. Het blok kan als gemengd blok van huur- en koopwoningen zijn opgeleverd, of er hebben al vanaf de start naast corporatiewoningen, particuliere huurwoningen in het blok gezeten. Bijvoorbeeld omdat de corporatie panden heeft aangekocht in voormalig particulier bezit. De kaart is dus slechts als indicatie te gebruiken. De percentages worden alleen afgebeeld bij woonblokken waarin uitsluitend zelfstandige woningen voorkomen. Bij blokken met onzelfstandige eenheden wordt het percentage niet vermeld. Deze komen namelijk als losse eenheid voor in de databank van de corporaties, terwijl deze in de BAG vaak gezamenlijk een BAG-object vormen. Meenemen van de onzelfstandige eenheden zou dan tot percentages boven de 100 procent kunnen leiden.


Bouwperiodekaart

Bij het 90-jarig bestaan van de Amsterdamse Federatie van Woningcorporaties in 2007 werd een speciale bouwjarenkaart uitgebracht met zeven bouwperioden. Ter gelegenheid van het 100-jarige bestaan van de Federatie in 2017 is deze kaart aangevuld met de periode 2008-2016 en uitgebreid met de regio. De acht bouwperioden hebben niet dezelfde lengte, maar markeren omslagen in bouwstijl of bijzondere gebeurtenissen. Voor de kaart 2020 is de laatste bouwperiode verlengd tot en met 2019.

• Vóór 1909: De voorlopers van de woningcorporaties
• 1909 - 1918: De eerste woningwetwoningen
• 1919 - 1945: Periode `20 – `40
• 1946 - 1966: Vroeg naoorlogse stadsuitbreidingen
• 1967 - 1975: Hoogbouw
• 1976 - 1989: Stadsvernieuwing en uitbreiding
• 1990 - 2007: Differentiatie en menging in hoge dichtheid
• 2008 – 2019: Transformatie, duurzaamheid en tijdelijkheid als kans


Bronvermelding

Bron corporatiebezit: Databank, Amsterdamse Federatie van Woningcorporaties / Platform Woningcorporaties Noordvleugel Randstad (PWNR), peildatum 1-1-2020
Aangevuld met gegevens van de corporaties in de Metropoolregio Amsterdam die niet voorkomen in de databank van de AFWC.

Bron totaal aantal adressen Kadaster/BAG. Bouwjaar en bouwperiode zijn afkomstig van de betreffende corporatie aangevuld met de gegevens uit het Kadaster/BAG (panden met een onbekend bouwjaar worden niet ingekleurd).

Aan deze kaart kunnen geen rechten worden ontleend.",https://maps.amsterdam.nl/afwc_2020,PlainVectorRegion,ObjectDS,"Geometry: The dataset maps individual building blocks containing housing association property across multiple municipalities. While they are polygons, they represent specific features (building blocks) rather than a continuous, exhaustive partitioning of the entire territory (tessellation). The low shared_boundary_ratio supports classification as PlainVectorRegion. | Entity: The dataset represents specific, identifiable housing blocks ('bouwblokken') containing individual residential properties managed by housing associations. Each polygon represents a concrete, managed facility or site. Although numeric attributes are present, they describe the properties of these managed objects, and the map does not map a continuous numeric field as its primary phenomenon. Therefore, it is best classified as ObjectDS.","The dataset maps individual building blocks containing housing association property across multiple municipalities. While they are polygons, they represent specific features (building blocks) rather than a continuous, exhaustive partitioning of the entire territory (tessellation). The low shared_boundary_ratio supports classification as PlainVectorRegion.","The dataset represents specific, identifiable housing blocks ('bouwblokken') containing individual residential properties managed by housing associations. Each polygon represents a concrete, managed facility or site. Although numeric attributes are present, they describe the properties of these managed objects, and the map does not map a continuous numeric field as its primary phenomenon. Therefore, it is best classified as ObjectDS.",Region Q7 ObjectDS,,0.9,0.9,0.9,V4_NEWDATA_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains archaeological find locations represented as point features, as explicitly confirmed by the geometry_type_counts showing 425 points and no other geometry types. | Entity: The map represents discrete archaeological findings and archaeological sites (cesspits) as points. Each point corresponds to an identifiable real-world object or location with specific attributes like address, photograph, and description, which fits the definition of ObjectDS. It is not a network, a continuous measurement layer, a thematic coverage, or an event in the sense of a time-based occurrence.","The dataset contains archaeological find locations represented as point features, as explicitly confirmed by the geometry_type_counts showing 425 points and no other geometry types.","The map represents discrete archaeological findings and archaeological sites (cesspits) as points. Each point corresponds to an identifiable real-world object or location with specific attributes like address, photograph, and description, which fits the definition of ObjectDS. It is not a network, a continuous measurement layer, a thematic coverage, or an event in the sense of a time-based occurrence.","Branch A, Q4A: The points represent distinct, countable, real-world findings and archaeological locations.",,0.975,1.0,0.95,V4_NEWDATA_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PointDS,ObjectDS,"Geometry: The dataset contains archaeological site locations represented as points, and the geometry_type_counts confirms 92 features of type Point. | Entity: The map points represent individual, distinct archaeological finds or specific locations where such finds were discovered (such as 'kan, aardewerk, 1625-1675'). These are real-world objects or archaeological sites being documented, not samples of a continuous field or aggregated statistics. They meet the definition of discrete, identifiable real-world objects.","The dataset contains archaeological site locations represented as points, and the geometry_type_counts confirms 92 features of type Point.","The map points represent individual, distinct archaeological finds or specific locations where such finds were discovered (such as 'kan, aardewerk, 1625-1675'). These are real-world objects or archaeological sites being documented, not samples of a continuous field or aggregated statistics. They meet the definition of discrete, identifiable real-world objects.","Branch A, Q4A: A distinct, countable, real-world thing, place, facility, asset, address, organization, or named object",,0.975,1.0,0.95,V4_NEWDATA_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,Publiekskaart Archeologie,"Amsterdam kent een rijke verzameling aan archeologische vindplaatsen. Dit kunnen losse voorwerpen of scherven zijn maar ook allerlei structuren zoals afval- en ophogingslagen, funderingen, kelders, beerputten, verdedigingsmuren of gedempte waterwegen. Deze archeologische sporen zijn bijzonder omdat ze verbonden zijn met het dagelijkse leven vanaf het allereerste begin van de stad. De afgelopen 45 jaar heeft Monumenten en Archeologie bij bouwprojecten overal in de stad onderzoek uitgevoerd. Op deze kaart worden een selectie van vindplaatsen online toegankelijk gemaakt, in combinatie met vijf historische kaarten als onderlegger. 

Ieder vlakje op de kaart geeft een doorkijk naar de geschiedenis van die specifieke plek. Door op één van deze archeologische locaties te klikken verschijnen het adres, gegevens over het onderzoek en de vondsten, een foto en een verwijzing naar meer achtergrondinformatie. 

Disclaimer
De inhoud van deze kaart is niet volledig en niet up-to-date. De informatie is bedoeld voor een breed publiek en niet voor professionals
Monumenten en Archeologie (MenA) is de bronhouder van de aangeboden kaartlagen en dient vermeld te worden indien u verwijst naar deze kaartlagen.",https://maps.amsterdam.nl/archeologie,PlainVectorRegion,ObjectDS,"Geometry: The dataset represents archaeological sites which are discrete, isolated locations rather than a continuous partition of the city. Low shared boundary ratios and the nature of the features (specific findings at point-like locations mapped as polygons) confirm they are not a tessellation. | Entity: The map displays specific, identifiable archaeological sites such as foundations, buildings, burial grounds, and historically excavated structures. These are distinct real-world places or sites where research has occurred, rather than administrative reporting units, broad thematic coverages, or generalized phenomenon patches. Following the decision tree, they represent managed archaeological assets or places, making ObjectDS the most appropriate classification.","The dataset represents archaeological sites which are discrete, isolated locations rather than a continuous partition of the city. Low shared boundary ratios and the nature of the features (specific findings at point-like locations mapped as polygons) confirm they are not a tessellation.","The map displays specific, identifiable archaeological sites such as foundations, buildings, burial grounds, and historically excavated structures. These are distinct real-world places or sites where research has occurred, rather than administrative reporting units, broad thematic coverages, or generalized phenomenon patches. Following the decision tree, they represent managed archaeological assets or places, making ObjectDS the most appropriate classification.",Region Q7 ObjectDS,,0.925,0.95,0.9,V4_NEWDATA_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,PatchDS,Barbecueën in parken en plantsoenen,"U ziet op deze kaart waar u wel en niet mag barbecueën. 
Op de rode plekken mag u niet barbecueën.
Op de gele plekken gebruikt u de aangewezen barbecueplekken.
U vindt alle barbecueregels op de website van de gemeente",https://maps.amsterdam.nl/bbq,PlainVectorRegion,PatchDS,"Geometry: The dataset represents specific locations (parks and designated spots) where barbecue rules apply, rather than a partition of the entire city. The polygon topology hints confirm these are isolated polygons with low shared boundaries. | Entity: The map features represent specific parks in Amsterdam and define the barbecue policy (e.g., prohibited, permitted, or restricted) for those areas. Since these are selected zones where a specific policy/restriction applies rather than an exhaustive full-area coverage or discrete managed objects in the context of the barbecue rule itself, it is best classified as PatchDS.","The dataset represents specific locations (parks and designated spots) where barbecue rules apply, rather than a partition of the entire city. The polygon topology hints confirm these are isolated polygons with low shared boundaries.","The map features represent specific parks in Amsterdam and define the barbecue policy (e.g., prohibited, permitted, or restricted) for those areas. Since these are selected zones where a specific policy/restriction applies rather than an exhaustive full-area coverage or discrete managed objects in the context of the barbecue rule itself, it is best classified as PatchDS.",Region Q9 PatchDS,,0.975,1.0,0.95,V4_NEWDATA_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,PatchDS,Cultuurhistorische waarden,"De geschiedenis van een gebied kan een inspiratiebron zijn voor de ontwikkeling van de stad. Op deze kaart zijn gebiedsgericht cultuurhistorische waarden en historische stedenbouwkundige ontwikkelingen in beeld gebracht.

Cultuurhistorische waarden per gebied
Bij cultuurhistorische waarden gaat het over sporen, objecten, patronen en structuren die zichtbaar of niet zichtbaar onderdeel uitmaken van onze leefomgeving en een beeld geven van een historische situatie of ontwikkeling. In veel gevallen bepalen deze cultuurhistorische waarden de identiteit van een plek of gebied. Ze dragen bij aan een aantrekkelijke woonomgeving en vestigingsklimaat en bieden aanknopingspunten voor toekomstige ontwikkelingen. Het is daarom van belang deze cultuurhistorische waarden te betrekken in de planvorming en mee te wegen in de besluitvorming over de inrichting van een gebied (via bijvoorbeeld een bestemmingsplan, stedenbouwkundig plan of herinrichtingsplan voor de openbare ruimte). 

Per gebied kan doorgeklikt worden naar meer informatie over de historisch stedenbouwkundige ontwikkeling van een gebied en de bovengrondse cultuurhistorische waarden. Deze informatie is afkomstig uit de Cultuurhistorische Verkenningen (CHV’s) die door Bureau Monumenten & Archeologie zijn gemaakt. De CHV’s zijn meestal gemaakt in het kader van de actualisatie van een bestemmingsplan. Dit verklaart waarom de CHV’s nog niet heel Amsterdam beslaan en waarom de grenzen niet altijd overeenkomen met de historische bouwperiodes waarin de stad zich ontwikkelde. 

Gebieden met beschermde status
Een aantal gebieden in Amsterdam is zodanig van cultuurhistorische waarde dat daaraan een beschermde status is toegekend: UNESCO Werelderfgoed en rijks en gemeentelijk beschermde stads- en dorpsgezichten. De begrenzing van deze beschermde gebieden is op deze kaart te vinden met daaraan gekoppeld meer informatie. 

Bovengronds en ondergronds
De kaart is dynamisch en wordt regelmatig aangevuld met nieuwe informatie over de bovengrondse cultuurhistorie van de stad. Voor ondergrondse cultuurhistorische waarden kunt u terecht op de archeologische kaart: http://maps.amsterdam.nl/archeologie.

Bron beelden: BMA, Beeldbank Stadsarchief Amsterdam of zoals vermeld in de rapportages die u kunt downloaden.",https://maps.amsterdam.nl/cultuurhistorie,PlainVectorRegion,PatchDS,"Geometry: The dataset represents specific designated conservation areas. These are distinct, non-overlapping historical or protected zones that do not form a continuous partition (tessellation) of the entire study area, as indicated by the low shared boundary ratio and isolated nature of the polygons. | Entity: The map features represent specific 'Conservation areas' (beschermde stads- en dorpsgezichten). These are designated policy zones or areas of cultural heritage status where specific regulations apply, rather than being exhaustive land-use categories (CoverageDS) or statistical reporting units (LatticeDS). They are defined as bounded areas of protection/restriction.","The dataset represents specific designated conservation areas. These are distinct, non-overlapping historical or protected zones that do not form a continuous partition (tessellation) of the entire study area, as indicated by the low shared boundary ratio and isolated nature of the polygons.","The map features represent specific 'Conservation areas' (beschermde stads- en dorpsgezichten). These are designated policy zones or areas of cultural heritage status where specific regulations apply, rather than being exhaustive land-use categories (CoverageDS) or statistical reporting units (LatticeDS). They are defined as bounded areas of protection/restriction.",Region Q9 PatchDS,,0.9,0.9,0.9,V4_NEWDATA_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,Wilde bijen,"Wilde bijen

Wilde bijen zijn in 2014, 2015 en 2016 op een aantal locaties in Amsterdam geïnventariseerd. Dit is een herhaling van het onderzoek van 1998. Een uitgebreid verslag van de bevindingen van deze twee onderzoeken kunt u binnenkort hier vinden. In 2017 is op vijftien plaatsen in het Amsterdamse bos waargenomen. Het verslag vindt u hier.
Ook in 2017 is op een aantal plaatsen in Nieuwwest geïnventariseerd. Hier vindt u het bijbehorende verslag. 
In 2019 is er in elf stadsparken geïnventariseerd. Het verslag van dit onderzoek vindt u hier.",https://maps.amsterdam.nl/bijen,PointDS,EventDS,"Geometry: The dataset represents locations where wild bees were inventoried, and the geometry type is exclusively Point, confirmed by the geometry_type_counts. | Entity: The dataset records wildlife inventory surveys (wild bees) conducted at specific locations and times (years). The primary purpose is to map survey findings, which are events that occurred at those locations during the specified years, rather than mapping the locations themselves as primary objects or measuring a continuous phenomenon.","The dataset represents locations where wild bees were inventoried, and the geometry type is exclusively Point, confirmed by the geometry_type_counts.","The dataset records wildlife inventory surveys (wild bees) conducted at specific locations and times (years). The primary purpose is to map survey findings, which are events that occurred at those locations during the specified years, rather than mapping the locations themselves as primary objects or measuring a continuous phenomenon.",Region Q2,,0.9,1.0,0.8,V4_NEWDATA_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,Honingbijen,"Op elke locatie staan een x-aantal bijenkasten = bijenvolken.

De dataset voor deze kaart wordt regelmatig 'bijgewerkt'. 
U kunt zelf wijzigingen of aanvullingen mailen naar onderstaand contactpersoon.",https://maps.amsterdam.nl/honingbijen,PointDS,ObjectDS,"Geometry: The dataset represents locations of beehives, which are defined as points in the dataset_summary. The MapDescription confirms this by stating that 'at each location' there are a certain number of hives. | Entity: The map depicts specific, discrete locations of honey bee hives (bijenkasten). Each point corresponds to a physical facility or managed asset where bees are kept. Although the dataset includes numeric fields like 'Aantal_volken' (number of colonies), these are attributes of the bee hive facilities, not the primary mapped phenomenon (which is the location/existence of the hives). According to the entity rules, facilities with numeric attributes are classified as ObjectDS.","The dataset represents locations of beehives, which are defined as points in the dataset_summary. The MapDescription confirms this by stating that 'at each location' there are a certain number of hives.","The map depicts specific, discrete locations of honey bee hives (bijenkasten). Each point corresponds to a physical facility or managed asset where bees are kept. Although the dataset includes numeric fields like 'Aantal_volken' (number of colonies), these are attributes of the bee hive facilities, not the primary mapped phenomenon (which is the location/existence of the hives). According to the entity rules, facilities with numeric attributes are classified as ObjectDS.",Region Q7 ObjectDS,,0.95,1.0,0.9,V4_NEWDATA_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,Bodemkwaliteit,"De Bodemkwaliteitskaart geeft informatie over de diffuse bodemkwaliteit in zones.
Binnen een zone is de gemiddelde kwaliteit min of meer gelijk, terwijl er tussen zones duidelijke verschillen in kwaliteit kunnen zijn.
De kaarten worden in Amsterdam gebruikt voor het bepalen van de mogelijkheden van hergebruik voor vrijkomende grond of gekeurde grond.
Ze zijn bedoeld voor iedereen die van plan is grond toe te passen in Amsterdam (stadsdelen, aannemers, adviesbureau`s, etc.). 

De kaart geldt niet voor lokaties die historisch zijn belast door puntbronnen (bijv. fabriekslokaties of benzinestations).
Daarom dient vóór het gebruik van de kaart altijd een historisch onderzoek te worden uitgevoerd om te weten of de herkomst- of toepassingslokatie niet historisch belast is.",https://maps.amsterdam.nl/bodemkwaliteit,VectorTessellation,CoverageDS,"Geometry: The map layer divides Amsterdam into soil quality zones, which partition the study area into distinct, non-overlapping regions for administrative and planning purposes. This corresponds to a tessellation structure. | Entity: The map layer represents 'Bodemkwaliteit' (Soil quality), which defines zones with distinct soil quality characteristics used for planning and reuse of soil. As these polygons provide an exhaustive classification of soil zones across the city of Amsterdam, it functions as a thematic coverage.","The map layer divides Amsterdam into soil quality zones, which partition the study area into distinct, non-overlapping regions for administrative and planning purposes. This corresponds to a tessellation structure.","The map layer represents 'Bodemkwaliteit' (Soil quality), which defines zones with distinct soil quality characteristics used for planning and reuse of soil. As these polygons provide an exhaustive classification of soil zones across the city of Amsterdam, it functions as a thematic coverage.",Region Q5 CoverageDS,,0.925,0.95,0.9,V4_NEWDATA_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,Bomen,"Zie bomen.amsterdam.nl voor uitgebreide informatie over de bomen.


De weergave van bomen op deze kaart is niet `real-time`. Op deze kaart kunnen bomen staan die inmiddels zijn omgewaaid of gekapt. In vrijwel alle gevallen wordt een omgewaaide of gekapte boom herplant. Zodra de boom geplant is en onze inspecteurs weer hun ronde doen (om de drie jaar) komt de boom weer op de kaart.

Deze Maps-kaart maakt gebruik van een Web Map Service (WMS) van het gemeentelijk Datapunt. Deze WMS is verbonden met de dataset van het gemeentelijk beheersysteem GISIB. De kaart van het Datapunt is identiek aan deze kaart op Maps Amsterdam.",https://maps.amsterdam.nl/bomen,PointDS,ObjectDS,"Geometry: The map layer represents individual trees, which are discrete entities. The geometry_type_counts confirms exclusively Point geometry with 70,000 features. | Entity: The map features represent individual trees maintained by the municipality. Trees are distinct real-world objects/assets. While the dataset contains numeric attributes like plant year and identification numbers, these are properties of the trees themselves and do not make this an AmountDS layer. It does not fit the criteria for network, event, or measurement layers.","The map layer represents individual trees, which are discrete entities. The geometry_type_counts confirms exclusively Point geometry with 70,000 features.","The map features represent individual trees maintained by the municipality. Trees are distinct real-world objects/assets. While the dataset contains numeric attributes like plant year and identification numbers, these are properties of the trees themselves and do not make this an AmountDS layer. It does not fit the criteria for network, event, or measurement layers.","Branch A, Q4A: A distinct, countable, real-world thing, place, facility, asset, address, organization, or named object.",,1.0,1.0,1.0,V4_NEWDATA_gemini
