,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,48,2,0,2,1,2,0,1,2,1,59
AmountDS,1,1,0,1,1,0,0,0,0,0,4
ExistenceDS,0,0,0,0,0,0,0,0,0,0,0
EventDS,1,0,0,1,0,0,0,0,0,0,2
PatchDS,0,0,0,0,12,0,0,0,1,2,15
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,4
PointMeasuresDS,0,0,0,0,0,1,0,2,0,0,3
CoverageDS,0,0,0,0,3,0,0,0,3,0,6
NetworkDS,0,0,0,0,0,0,0,0,0,9,9
__predicted_total,50,3,0,4,17,15,4,3,6,12,114
