,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,47,2,0,2,6,1,0,1,1,3,63
AmountDS,1,2,0,1,0,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,1
EventDS,1,0,0,1,1,0,0,0,0,0,3
PatchDS,0,0,0,0,5,0,0,0,2,2,9
LatticeDS,0,0,0,0,0,11,0,0,1,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,3,0,0,3
CoverageDS,0,0,0,0,3,0,0,0,3,0,6
NetworkDS,0,0,0,0,0,0,0,0,0,9,9
__predicted_total,49,4,0,4,16,12,4,4,7,14,114
