RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
0,Corporatiebezit AFWC 2020,Housing association property AFWC 2020,https://maps.amsterdam.nl/open_geodata/?k=208,https://maps.amsterdam.nl/afwc_2020,AFWC_2020,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents building blocks or housing complexes (real-world objects) owned by housing associations. Topology hints show low shared boundaries and low coverage ratios, confirming these are discrete features rather than a full-area partition (tessellation). Numeric attributes are properties of these housing objects.",,0.9,debug_manual_gemini
1,Archeologische beerputten,Archaeological cesspits,https://maps.amsterdam.nl/open_geodata/?k=273,https://maps.amsterdam.nl/archeologie,ARCHEO_BEERPUT_VONDST,PointDS,ObjectDS,PointDS,ObjectDS,"The layer maps individual archaeological findings and cesspits as point locations. Each point represents a distinct, identifiable real-world object or discovery location, making ObjectDS the most appropriate classification.",,1.0,debug_manual_gemini
2,Archeologische waterbodems,Archaeological water soils,https://maps.amsterdam.nl/open_geodata/?k=274,https://maps.amsterdam.nl/archeologie,ARCHEO_WATERBODEMS,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual archaeological objects found in water soils, each identified by a unique code and description. These are discrete, countable real-world artifacts represented as points.",,1.0,debug_manual_gemini
3,Archeologische vindplaatsen,Archaeological sites,https://maps.amsterdam.nl/open_geodata/?k=101,https://maps.amsterdam.nl/archeologie,ARCHEOVINDPLAATSEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The layer represents discrete archaeological sites (real-world objects) mapped as polygons, which are scattered and do not form an exhaustive partition of the area; therefore, PlainVectorRegion and ObjectDS are the correct labels.",,1.0,debug_manual_gemini
4,Barbecue,Barbecue,https://maps.amsterdam.nl/open_geodata/?k=319,https://maps.amsterdam.nl/bbq,BBQ,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"The layer represents discrete areas within parks where barbecue regulations (rules/restrictions) apply. These are not reporting units, full-area classifications, or single objects, but rather specific patches or zones where local policy is active.",,0.95,debug_manual_gemini
5,Beschermde stads- en dorpsgezichten,Conservation areas,https://maps.amsterdam.nl/open_geodata/?k=125,https://maps.amsterdam.nl/cultuurhistorie,BESCHERMDESTADSGEZICHTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents distinct, named conservation areas (stadsgezichten). These are discrete, non-contiguous polygons rather than a complete partition of the city, and the topology hints indicate they are isolated regions, making PlainVectorRegion and ObjectDS the most appropriate classifications.",,0.95,debug_manual_gemini
6,Wilde bijen,Wild bees,https://maps.amsterdam.nl/open_geodata/?k=135,https://maps.amsterdam.nl/bijen,BIJEN,PointDS,AmountDS,PointDS,EventDS,"The points represent biological observations (wild bees) occurring at specific locations over specific years, making them event-based records rather than static objects or mere measurements.",,0.9,debug_manual_gemini
7,Honingbijen,Honey bees,https://maps.amsterdam.nl/open_geodata/?k=136,https://maps.amsterdam.nl/honingbijen,BIJEN_HONING,PointDS,AmountDS,PointDS,ObjectDS,"The layer maps discrete locations of honey bee hives (apiaries). While attributes include counts of hives, these represent the scale of the facility itself rather than a general thematic amount distribution, therefore qualifying as ObjectDS.",,0.9,debug_manual_gemini
8,Bodemkwaliteit,Soil quality,https://maps.amsterdam.nl/open_geodata/?k=57,https://maps.amsterdam.nl/bodemkwaliteit,BODEMKWALITEIT,PlainVectorRegion,PatchDS,VectorTessellation,CoverageDS,"The dataset partitions the study area into soil quality zones, exhibiting high shared boundary ratios and adjacent polygon counts, which indicates VectorTessellation. The layer provides an exhaustive thematic classification of soil quality across the city, making it CoverageDS.",,0.9,debug_manual_gemini
9,Bomen (deel 1),Trees (part 1),https://maps.amsterdam.nl/open_geodata/?k=254,https://maps.amsterdam.nl/bomen,BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual trees as point locations. Each feature represents a distinct, real-world object (a tree) with associated botanical and maintenance attributes.",,1.0,debug_manual_gemini
