,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,NetworkDS;ObjectDS,PatchDS;AmountDS,PointMeasuresDS;EventDS,__actual_total
ObjectDS,52,1,0,1,6,1,0,1,1,0,0,0,0,63
AmountDS,3,1,0,0,0,0,0,0,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EventDS,1,0,0,1,1,0,0,0,0,0,0,0,0,3
PatchDS,0,0,0,0,5,0,0,0,2,1,0,0,0,8
LatticeDS,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,2,0,0,0,0,0,2
CoverageDS,0,0,0,0,1,0,1,0,4,0,0,0,0,6
NetworkDS,1,1,0,0,0,0,0,0,0,6,0,0,0,8
NetworkDS;ObjectDS,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PatchDS;AmountDS,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PointMeasuresDS;EventDS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
__predicted_total,57,4,0,2,14,13,5,4,8,7,0,0,0,114
