,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,47,3,1,3,6,0,0,1,1,2,64
AmountDS,1,1,0,1,1,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,1
EventDS,0,1,0,1,1,0,0,0,0,0,3
PatchDS,0,0,0,0,5,0,0,0,3,1,9
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,4
PointMeasuresDS,0,0,0,0,0,0,0,3,0,0,3
CoverageDS,0,0,0,0,1,0,1,0,4,0,6
NetworkDS,0,1,0,0,0,0,0,0,0,7,8
__predicted_total,48,6,1,5,15,12,5,4,8,10,114
